Target_genes	Junb|Average	SRX520196|3T3-L1	SRX10652554|CD4+_T_cells	SRX974255|CD4+_T_cells	SRX974256|CD4+_T_cells	SRX437450|CD8+_T_cells	SRX671663|Cortical_neuron	SRX671668|Cortical_neuron	SRX122410|Dendritic_Cells	SRX122411|Dendritic_Cells	SRX122412|Dendritic_Cells	SRX122413|Dendritic_Cells	SRX122414|Dendritic_Cells	SRX122415|Dendritic_Cells	SRX122416|Dendritic_Cells	SRX122417|Dendritic_Cells	SRX3380971|Dendritic_Cells	SRX3380972|Dendritic_Cells	SRX3380973|Dendritic_Cells	SRX390506|Dendritic_Cells	SRX197289|Macrophages	SRX197290|Macrophages	SRX2417357|Macrophages	SRX2417358|Macrophages	SRX2417359|Macrophages	SRX2901290|Macrophages	SRX2901291|Macrophages	SRX2901292|Macrophages	SRX2901293|Macrophages	SRX2901294|Macrophages	SRX3723668|Neutrophils	SRX3723669|Neutrophils	SRX3723671|Neutrophils	SRX3723672|Neutrophils	SRX6437850|Pancreatic_adenocarcinoma	SRX9344838|RAW_264.7	SRX9344839|RAW_264.7	SRX9344840|RAW_264.7	SRX9344876|RAW_264.7	SRX9344877|RAW_264.7	SRX9344878|RAW_264.7	SRX9344879|RAW_264.7	SRX9344880|RAW_264.7	SRX9344881|RAW_264.7	SRX9344882|RAW_264.7	SRX9344883|RAW_264.7	SRX9344884|RAW_264.7	SRX9344885|RAW_264.7	SRX9344886|RAW_264.7	SRX9344887|RAW_264.7	SRX172345|Th17_Cells	SRX2145549|Th17_Cells	SRX2145550|Th17_Cells	SRX2773918|Th17_Cells	SRX2773920|Th17_Cells	SRX18275256|Th2_Cells	SRX18275258|Th2_Cells	SRX4891576|Treg	STRING
Dph5	208.614035	490	210	0	0	0	0	0	0	0	0	0	0	0	0	0	278	289	0	0	0	599	0	0	0	0	88	146	1092	1383	0	0	0	0	694	0	0	0	284	143	115	0	1021	1072	0	0	0	0	1488	1306	0	0	0	664	529	0	0	0	0
Ubald2	208.315789	183	179	0	0	0	0	0	0	0	0	0	0	0	0	0	197	280	0	0	0	562	197	323	356	220	241	518	764	1200	0	0	0	0	246	0	0	131	546	597	157	0	579	717	0	0	238	290	794	894	0	0	0	798	667	0	0	0	0
Wbp1l	208.280702	671	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	144	261	996	1060	0	0	0	0	835	0	90	0	312	183	104	0	1090	1123	0	0	286	229	1216	1149	0	0	0	513	543	0	98	0	0
Olfr922	207.649123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	121	252	207	223	355	526	1472	1556	0	0	0	0	0	0	0	0	654	587	233	151	634	940	141	124	300	359	1000	955	0	0	0	0	0	0	0	0	0
Pfn1	207.350877	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	216	163	0	0	0	425	0	0	0	167	159	581	1263	1378	0	0	0	0	694	0	131	155	562	337	0	0	902	881	0	0	223	192	1389	1097	0	0	0	340	451	0	0	0	0
Il1b	207.280702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	1167	286	392	300	252	319	566	1854	2004	0	0	0	0	0	0	0	0	325	391	0	0	666	770	0	0	153	124	1077	1008	0	0	0	0	0	0	0	0	0
Zfp821	206.947368	169	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	1145	0	0	0	199	367	350	1087	1445	0	0	0	0	1046	0	143	0	875	695	220	179	489	545	183	0	296	277	701	603	123	0	0	0	517	0	0	0	0
Ist1	206.947368	169	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	1145	0	0	0	199	367	350	1087	1445	0	0	0	0	1046	0	143	0	875	695	220	179	489	545	183	0	296	277	701	603	123	0	0	0	517	0	0	0	0
Ralgds	206.754386	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	150	0	389	752	2111	1941	0	0	0	0	402	0	0	0	228	158	0	0	883	983	0	0	114	188	902	655	251	0	0	150	380	0	0	0	0
Sh2d6	206.666667	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	153	0	0	0	947	126	156	141	192	356	344	1494	1894	0	0	0	0	0	0	0	0	417	327	152	0	730	894	0	84	287	201	898	1025	0	0	0	0	0	0	0	0	0
Stab1	205.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	91	0	0	361	338	532	1542	1626	0	0	0	0	0	0	0	0	408	525	124	0	1035	1185	0	0	266	242	1312	1278	0	0	0	0	0	0	0	0	0
Hmgcl	205.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	494	125	0	109	1519	398	654	510	257	325	462	1367	1235	0	0	0	0	0	0	0	0	244	194	95	0	561	769	0	0	172	177	669	688	0	0	0	0	196	0	0	0	0
Atp1a1	205.596491	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	193	114	0	201	1047	280	271	334	278	282	466	892	911	0	0	0	0	425	0	0	0	908	816	161	200	417	520	0	142	479	366	622	451	0	0	0	0	231	0	0	0	0
Gramd1b	205.438596	178	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	200	324	574	1487	1858	0	0	0	0	230	0	0	139	361	289	152	95	767	882	121	147	253	212	1111	955	0	0	0	304	428	0	0	0	0
Zbtb32	205.157895	0	131	0	264	0	0	0	0	0	0	0	0	0	0	0	175	198	0	0	0	441	0	187	0	0	243	684	1845	1608	0	0	0	0	0	0	0	141	282	202	0	0	847	934	0	0	205	203	1009	927	185	0	0	323	660	0	0	0	0
Msh6	204.842105	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	184	112	0	0	0	364	0	0	0	187	168	281	1151	1094	0	0	0	0	0	0	0	0	399	305	0	0	1156	1111	0	0	383	297	1307	1298	136	0	0	708	711	0	0	0	0
Arg2	204.684211	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1412	0	0	0	0	321	764	1504	1778	0	0	0	0	263	0	0	0	790	390	0	0	759	737	167	90	254	256	1036	867	0	0	0	0	0	0	0	0	0
Fam71f1	204.421053	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	0	0	0	221	324	569	1737	1623	0	0	0	0	960	0	0	0	324	235	117	113	989	1120	0	0	163	0	793	814	0	0	0	121	254	0	0	0	0
Wdfy3	204.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	940	476	274	115	2234	91	1607	1070	116	0	170	635	677	0	0	0	0	0	0	0	0	149	86	0	0	369	448	0	0	0	0	749	341	0	0	0	162	0	0	0	0	0
St6galnac4	204.087719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	375	746	1753	1628	0	0	0	0	349	0	121	0	292	335	99	0	853	905	99	195	392	202	1162	1154	0	0	0	120	191	0	0	0	0
Frrs1	204.087719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	680	167	0	0	326	394	645	1169	1119	0	0	0	0	543	0	0	124	468	401	176	116	1043	881	0	0	342	323	1309	1265	0	0	0	0	0	0	0	0	0
Arid5a	203.982456	218	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	699	96	192	198	282	320	584	1519	1641	0	0	0	0	766	0	0	0	199	136	0	0	809	869	0	0	0	133	784	674	0	0	0	481	798	0	0	0	0
Adora2a	203.912281	0	99	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1088	0	0	0	216	238	558	1721	1284	0	0	0	0	763	0	0	0	531	358	0	0	697	785	0	0	161	152	902	895	152	0	0	381	532	0	0	0	0
Plaur	203.824561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	150	245	419	1211	1455	0	0	0	0	1402	0	0	0	247	233	0	0	936	871	103	141	190	215	1043	912	318	0	0	543	544	0	0	0	0
Reep3	203.736842	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	764	753	288	0	0	1417	0	651	544	0	0	313	663	914	0	0	0	0	525	0	0	0	586	352	0	0	564	464	0	0	166	233	714	543	0	0	0	476	529	0	0	0	0
Baiap3	203.596491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	132	0	0	0	237	0	0	0	0	0	184	809	929	0	0	0	0	155	0	0	153	695	622	211	0	1262	1237	208	241	487	508	1342	1288	158	0	0	133	356	0	0	0	0
Klhl21	203.508772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	239	398	749	590	0	0	0	0	534	0	208	287	774	648	194	141	933	1200	175	223	349	348	1169	1247	188	0	0	177	460	0	107	0	0
Tff1	203.385965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	196	396	1362	1495	0	0	0	0	220	0	136	206	323	252	117	0	953	1125	0	122	216	246	1131	1128	442	0	0	596	722	0	0	0	0
Themis2	203.280702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	161	347	277	123	200	248	431	473	0	0	0	0	0	0	0	0	558	645	112	0	279	347	0	220	339	337	648	651	132	0	0	2313	2160	0	207	0	0
Ubc	203.157895	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	175	0	0	0	1085	314	348	174	251	142	308	571	738	0	0	0	0	789	0	181	226	580	550	195	211	556	534	175	216	297	350	757	685	0	0	0	204	524	0	77	0	0
Sspn	203.122807	0	912	549	0	64	157	0	0	0	0	0	0	0	0	0	0	0	0	0	216	196	0	136	151	184	133	154	0	194	0	0	0	0	97	235	211	303	486	233	566	370	500	596	171	201	156	0	1372	1495	245	0	0	391	493	0	411	0	0
Tpm2	203.0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	341	0	0	0	0	2629	0	208	242	163	0	0	0	1406	1539	0	0	306	421	2011	1777	0	0	0	0	0	0	0	0	0
Ifi204	203.0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	379	0	0	0	497	192	206	312	161	214	354	1094	865	0	0	0	0	1417	0	0	0	207	221	156	0	799	696	0	0	296	144	732	732	0	0	0	317	530	0	0	0	0
Pik3c2a	202.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	401	0	0	0	765	152	229	229	256	382	817	1860	1693	0	0	0	0	234	0	0	0	407	332	238	0	691	605	0	0	235	173	852	627	0	0	0	0	0	0	0	0	0
Dtnbp1	202.631579	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1578	0	0	175	237	331	806	1806	2205	0	0	0	0	0	0	0	0	161	209	0	0	642	811	0	0	152	171	1014	934	0	0	0	0	0	0	0	0	0
Slc13a1	202.333333	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	272	368	0	0	0	945	0	166	101	0	213	398	1108	1334	0	0	0	0	1781	0	169	0	336	475	107	95	575	735	0	0	321	265	936	699	0	0	0	0	0	0	0	0	0
Polr2a	202.315789	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	108	259	0	0	0	439	0	0	0	89	398	458	1687	1657	0	0	0	0	175	0	0	0	742	523	0	0	954	1018	0	0	155	240	1020	889	0	0	0	288	328	0	0	0	0
Kcnn4	202.175439	368	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	149	115	314	555	953	793	0	0	0	0	1211	0	0	224	451	234	110	0	693	706	174	0	371	225	920	1032	229	0	0	388	658	0	215	0	0
Tspan4	201.614035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	178	209	124	293	331	265	0	0	0	0	1116	0	0	167	835	913	416	259	803	1176	201	192	592	587	1385	1313	0	0	0	0	0	0	0	0	0
Polr2l	201.614035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	178	209	124	293	331	265	0	0	0	0	1116	0	0	167	835	913	416	259	803	1176	201	192	592	587	1385	1313	0	0	0	0	0	0	0	0	0
Wdfy2	201.54386	158	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	351	317	0	256	200	301	415	645	633	0	0	0	0	1838	0	177	215	1012	735	181	124	398	378	165	183	350	367	616	491	237	0	0	0	348	0	154	0	0
Sestd1	201.263158	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	321	404	370	283	258	462	1423	1502	0	0	0	0	821	0	0	0	364	358	140	0	635	707	73	70	211	172	684	714	0	0	0	0	0	0	0	0	0
Folr2	201.035088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	1946	109	0	0	253	507	799	1944	2139	0	0	0	0	0	0	140	0	79	110	99	0	689	921	0	0	88	119	756	650	0	0	0	0	0	0	0	0	0
Tcp1	200.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	560	0	0	0	252	326	430	1576	1699	0	0	0	0	0	0	0	0	849	589	197	145	938	924	0	0	331	289	992	1245	0	0	0	0	0	0	0	0	0
Trim69	200.859649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	171	228	202	352	549	1208	1251	0	0	0	0	0	0	0	139	558	596	0	0	795	1017	0	187	363	376	998	917	178	0	0	385	717	0	0	0	0
Arhgef2	200.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	205	307	540	956	999	0	0	0	0	692	0	0	0	570	429	206	0	955	956	244	281	438	372	1437	1353	0	0	0	114	145	0	0	0	0
Slc25a19	200.192982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	189	0	0	0	1481	245	347	244	148	311	489	1673	1823	0	0	0	0	159	0	0	0	293	322	0	0	731	722	0	0	149	124	672	685	0	0	0	92	143	0	0	0	0
Tspo	200.105263	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	261	569	1127	1134	0	0	0	0	1702	0	0	106	379	292	0	126	752	974	180	128	421	185	1329	1170	0	0	0	0	0	0	0	0	0
Slc47a1	200.087719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	736	389	202	0	427	436	719	1527	1438	0	0	0	0	0	0	0	139	618	653	152	76	628	792	0	0	246	258	925	870	0	0	0	0	0	0	0	0	0
Mtpn	200.070175	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	178	110	224	373	728	1812	1795	0	0	0	0	276	0	0	0	389	314	125	0	747	708	0	0	230	214	925	959	0	0	0	0	0	0	0	0	0
Cd300c	199.964912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	324	0	0	497	259	528	1193	969	0	0	0	0	563	0	0	0	894	811	249	145	898	901	225	291	428	321	907	790	0	0	0	0	0	0	0	0	0
Creld2	199.77193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	127	226	315	556	1660	1958	0	0	0	0	134	0	0	0	182	298	99	0	861	1166	133	212	200	187	1216	1165	0	0	0	0	0	0	0	0	0
Alg12	199.77193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	127	226	315	556	1660	1958	0	0	0	0	134	0	0	0	182	298	99	0	861	1166	133	212	200	187	1216	1165	0	0	0	0	0	0	0	0	0
Gm3448	199.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	167	0	0	0	766	0	0	0	0	0	116	429	233	0	0	0	0	2558	0	203	204	680	572	358	206	793	882	0	136	233	266	839	850	217	0	0	116	476	0	0	0	0
Gm3417	199.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	167	0	0	0	766	0	0	0	0	0	116	429	233	0	0	0	0	2558	0	203	204	680	572	358	206	793	882	0	136	233	266	839	850	217	0	0	116	476	0	0	0	0
Defb45	199.526316	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	247	191	469	988	1217	0	0	0	0	0	0	178	214	588	603	260	121	953	1235	124	124	409	348	1163	891	0	0	0	136	148	0	0	0	0
Defb36	199.526316	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	247	191	469	988	1217	0	0	0	0	0	0	178	214	588	603	260	121	953	1235	124	124	409	348	1163	891	0	0	0	136	148	0	0	0	0
Il6ra	199.491228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	303	120	0	0	484	98	200	177	272	301	420	1370	1138	0	0	0	0	432	0	0	0	501	454	124	0	757	1058	0	0	245	209	1116	862	0	0	0	0	216	0	0	0	0
Ralb	199.315789	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	598	337	0	0	0	0	2380	0	226	366	409	305	0	0	659	957	0	0	409	425	1742	1563	144	0	0	191	143	0	0	0	0
Rnf183	198.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	112	297	550	1358	1116	0	0	0	0	397	0	0	169	473	511	184	186	978	1053	0	195	356	349	1458	1267	0	0	0	0	134	0	0	0	0
Cnpy3	198.298246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	343	233	0	0	496	101	237	276	222	215	443	980	892	0	0	0	0	0	0	0	0	974	561	301	0	514	780	186	0	416	381	1062	1161	0	0	0	0	202	0	0	0	0
Muc20	198.140351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	384	0	148	0	689	209	346	548	135	203	538	1564	1431	0	0	0	0	0	0	0	0	444	346	233	140	666	816	0	0	264	305	958	711	0	0	0	0	0	0	0	0	0
Rcbtb2	197.877193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	212	218	0	444	451	668	1501	1187	0	0	0	0	0	0	0	154	415	198	0	0	626	556	0	0	349	462	911	888	0	0	0	431	821	0	0	0	0
Asxl1	197.684211	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	285	377	977	989	0	0	0	0	1390	0	0	0	207	168	0	0	216	218	0	0	161	247	454	424	223	0	0	2152	1906	78	134	0	0
Dnmt1	197.596491	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	461	312	139	0	251	295	407	1098	987	0	0	0	0	495	0	0	0	663	548	0	0	838	930	0	0	410	314	1195	1061	168	0	0	230	177	0	0	0	0
Metrnl	197.491228	308	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	333	302	230	76	187	239	343	753	495	0	0	0	0	860	0	0	0	845	679	169	0	473	489	0	98	313	165	717	856	256	0	0	582	1191	0	0	0	0
Ndufa5	197.385965	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	327	422	430	808	711	0	0	0	0	2124	0	117	0	744	511	234	151	438	481	222	164	347	309	644	683	260	0	0	147	382	0	164	0	0
Cluh	197.385965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	393	0	0	0	364	179	113	145	329	177	317	1196	1488	0	0	0	0	0	0	0	0	541	531	159	110	890	838	0	0	491	467	1019	957	94	0	0	0	0	0	0	0	0
Asph	197.385965	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	597	601	0	0	0	0	115	0	0	0	452	211	0	0	565	513	0	0	103	0	1308	1095	0	0	0	2997	2214	0	196	0	0
Asb15	197.385965	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	327	422	430	808	711	0	0	0	0	2124	0	117	0	744	511	234	151	438	481	222	164	347	309	644	683	260	0	0	147	382	0	164	0	0
P2ry14	197.350877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	395	100	0	302	450	556	423	254	500	557	857	1764	1698	0	0	0	0	0	0	0	0	266	282	0	0	302	386	0	0	162	0	236	293	0	0	0	729	411	0	0	0	0
Mnt	197.315789	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	113	253	220	0	0	279	206	241	554	550	0	0	0	0	1006	0	0	161	1049	1013	218	276	645	736	101	187	446	574	1006	943	0	0	0	0	317	0	0	0	0
Wdr63	197.140351	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	1384	471	411	382	271	346	574	1187	1246	0	0	0	0	533	0	0	0	478	511	115	0	592	533	0	135	246	302	488	482	0	0	0	0	0	0	0	0	0
Hhipl1	197.140351	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	194	285	366	1106	1353	0	0	0	0	169	0	0	123	774	670	160	0	822	1177	177	264	431	408	1307	1056	0	0	0	0	0	0	0	0	0
Sh3bgrl3	196.701754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	254	488	635	1325	1344	0	0	0	0	0	0	0	0	643	514	232	0	725	868	117	164	315	424	1100	1061	179	0	0	0	248	0	114	0	0
Pde4b	196.701754	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	169	163	0	0	0	1049	191	240	178	267	308	403	1393	1485	0	0	0	0	0	0	0	0	303	309	138	0	552	727	0	0	231	108	868	747	71	0	0	591	602	0	0	0	0
Mamstr	196.649123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	559	0	0	0	1260	143	163	121	353	372	837	1919	1922	0	0	0	0	0	0	120	0	293	292	0	0	548	663	0	0	101	166	474	366	0	0	0	0	0	0	0	0	0
Plcb2	196.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	317	99	0	0	351	0	290	294	268	109	655	1692	1335	0	0	0	0	0	0	0	0	164	131	0	0	710	958	0	98	0	154	1382	1414	0	0	0	144	354	0	0	0	0
Nek6	196.526316	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	858	326	140	0	1117	0	936	750	101	0	156	666	606	0	0	0	0	1639	0	0	0	204	117	0	0	380	303	0	0	0	0	473	439	0	0	0	262	420	0	0	0	0
Picalm	196.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	479	0	0	0	570	218	0	310	373	264	634	1845	1871	0	0	0	0	147	0	0	0	494	451	104	0	431	746	0	0	127	148	860	625	0	0	0	0	128	0	0	0	0
Zfp248	196.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	197	232	456	968	580	0	0	0	0	840	0	130	108	717	560	159	121	881	1180	173	112	292	165	1244	994	129	0	0	154	468	0	0	0	0
Map3k8	196.280702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	123	0	0	1964	1573	0	0	171	134	208	432	970	920	0	0	0	0	0	0	0	0	473	441	106	0	534	654	0	0	290	196	802	698	0	0	0	158	208	0	0	0	0
Lpp	196.22807	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	0	0	0	143	102	188	989	1548	0	0	0	0	208	0	0	198	393	0	180	152	1063	1064	0	0	126	317	1299	1069	142	0	0	221	412	0	0	0	0
Arl11	196.192982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	469	373	148	193	348	303	520	890	669	0	0	0	0	0	0	180	121	1415	830	302	237	585	510	0	116	280	462	1105	858	0	0	0	0	0	0	0	0	0
Agpat4	195.789474	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	291	292	0	0	248	484	482	1178	1016	0	0	0	0	702	0	0	87	621	513	203	120	517	731	207	205	173	256	769	782	0	0	0	462	452	0	0	0	0
Stra8	195.684211	0	136	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	878	1010	0	0	0	0	0	0	0	0	484	418	155	209	775	643	128	168	426	396	1048	862	215	0	0	1037	1197	0	188	0	0
Nudt18	195.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	117	148	151	126	252	287	1797	1881	0	0	0	0	338	0	0	102	471	391	115	0	986	932	153	0	277	155	680	832	0	0	0	0	239	0	0	0	0
Soat2	194.947368	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	0	121	185	671	814	0	0	0	0	1856	0	0	142	291	251	0	94	982	1207	153	0	99	118	1428	1273	0	0	0	0	0	0	0	0	0
Tec	194.877193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	156	166	344	1666	1626	0	0	0	0	165	0	0	0	141	195	0	0	747	879	0	0	127	0	1613	1585	0	0	0	405	629	0	0	0	0
Bbs5	194.859649	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	202	482	948	931	0	0	0	0	709	0	0	98	794	616	325	125	881	929	136	133	326	172	1141	977	174	0	0	191	366	0	0	0	0
Slc15a3	194.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	219	0	0	156	914	283	301	197	328	358	542	1650	1602	0	0	0	0	0	0	0	0	363	266	96	0	794	848	0	0	0	91	746	629	96	0	0	116	259	0	0	0	0
Trerf1	194.035088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	534	0	0	107	496	475	215	371	319	367	298	1238	1283	0	0	0	0	361	0	0	0	569	436	0	0	377	544	0	0	254	183	468	497	0	0	0	553	596	0	109	0	0
Tes	193.701754	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	232	118	0	0	0	351	0	0	260	134	138	264	1058	1211	0	0	0	0	275	0	0	0	447	386	155	146	829	659	0	144	267	212	830	922	166	0	0	641	1051	0	0	0	0
Naa80	193.596491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	231	168	330	1543	1421	0	0	0	0	363	0	88	102	622	708	115	0	981	893	97	144	388	296	1260	1060	0	0	0	0	0	0	0	0	0
Hyal3	193.596491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	231	168	330	1543	1421	0	0	0	0	363	0	88	102	622	708	115	0	981	893	97	144	388	296	1260	1060	0	0	0	0	0	0	0	0	0
Hyal1	193.596491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	231	168	330	1543	1421	0	0	0	0	363	0	88	102	622	708	115	0	981	893	97	144	388	296	1260	1060	0	0	0	0	0	0	0	0	0
Slc25a11	193.192982	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	216	163	0	0	0	425	0	0	0	167	159	581	1263	1378	0	0	0	0	694	0	131	155	136	0	0	0	902	881	0	0	179	192	1389	1097	0	0	0	340	451	0	0	0	0
Sema4a	193.192982	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	207	446	1090	1175	0	0	0	0	462	0	0	139	521	471	222	0	1064	969	0	0	315	267	1089	1232	0	0	0	190	350	0	0	0	0
Rnf167	193.192982	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	216	163	0	0	0	425	0	0	0	167	159	581	1263	1378	0	0	0	0	694	0	131	155	136	0	0	0	902	881	0	0	179	192	1389	1097	0	0	0	340	451	0	0	0	0
Nlrp3	193.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	251	0	0	0	1157	344	423	238	289	387	689	1271	1260	0	0	0	0	0	0	0	0	345	232	152	122	619	766	0	0	242	144	1002	839	0	0	0	0	0	0	0	0	0
