Target_genes	Nfia|Average	SRX2663110|3T3-F442A	SRX1879656|Brown_adipose_tissue	SRX1879657|Brown_adipose_tissue	SRX7895558|Cerebellum_neural_progenitors	SRX7895559|Cerebellum_neural_progenitors	SRX7815174|Hippocampus	SRX7815175|Hippocampus	SRX7815176|Hippocampus	SRX7815177|Hippocampus	SRX7815178|Hippocampus	SRX4496824|mESC_derived_glial_cells	SRX4496825|mESC_derived_glial_cells	SRX24715252|Neural_tube	SRX7815179|Olfactory_Bulb	SRX7815180|Olfactory_Bulb	SRX7815181|Olfactory_Bulb	SRX7815182|Olfactory_Bulb	SRX7815183|Olfactory_Bulb	SRX7815184|Olfactory_Bulb	SRX7815185|Olfactory_Bulb	SRX7815186|Olfactory_Bulb	SRX7815187|Olfactory_Bulb	SRX7815188|Olfactory_Bulb	SRX7815189|Olfactory_Bulb	SRX7815190|Olfactory_Bulb	SRX7815191|Olfactory_Bulb	SRX7815192|Olfactory_Bulb	SRX11929789|Retina	SRX11929790|Retina	STRING
Tada1	22.310345	0	0	164	173	196	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sptb	22.310345	0	0	0	139	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mif4gd	22.310345	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	143	0
Cited2	22.310345	0	0	0	129	246	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0
Cdkn1b	22.310345	0	0	148	99	196	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
Abca15	22.310345	0	0	0	140	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0
Lsm4	22.275862	0	0	102	111	187	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl24	22.275862	0	0	146	0	108	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
Trip12	22.241379	0	0	0	0	238	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	117	0
Timp2	22.241379	0	0	0	0	141	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
Fbxo36	22.241379	0	0	0	0	238	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	117	0
Zmpste24	22.206897	0	0	0	0	270	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Troap	22.172414	0	0	0	0	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssrp1	22.172414	0	0	0	153	258	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0
Rbl1	22.172414	0	0	0	184	162	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0
Pthlh	22.172414	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	126	0
Psmd3	22.172414	0	0	0	228	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
P2rx3	22.172414	0	0	0	153	258	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0
Fus	22.172414	0	0	0	0	109	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	110	0
Ccdc126	22.172414	0	0	0	124	295	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
Sppl3	22.137931	0	0	0	142	141	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0
Slc9a1	22.137931	0	0	0	141	228	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0
Slc4a9	22.137931	0	0	0	199	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps20	22.137931	0	0	0	184	129	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0
Ehd1	22.137931	0	0	0	88	150	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
Abi1	22.137931	0	0	0	0	102	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp444	22.103448	0	0	0	79	368	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps7	22.103448	0	0	0	0	149	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gga3	22.103448	0	0	0	0	149	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprm	22.068966	0	0	0	0	240	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	125	0
Opn3	22.068966	0	0	94	66	198	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6e	22.068966	0	0	0	178	330	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fdxacb1	22.068966	0	0	83	82	162	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
Chml	22.068966	0	0	94	66	198	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	22.068966	0	0	83	82	162	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
Zfp384	22.034483	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0
Ifna13	22.034483	370	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frem1	22.034483	0	0	0	272	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd37	22.034483	0	142	217	0	158	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb18	22.0	0	0	0	193	180	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0
Tbc1d17	22.0	0	0	0	137	241	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyou1	22.0	0	0	0	112	239	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akt1s1	22.0	0	0	0	137	241	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp433	21.965517	0	0	0	113	250	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem144	21.965517	0	0	0	297	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa3	21.965517	0	0	0	0	134	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	168	0
Gm32687	21.965517	0	0	0	113	250	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs20	21.931034	0	0	0	113	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0
Pptc7	21.931034	0	0	267	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	85	0
Oga	21.931034	0	0	104	133	222	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk3	21.931034	0	0	0	147	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	175	0
Fbxl22	21.896552	0	0	0	122	218	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0
B3gat1	21.896552	0	0	0	245	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa9	21.862069	0	0	0	172	296	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc62	21.862069	0	0	0	0	123	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap3	21.862069	0	0	0	172	296	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4932438H23Rik	21.862069	0	0	0	78	129	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem126b	21.827586	0	0	210	0	149	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mxd4	21.827586	0	0	132	0	230	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eml1	21.827586	0	0	0	150	220	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
Dmp1	21.827586	286	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brpf1	21.827586	0	0	135	150	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0
Bcap31	21.827586	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	186	0
Arhgef7	21.827586	0	0	0	231	219	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akip1	21.827586	0	0	133	0	173	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
Abcd1	21.827586	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	186	0
Rnf122	21.793103	0	0	230	183	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	21.793103	0	0	0	0	89	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Mtfp1	21.793103	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	105	0
Kiz	21.793103	0	0	0	117	171	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0
Gmppb	21.793103	0	0	0	110	175	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0
Bag6	21.793103	0	0	130	122	157	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0
Apom	21.793103	0	0	130	122	157	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0
Amigo3	21.793103	0	0	0	110	175	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0
Zfpm2	21.758621	0	0	0	100	135	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd1a	21.758621	0	0	0	170	190	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0
Chd8	21.758621	0	0	0	0	269	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0
Akr1b8	21.758621	0	0	0	239	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnpo1	21.724138	0	0	0	252	145	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
Mmadhc	21.724138	0	0	0	134	226	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
Eprs	21.724138	0	0	0	150	306	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clock	21.724138	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	213	0
Catspere2	21.724138	308	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp40	21.689655	0	0	0	120	173	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0
Fancd2os	21.689655	0	0	0	106	117	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam149b	21.689655	0	0	0	126	211	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Ecd	21.689655	0	0	0	126	211	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Cwc22	21.689655	0	0	0	135	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctnnb1	21.689655	0	0	0	115	264	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0
Cog7	21.689655	0	0	0	0	94	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	94	0
Brk1	21.689655	0	0	0	106	117	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx18	21.655172	0	0	0	167	201	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
Zbtb42	21.62069	0	0	0	112	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0
Vps16	21.62069	0	0	0	89	334	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgbd5	21.62069	0	0	0	131	144	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0
Pced1a	21.62069	0	0	0	89	334	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnip3	21.62069	0	0	0	268	217	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akt1	21.62069	0	0	0	112	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0
Actr3	21.62069	0	0	115	278	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp57	21.586207	0	0	0	0	120	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp100	21.586207	0	0	0	215	254	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps6ka5	21.586207	0	0	149	125	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0
Rln3	21.586207	0	0	0	247	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proca1	21.586207	0	0	0	244	281	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkd1	21.586207	0	0	158	109	137	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
Nktr	21.586207	0	0	0	0	96	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il27ra	21.586207	0	0	0	247	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr3	21.586207	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0
Dok5	21.586207	0	0	0	0	78	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
S100a13	21.551724	0	0	0	0	156	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0
S100a1	21.551724	0	0	0	0	156	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0
Rex1bd	21.551724	0	80	152	134	157	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprc5b	21.551724	0	0	0	0	108	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	104	0
Chtop	21.551724	0	0	0	0	156	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0
Nenf	21.517241	0	0	0	0	96	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0
Chrac1	21.517241	0	0	0	106	199	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0
Tspan4	21.482759	0	0	0	84	126	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr2l	21.482759	0	0	0	84	126	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slain2	21.448276	0	0	100	112	223	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp428	21.413793	0	0	0	106	234	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0
Rhot1	21.413793	0	0	88	229	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il6st	21.413793	0	0	169	0	120	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0
Ankrd39	21.413793	0	0	0	0	97	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	152	0
Ahcyl1	21.413793	0	0	99	85	192	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
Mterf1a	21.37931	0	0	0	105	187	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0
Tmem184a	21.344828	340	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nnt	21.344828	0	0	0	221	86	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0
Slc7a8	21.310345	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	198	0
Klf7	21.310345	0	0	0	125	203	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0
Fgfrl1	21.310345	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdiptos	21.310345	0	0	0	322	200	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdipt	21.310345	0	0	0	322	200	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7l2	21.310345	0	0	0	225	187	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
Asrgl1	21.310345	0	0	0	309	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tst	21.275862	0	0	0	119	130	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0
Stra6	21.275862	0	0	0	262	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a6	21.275862	0	0	0	130	236	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxxc1	21.275862	0	0	0	135	177	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agbl5	21.275862	0	0	0	0	144	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0
Smarca5	21.241379	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncdn	21.241379	0	0	0	185	188	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0
Arvcf	21.241379	0	0	0	0	141	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0
AU040320	21.241379	0	0	0	185	188	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0
Tmem242	21.206897	0	0	0	197	207	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata25	21.206897	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0
Rbm15	21.206897	0	0	0	98	131	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pskh1	21.206897	0	0	87	142	202	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micu3	21.206897	0	0	0	0	65	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hpf1	21.206897	0	0	127	152	238	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suclg1	21.172414	0	0	0	108	278	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinf2	21.172414	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	105	0
Insr	21.172414	0	0	0	193	268	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5148	21.172414	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0
Eef1a1	21.172414	0	0	0	236	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0
Bbs10	21.172414	0	0	100	111	193	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map2k2	21.137931	0	0	0	0	113	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5a	21.137931	0	0	0	132	211	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata6	21.103448	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	186	0
Slc38a10	21.103448	0	66	298	0	114	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gga1	21.103448	0	0	0	0	162	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0
Zfp868	21.068966	0	0	108	95	175	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdfy2	21.068966	0	0	0	178	291	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf13	21.068966	0	0	102	0	135	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0
Rasa1	21.068966	0	0	90	130	187	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0
Pten	21.068966	0	0	80	103	290	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgs1	21.068966	0	0	0	132	278	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzd8	21.068966	0	0	0	114	246	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0
Fam124a	21.068966	0	0	0	73	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	148	0
Zfp580	21.034483	0	0	0	93	180	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0
Vta1	21.034483	0	0	0	103	233	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0
Gpbp1	21.034483	0	0	0	94	107	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx18	21.034483	0	0	0	128	310	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnt2	21.034483	0	0	173	90	194	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc106	21.034483	0	0	0	93	180	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0
Mei4	21.0	0	0	0	0	139	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	111	0
Hexim1	21.0	0	0	131	118	105	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
Kitl	20.931034	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0
Zfp622	20.896552	0	0	134	157	186	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3hypdh	20.896552	0	0	0	0	225	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
Jkamp	20.896552	0	0	0	0	225	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
Dnajb9	20.896552	0	0	156	147	175	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx24	20.896552	0	0	105	124	219	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znfx1	20.862069	0	0	0	154	278	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulp4	20.862069	0	0	0	116	141	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0
Sec61a1	20.862069	0	0	108	93	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0
Rnaseh2c	20.862069	292	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad54l2	20.862069	0	0	0	113	276	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
Kpnb1	20.862069	0	0	0	204	168	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf1	20.862069	0	0	82	163	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0
