Target_genes	Irf1|Average	SRX15048388|AT-3	SRX15048389|AT-3	SRX15048390|AT-3	SRX15048394|AT-3	SRX2522392|AT-3	SRX2522393|AT-3	SRX2522394|AT-3	SRX2522395|AT-3	SRX122406|Dendritic_Cells	SRX122407|Dendritic_Cells	SRX122408|Dendritic_Cells	SRX122409|Dendritic_Cells	SRX1583883|Macrophages	SRX1583884|Macrophages	SRX1583885|Macrophages	SRX2417354|Macrophages	SRX2417355|Macrophages	SRX2417356|Macrophages	SRX2991442|Macrophages	SRX2991443|Macrophages	SRX2991444|Macrophages	SRX2991445|Macrophages	SRX805965|Macrophages	SRX805966|Macrophages	SRX805967|Macrophages	SRX7270469|NMuMG	SRX7270470|NMuMG	SRX7270471|NMuMG	SRX7270472|NMuMG	SRX885792|Small_intestine	SRX885793|Small_intestine	SRX885798|Small_intestine	SRX885799|Small_intestine	STRING
Bcl2a1b	53.121212	0	0	0	0	0	0	0	0	0	393	0	214	0	0	0	0	0	0	0	0	0	0	0	717	429	0	0	0	0	0	0	0	0	0
Esrra	53.030303	125	0	0	93	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	784	512	0	0	0	0	0
Catsperz	53.030303	125	0	0	93	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	784	512	0	0	0	0	0
Nkx3-2	53.0	101	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	98	0	0	222	247	0	478	410	0	0	0	0	0	0	0	0	0
Mapk1ip1l	52.787879	105	130	169	92	0	0	0	0	0	67	0	0	0	0	253	0	0	146	0	0	0	0	0	349	431	0	0	0	0	0	0	0	0	0
Snap25	52.727273	0	0	0	0	0	0	358	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	191	0	0	439	192	0	0	0	0	0
Banp	52.727273	100	0	0	0	0	0	0	0	0	0	0	0	170	375	0	0	0	0	0	0	0	0	0	0	0	191	0	599	305	0	0	0	0	0
Ren2	52.666667	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	825	799	0	0	0	0	0	0	0	0	0
Ren1	52.666667	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	825	799	0	0	0	0	0	0	0	0	0
Nfix	52.484848	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	201	515	178	0	0	0	0	0	244	219	0	0	0	0	0
Rfx1	52.393939	0	117	0	120	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	525	714	0	0	0	0	0	0	0	0	0
Selenot	52.242424	100	111	0	168	0	0	0	0	0	0	0	0	0	0	204	0	0	115	0	0	0	0	205	386	435	0	0	0	0	0	0	0	0	0
Jag1	52.242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	172	154	0	0	111	164	0	290	323	0	0	0	0	0	0	0	0	0
Rfc3	52.212121	0	0	72	72	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	758	639	0	0	0	0	0	0	0	0	0
Ttc3	52.181818	122	398	299	203	333	119	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigp	52.181818	122	398	299	203	333	119	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermp1	52.181818	88	109	108	148	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	105	0	0	151	159	0	0	252	349	0	0	0	0	0
Dll1	52.151515	0	0	86	0	0	0	0	0	0	0	0	0	0	0	404	0	173	151	0	0	120	0	0	268	519	0	0	0	0	0	0	0	0	0
Apol7e	52.151515	0	0	0	0	0	0	435	261	0	0	0	0	0	0	194	0	0	134	0	0	0	0	0	482	215	0	0	0	0	0	0	0	0	0
Rnf180	52.060606	0	0	0	127	0	0	0	0	0	0	0	0	0	0	204	0	206	153	107	0	183	101	0	329	308	0	0	0	0	0	0	0	0	0
Foxc1	52.060606	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	119	138	0	0	123	0	131	581	480	0	0	0	0	0	0	0	0	0
Mmaa	51.878788	297	156	308	284	237	110	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0
Nfkbie	51.848485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	168	0	0	129	243	0	0	633	344	0	0	0	0	0	0	0	0	0
Cdkn2a	51.848485	177	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	104	133	140	232	237	223	0	148	136	0	0	0	0	0	0	0	0	0
Tcp10c	51.757576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	229	599	511	0	0	0	0	0	0	0	0	0
Gramd1c	51.727273	115	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	199	189	181	0	183	118	0	129	242	0	0	0	0	0	0	0	0	0
Sharpin	51.69697	0	0	0	0	0	0	0	0	0	121	0	0	0	0	164	0	153	215	0	0	93	87	0	223	267	0	0	383	0	0	0	0	0	0
Maf1	51.69697	0	0	0	0	0	0	0	0	0	121	0	0	0	0	164	0	153	215	0	0	93	87	0	223	267	0	0	383	0	0	0	0	0	0
Gm35339	51.69697	0	0	0	0	0	0	0	0	0	121	0	0	0	0	164	0	153	215	0	0	93	87	0	223	267	0	0	383	0	0	0	0	0	0
Zc3h12d	51.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	197	169	0	0	0	0	0	442	483	0	0	0	0	0	0	0	0	0
Atxn7l3	51.636364	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	112	186	132	288	454	232	0	0	0	0	0	150	0	0	0	0	0	0
Itgb1	51.606061	130	0	96	113	0	0	0	0	0	0	0	119	0	0	140	0	108	0	0	0	179	107	0	407	304	0	0	0	0	0	0	0	0	0
Htra4	51.606061	128	84	103	72	0	0	0	0	0	102	0	0	0	0	0	0	0	114	0	0	0	0	0	650	450	0	0	0	0	0	0	0	0	0
M6pr	51.575758	0	140	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	170	0	0	685	567	0	0	0	0	0	0	0	0	0
Top3a	51.454545	0	147	0	81	0	0	77	0	0	0	0	0	0	0	348	0	244	303	0	0	0	95	0	165	238	0	0	0	0	0	0	0	0	0
Smcr8	51.454545	0	147	0	81	0	0	77	0	0	0	0	0	0	0	348	0	244	303	0	0	0	95	0	165	238	0	0	0	0	0	0	0	0	0
Pomgnt1	51.424242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	247	310	0	0	136	158	0	308	295	0	0	0	0	0	0	0	0	0
Naaa	51.424242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	269	133	0	0	99	136	0	441	338	0	0	0	0	0	0	0	0	0
Cdk12	51.393939	139	156	120	142	0	0	0	0	0	0	0	0	0	0	204	0	147	0	0	0	107	120	0	133	140	0	0	166	122	0	0	0	0	0
Hoxa13	51.363636	0	0	0	171	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	619	642	0	0	0	0	0	0	0	0	0
Tmod3	50.818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	109	0	0	78	161	0	604	540	0	0	0	0	0	0	0	0	0
Mycbp	50.727273	164	109	151	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	470	0	0	0	0	0	0	0	0	0
Tfam	50.69697	0	0	116	77	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	717	650	0	0	0	0	0	0	0	0	0
Necap1	50.69697	0	0	89	0	0	0	0	0	0	0	0	0	134	200	243	0	0	0	0	0	131	137	155	262	322	0	0	0	0	0	0	0	0	0
Dync1h1	50.69697	0	108	90	155	0	0	0	0	0	0	0	0	0	0	140	0	0	122	116	0	174	164	0	292	312	0	0	0	0	0	0	0	0	0
Rtn4	50.666667	112	156	79	147	0	0	0	156	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	502	326	0	0	0	0	0	0	0	0	0
Ms4a4b	50.606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	255	211	309	354	384	0	0	0	0	0	0	0	0	0
Hopx	50.363636	87	0	81	109	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	484	221	0	0	0	0	159	0	0	0	0
Was	50.242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	190	0	190	521	534	0	0	0	0	0	0	0	0	0
Kdm3a	50.242424	118	796	235	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0
B230307C23Rik	50.242424	0	0	0	0	0	0	0	0	0	83	0	0	0	0	253	0	0	107	0	0	0	129	0	517	569	0	0	0	0	0	0	0	0	0
Rbm15b	50.151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	229	0	0	0	238	151	0	261	326	0	0	0	0	0	0	0	0	0
Manf	50.151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	229	0	0	0	238	151	0	261	326	0	0	0	0	0	0	0	0	0
Bcl2a1a	50.121212	0	0	0	0	0	0	0	0	0	370	0	198	0	0	0	0	0	0	0	0	0	0	0	689	397	0	0	0	0	0	0	0	0	0
Irf9	49.969697	0	0	0	0	0	0	0	0	0	153	0	0	0	0	114	0	103	136	109	0	196	132	0	335	371	0	0	0	0	0	0	0	0	0
Ltbp1	49.909091	78	105	0	59	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	585	652	0	0	0	0	0	0	0	0	0
Actl6a	49.878788	115	469	178	325	229	105	128	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly75	49.818182	100	105	78	91	0	0	191	153	0	201	0	0	0	0	204	0	0	0	0	0	0	0	0	276	245	0	0	0	0	0	0	0	0	0
Cycs	49.818182	132	524	127	590	130	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parn	49.727273	0	0	104	0	0	0	0	0	0	0	0	0	0	0	165	0	172	189	0	0	120	113	0	319	336	0	0	0	123	0	0	0	0	0
Bfar	49.727273	0	0	104	0	0	0	0	0	0	0	0	0	0	0	165	0	172	189	0	0	120	113	0	319	336	0	0	0	123	0	0	0	0	0
H4c14	49.666667	0	117	0	121	0	0	0	0	0	104	0	0	0	0	140	0	130	97	119	0	0	0	0	440	371	0	0	0	0	0	0	0	0	0
Agmo	49.606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	79	124	193	188	107	302	274	0	0	0	0	0	0	0	0	0
Pi4k2a	49.575758	158	111	120	88	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	292	363	0	0	0	210	0	0	0	0	0
Lrch3	49.545455	100	101	94	164	0	0	0	0	0	0	0	0	0	0	213	0	127	0	0	0	0	0	0	505	331	0	0	0	0	0	0	0	0	0
Bcl11a	49.515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	125	0	0	0	182	0	0	211	232	0	0	0	0	389	347	0	0	0
Elavl2	49.454545	105	528	188	347	303	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab14	49.333333	122	86	151	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	352	0	0	284	292	0	0	0	0	0
Tmem161b	49.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	150	136	0	609	489	0	0	0	0	0	0	0	0	0
Lrig2	49.30303	107	109	127	214	0	0	0	0	0	0	0	0	0	0	0	0	156	157	198	0	207	0	0	133	219	0	0	0	0	0	0	0	0	0
Muc3	49.212121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	708	0	0	0	0	302	0	0	0	0
Nucks1	49.151515	89	413	0	336	317	183	160	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtbp	49.151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	249	168	0	0	0	0	0	434	302	0	0	0	0	0	0	0	0	0
Mrpl13	49.151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	249	168	0	0	0	0	0	434	302	0	0	0	0	0	0	0	0	0
Raver1	49.090909	0	0	0	0	0	0	165	0	87	174	78	132	0	0	185	0	0	135	0	0	0	104	0	190	370	0	0	0	0	0	0	0	0	0
Dmbx1	49.060606	146	0	0	0	0	0	0	0	0	177	0	0	0	0	253	0	315	94	0	0	0	0	0	395	239	0	0	0	0	0	0	0	0	0
Zfp1	49.030303	93	125	201	90	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	393	443	0	0	0	0	0	0	0	0	0
Tyw5	48.969697	105	197	107	323	0	0	0	0	0	0	0	0	117	163	131	0	126	119	0	0	0	0	0	0	123	0	0	105	0	0	0	0	0	0
Maip1	48.969697	105	197	107	323	0	0	0	0	0	0	0	0	117	163	131	0	126	119	0	0	0	0	0	0	123	0	0	105	0	0	0	0	0	0
P2ry13	48.848485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	111	0	148	142	0	531	523	0	0	0	0	0	0	0	0	0
Ms4a6c	48.787879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	168	209	500	576	0	0	0	0	0	0	0	0	0
Ikbkb	48.757576	105	0	0	118	0	0	0	0	0	0	0	0	0	0	380	0	123	0	0	0	0	0	0	442	441	0	0	0	0	0	0	0	0	0
Taf1d	48.727273	141	141	0	143	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	513	580	0	0	0	0	0	0	0	0	0
4931406C07Rik	48.727273	141	141	0	143	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	513	580	0	0	0	0	0	0	0	0	0
H3c13	48.575758	134	112	91	118	0	0	0	0	0	104	0	0	0	0	114	0	0	0	119	0	0	0	0	440	371	0	0	0	0	0	0	0	0	0
Surf2	48.515152	0	0	0	0	0	0	0	0	142	312	407	194	0	0	0	108	242	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Surf1	48.515152	0	0	0	0	0	0	0	0	142	312	407	194	0	0	0	108	242	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opa1	48.393939	0	222	0	121	0	0	0	0	0	0	0	0	228	490	404	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krcc1	48.393939	0	138	102	120	0	0	0	0	0	0	0	0	0	0	0	161	206	127	0	0	0	0	0	440	303	0	0	0	0	0	0	0	0	0
Slc25a36	48.363636	134	93	80	83	258	483	216	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map2k1	48.333333	88	0	0	0	0	0	0	0	0	133	0	0	0	0	341	0	101	99	0	0	143	0	0	260	202	0	0	0	228	0	0	0	0	0
Capza2	48.333333	0	145	97	104	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	142	109	176	324	322	0	0	0	0	0	0	0	0	0
Acp6	48.272727	114	0	0	76	541	180	357	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzf1	48.181818	114	84	0	134	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	147	0	0	410	404	0	0	0	0	0	0	0	0	0
Evl	48.181818	0	0	0	86	0	0	0	0	0	0	0	0	0	0	245	0	0	135	0	0	227	153	0	319	425	0	0	0	0	0	0	0	0	0
Ppm1k	48.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	149	123	0	0	0	0	0	325	333	0	0	180	252	0	0	0	0	0
Evi2b	48.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	207	132	0	0	176	0	0	437	323	0	0	0	0	0	0	0	0	0
Rabif	47.909091	110	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	139	115	0	0	0	0	0	573	491	0	0	0	0	0	0	0	0	0
Celf4	47.878788	142	0	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778	420	0	0	0	0	0
Olfr1449	47.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	145	167	84	0	163	153	0	321	159	0	0	0	0	0	0	0	0	0
Ddi2	47.666667	111	78	130	102	0	0	0	0	0	0	0	0	0	0	359	0	170	0	163	0	0	0	0	224	236	0	0	0	0	0	0	0	0	0
Ifna14	47.575758	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	143	0	0	0	0	0	0	917	332	0	0	0	0	0	0	0	0	0
Il21r	47.515152	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	156	0	0	0	282	119	0	656	240	0	0	0	0	0	0	0	0	0
Ampd3	47.515152	116	92	101	87	0	0	0	0	0	0	0	0	0	0	253	0	124	0	0	0	0	0	0	475	320	0	0	0	0	0	0	0	0	0
Dhcr7	47.393939	0	204	0	216	319	0	250	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	181	0	0	0	0	0	0	0	0	0
Dync1i2	47.363636	115	91	126	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	212	204	0	0	284	247	0	0	0	0	0
Jmjd1c	47.272727	105	114	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	115	156	463	336	0	0	0	0	0	0	0	0	0
Eif1ad	47.272727	107	156	110	172	0	0	0	0	0	0	0	0	134	154	213	0	179	0	0	0	0	0	181	0	154	0	0	0	0	0	0	0	0	0
Banf1	47.272727	107	156	110	172	0	0	0	0	0	0	0	0	134	154	213	0	179	0	0	0	0	0	181	0	154	0	0	0	0	0	0	0	0	0
Olfr1234	47.212121	0	0	0	0	356	561	287	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp2	47.181818	0	0	0	156	0	0	0	0	0	0	0	0	0	0	233	0	0	222	0	0	0	0	0	471	475	0	0	0	0	0	0	0	0	0
Abca8b	47.151515	0	206	0	207	0	0	0	0	0	105	0	0	0	0	148	0	122	139	0	0	0	0	0	343	286	0	0	0	0	0	0	0	0	0
Smbd1	47.030303	0	0	0	0	0	0	0	0	0	136	0	0	0	0	194	0	0	0	156	134	155	236	0	403	138	0	0	0	0	0	0	0	0	0
Slc25a25	47.0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	158	170	0	0	213	0	0	212	341	0	0	0	0	0	0	0	0	0
Naif1	47.0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	158	170	0	0	213	0	0	212	341	0	0	0	0	0	0	0	0	0
Itpripl2	46.939394	104	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	92	0	0	506	643	0	0	0	0	0	0	0	0	0
BC107364	46.939394	0	281	0	223	332	160	220	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd2	46.909091	0	100	0	98	0	0	0	0	0	85	0	0	0	0	170	0	128	148	0	0	0	0	0	343	476	0	0	0	0	0	0	0	0	0
Lcorl	46.818182	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	362	397	265	0	0	0
Kif12	46.818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	1166	0	111	0	0	0	0
Eps8	46.787879	105	124	0	0	0	0	0	0	0	0	0	0	0	0	185	0	116	0	0	0	0	0	133	387	494	0	0	0	0	0	0	0	0	0
Cmas	46.757576	124	0	191	0	0	0	0	0	0	0	0	0	0	0	461	0	0	179	0	0	127	0	0	276	185	0	0	0	0	0	0	0	0	0
Zmym6	46.727273	103	529	150	543	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dph5	46.727273	0	0	0	156	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	499	407	0	0	0	295	0	0	0	0	0
AB010352	46.69697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	89	0	138	117	0	385	559	0	0	0	0	0	0	0	0	0
Serinc3	46.575758	131	0	150	0	0	0	0	0	0	0	0	0	0	0	188	0	179	0	0	0	153	0	0	454	282	0	0	0	0	0	0	0	0	0
Cic	46.575758	0	502	0	187	550	132	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ywhaz	46.545455	0	165	101	165	104	0	0	0	0	0	0	0	0	0	140	0	104	148	0	0	216	105	0	148	140	0	0	0	0	0	0	0	0	0
Coa4	46.515152	200	0	0	96	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	123	189	0	350	344	0	0	0	0	0	0	0	0	0
Tet1	46.484848	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	478	0	0	0	0	0	0	0	0	0
Chd1	46.484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	180	171	0	0	223	161	0	272	253	0	0	0	0	0	0	0	0	0
Olfr1426	46.454545	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1365	0	0	0	0	0	0	0	0	0	0
Gabarapl1	46.363636	87	0	0	0	0	0	0	0	183	160	332	335	0	0	0	119	0	115	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0
Tnpo2	46.30303	110	0	97	149	0	0	0	0	0	0	0	0	0	0	316	0	151	121	0	127	188	105	0	164	0	0	0	0	0	0	0	0	0	0
Aoah	46.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	150	0	0	0	151	78	0	383	492	0	0	0	0	0	0	0	0	0
Echdc3	46.272727	123	123	0	173	430	97	402	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uba6	46.242424	111	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	587	669	0	0	0	0	0	0	0	0	0
Med13	46.242424	144	146	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	474	0	0	0	0	0	0	0	0	0
Fuz	46.151515	0	0	71	0	0	0	0	0	0	0	147	0	0	0	0	434	387	316	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0
Asxl2	46.151515	86	0	189	152	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	347	627	0	0	0	0	0	0	0	0	0
Plxnc1	46.090909	0	0	85	0	0	0	0	0	0	0	0	0	0	0	294	0	0	174	113	77	591	187	0	0	0	0	0	0	0	0	0	0	0	0
Itpr1	45.969697	0	62	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	562	588	0	0	0	0	0	0	0	0	0
Tspo	45.939394	0	68	0	0	0	0	0	0	0	0	0	0	0	0	406	0	314	0	0	0	131	93	0	308	196	0	0	0	0	0	0	0	0	0
Abcb10	45.939394	128	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915	332	0	0	0	0	0	0	0	0	0
Trap1	45.878788	103	90	89	128	0	0	0	0	0	94	0	0	0	0	144	0	0	0	0	0	115	0	0	464	287	0	0	0	0	0	0	0	0	0
Erlin1	45.848485	129	0	182	144	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	130	0	0	193	502	0	0	0	0	0	0	0	0	0
Apol7a	45.848485	0	0	0	0	0	0	371	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	524	128	0	0	0	0
Trim40	45.818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	345	347	665	0	0	0	0	0
Zfp654	45.757576	68	0	98	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	172	437	461	0	0	0	0	0	0	0	0	0
Cggbp1	45.757576	68	0	98	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	172	437	461	0	0	0	0	0	0	0	0	0
Art2b	45.757576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	174	0	0	489	594	0	0	0	0	0	0	0	0	0
Vmn1r2	45.727273	369	264	281	200	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0
Pigk	45.636364	0	0	118	0	0	0	0	0	0	168	0	0	0	0	0	0	208	159	0	148	223	82	0	197	203	0	0	0	0	0	0	0	0	0
Eif2s1	45.636364	0	103	0	131	0	0	0	0	0	109	0	0	0	0	0	0	91	170	0	0	0	0	0	534	368	0	0	0	0	0	0	0	0	0
Atp6v1d	45.636364	0	103	0	131	0	0	0	0	0	109	0	0	0	0	0	0	91	170	0	0	0	0	0	534	368	0	0	0	0	0	0	0	0	0
Aar2	45.636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	0	201	110	0	0	176	0	0	0	358	0	0	0	0	0	0	0	0	0
Ndst1	45.424242	0	81	0	0	0	0	0	0	0	0	0	0	0	103	213	0	0	113	0	0	200	121	0	371	297	0	0	0	0	0	0	0	0	0
H4c2	45.424242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	101	134	225	154	0	205	291	0	0	0	132	0	0	0	0	0
Fam227b	45.424242	79	165	118	253	0	0	0	0	0	0	0	0	0	0	0	0	135	93	0	0	189	123	0	137	207	0	0	0	0	0	0	0	0	0
Dtwd1	45.424242	79	165	118	253	0	0	0	0	0	0	0	0	0	0	0	0	135	93	0	0	189	123	0	137	207	0	0	0	0	0	0	0	0	0
Cdk16	45.424242	0	0	0	0	0	0	0	0	158	241	421	452	0	0	0	0	124	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42517	45.272727	136	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	517	585	0	0	0	0	0	0	0	0	0
Cep152	45.272727	0	315	0	235	302	179	179	107	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemp1	45.060606	132	0	145	144	0	0	0	0	0	149	0	0	0	0	0	0	0	101	0	0	0	0	0	409	407	0	0	0	0	0	0	0	0	0
Cracr2b	45.060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	860	0	0	0	0	0	0	0	0	0
Slc35b4	45.030303	155	116	107	95	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	429	331	0	0	0	0	0	0	0	0	0
Ier2	45.030303	0	498	0	334	417	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm3	45.0	97	360	115	343	231	86	166	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sco1	44.969697	135	128	107	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	686	0	0	0	0	0	0	0	0	0
Adprm	44.969697	135	128	107	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	686	0	0	0	0	0	0	0	0	0
Gvin1	44.878788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	119	0	123	163	236	290	289	0	0	0	0	0	0	0	0	0
