Target_genes	Setdb1|Average	SRX1287761|3T3-L1	SRX1287762|3T3-L1	SRX1287769|3T3-L1	SRX1287777|3T3-L1	SRX1287778|3T3-L1	SRX1287779|3T3-L1	SRX1287780|3T3-L1	SRX1287781|3T3-L1	SRX862739|C2C12	SRX862740|C2C12	SRX862741|C2C12	SRX1287754|C3H/10T1/2	SRX014420|ES_cells	SRX014421|ES_cells	SRX014422|ES_cells	SRX014433|ES_cells	SRX10559946|ES_cells	SRX10559947|ES_cells	SRX1287748|ES_cells	SRX5088232|ES_cells	SRX5088238|ES_cells	SRX5088240|ES_cells	SRX5347749|ES_cells	SRX5347751|ES_cells	SRX8701150|ES_cells	SRX8701151|ES_cells	SRX8722038|ES_cells	SRX8722039|ES_cells	SRX2228738|Hepa_1-6	SRX897398|MEF	SRX897399|MEF	SRX897400|MEF	SRX897401|MEF	SRX897402|MEF	SRX897403|MEF	SRX897404|MEF	SRX897405|MEF	SRX1563803|Pro-B_cells	SRX1563804|Pro-B_cells	SRX10987310|YUMMER1.7	SRX10987311|YUMMER1.7	SRX10987323|YUMMER1.7	SRX10987324|YUMMER1.7	STRING
Bad	28.302326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	624	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex14	28.27907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	321	0	0	123	0	224	0
Zranb1	28.255814	0	0	0	0	0	0	0	0	0	0	0	0	167	239	160	121	0	0	0	0	0	0	231	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	111	0	0
Ces1g	28.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	256	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	100	136	221	179	0
Tfdp2	28.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	215	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	121	300	138	0	0
Zscan5b	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	303	283	157	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ublcp1	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	195	0	116	0	0	0	0	0	0	0	0	0	0	0	0	210	0	200	0	227	0
Slc25a25	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	354	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	179	155	0
Olfr113	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	504	240	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr112	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	504	240	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naif1	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	354	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	179	155	0
Mycbp2	28.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	171	0	167	0	0	0	0	0	0	0	0	0	0	0	0	105	106	165	86	121	0
Tcta	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	103	0	153	171	145	0
Sp6	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	336	325	0	161	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
Rhoa	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	103	0	153	171	145	0
H4c8	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	301	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	157	157	0
H3c8	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	301	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	157	157	0
H2ac10	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	301	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	157	157	0
Fam204a	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	373	260	243	0
Brdt	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	356	140	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	162	0
4930467E23Rik	28.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	138	263	409	0
Taf7l2	28.139535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	131	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	114	156	228	187	0
Ltbp2	28.139535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	365	369	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jmjd1c	28.116279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	382	115	338	291	0	0
Gorasp2	28.069767	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	184	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	233	148	128	0	0
Fam135a	28.069767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	296	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	92	297	182	0	0
Sdhaf2	28.023256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	135	228	257	196	0
Raph1	28.023256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	94	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	173	195	0	0
Cpsf7	28.023256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	135	228	257	196	0
Shcbp1l	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	236	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	131	123	0
Cdk5rap2	28.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	344	0	0	0	0	0	0	0	0	0	0	0	0	0	130	205	135	0	0	121	0
Tbccd1	27.953488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	184	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	193	187	0
Slc44a5	27.953488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	343	292	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
Dnajb11	27.953488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	184	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	193	187	0
Ttc9b	27.883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	481	247	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
Pi4k2a	27.883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	83	255	197	260	0
Morn4	27.883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	83	255	197	260	0
Thumpd1	27.860465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	113	0	139	0	0	0	0	0	0	0	0	0	0	0	0	134	160	0	94	218	0
Tusc1	27.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	215	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	134	226	167	95	0
Pfn4	27.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	328	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	210	0
Gm11100	27.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	269	278	127	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm4a	27.813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	447	103	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brpf1	27.813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	281	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	123	125	0
Nbea	27.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	178	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	147	188	163	121	0
Lipm	27.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	173	260	370	0
Eps15	27.767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	227	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	227	169	121	0
Rpl10l	27.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	263	142	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0
Gpat2	27.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	401	267	205	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2c	27.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	148	203	210	0
Trnt1	27.72093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	310	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pisd	27.72093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	0	0	0	108	0
Ntrk2	27.72093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	306	111	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	104	0
Pi4k2b	27.697674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	135	191	187	128	0
Pcmt1	27.674419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	105	165	255	210	0
Zbtb2	27.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	108	196	148	108	0
Pemt	27.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0	179	0
Olfr609	27.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	309	347	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0
Vmn2r20	27.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	342	315	116	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rptor	27.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	284	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	228	0	0
Armc8	27.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	266	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	167	171	0
Wfdc16	27.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	285	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
Cox5b	27.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	153	0	125	0	0	0	0	0	0	0	0	0	0	0	0	92	0	69	0	117	0
Pilrb1	27.511628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	425	152	173	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr17	27.44186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	265	157	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	157	0
Elovl4	27.44186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	156	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	69	218	138	235	0
Pbk	27.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	251	161	165	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx33	27.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	165	422	0	173	157	114	0
A4galt	27.418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	317	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	77	0
H4f16	27.395349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	285	389	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0
Atl3	27.395349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	147	0	0	0	0	0	0	0	0	0	0	0	216	0	0	157	173	280	0
Ubxn4	27.372093	0	0	0	0	0	0	0	0	0	0	0	0	81	141	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	349	0	86	86	179	0
Trmo	27.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	468	0	378	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0
Smim10l1	27.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	238	127	262	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0
Fbxw8	27.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	229	0	205	0	0	0	0	0	0	0	0	0	0	0	0	173	105	205	108	0	0
Atp1b1	27.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	156	342	71	117	113	184	0
Pus7l	27.325581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	317	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
Lifr	27.325581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	198	229	0	0
Irak4	27.325581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	317	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
Iqgap2	27.325581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	165	260	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	77	104	0
Hps5	27.302326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	262	167	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	114	0
Gtf2h1	27.302326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	262	167	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	114	0
Ier5	27.27907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	229	163	174	0
Emp3	27.255814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	261	0	289	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Chordc1	27.255814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	108	0
Ccdc114	27.255814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	261	0	289	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Tm9sf3	27.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	232	356	247	175	0
Slc24a3	27.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	223	228	304	0
Gm14151	27.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	454	188	114	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
Gm14147	27.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	454	188	114	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
Atg16l1	27.232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	108	177	0	0
Sgpp1	27.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	221	89	0	175	0	0	0	0	0	0	0	0	0	0	0	136	0	0	200	129	135	0
Rgl2	27.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	251	0	198	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	0	0
Mei4	27.209302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	219	190	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	100	0	171	0
Insm2	27.186047	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	83	124	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	140	155	125	198	0
Dtnbp1	27.186047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	248	111	130	0
0610040J01Rik	27.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	256	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	110	135	0
Cenpw	27.093023	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	267	240	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	86	195	0
Arhgap29	27.093023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	118	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	128	219	267	108	0
Zfp786	27.069767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	177	0	0
Nelfa	27.069767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	245	0	0	0	0	0	0	0	0	0	0	0	144	0	177	116	199	104	0
Cd47	27.069767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	113	254	145	171	0
Aanat	27.046512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	311	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irak2	27.023256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	343	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
Usp3	27.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	159	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	74	227	238	149	0
Erlin1	27.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	303	174	312	0
Acbd6	26.976744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	165	187	149	0
Acot7	26.930233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	0	165	105	113	0
Ube3c	26.906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	101	0	148	0	157	0
Nuf2	26.860465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	215	0	0	0	0	0	0	0	0	0	0	0	0	0	131	484	0	131	0	0	0
Tnpo3	26.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	110	0	138	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	149	0
H4c6	26.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	147	0	0	0	0	174	0	0	0	0	0	0	0	0	233	0	0	0	111	218	0
H1f3	26.790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	147	0	0	0	0	174	0	0	0	0	0	0	0	0	233	0	0	0	111	218	0
Slc25a28	26.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	169	311	226	147	0
Olfr54	26.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	236	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	117	182	216	159	0
Eipr1	26.72093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	121	806	0	0	0	83	0
Unkl	26.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	187	0	279	0	0	0	0	0	0	0	0	0	0	0	0	85	72	126	0	140	0
Olfr126	26.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	222	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	99	109	157	195	0
H2bc13	26.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	132	0	163	0	184	269	0
H2ac13	26.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	132	0	163	0	184	269	0
BC003965	26.651163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	187	0	279	0	0	0	0	0	0	0	0	0	0	0	0	85	72	126	0	140	0
Fam3b	26.627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	367	271	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0
Spata5l1	26.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	73	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	118	273	209	197	0
Nrg1	26.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	197	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	132	200	148	171	0
Traf3	26.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	57	0
Rnf216	26.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	133	0	0	0	0	0	0	0	0	0	0	0	0	0	118	102	104	162	164	128	0
Hivep2	26.581395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	539	0	0	0	114	0
4931428F04Rik	26.534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	71	0	0	0	252	175	0	153	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
Keap1	26.511628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	237	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	95	0	0
Gm5796	26.511628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	323	302	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
Tut1	26.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	106	0	0	0	0	0	0	0	0	0	0	0	0	0	231	478	0	0	104	75	0
Rex2	26.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	146	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	171	343	0
Lpgat1	26.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	140	178	73	165	0	0	0	0	0	0	0	0	0	0	0	0	0	83	137	148	128	0
Tns2	26.465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	372	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0
Hs6st3	26.465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	192	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	110	199	134	127	0
Slc1a4	26.44186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	248	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	87	141	0
