Target_genes	Gata6|Average	SRX20580007|Brown_adipose_tissue	SRX16736232|Embryoid_Bodies	SRX16736233|Embryoid_Bodies	SRX6755626|ES_cells	SRX6755627|ES_cells	SRX6755635|ES_cells	SRX6755636|ES_cells	SRX738315|Keratinocytes	SRX738316|Keratinocytes	SRX5198497|Lung	SRX5198498|Lung	SRX547826|MEF	SRX547827|MEF	SRX1041624|XEN_cells	SRX1041626|XEN_cells	SRX16736236|XEN_cells	SRX16736237|XEN_cells	STRING
Mosmo	35.117647	0	0	0	0	0	0	0	0	196	0	0	224	177	0	0	0	0	0
Pvr	35.000000	0	0	0	0	0	0	0	240	234	121	0	0	0	0	0	0	0	0
Ido2	35.000000	0	0	0	0	0	0	0	193	402	0	0	0	0	0	0	0	0	0
Cga	34.882353	0	388	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cr1l	34.823529	0	0	0	0	0	0	0	287	305	0	0	0	0	0	0	0	0	0
Bcl2l15	34.823529	0	0	0	0	0	0	0	115	145	0	0	199	133	0	0	0	0	0
Armc9	34.823529	0	0	0	0	0	0	0	233	359	0	0	0	0	0	0	0	0	0
Slc44a2	34.764706	0	0	0	0	0	0	0	245	346	0	0	0	0	0	0	0	0	0
Ankrd40	34.764706	0	0	0	0	0	0	0	288	303	0	0	0	0	0	0	0	0	0
Agfg1	34.764706	0	0	0	0	0	0	0	220	371	0	0	0	0	0	0	0	0	0
Ccl27a	34.705882	0	0	0	0	0	0	0	302	288	0	0	0	0	0	0	0	0	0
Slc25a51	34.647059	0	0	0	0	0	0	0	89	249	0	0	0	0	0	0	251	0	0
Rufy3	34.647059	0	0	0	0	0	0	0	0	253	0	0	214	122	0	0	0	0	0
Ankrd44	34.647059	0	0	0	0	0	0	0	0	0	0	0	306	283	0	0	0	0	0
Pik3cd	34.588235	0	136	0	0	0	0	0	0	141	204	107	0	0	0	0	0	0	0
Flrt2	34.529412	0	0	0	0	0	0	0	0	155	0	0	162	116	0	154	0	0	0
Rfesd	34.470588	0	0	0	0	0	0	0	0	253	0	0	188	145	0	0	0	0	0
Zfp982	34.411765	163	0	0	0	0	0	0	0	0	0	0	250	172	0	0	0	0	0
Krt73	34.411765	0	0	0	0	0	0	0	0	0	0	0	346	239	0	0	0	0	0
Bst1	34.294118	0	0	0	0	0	0	0	215	368	0	0	0	0	0	0	0	0	0
Ncaph	34.235294	0	0	0	0	0	0	0	307	275	0	0	0	0	0	0	0	0	0
Tspyl3	34.176471	0	0	0	0	0	0	0	114	198	0	0	269	0	0	0	0	0	0
Rnf220	34.176471	0	344	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl2c4	34.176471	0	0	0	0	0	0	0	288	293	0	0	0	0	0	0	0	0	0
Prl2c3	34.176471	0	0	0	0	0	0	0	288	293	0	0	0	0	0	0	0	0	0
Pola2	34.176471	0	0	431	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0
Klk5	34.176471	0	0	0	0	0	0	0	0	0	0	0	426	155	0	0	0	0	0
Sptbn1	34.117647	0	433	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmm1	34.117647	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0
Mras	34.117647	0	0	0	0	0	0	0	157	142	0	0	122	159	0	0	0	0	0
Lpl	34.117647	0	0	0	0	0	0	0	219	361	0	0	0	0	0	0	0	0	0
Atp6v0a1	34.117647	0	0	0	0	0	173	229	0	178	0	0	0	0	0	0	0	0	0
Sptbn5	34.058824	0	0	0	0	0	0	0	0	0	0	0	336	243	0	0	0	0	0
Mark3	34.058824	0	0	0	0	0	0	0	0	0	0	0	315	264	0	0	0	0	0
Gucy2g	34.058824	0	0	0	0	0	0	134	151	294	0	0	0	0	0	0	0	0	0
Zfp738	33.941176	0	0	0	0	0	0	0	0	0	0	0	348	229	0	0	0	0	0
Lmcd1	33.941176	0	0	0	0	0	0	0	143	303	0	0	131	0	0	0	0	0	0
Wdr89	33.882353	0	0	0	0	0	0	0	343	233	0	0	0	0	0	0	0	0	0
Krt79	33.882353	0	0	0	0	0	0	0	192	384	0	0	0	0	0	0	0	0	0
Rnf39	33.823529	0	0	0	0	0	0	0	164	248	0	0	163	0	0	0	0	0	0
Olfr368	33.823529	0	313	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnr2	33.823529	0	0	0	0	0	0	0	0	138	0	0	229	208	0	0	0	0	0
Sugp2	33.764706	0	0	0	0	0	0	0	279	295	0	0	0	0	0	0	0	0	0
Borcs6	33.764706	0	0	0	0	0	0	0	123	168	0	0	168	115	0	0	0	0	0
Armc6	33.764706	0	0	0	0	0	0	0	279	295	0	0	0	0	0	0	0	0	0
Tmprss12	33.705882	0	0	0	0	0	0	0	145	428	0	0	0	0	0	0	0	0	0
Slc30a8	33.705882	0	0	0	0	0	0	0	0	0	0	0	353	220	0	0	0	0	0
Ifnz	33.705882	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13285	33.705882	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13278	33.705882	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13277	33.705882	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13276	33.705882	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrbp1	33.647059	0	0	0	0	0	0	0	116	456	0	0	0	0	0	0	0	0	0
Pard6g	33.529412	0	0	0	0	0	0	0	239	331	0	0	0	0	0	0	0	0	0
Cd2ap	33.529412	0	205	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabggta	33.470588	0	0	0	0	0	0	0	267	302	0	0	0	0	0	0	0	0	0
Mvd	33.470588	0	0	0	0	0	0	0	198	371	0	0	0	0	0	0	0	0	0
Map7	33.411765	0	0	0	0	0	0	0	254	314	0	0	0	0	0	0	0	0	0
Sparc	33.352941	0	0	0	0	0	0	0	0	0	0	0	400	167	0	0	0	0	0
Nfatc2	33.352941	0	0	0	0	0	0	0	0	0	0	0	361	206	0	0	0	0	0
Rag2	33.294118	0	0	0	0	0	0	0	0	0	0	0	368	198	0	0	0	0	0
Ptprf	33.294118	0	0	0	0	0	0	0	287	279	0	0	0	0	0	0	0	0	0
Iftap	33.294118	0	0	0	0	0	0	0	0	0	0	0	368	198	0	0	0	0	0
Ndel1	33.235294	0	0	0	0	0	0	0	174	391	0	0	0	0	0	0	0	0	0
Ubald2	33.176471	0	0	0	0	0	0	0	0	208	0	0	218	138	0	0	0	0	0
Olfr596	33.176471	0	0	0	0	0	0	0	0	0	0	0	388	176	0	0	0	0	0
Clybl	33.176471	0	0	0	0	0	0	241	0	323	0	0	0	0	0	0	0	0	0
P4hb	33.117647	0	0	0	0	0	0	0	0	0	0	0	366	197	0	0	0	0	0
Tmem81	33.000000	0	0	0	0	0	0	0	0	0	0	0	382	179	0	0	0	0	0
Phldb3	33.000000	0	0	0	0	0	0	0	177	384	0	0	0	0	0	0	0	0	0
Rnf138	32.941176	0	0	0	0	0	0	0	0	0	0	0	407	153	0	0	0	0	0
Dsg3	32.941176	0	0	0	0	0	0	0	0	220	0	0	229	111	0	0	0	0	0
Stard7	32.882353	0	0	0	0	0	0	0	0	0	0	0	318	241	0	0	0	0	0
Tmem65	32.823529	0	0	0	0	0	0	0	151	278	0	0	129	0	0	0	0	0	0
Pemt	32.823529	215	0	0	0	0	0	0	151	192	0	0	0	0	0	0	0	0	0
Cdh26	32.823529	0	0	0	0	0	0	0	0	0	0	0	304	254	0	0	0	0	0
Nsmce1	32.705882	0	0	0	0	0	0	0	0	0	0	0	343	213	0	0	0	0	0
Ncr1	32.705882	0	0	0	0	0	0	0	0	0	0	0	358	198	0	0	0	0	0
Herpud1	32.705882	0	0	0	0	0	0	0	296	260	0	0	0	0	0	0	0	0	0
Arid3b	32.705882	0	0	0	0	0	0	0	0	0	0	0	270	286	0	0	0	0	0
9930111J21Rik2	32.647059	0	0	0	0	0	0	0	212	343	0	0	0	0	0	0	0	0	0
Mtarc2	32.529412	0	0	0	0	0	0	0	0	0	0	0	369	184	0	0	0	0	0
Gsdmc2	32.529412	0	0	0	0	0	0	0	253	300	0	0	0	0	0	0	0	0	0
Crebzf	32.529412	0	0	0	202	173	178	0	0	0	0	0	0	0	0	0	0	0	0
Zfp385b	32.470588	0	0	0	0	0	0	0	0	0	173	0	254	125	0	0	0	0	0
Nuak1	32.470588	0	0	0	0	0	0	0	0	0	0	0	334	218	0	0	0	0	0
Lmna	32.470588	0	0	0	0	0	0	0	218	334	0	0	0	0	0	0	0	0	0
Fcgbp	32.470588	0	0	0	0	0	0	0	0	0	0	0	320	232	0	0	0	0	0
Fermt1	32.352941	0	0	0	0	0	0	0	215	335	0	0	0	0	0	0	0	0	0
Ttc41	32.294118	0	0	0	0	0	0	0	0	0	370	179	0	0	0	0	0	0	0
Trip11	32.294118	0	0	0	0	0	0	0	0	111	0	0	258	180	0	0	0	0	0
Nuak2	32.294118	0	310	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bzw1	32.294118	0	0	0	0	0	0	0	128	244	0	0	177	0	0	0	0	0	0
Ankar	32.235294	0	0	0	0	0	243	305	0	0	0	0	0	0	0	0	0	0	0
Sertad2	32.176471	0	0	0	0	0	0	0	135	412	0	0	0	0	0	0	0	0	0
Olfr1342	32.176471	0	0	198	0	0	0	0	0	0	105	0	0	0	0	0	244	0	0
Igsf9	32.176471	0	0	0	0	0	0	0	168	379	0	0	0	0	0	0	0	0	0
Chrnb2	32.176471	0	0	93	0	0	0	0	0	0	315	139	0	0	0	0	0	0	0
Upf3b	32.117647	0	0	0	0	0	0	0	184	362	0	0	0	0	0	0	0	0	0
Rab3il1	32.117647	0	0	0	0	0	0	0	0	0	245	186	0	0	0	115	0	0	0
Calhm5	32.117647	0	0	0	0	0	0	0	203	343	0	0	0	0	0	0	0	0	0
Snn	32.058824	144	0	0	0	0	0	0	155	246	0	0	0	0	0	0	0	0	0
Phf11d	32.058824	0	0	0	0	0	0	0	0	0	0	0	305	240	0	0	0	0	0
Katnal1	32.058824	0	0	0	0	0	0	0	0	0	0	0	384	161	0	0	0	0	0
Speer4c	32.000000	468	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0
Abcd4	31.941176	0	379	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf6	31.823529	0	217	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aox1	31.823529	0	0	0	0	0	0	0	168	373	0	0	0	0	0	0	0	0	0
Elmo2	31.764706	0	157	0	0	0	0	0	154	229	0	0	0	0	0	0	0	0	0
Bmp1	31.764706	0	0	0	0	0	0	0	200	340	0	0	0	0	0	0	0	0	0
Gprc5d	31.705882	0	0	0	0	0	0	0	0	0	0	0	268	271	0	0	0	0	0
Cachd1	31.705882	0	322	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bgrl3	31.647059	0	0	0	0	0	0	0	164	178	0	0	196	0	0	0	0	0	0
Zdhhc17	31.529412	0	208	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip1	31.529412	0	0	0	0	0	0	0	172	364	0	0	0	0	0	0	0	0	0
Slx4ip	31.529412	0	145	229	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0
Mkks	31.529412	0	145	229	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0
Ift20	31.529412	0	0	0	0	0	0	0	172	364	0	0	0	0	0	0	0	0	0
Xrcc2	31.470588	0	0	0	0	0	0	0	0	0	113	93	194	135	0	0	0	0	0
Traf3ip2	31.470588	0	0	0	0	0	0	0	254	281	0	0	0	0	0	0	0	0	0
Msl1	31.470588	0	297	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsdmc4	31.470588	0	0	0	0	0	0	0	306	229	0	0	0	0	0	0	0	0	0
Ccdc89	31.470588	0	0	0	0	0	0	0	0	0	0	0	307	228	0	0	0	0	0
Rad54l	31.411765	0	0	0	0	0	0	0	0	0	0	0	334	200	0	0	0	0	0
Il25	31.411765	0	0	0	0	0	0	0	252	282	0	0	0	0	0	0	0	0	0
Agbl1	31.411765	0	0	0	0	0	0	0	0	0	0	0	276	258	0	0	0	0	0
Qars	31.352941	0	0	0	0	0	0	0	0	0	0	0	230	303	0	0	0	0	0
Paxx	31.352941	0	0	0	0	0	0	0	194	188	151	0	0	0	0	0	0	0	0
Clic3	31.352941	0	0	0	0	0	0	0	194	188	151	0	0	0	0	0	0	0	0
Bmf	31.352941	0	0	0	0	0	0	0	0	0	0	0	335	198	0	0	0	0	0
Lima1	31.294118	148	0	0	0	0	0	0	189	195	0	0	0	0	0	0	0	0	0
Kcng3	31.294118	0	204	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyth2	31.294118	0	0	0	0	0	0	0	0	109	0	0	316	107	0	0	0	0	0
Asb8	31.294118	0	0	0	0	0	0	0	0	0	0	0	296	236	0	0	0	0	0
Vmn2r102	31.176471	0	0	0	158	0	204	168	0	0	0	0	0	0	0	0	0	0	0
Ly6g6e	31.176471	0	0	0	0	0	0	0	143	387	0	0	0	0	0	0	0	0	0
Gcnt1	31.176471	0	0	0	0	0	0	0	145	272	0	0	0	0	0	113	0	0	0
Zfp488	31.117647	0	0	0	0	0	0	0	282	247	0	0	0	0	0	0	0	0	0
Dst	31.117647	0	0	0	0	0	0	0	189	340	0	0	0	0	0	0	0	0	0
Ccdc30	31.117647	0	0	0	0	0	0	0	0	0	0	0	308	221	0	0	0	0	0
Bmper	31.058824	0	0	0	0	0	0	0	0	0	0	0	276	252	0	0	0	0	0
Unc13d	31.000000	0	0	0	0	0	0	0	141	233	153	0	0	0	0	0	0	0	0
Cpa1	31.000000	0	0	0	0	0	0	0	0	0	0	0	330	197	0	0	0	0	0
Ccdc194	31.000000	0	230	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100861978	30.941176	0	0	0	0	0	0	0	263	263	0	0	0	0	0	0	0	0	0
Gm2506	30.941176	0	0	0	0	0	0	0	263	263	0	0	0	0	0	0	0	0	0
Gm13306	30.941176	0	0	0	0	0	0	0	263	263	0	0	0	0	0	0	0	0	0
Ccl27b	30.941176	0	0	0	0	0	0	0	263	263	0	0	0	0	0	0	0	0	0
Cacng4	30.941176	0	0	0	0	0	0	0	0	0	0	0	238	288	0	0	0	0	0
Phf23	30.882353	165	0	0	0	0	0	0	142	218	0	0	0	0	0	0	0	0	0
Pga5	30.882353	0	231	0	0	0	0	0	0	0	0	0	166	128	0	0	0	0	0
Oit1	30.882353	0	0	0	0	0	0	0	0	0	0	0	350	175	0	0	0	0	0
Gabarap	30.882353	165	0	0	0	0	0	0	142	218	0	0	0	0	0	0	0	0	0
Ddx56	30.882353	0	0	0	0	0	0	0	219	306	0	0	0	0	0	0	0	0	0
Bbx	30.882353	0	0	0	0	0	0	0	0	0	0	0	220	305	0	0	0	0	0
Tnfsf11	30.823529	0	0	0	0	0	0	0	0	0	275	249	0	0	0	0	0	0	0
Ifi44l	30.823529	0	0	0	0	0	0	0	0	0	378	146	0	0	0	0	0	0	0
Cobl	30.764706	0	0	0	0	0	0	0	172	191	160	0	0	0	0	0	0	0	0
Casp12	30.764706	0	0	0	0	0	0	0	205	318	0	0	0	0	0	0	0	0	0
B3gnt7	30.764706	0	0	0	0	0	0	0	0	0	0	0	349	174	0	0	0	0	0
9930111J21Rik1	30.764706	0	0	0	0	0	0	0	196	327	0	0	0	0	0	0	0	0	0
Rbbp8nl	30.705882	0	0	0	0	0	0	0	220	302	0	0	0	0	0	0	0	0	0
Ces2g	30.705882	0	0	0	0	0	0	0	0	144	0	0	219	159	0	0	0	0	0
Tex14	30.647059	0	96	88	0	0	0	0	204	133	0	0	0	0	0	0	0	0	0
Nfxl1	30.647059	0	0	0	0	0	0	0	0	0	0	0	391	130	0	0	0	0	0
Mbd6	30.647059	0	0	0	0	0	0	0	267	254	0	0	0	0	0	0	0	0	0
Ddit3	30.647059	0	0	0	0	0	0	0	267	254	0	0	0	0	0	0	0	0	0
Clec12b	30.647059	0	0	0	0	0	0	0	0	0	0	0	334	187	0	0	0	0	0
Zfp239	30.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	294	0	0
Tnfsf18	30.588235	0	0	0	0	0	0	0	191	329	0	0	0	0	0	0	0	0	0
Rffl	30.588235	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pikfyve	30.588235	0	0	0	0	0	0	0	206	314	0	0	0	0	0	0	0	0	0
Idh1	30.588235	0	0	0	0	0	0	0	206	314	0	0	0	0	0	0	0	0	0
Ehf	30.588235	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1cl	30.588235	0	0	0	0	0	0	0	0	0	0	0	255	265	0	0	0	0	0
Gsdmc3	30.529412	0	0	0	0	0	0	0	229	290	0	0	0	0	0	0	0	0	0
Stard4	30.470588	0	247	0	0	0	0	0	0	0	0	0	166	105	0	0	0	0	0
Esr1	30.470588	0	0	0	0	0	0	0	299	219	0	0	0	0	0	0	0	0	0
Unkl	30.411765	0	0	0	0	0	0	0	248	269	0	0	0	0	0	0	0	0	0
Plekhm3	30.411765	0	0	0	0	0	0	0	107	119	0	0	105	186	0	0	0	0	0
Percc1	30.411765	0	0	0	0	0	0	0	248	269	0	0	0	0	0	0	0	0	0
Pabpc4	30.411765	0	0	0	0	0	0	0	0	0	0	0	234	283	0	0	0	0	0
BC003965	30.411765	0	0	0	0	0	0	0	248	269	0	0	0	0	0	0	0	0	0
Atp13a3	30.411765	0	0	0	0	0	0	0	117	190	0	0	210	0	0	0	0	0	0
Sh3bgrl2	30.352941	0	0	0	0	0	0	0	181	335	0	0	0	0	0	0	0	0	0
Plcd3	30.352941	0	0	0	0	0	0	0	229	287	0	0	0	0	0	0	0	0	0
Osbpl8	30.352941	0	0	0	0	0	0	0	0	0	0	0	248	268	0	0	0	0	0
Ippk	30.352941	0	0	0	0	0	0	0	0	0	0	0	379	137	0	0	0	0	0
Clca3a2	30.352941	0	0	0	0	0	0	0	154	362	0	0	0	0	0	0	0	0	0
Acbd4	30.352941	0	0	0	0	0	0	0	229	287	0	0	0	0	0	0	0	0	0
Kti12	30.294118	0	0	0	0	0	0	0	0	0	0	0	356	159	0	0	0	0	0
Cst9	30.294118	0	0	0	0	0	0	0	0	0	0	0	224	291	0	0	0	0	0
Cog3	30.235294	75	0	0	0	0	0	0	0	0	0	0	223	216	0	0	0	0	0
Apobec3	30.235294	0	141	227	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0
Krt14	30.176471	0	0	0	0	0	0	0	238	275	0	0	0	0	0	0	0	0	0
Ift88	30.176471	0	0	0	0	0	0	0	0	0	0	0	266	247	0	0	0	0	0
Dnmt3a	30.176471	0	0	306	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0
Ptprd	30.058824	0	0	0	0	0	0	0	0	0	0	0	345	166	0	0	0	0	0
Mynn	30.000000	386	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
Actrt3	30.000000	386	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
Serhl	29.941176	0	341	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema4d	29.941176	0	0	0	0	0	0	0	0	215	0	0	189	105	0	0	0	0	0
Map10	29.941176	0	324	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45a	29.941176	154	0	0	0	0	0	0	136	166	53	0	0	0	0	0	0	0	0
Smarcd3	29.882353	148	0	0	0	0	0	0	0	172	188	0	0	0	0	0	0	0	0
Pard6b	29.882353	0	0	111	0	0	0	0	143	254	0	0	0	0	0	0	0	0	0
Mbp	29.882353	0	0	0	0	0	0	0	0	0	0	0	346	162	0	0	0	0	0
Tmprss11d	29.823529	0	0	0	0	0	0	0	0	0	0	0	266	241	0	0	0	0	0
Spink2	29.823529	0	0	0	0	0	0	0	0	0	121	0	386	0	0	0	0	0	0
Prl2c2	29.823529	0	0	0	0	0	0	0	266	241	0	0	0	0	0	0	0	0	0
Man2a2	29.823529	0	0	0	0	0	0	0	0	289	0	0	218	0	0	0	0	0	0
Trhr	29.705882	0	0	0	0	0	0	0	0	0	0	0	245	260	0	0	0	0	0
Prcc	29.705882	0	255	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin2	29.705882	0	0	0	0	0	0	0	206	299	0	0	0	0	0	0	0	0	0
Hoatz	29.705882	0	0	0	0	0	0	0	268	237	0	0	0	0	0	0	0	0	0
Tmem63c	29.647059	0	0	0	0	0	0	0	0	0	0	0	323	181	0	0	0	0	0
Tacstd2	29.647059	0	0	0	0	0	0	0	133	219	152	0	0	0	0	0	0	0	0
Fmnl3	29.647059	0	0	0	0	0	0	0	0	0	315	189	0	0	0	0	0	0	0
Asprv1	29.647059	0	0	0	0	0	0	0	238	266	0	0	0	0	0	0	0	0	0
Tbcd	29.588235	0	0	0	0	0	0	0	0	0	0	0	339	164	0	0	0	0	0
Ddx60	29.588235	0	0	0	0	0	0	0	0	0	0	0	267	236	0	0	0	0	0
Hlcs	29.529412	0	0	0	0	0	0	0	213	289	0	0	0	0	0	0	0	0	0
Tmem139	29.470588	0	0	0	0	0	0	0	233	268	0	0	0	0	0	0	0	0	0
Tiam1	29.470588	0	0	0	0	0	0	0	208	293	0	0	0	0	0	0	0	0	0
Dsg2	29.470588	0	0	0	0	0	0	0	219	282	0	0	0	0	0	0	0	0	0
Zcrb1	29.411765	0	231	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pphln1	29.411765	0	231	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cby3	29.411765	0	0	0	0	0	0	0	179	321	0	0	0	0	0	0	0	0	0
Baz2b	29.352941	0	0	0	0	0	0	0	0	0	0	0	245	254	0	0	0	0	0
Trim50	29.294118	0	0	0	116	83	154	145	0	0	0	0	0	0	0	0	0	0	0
St8sia2	29.294118	0	0	0	0	0	0	0	0	0	86	0	201	211	0	0	0	0	0
Ifitm10	29.294118	0	0	0	0	0	0	0	212	286	0	0	0	0	0	0	0	0	0
Opa3	29.235294	0	0	0	0	0	0	0	0	0	0	0	293	204	0	0	0	0	0
Mc5r	29.235294	0	0	0	0	0	0	0	0	0	0	0	310	187	0	0	0	0	0
Dusp5	29.235294	0	219	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsn	29.176471	117	0	0	0	0	0	0	0	0	0	0	192	187	0	0	0	0	0
Tmem106b	29.176471	0	189	217	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0
Slc16a10	29.176471	0	0	0	0	0	0	0	213	283	0	0	0	0	0	0	0	0	0
Polr3gl	29.176471	0	0	0	0	0	0	0	0	0	383	113	0	0	0	0	0	0	0
Ankrd34a	29.176471	0	0	0	0	0	0	0	0	0	383	113	0	0	0	0	0	0	0
Rras2	29.117647	0	0	0	0	0	0	0	159	336	0	0	0	0	0	0	0	0	0
Tmprss11f	29.058824	0	0	0	0	0	0	0	105	389	0	0	0	0	0	0	0	0	0
Snca	29.058824	0	0	0	0	0	0	0	0	0	0	0	309	185	0	0	0	0	0
Minpp1	29.058824	0	0	0	0	0	0	0	0	0	0	0	264	230	0	0	0	0	0
Gas7	29.058824	0	0	0	0	0	0	0	0	136	0	0	220	138	0	0	0	0	0
Smim10l1	28.941176	0	0	0	0	0	0	0	364	128	0	0	0	0	0	0	0	0	0
Gjb3	28.941176	0	0	0	0	0	0	0	162	330	0	0	0	0	0	0	0	0	0
Duxbl3	28.941176	0	0	0	0	0	0	0	0	0	0	0	347	145	0	0	0	0	0
Duxbl2	28.941176	0	0	0	0	0	0	0	0	0	0	0	347	145	0	0	0	0	0
Duxbl1	28.941176	0	0	0	0	0	0	0	0	0	0	0	347	145	0	0	0	0	0
Rbp2	28.882353	0	0	0	0	0	0	0	0	0	0	0	298	193	0	0	0	0	0
Ankrd22	28.882353	0	0	0	0	0	0	0	224	267	0	0	0	0	0	0	0	0	0
Tulp2	28.823529	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	28.823529	0	0	0	0	0	0	0	90	83	0	0	145	172	0	0	0	0	0
Tcf23	28.823529	0	0	0	0	0	0	0	0	0	0	0	318	172	0	0	0	0	0
St3gal6	28.823529	0	0	0	0	0	0	0	183	157	0	0	150	0	0	0	0	0	0
Nucb1	28.823529	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	28.823529	0	0	0	0	0	0	0	208	282	0	0	0	0	0	0	0	0	0
Prss56	28.764706	0	0	0	0	0	0	0	170	319	0	0	0	0	0	0	0	0	0
Oaf	28.764706	0	0	0	0	0	0	0	0	127	0	0	225	137	0	0	0	0	0
H4c12	28.764706	115	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0
H2bc15	28.764706	115	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0
H2ac15	28.764706	115	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0
Gtpbp2	28.764706	0	0	0	0	0	0	0	218	271	0	0	0	0	0	0	0	0	0
Nckap5	28.705882	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0
Vps41	28.647059	0	158	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fasl	28.647059	0	0	0	0	0	0	0	0	0	0	0	319	168	0	0	0	0	0
Chd3	28.647059	288	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0
Supt20	28.588235	0	0	0	0	0	0	0	0	0	0	0	277	209	0	0	0	0	0
Eif4enif1	28.529412	177	0	0	0	0	0	0	0	0	0	0	179	0	0	129	0	0	0
Smap2	28.470588	0	342	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qser1	28.470588	0	85	274	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0
Chchd3	28.470588	0	0	84	0	0	0	0	0	0	0	0	170	230	0	0	0	0	0
Uba3	28.411765	0	0	0	0	0	0	0	269	214	0	0	0	0	0	0	0	0	0
Ivl	28.411765	0	0	0	0	0	0	0	176	307	0	0	0	0	0	0	0	0	0
Irf2bp2	28.411765	0	0	0	0	0	0	0	153	330	0	0	0	0	0	0	0	0	0
C130073F10Rik	28.411765	0	0	0	0	0	0	0	0	0	0	0	246	237	0	0	0	0	0
Arl6ip5	28.411765	0	0	0	0	0	0	0	269	214	0	0	0	0	0	0	0	0	0
Akr1c14	28.411765	0	0	0	0	0	0	0	0	0	0	0	246	237	0	0	0	0	0
Fbxl3	28.352941	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	0	0	0
Fam89a	28.352941	0	0	0	0	0	0	0	179	303	0	0	0	0	0	0	0	0	0
Fam50b	28.352941	0	0	0	0	0	0	0	184	298	0	0	0	0	0	0	0	0	0
Appl2	28.235294	0	0	0	0	0	0	0	183	297	0	0	0	0	0	0	0	0	0
Txnip	28.176471	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0
Tmc8	28.176471	0	0	0	0	0	0	0	140	191	0	0	148	0	0	0	0	0	0
Tmc6	28.176471	0	0	0	0	0	0	0	140	191	0	0	148	0	0	0	0	0	0
Rreb1	28.176471	0	0	0	0	0	0	0	0	0	0	0	277	202	0	0	0	0	0
Nudt18	28.176471	0	0	0	0	0	0	0	140	215	0	0	124	0	0	0	0	0	0
Nipal4	28.176471	0	0	0	0	0	0	0	0	0	0	0	303	176	0	0	0	0	0
Ldb3	28.176471	0	0	0	0	0	0	0	0	168	0	0	0	165	0	146	0	0	0
Zfp112	28.117647	0	0	0	0	0	0	0	206	272	0	0	0	0	0	0	0	0	0
