Target_genes	Maz|Average	SRX188821|CH12	SRX13440023|ES_cells	SRX13440024|ES_cells	SRX13440027|ES_cells	SRX13440028|ES_cells	SRX13440031|ES_cells	SRX13440032|ES_cells	SRX13476144|ES_cells	SRX13476145|ES_cells	SRX13476146|ES_cells	SRX13476150|ES_cells	SRX20088447|ES_cells	SRX20088448|ES_cells	SRX20088449|ES_cells	SRX20088450|ES_cells	SRX20088485|ES_cells	SRX20088486|ES_cells	SRX20088487|ES_cells	SRX20088488|ES_cells	SRX20088489|ES_cells	SRX20088490|ES_cells	SRX20088491|ES_cells	SRX20088492|ES_cells	SRX188810|MEL	SRX13440025|mESC_derived_neural_cells	SRX13440026|mESC_derived_neural_cells	SRX13440029|mESC_derived_neural_cells	SRX13440030|mESC_derived_neural_cells	SRX13440033|mESC_derived_neural_cells	SRX13476147|mESC_derived_neural_cells	SRX13476148|mESC_derived_neural_cells	SRX13476149|mESC_derived_neural_cells	SRX13476151|mESC_derived_neural_cells	SRX15939544|NIH/3T3	SRX15939566|NIH/3T3	STRING
Lmnb1	103.571429	232	0	0	0	113	0	125	0	0	0	106	197	0	142	0	0	191	0	190	0	0	0	0	349	93	0	350	479	167	0	0	0	233	213	445	0
9530077C05Rik	103.571429	290	0	0	0	156	0	121	0	0	0	117	90	0	125	0	0	110	0	114	0	0	0	0	787	0	0	266	826	96	0	0	0	113	172	242	0
Herc3	103.514286	90	0	0	139	272	236	262	0	0	0	343	199	0	101	0	0	132	0	188	0	0	0	0	89	138	0	416	565	157	0	0	0	296	0	0	0
Amz2	103.514286	746	0	0	0	88	0	0	0	0	0	0	185	0	0	0	0	107	0	151	0	0	0	0	773	0	0	235	473	103	0	0	0	136	225	401	0
Xiap	103.485714	208	0	79	0	0	144	176	0	0	0	121	0	0	0	0	0	0	0	102	0	0	0	0	406	210	0	265	346	153	0	0	0	181	569	662	0
Prr36	103.400000	186	0	0	0	93	202	200	0	0	0	202	113	0	116	0	0	99	0	0	0	0	0	0	164	346	0	387	882	290	0	0	0	339	0	0	0
Adgra2	103.400000	144	0	0	85	225	192	165	0	0	0	105	131	0	129	0	0	140	0	165	0	0	0	0	0	0	0	221	333	141	0	0	0	126	437	880	0
Cers2	103.371429	157	0	0	0	139	139	220	0	0	0	140	135	0	81	0	0	111	0	127	0	0	0	0	458	106	0	302	519	93	0	0	0	223	224	444	0
Anxa9	103.371429	157	0	0	0	139	139	220	0	0	0	140	135	0	81	0	0	111	0	127	0	0	0	0	458	106	0	302	519	93	0	0	0	223	224	444	0
Ppp4r3a	103.285714	383	0	0	0	0	115	119	0	0	0	128	0	0	82	0	0	110	0	0	0	0	0	0	528	166	0	389	654	135	0	0	0	208	195	403	0
Napa	103.257143	743	0	0	0	0	0	0	0	0	0	0	190	0	164	0	0	227	0	205	0	0	0	0	602	0	0	150	288	151	0	0	0	162	231	501	0
Abca5	103.228571	133	0	0	0	116	112	204	0	0	0	98	109	0	0	0	0	136	81	108	0	0	0	0	178	144	0	381	895	269	0	0	0	359	91	199	0
Fam13b	103.200000	99	0	0	0	137	120	237	0	0	0	322	135	0	91	0	0	73	0	70	0	0	0	0	209	164	0	336	579	175	0	0	0	262	257	346	0
Mettl18	103.142857	388	0	0	0	125	0	103	0	0	0	0	275	129	173	0	0	199	0	134	0	0	0	0	300	116	0	441	598	0	0	0	0	0	286	343	0
Exoc3l2	103.142857	245	0	0	154	116	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	193	0	418	682	230	0	0	0	312	498	454	0
BC055324	103.142857	388	0	0	0	125	0	103	0	0	0	0	275	129	173	0	0	199	0	134	0	0	0	0	300	116	0	441	598	0	0	0	0	0	286	343	0
Rpl23	103.057143	867	0	0	0	0	0	123	0	0	0	0	141	127	105	0	0	0	0	0	0	0	0	0	921	0	0	350	470	0	0	0	0	98	175	230	0
Rnf24	103.028571	119	0	0	0	109	0	241	0	0	0	135	169	0	82	0	0	129	0	252	0	0	0	0	205	138	0	367	699	240	0	0	0	297	211	213	0
Supt4a	103.000000	319	0	0	0	114	0	193	0	0	0	0	0	0	0	0	0	148	0	192	0	0	0	0	396	0	0	553	655	195	0	0	0	337	210	293	0
Trim67	102.942857	231	0	0	119	119	265	333	0	0	0	193	205	93	183	0	0	273	0	151	0	0	0	0	0	197	0	455	420	192	0	0	0	174	0	0	0
Nudc	102.885714	0	400	425	0	111	0	199	0	0	0	228	0	0	0	0	0	0	0	0	0	0	125	0	105	109	336	75	219	166	0	232	0	415	255	201	0
Kdm4b	102.800000	251	0	0	0	80	141	149	0	0	0	157	123	0	106	0	0	175	0	192	0	0	0	0	239	130	0	353	640	143	0	0	0	197	228	294	0
C1ql4	102.771429	0	0	0	0	226	130	272	0	0	0	172	214	0	258	0	0	221	0	0	0	0	0	0	294	220	0	353	724	249	0	0	0	264	0	0	0
Cdk8	102.714286	303	0	0	0	107	0	173	0	0	0	0	223	0	133	0	0	147	0	132	0	0	0	0	605	0	0	184	386	130	0	0	0	134	328	610	0
Det1	102.685714	157	0	0	0	273	186	256	0	0	0	156	125	0	0	0	0	0	0	84	0	0	0	0	227	203	0	163	515	263	0	0	0	272	223	491	0
Taok3	102.657143	436	0	0	0	0	0	0	0	0	0	0	244	0	132	0	0	231	0	283	0	0	0	0	415	0	0	386	398	156	0	0	0	202	231	479	0
Suds3	102.657143	436	0	0	0	0	0	0	0	0	0	0	244	0	132	0	0	231	0	283	0	0	0	0	415	0	0	386	398	156	0	0	0	202	231	479	0
Mrpl10	102.657143	836	0	0	0	0	0	158	0	0	0	0	260	0	139	0	0	256	0	195	0	0	0	0	674	0	0	192	325	0	0	0	0	146	157	255	0
Lrrc46	102.657143	836	0	0	0	0	0	158	0	0	0	0	260	0	139	0	0	256	0	195	0	0	0	0	674	0	0	192	325	0	0	0	0	146	157	255	0
Snx24	102.542857	78	0	0	79	98	169	211	0	0	0	0	160	0	189	0	0	0	0	186	0	0	0	0	78	168	0	397	580	145	0	0	0	208	440	403	0
Nck1	102.542857	207	0	0	0	235	0	112	0	0	0	104	185	0	124	0	0	94	0	120	0	0	0	0	428	0	0	418	567	142	0	0	0	126	270	457	0
Ipo8	102.542857	440	0	0	0	179	88	224	0	0	0	195	119	0	120	0	0	119	0	0	0	0	0	0	384	119	0	196	397	286	0	0	0	222	216	285	0
Pcnx	102.371429	332	0	0	0	217	0	168	0	0	0	155	87	0	0	0	0	123	0	102	0	0	0	0	443	128	0	415	335	113	0	0	0	136	335	494	0
Arhgef2	102.371429	213	0	0	0	217	106	159	0	0	0	106	0	0	101	0	0	0	0	111	0	0	0	0	430	105	0	347	696	172	0	0	0	187	398	235	0
Arf6	102.371429	117	0	0	0	130	168	169	0	0	0	184	151	0	100	0	0	156	0	126	0	0	0	0	182	178	0	291	528	123	0	0	0	301	217	462	0
Vps37d	102.342857	211	0	0	0	130	114	101	0	0	0	122	138	0	109	0	0	122	0	106	0	0	0	0	497	98	0	244	383	108	0	0	0	184	394	521	0
Tmem266	102.314286	278	0	0	0	288	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	610	811	95	0	0	0	141	428	351	0
Mtmr4	102.314286	270	0	0	96	246	0	250	0	0	0	125	0	0	0	0	0	145	0	177	0	0	0	0	446	162	0	268	562	176	0	0	0	192	222	244	0
Cnnm3	102.314286	223	0	0	0	130	0	136	0	0	0	91	99	0	98	0	0	191	115	269	0	0	0	0	288	0	0	379	552	239	0	0	0	154	265	352	0
Tor1aip2	102.257143	325	0	0	0	0	0	156	0	0	0	146	235	0	185	0	0	100	0	205	0	0	0	0	420	111	0	202	365	209	0	0	0	184	287	449	0
Tor1aip1	102.257143	325	0	0	0	0	0	156	0	0	0	146	235	0	185	0	0	100	0	205	0	0	0	0	420	111	0	202	365	209	0	0	0	184	287	449	0
Rnf138	102.257143	133	0	0	135	178	91	200	0	0	0	157	181	0	99	0	0	146	0	139	0	0	0	0	208	239	0	305	437	179	0	0	0	212	186	354	0
Mapk6	102.257143	237	0	0	0	159	0	182	0	0	0	0	126	0	0	0	0	360	0	290	0	0	0	0	162	0	0	456	531	217	0	0	0	269	282	308	0
Ing5	102.257143	227	0	0	0	210	122	141	0	0	0	174	186	0	101	0	0	95	0	108	0	0	0	0	300	0	0	264	693	169	0	0	0	369	216	204	0
Dtymk	102.257143	227	0	0	0	210	122	141	0	0	0	174	186	0	101	0	0	95	0	108	0	0	0	0	300	0	0	264	693	169	0	0	0	369	216	204	0
Samd14	102.228571	567	379	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	101	187	372	500	95	0	196	0	139	0	179	0
Klhl18	102.228571	462	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	564	243	0	437	807	0	0	0	0	113	170	471	0
Kif9	102.228571	462	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	564	243	0	437	807	0	0	0	0	113	170	471	0
1810058I24Rik	102.228571	234	0	0	0	107	0	181	0	0	0	99	120	0	93	0	0	74	0	78	0	0	0	0	226	0	0	430	558	172	0	0	0	177	443	586	0
Nabp2	102.200000	531	0	0	0	157	139	162	0	0	0	130	330	0	159	0	0	96	0	144	0	0	0	0	538	0	0	207	348	0	0	0	0	102	233	301	0
Lrig1	102.200000	0	0	0	0	103	143	171	0	0	0	0	260	0	160	0	0	263	79	194	0	0	0	0	0	104	0	449	714	192	0	0	0	130	241	374	0
Erbin	102.200000	128	0	0	0	166	97	181	0	0	0	105	124	0	152	0	0	220	0	163	0	0	0	0	89	124	0	366	510	87	0	0	0	176	402	487	0
Cdh12	102.200000	174	151	186	0	0	0	0	0	0	0	0	0	0	0	147	485	251	196	267	266	182	0	188	212	0	253	216	153	0	0	250	0	0	0	0	0
Spryd3	102.171429	374	0	0	0	138	0	117	0	0	0	129	104	0	0	0	0	111	0	0	0	0	0	0	445	177	0	223	531	156	0	0	0	225	399	447	0
Mta3	102.171429	0	0	0	104	267	184	296	0	0	0	120	97	0	137	0	0	0	0	131	0	0	0	0	178	95	0	194	444	167	0	0	0	161	444	557	0
Slc35e2	102.085714	599	0	0	0	0	108	89	0	0	0	159	254	0	334	0	0	133	0	86	0	0	0	0	444	100	0	83	210	104	0	0	0	137	440	293	0
Malt1	102.085714	271	0	0	0	161	81	168	0	0	0	151	127	0	0	0	0	106	0	111	0	0	0	0	215	110	0	308	647	154	0	0	0	327	349	287	0
Thap1	102.057143	179	0	0	123	184	107	268	0	0	0	0	197	0	92	0	0	0	0	0	0	0	0	0	173	0	0	543	803	139	0	0	0	212	231	321	0
Adss	102.057143	186	0	0	0	148	0	211	0	0	0	0	0	0	0	0	0	211	0	243	0	0	0	0	173	0	0	393	836	134	0	0	0	268	276	493	0
Hagh	102.028571	408	0	0	0	165	89	154	0	0	0	0	124	0	102	0	0	186	0	207	0	0	0	0	220	157	0	234	447	100	0	0	0	288	214	476	0
Fahd1	102.028571	408	0	0	0	165	89	154	0	0	0	0	124	0	102	0	0	186	0	207	0	0	0	0	220	157	0	234	447	100	0	0	0	288	214	476	0
Pgap4	102.000000	0	0	0	100	155	227	219	0	0	0	237	123	0	125	0	0	231	0	85	0	0	0	0	0	129	68	441	802	257	0	0	0	371	0	0	0
Tppp	101.971429	274	0	0	0	178	82	161	0	0	0	0	0	0	0	0	0	326	0	201	0	0	0	0	292	222	0	427	917	262	0	0	0	227	0	0	0
Nrf1	101.971429	151	0	0	0	183	0	190	0	0	0	121	187	0	167	0	0	201	0	122	0	0	0	0	215	0	0	219	582	314	0	0	0	342	247	328	0
Fbxl20	101.971429	304	0	0	0	116	172	149	0	0	0	244	155	0	0	0	0	125	0	131	0	0	0	0	381	135	0	311	346	200	0	0	0	134	270	396	0
Vnn1	101.942857	0	393	348	0	0	227	0	0	0	0	161	0	0	0	0	202	0	0	0	318	0	241	0	134	196	401	0	0	234	0	454	0	259	0	0	0
Srsf5	101.942857	207	0	0	146	162	89	154	0	0	0	126	232	0	195	0	0	227	0	98	0	0	0	0	289	245	0	254	219	185	0	0	0	363	165	212	0
Pabpc1	101.942857	187	0	0	0	227	112	87	0	0	0	152	126	0	150	0	0	164	0	202	0	0	0	0	277	0	0	234	455	114	0	0	0	324	377	380	0
Flrt2	101.942857	0	0	0	130	187	126	222	0	0	0	150	206	0	176	0	0	172	0	143	0	0	0	0	0	134	0	425	586	95	0	0	0	177	244	395	0
Ccdc102a	101.942857	254	0	0	0	122	159	199	0	0	0	172	394	0	299	0	0	0	0	0	0	0	0	0	345	201	0	78	228	135	0	0	0	132	345	505	0
Pdia3	101.914286	337	0	0	0	108	0	136	0	0	0	81	143	0	110	0	0	146	0	161	0	0	0	0	331	109	0	302	384	114	0	0	0	256	406	443	0
Catsper2	101.914286	337	0	0	0	108	0	136	0	0	0	81	143	0	110	0	0	146	0	161	0	0	0	0	331	109	0	302	384	114	0	0	0	256	406	443	0
Slc41a1	101.885714	317	0	0	0	193	97	131	0	0	0	183	337	0	96	0	0	82	0	224	0	0	0	0	422	163	0	191	462	0	0	0	0	156	156	356	0
Iqgap1	101.885714	219	0	0	0	84	0	105	0	0	0	223	0	0	0	0	0	0	0	105	0	0	0	0	137	160	0	457	979	206	0	0	0	386	226	279	0
Exoc5	101.885714	230	0	0	0	146	0	169	0	0	0	92	168	0	170	0	0	169	0	149	0	0	0	0	344	0	0	429	563	136	0	0	0	151	173	477	0
Ap5m1	101.885714	230	0	0	0	146	0	169	0	0	0	92	168	0	170	0	0	169	0	149	0	0	0	0	344	0	0	429	563	136	0	0	0	151	173	477	0
Nxph3	101.857143	289	0	0	0	173	84	233	0	0	0	166	401	105	203	0	0	242	0	77	0	0	0	0	173	63	0	150	319	80	0	0	0	114	433	260	0
Lpcat1	101.857143	107	0	0	73	285	184	199	0	0	0	240	168	0	127	0	0	154	0	129	0	0	0	0	148	132	0	290	473	157	0	0	0	262	199	238	0
Alms1	101.857143	243	0	0	0	132	79	155	0	0	0	82	312	0	162	0	0	155	0	180	0	0	0	0	247	121	0	430	661	0	0	0	0	202	187	217	0
Rora	101.800000	234	0	0	0	118	148	293	0	0	0	243	155	0	98	0	0	161	0	126	0	0	0	0	0	192	0	627	675	152	0	0	0	341	0	0	0
Dmtn	101.800000	246	0	0	99	184	123	319	0	0	0	188	403	0	331	0	0	186	171	232	0	0	0	0	225	0	0	147	278	112	0	0	0	126	0	193	0
Cux2	101.800000	0	0	0	0	227	177	268	0	0	0	199	257	90	277	0	0	320	101	443	0	0	0	0	160	0	0	279	533	0	0	0	0	232	0	0	0
Ago2	101.771429	382	0	0	0	0	98	103	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	440	106	0	164	311	142	0	0	0	165	758	682	0
Wwc2	101.742857	0	0	0	73	108	0	252	0	0	0	88	377	0	231	0	0	203	131	127	0	0	0	0	206	142	0	342	353	214	0	0	0	174	136	404	0
Thpo	101.714286	0	0	0	0	155	204	147	0	0	0	174	0	0	151	0	0	187	0	206	0	0	0	0	0	105	0	327	448	190	0	0	0	195	368	703	0
Epc1	101.714286	310	0	0	0	172	0	111	0	0	0	161	95	0	73	0	0	123	0	149	0	0	0	0	309	0	0	298	653	199	0	0	0	155	434	318	0
Chrd	101.714286	0	0	0	0	155	204	147	0	0	0	174	0	0	151	0	0	187	0	206	0	0	0	0	0	105	0	327	448	190	0	0	0	195	368	703	0
Arhgef7	101.714286	363	0	0	0	177	97	189	0	0	0	97	274	0	99	0	0	0	0	0	0	0	0	0	398	125	0	220	368	166	0	0	0	211	243	533	0
Nedd4	101.685714	260	0	0	98	173	0	274	0	0	0	116	141	0	0	0	0	134	0	186	0	0	0	0	179	0	0	493	569	89	0	0	0	0	341	506	0
Mex3c	101.657143	247	0	0	0	167	0	194	0	0	0	0	164	0	0	0	0	0	0	162	0	0	0	0	168	151	0	399	872	134	0	0	0	323	183	394	0
Actg1	101.657143	95	0	0	0	369	146	228	0	0	0	142	135	0	0	0	0	172	0	0	0	0	0	0	473	0	0	430	597	0	0	0	0	151	300	320	0
Pdk2	101.628571	0	0	0	0	74	0	0	0	0	0	0	215	0	134	0	0	138	0	159	0	0	0	0	722	0	0	360	433	0	0	0	0	131	433	758	0
Cdh24	101.628571	181	0	0	0	172	102	275	0	0	0	174	86	0	140	0	0	191	0	107	0	0	0	0	256	183	0	219	484	171	0	0	0	319	164	333	0
Pds5a	101.571429	0	0	0	0	174	0	276	0	0	0	0	198	93	212	0	0	151	0	120	0	0	0	0	205	0	0	447	653	0	0	0	0	162	378	486	0
Ezh2	101.542857	357	0	0	0	162	176	247	0	0	0	176	175	75	226	0	0	117	0	122	0	0	0	0	347	117	0	190	314	93	0	0	0	169	300	191	0
Snrpd3	101.514286	671	0	0	0	0	0	116	0	0	0	0	243	0	172	0	0	144	0	0	0	0	0	0	608	0	0	357	474	0	0	0	0	73	271	424	0
Maff	101.514286	85	0	0	164	111	173	164	0	0	0	258	0	0	0	0	0	80	0	79	0	0	0	0	179	244	0	274	674	299	0	0	0	192	225	352	0
Gucd1	101.514286	671	0	0	0	0	0	116	0	0	0	0	243	0	172	0	0	144	0	0	0	0	0	0	608	0	0	357	474	0	0	0	0	73	271	424	0
Zfp407	101.457143	453	0	0	192	176	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	357	637	116	0	0	0	106	407	521	0
Numbl	101.457143	287	0	0	96	187	166	239	0	0	0	73	0	0	0	0	0	0	0	174	0	0	0	0	190	0	0	334	829	186	0	0	0	199	216	375	0
Fkbp1a	101.428571	625	0	0	0	0	0	134	0	0	0	0	207	0	140	0	0	150	0	160	0	0	0	0	485	0	0	274	374	121	0	0	0	155	262	463	0
Ocrl	101.400000	669	0	0	0	147	0	231	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	635	137	0	296	385	160	0	0	0	283	178	257	0
Brsk1	101.400000	0	0	0	0	214	228	222	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	500	710	219	0	0	0	155	286	726	0
Mpp6	101.371429	253	0	0	117	225	0	173	0	0	0	0	161	0	156	0	0	0	0	0	0	0	0	0	194	0	0	507	607	0	0	0	0	0	550	605	0
Nfatc3	101.342857	393	0	0	0	99	115	219	0	0	0	81	0	0	0	0	0	0	0	140	0	0	0	0	135	94	0	540	520	263	0	0	0	469	187	292	0
Dis3l2	101.342857	281	0	0	0	129	132	222	0	0	0	90	152	0	0	0	0	171	0	171	0	0	0	0	236	0	0	412	619	160	0	0	0	214	153	405	0
Lrch1	101.314286	293	0	0	0	179	243	212	0	0	0	173	245	0	64	0	0	180	0	126	0	0	0	0	496	82	0	249	338	258	0	0	0	240	0	168	0
Usp31	101.257143	592	0	0	0	0	0	125	0	0	0	0	143	0	0	0	0	120	0	164	0	0	0	0	615	0	0	341	612	0	0	0	0	333	207	292	0
Fus	101.257143	211	0	0	0	214	164	251	0	0	0	249	87	0	161	0	0	155	0	72	0	0	0	0	270	163	0	236	319	124	0	0	0	340	215	313	0
Rsph3b	101.142857	147	0	0	127	218	122	191	0	0	0	216	160	0	0	0	0	123	0	154	0	0	0	0	81	212	0	261	536	148	0	0	0	211	204	429	0
Tm2d2	101.057143	185	0	0	0	118	0	303	0	0	0	111	144	0	142	0	0	0	0	126	0	0	0	0	276	105	0	407	416	260	0	0	0	224	286	434	0
Adam9	101.057143	185	0	0	0	118	0	303	0	0	0	111	144	0	142	0	0	0	0	126	0	0	0	0	276	105	0	407	416	260	0	0	0	224	286	434	0
Dennd4b	101.028571	600	0	0	0	228	142	172	0	0	0	130	125	0	0	0	0	106	0	117	0	0	0	0	501	0	0	145	418	95	0	0	0	162	251	344	0
Dvl3	101.000000	310	0	0	0	151	80	119	0	0	0	0	97	0	0	0	0	185	0	129	0	0	0	0	353	0	0	360	427	0	0	0	0	199	409	716	0
Ywhag	100.971429	534	0	0	0	174	199	114	0	0	0	122	188	0	225	0	0	130	0	123	0	0	0	0	447	138	0	166	339	109	0	0	0	143	193	190	0
Hs6st1	100.971429	469	0	0	0	0	0	214	0	0	0	0	118	0	68	0	0	208	0	282	0	0	0	0	464	0	0	434	464	0	0	0	0	118	263	432	0
Gfus	100.971429	809	0	0	0	73	0	0	0	0	0	0	183	0	202	0	0	98	0	0	0	0	0	0	1032	0	0	230	442	0	0	0	0	0	159	306	0
Ltbr	100.942857	0	0	0	0	124	147	104	0	0	0	214	144	0	329	0	0	247	0	113	0	0	0	0	483	0	0	93	199	0	0	0	0	0	492	844	0
Fyn	100.885714	153	0	0	0	168	129	181	0	0	0	211	117	0	90	0	0	153	0	134	0	0	0	0	0	190	0	474	505	234	0	0	0	232	281	279	0
Zzz3	100.857143	583	0	0	0	141	0	168	0	0	0	0	155	0	141	0	0	0	0	157	0	0	0	0	352	111	0	362	439	112	0	0	0	134	321	354	0
Ptdss1	100.857143	118	0	0	0	152	103	170	0	0	0	120	152	0	92	0	0	208	0	152	0	0	0	0	143	223	0	336	645	164	0	0	0	337	127	288	0
Mterf3	100.857143	118	0	0	0	152	103	170	0	0	0	120	152	0	92	0	0	208	0	152	0	0	0	0	143	223	0	336	645	164	0	0	0	337	127	288	0
Tsfm	100.771429	488	0	0	0	0	0	116	0	0	0	0	117	0	167	0	0	118	0	0	0	0	0	0	782	0	0	162	345	221	0	0	0	165	315	531	0
Set	100.771429	333	0	0	64	191	0	191	0	0	0	0	220	0	174	0	0	193	0	161	0	0	0	0	306	0	0	215	431	157	0	0	0	240	328	323	0
Sephs1	100.771429	118	0	0	0	179	117	203	0	0	0	131	132	0	0	0	0	269	0	167	0	0	0	0	270	0	0	355	505	305	0	0	0	370	169	237	0
Faf2	100.771429	525	0	0	0	0	0	0	0	0	0	167	216	0	168	0	0	0	87	0	0	0	0	0	647	93	0	297	298	119	0	0	0	147	358	405	0
Tspan10	100.742857	395	0	0	0	388	0	198	0	0	0	0	143	0	185	0	0	0	0	0	0	0	0	0	471	0	0	352	531	122	0	0	0	0	296	445	0
Sema4b	100.742857	253	0	0	0	121	100	187	0	0	0	142	175	0	267	0	0	122	0	0	0	0	0	0	179	111	0	320	613	93	0	0	0	240	347	256	0
Nploc4	100.742857	395	0	0	0	388	0	198	0	0	0	0	143	0	185	0	0	0	0	0	0	0	0	0	471	0	0	352	531	122	0	0	0	0	296	445	0
Fbrs	100.714286	356	0	0	0	303	0	122	0	0	0	101	0	0	120	0	0	0	0	156	0	0	0	0	338	158	0	478	675	112	0	0	0	198	157	251	0
Ccdc17	100.714286	610	0	0	0	153	110	157	0	0	0	100	134	0	0	0	0	157	0	161	0	0	0	0	531	111	0	255	447	0	0	0	0	304	131	164	0
Ccar2	100.685714	478	0	0	0	109	105	267	0	0	0	102	116	0	105	0	0	0	0	0	0	0	0	0	604	159	0	303	458	169	0	0	0	229	114	206	0
Arid2	100.628571	259	0	0	123	154	0	253	0	0	0	0	95	0	90	0	0	193	147	194	0	0	0	0	250	0	0	270	433	0	0	0	0	165	436	460	0
Fbxo30	100.600000	0	0	0	88	204	0	220	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	678	905	89	0	0	0	152	378	576	0
Ccdc107	100.600000	345	0	0	0	152	0	176	0	0	0	139	469	0	343	0	0	0	0	0	0	0	0	0	452	0	0	193	428	0	0	0	0	0	436	388	0
Rif1	100.571429	96	0	0	0	133	0	187	0	0	0	240	465	128	259	0	0	184	0	176	0	0	0	0	219	127	0	258	276	169	0	0	0	166	259	178	0
Timm9	100.542857	605	0	0	0	161	154	91	0	0	0	96	349	0	220	0	0	215	0	0	0	0	0	0	672	0	0	282	405	0	0	0	0	110	0	159	0
Rad23a	100.542857	221	90	0	0	178	104	291	0	0	0	142	260	0	146	0	0	0	0	0	0	0	0	0	258	126	0	240	345	169	0	0	0	152	282	515	0
Dlgap4	100.542857	111	0	0	162	272	122	338	0	0	0	181	197	0	162	0	0	127	0	171	0	0	0	0	180	161	0	296	556	128	0	0	0	89	105	161	0
2700049A03Rik	100.542857	605	0	0	0	161	154	91	0	0	0	96	349	0	220	0	0	215	0	0	0	0	0	0	672	0	0	282	405	0	0	0	0	110	0	159	0
Slc30a4	100.485714	287	0	0	93	192	0	153	0	0	0	0	169	0	0	0	0	0	0	92	0	0	0	0	0	0	0	514	639	138	0	0	0	137	608	495	0
Gspt1	100.485714	555	0	0	0	134	133	75	0	0	0	208	207	0	97	0	0	146	0	0	0	0	0	0	443	113	0	233	437	0	0	0	0	106	293	337	0
Zfp639	100.457143	799	0	0	0	82	0	104	0	0	0	174	115	0	112	0	0	178	0	224	0	0	0	0	195	0	0	241	352	0	0	0	0	170	345	425	0
St6galnac4	100.457143	269	0	0	0	124	0	108	0	0	0	0	132	0	162	0	0	254	0	252	0	0	0	0	290	0	0	272	492	210	0	0	0	250	378	323	0
Fbxo41	100.457143	0	0	0	68	382	143	213	0	0	0	225	143	0	116	0	0	0	0	0	0	0	0	0	0	406	0	332	629	278	0	0	0	284	120	177	0
Wdr1	100.428571	191	0	0	0	208	0	148	0	0	0	106	104	0	99	0	0	233	0	165	0	0	0	0	396	0	0	457	678	150	0	0	0	236	153	191	0
Tmem64	100.400000	102	0	0	97	173	161	230	0	0	0	227	0	0	0	0	0	136	0	241	0	0	0	0	114	192	0	281	549	194	0	0	0	450	123	244	0
Polr1d	100.400000	224	0	0	0	86	0	158	0	0	0	118	334	0	164	0	0	398	77	255	0	0	0	0	238	93	0	280	330	119	0	0	0	125	197	318	0
Notch2	100.400000	140	0	0	0	151	80	156	0	0	0	131	234	0	231	0	0	350	0	260	0	0	0	0	288	0	0	277	295	0	0	0	0	145	303	473	0
Neurog1	100.400000	214	0	0	0	249	117	256	0	0	0	234	554	0	589	0	0	178	0	241	0	0	0	0	0	109	0	188	363	111	0	0	0	111	0	0	0
Magi1	100.400000	0	0	0	0	213	0	212	0	0	0	0	310	115	192	0	0	247	0	208	0	0	0	0	0	150	0	409	606	140	0	0	0	206	162	344	0
Lnx2	100.400000	224	0	0	0	86	0	158	0	0	0	118	334	0	164	0	0	398	77	255	0	0	0	0	238	93	0	280	330	119	0	0	0	125	197	318	0
Arrb1	100.400000	499	0	0	0	0	0	72	0	0	0	0	137	0	0	0	0	156	0	0	0	0	0	0	812	181	0	374	477	126	0	0	0	190	248	242	0
Prkacb	100.371429	381	0	0	0	187	0	226	0	0	0	163	214	0	157	0	0	175	0	143	0	0	0	0	355	0	0	194	503	155	0	0	0	161	174	325	0
Clu	100.342857	274	0	0	0	221	164	301	0	0	0	116	111	0	198	0	0	0	0	0	0	0	0	0	0	231	0	438	590	267	0	0	0	195	134	272	0
Prima1	100.314286	0	0	0	145	222	198	290	0	0	0	322	268	0	207	0	0	247	0	179	0	0	0	0	0	177	65	263	560	176	0	0	0	192	0	0	0
Acbd3	100.228571	110	0	0	0	121	128	103	0	0	0	210	0	0	104	0	0	115	0	162	0	0	0	0	175	198	0	451	681	107	0	0	0	344	196	303	0
Usp15	100.200000	156	0	0	0	92	0	146	0	0	0	0	147	0	85	0	0	211	0	180	0	0	0	0	91	135	0	394	702	126	0	0	0	215	294	533	0
Prr7	100.171429	0	0	0	0	152	117	197	0	0	0	120	128	0	283	0	0	0	0	89	0	0	0	0	0	330	0	642	689	218	0	0	0	332	0	209	0
Lrrc1	100.171429	203	0	0	0	0	101	189	0	0	0	92	200	0	132	0	0	105	0	115	0	0	0	0	365	169	0	296	525	158	0	0	0	290	213	353	0
Hmces	100.171429	321	0	0	0	113	0	200	0	0	0	152	289	0	89	0	0	190	0	104	0	0	0	0	202	125	0	233	526	196	0	0	0	219	222	325	0
Pcdh9	100.142857	0	0	0	0	189	122	194	0	0	0	140	119	0	155	0	0	0	0	0	0	0	0	0	0	404	0	637	979	322	0	0	0	244	0	0	0
