Target_genes	Gata2|Average	SRX3014480|3T3-L1	SRX3014481|3T3-L1	SRX1056339|416B	SRX3014484|C3H/10T1/2	SRX3014485|C3H/10T1/2	SRX340953|FDCPmix	SRX340956|FDCPmix	SRX340959|FDCPmix	SRX340964|FDCPmix	SRX340965|FDCPmix	SRX340968|FDCPmix	SRX340969|FDCPmix	SRX079863|G1E	SRX079864|G1E	SRX100313|G1E	SRX145067|G1E	SRX1901617|G1E	SRX1901619|G1E	SRX145068|G1E-ER4+E2	SRX8820362|G1E-ER4+E2	SRX8820363|G1E-ER4+E2	SRX092597|G1ME	SRX035992|Hematopoietic_progenitors	SRX1939440|Lymphoid-primed_multipotent_progenitors	SRX206424|Mast_Cells	SRX310202|Mast_Cells	SRX9030837|Mast_Cells	SRX9030838|Mast_Cells	SRX9030839|Mast_Cells	SRX9030840|Mast_Cells	SRX1035383|mESC_derived_haematopoietic_progenitor	SRX1035394|mESC_derived_haematopoietic_progenitor	SRX2416653|Trophoblast_stem_cells	SRX1297850|Unclassified	SRX183894|Uterus	STRING
Fcer1g	100.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	1355	1353	0	149	124	0	0	0	0	0	228	0
Apoa2	100.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	485	485	0	0	0	0	0	0	0	0	1721	0
Acadl	99.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	343	0	0	0	0	0	0	692	695	146	227	848	0	0	0	0	0	247	0
Vmp1	99.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	943	983	0	0	0	0	0	0	264	264	0	139	0	0	0	0	0	0	625	0
Mthfsd	99.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	924	919	0	161	0	148	0	0	422	422	0	0	0	0	0	0	0	0	425	0
Zfp658	99.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898	895	211	381	563	0	0	0	0	0	543	0
Rpl37a	99.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	426	427	868	1077	250	0	0	0	0	0	351	0
Gfpt2	99.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1564	1493	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Arl8b	99.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	1034	1057	0	0	0	0	0	0	155	154	0	229	0	0	0	0	0	0	653	0
Nudt6	99.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	411	0	0	0	0	0	0	970	971	228	181	0	0	0	0	0	0	521	0
Frat1	99.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	868	1382	0	309	0	0	0	0	173	193	0	0	0	0	0	0	0	0	123	0
Ccdc174	99.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099	984	0	0	0	0	0	0	390	390	0	0	0	0	0	0	0	0	623	0
Calm1	99.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	424	395	0	0	0	0	0	0	670	670	0	281	0	0	0	0	0	0	908	0
Crtap	99.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	151	151	1152	1292	565	0	0	0	0	0	0	0
Sting1	99.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	490	728	903	868	0	0	0	0	0	0	0
Secisbp2l	99.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	353	0	0	0	0	0	241	764	764	0	0	0	0	0	0	0	0	980	0
Rnf128	99.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	1077	0	200	0	0	0	0	151	151	144	167	256	0	0	0	0	0	321	0
Nudt15	99.514286	0	0	0	0	0	142	0	0	149	0	108	329	0	0	0	0	191	158	0	85	0	0	0	0	557	560	153	301	192	0	0	0	0	0	558	0
Scmh1	99.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	206	620	892	174	0	0	0	0	0	1384	0
Ggt1	99.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	554	811	989	573	0	0	0	0	0	0	0
Zswim2	99.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	271	830	1359	745	0	0	0	0	0	0	0
Hrh1	99.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	624	644	846	741	0	0	0	0	0	0	0
Cysltr1	99.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	817	845	1009	0	0	0	0	0	0	0	0
Nxf1	99.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	1215	1509	0	0	0	0	0	0	164	161	0	0	0	0	0	0	0	0	94	0
Tti2	99.257143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	157	0	0	0	0	0	194	85	85	438	652	977	0	0	0	0	0	719	0
H2-M5	99.228571	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	309	340	0	0	0	0	0	0	0	0	741	1282	667	0	0	0	0	0	0	0
Klf13	99.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	1327	0	338	0	0	0	0	89	89	0	0	347	0	0	0	0	0	225	0
Chst8	99.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	999	0	0	604	0	0	0	0	0	878	0
Ppcdc	99.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	287	0	0	0	0	0	0	1155	1153	0	212	201	0	0	0	0	0	308	0
Klhdc1	99.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	1115	1019	0	92	0	0	0	0	190	188	0	0	184	0	0	0	0	0	555	0
Trim34a	99.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	319	0	0	0	0	0	0	1429	1319	0	0	0	0	0	0	0	0	139	0
Trappc9	99.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	1076	1147	0	132	0	0	0	0	238	240	0	0	0	0	0	0	0	0	480	0
Rnf123	99.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	283	469	0	0	0	0	0	340	698	696	0	0	0	0	0	0	0	0	805	0
Mst1	99.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	283	469	0	0	0	0	0	340	698	696	0	0	0	0	0	0	0	0	805	0
Adam8	99.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	979	556	748	206	0	0	0	0	0	0	0
Ndufc2	99.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	763	997	0	299	0	0	0	0	384	394	0	0	0	0	0	0	0	0	338	0
Ddt	99.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	147	0	0	0	0	0	0	931	930	0	0	0	0	0	0	0	0	1287	0
Tfpi	98.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	418	0	0	0	0	0	0	725	724	268	319	272	0	0	0	0	0	407	0
Nars	98.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	494	0	0	0	0	0	450	580	580	0	0	0	0	0	0	0	0	935	0
Rbms1	98.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	781	783	0	268	0	0	0	0	115	105	0	169	206	0	0	0	0	0	211	0
Clspn	98.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	143	247	0	0	0	0	0	0	1158	1148	0	0	0	0	0	0	0	0	541	0
Emilin1	98.828571	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	95	368	0	0	0	159	0	0	223	222	234	242	213	0	0	0	0	0	1381	0
Ecm1	98.828571	0	0	0	0	0	0	0	164	73	121	0	153	0	0	0	0	307	234	0	0	0	0	0	0	657	657	196	285	331	0	0	0	0	0	281	0
Ndufb5	98.800000	0	0	0	0	0	0	125	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	653	648	0	0	0	0	0	0	0	0	1377	0
Mrpl47	98.800000	0	0	0	0	0	0	125	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	653	648	0	0	0	0	0	0	0	0	1377	0
Satb1	98.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	201	925	1025	847	0	0	0	0	0	253	0
Prcd	98.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	733	659	0	128	0	154	0	341	538	535	0	0	0	0	0	0	0	0	209	0
Mark4	98.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	278	977	0	154	0	0	0	0	411	409	0	0	298	0	0	0	0	0	584	0
H2-T23	98.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	294	513	0	190	0	0	0	151	647	590	168	160	189	0	0	0	0	0	312	0
Rnf139	98.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	502	475	0	159	132	0	143	0	390	388	0	0	0	0	0	0	0	0	698	0
Gdpgp1	98.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	1092	109	0	0	0	0	0	382	386	0	0	0	0	0	0	0	0	644	0
Cib1	98.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	1092	109	0	0	0	0	0	382	386	0	0	0	0	0	0	0	0	644	0
Mzt1	98.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	975	1091	0	0	0	0	0	0	268	270	155	125	102	0	0	0	0	0	115	0
Bora	98.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	975	1091	0	0	0	0	0	0	268	270	155	125	102	0	0	0	0	0	115	0
Tut1	98.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	359	449	0	0	0	0	0	0	192	190	0	141	656	0	0	0	0	0	556	0
Ntn3	98.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	368	668	0	0	0	0	0	0	756	756	0	204	239	0	0	0	0	0	133	0
Luc7l	98.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	205	0	0	0	0	0	0	1011	997	164	226	0	0	0	0	0	0	734	0
Tarm1	98.257143	0	0	0	0	0	0	0	0	160	0	0	240	0	0	0	0	0	0	0	0	0	0	0	164	728	724	480	493	450	0	0	0	0	0	0	0
Sppl3	98.257143	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	610	610	0	0	514	0	0	0	0	0	919	0
Galc	98.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	241	0	0	0	0	0	0	168	170	544	833	976	0	0	0	0	0	378	0
Acyp1	98.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	871	1111	0	0	0	0	0	0	98	92	0	0	0	0	0	0	0	0	1043	0
Hjurp	98.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	317	0	123	0	0	87	0	442	442	233	258	304	0	0	0	0	0	848	0
A730008H23Rik	98.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	317	0	123	0	0	87	0	442	442	233	258	304	0	0	0	0	0	848	0
Zfp637	98.057143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	1042	1204	0	422	0	0	0	0	101	99	0	0	0	0	0	0	0	0	104	0
Slc45a3	98.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	800	0	0	0	0	0	0	162	161	543	831	587	0	0	0	0	0	0	0
Zfp326	98.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	220	0	0	0	0	0	0	1160	1164	235	285	0	0	0	0	0	0	246	0
Sbno2	97.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	237	183	182	279	486	0	174	0	0	0	0	770	770	0	0	0	0	225	0	0	0	123	0
Olfr701	97.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	596	623	0	123	0	0	0	0	190	190	499	666	162	0	0	0	0	0	0	0
Pcbp1	97.942857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	506	561	0	0	0	0	0	0	554	552	436	269	148	0	0	0	0	0	272	0
Tbcd	97.857143	0	0	0	0	0	0	138	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	693	686	0	0	0	0	0	0	0	0	972	0
Mnt	97.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	278	0	0	0	0	0	0	1137	1136	0	0	483	0	0	0	0	0	215	0
Smim8	97.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	923	1471	0	159	0	0	0	0	167	167	0	0	0	0	0	0	0	0	289	0
Ndufa6	97.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	257	0	0	0	0	0	0	716	717	227	365	332	0	0	0	0	0	602	0
Entpd6	97.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	299	0	0	0	0	0	0	292	291	0	112	329	0	0	0	0	0	1880	0
Ccny	97.742857	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	819	820	232	271	448	0	0	0	0	0	552	0
Mvk	97.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	406	496	0	156	0	0	0	368	500	501	0	220	0	0	0	0	0	0	629	0
Mmab	97.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	406	496	0	156	0	0	0	368	500	501	0	220	0	0	0	0	0	0	629	0
Snx12	97.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	499	594	0	0	0	0	0	0	502	506	0	174	626	0	0	0	0	0	393	0
Trpm7	97.628571	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	145	78	0	0	0	0	493	949	951	0	97	0	0	0	0	0	0	515	0
Map3k8	97.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	177	807	1207	587	0	0	0	0	0	462	0
Cdk19	97.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	472	896	0	832	0	0	0	0	211	211	0	0	0	0	0	0	0	0	355	0
Card6	97.628571	0	0	0	0	0	0	0	0	0	0	0	128	0	0	192	0	440	662	0	152	0	0	0	0	0	0	593	737	333	0	0	0	0	0	180	0
Egr2	97.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	1000	0	174	514	0	0	0	0	0	730	0
Ppp6c	97.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	563	499	0	140	0	0	0	0	490	489	0	152	0	0	0	0	0	0	1003	0
Trib1	97.514286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	235	235	0	0	725	0	0	0	0	0	2063	0
Pold3	97.485714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	143	0	0	0	0	0	438	840	834	0	0	0	0	0	0	0	0	1067	0
Gclm	97.485714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	894	1089	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	200	0
Acap1	97.457143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	232	0	0	0	0	0	0	432	434	630	770	706	0	0	0	0	0	0	0
Ufsp2	97.371429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	1116	0	176	0	0	0	0	200	200	180	310	107	0	0	0	0	0	174	0
Ndufs4	97.371429	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	623	627	0	0	0	0	0	0	0	0	1372	0
Kash5	97.371429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	1127	1129	188	212	148	0	0	0	0	0	458	0
1700029J07Rik	97.371429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	1116	0	176	0	0	0	0	200	200	180	310	107	0	0	0	0	0	174	0
Oaz1	97.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	535	0	306	0	228	0	0	289	287	273	299	194	0	0	0	0	0	640	0
Kansl3	97.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	218	227	0	0	0	0	176	119	751	755	144	197	148	0	0	0	0	0	562	0
Fer1l5	97.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	218	227	0	0	0	0	176	119	751	755	144	197	148	0	0	0	0	0	562	0
Rps23	97.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	411	596	0	0	0	0	0	0	0	0	760	829	359	0	0	0	0	0	230	0
Gns	97.228571	0	0	0	0	0	0	0	0	0	100	0	0	0	0	675	0	317	400	0	0	0	0	0	0	419	420	307	260	0	0	0	0	0	0	505	0
Riok1	97.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	269	0	0	0	0	0	206	681	685	0	0	0	0	0	0	0	0	1382	0
Cage1	97.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	269	0	0	0	0	0	206	681	685	0	0	0	0	0	0	0	0	1382	0
Ano6	97.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	1685	1128	0	0	0	0	0	0	185	184	0	0	0	0	0	0	0	0	81	0
Bag2	97.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	1016	1222	0	0	0	0	0	0	320	322	0	0	0	0	0	0	0	0	252	0
Spaar	97.028571	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	1646	0	0	0	0	0	0	0	0	0	0
Hrct1	97.028571	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	1646	0	0	0	0	0	0	0	0	0	0
Ccl1	97.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	217	452	538	1513	206	0	0	0	0	252	0
Slc14a1	96.971429	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	186	361	0	0	0	0	0	0	792	790	0	252	169	0	0	0	0	0	703	0
Ptpn3	96.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	421	598	792	1003	0	0	0	0	0	158	0
Ube2b	96.914286	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	309	0	204	558	558	0	0	0	0	0	0	0	0	1448	0
Hpn	96.914286	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	549	442	633	836	0	0	0	0	0	264	0
Cdkl3	96.914286	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	309	0	204	558	558	0	0	0	0	0	0	0	0	1448	0
Uri1	96.885714	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	218	493	0	0	0	0	0	0	0	0	591	563	655	0	0	0	0	0	744	0
Parn	96.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	216	0	0	0	0	0	0	1261	1262	0	68	110	0	0	0	0	0	341	0
Bfar	96.885714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	216	0	0	0	0	0	0	1261	1262	0	68	110	0	0	0	0	0	341	0
Itprid2	96.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	256	0	0	0	0	0	0	615	615	558	681	441	0	0	0	0	0	144	0
Cyb5a	96.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	280	615	683	1290	0	0	0	0	0	242	0
Abcc2	96.828571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	666	656	962	439	0	0	0	0	0	0	0
Ikzf4	96.771429	0	0	0	0	0	192	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	1311	1319	0	134	0	0	0	0	0	0	239	0
Cma1	96.771429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	223	333	0	0	0	0	0	0	719	715	454	569	192	0	0	0	0	0	0	0
Zfp672	96.742857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	1435	1077	0	0	0	0	0	0	143	145	0	0	0	0	0	0	0	0	356	0
Rdh11	96.742857	0	0	0	0	0	176	0	131	0	0	0	0	0	0	124	0	560	508	0	194	0	140	0	0	541	538	0	0	148	0	0	0	0	0	326	0
Mia2	96.685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	392	657	0	145	0	0	0	0	169	169	502	392	384	0	0	0	0	0	318	0
Kdm3a	96.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	738	673	0	119	0	0	0	0	316	314	121	200	217	0	0	0	0	0	357	0
Atp1b2	96.657143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	189	153	0	0	0	0	0	0	644	646	203	293	942	0	0	0	0	0	156	0
Cdh1	96.628571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	1396	1394	0	0	0	0	0	0	0	0	421	0
Tekt3	96.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	520	829	1178	328	0	0	0	0	0	0	0
Serinc4	96.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	216	358	0	0	0	0	0	0	922	924	0	216	0	0	0	0	0	0	636	0
Wrap53	96.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	573	0	0	0	0	0	290	235	244	173	376	0	0	0	0	0	0	1044	0
Trp53	96.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	573	0	0	0	0	0	290	235	244	173	376	0	0	0	0	0	0	1044	0
Hdc	96.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	424	0	0	0	0	0	0	544	542	251	381	1077	0	0	0	0	0	0	0
Zfp69	96.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	1304	1419	0	182	0	0	0	0	107	104	0	0	0	0	0	0	0	0	108	0
Tmem79	96.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	837	598	0	0	0	0	0	0	254	257	338	651	0	0	0	0	0	0	293	0
Smg5	96.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	837	598	0	0	0	0	0	0	254	257	338	651	0	0	0	0	0	0	293	0
Smpd1	96.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	245	540	0	0	0	0	0	0	799	801	203	220	101	0	0	0	0	0	264	0
Mpp6	96.257143	0	0	0	0	0	0	0	0	0	0	74	114	0	0	283	0	859	882	0	307	0	0	0	0	0	0	0	0	229	0	0	0	0	0	621	0
Atxn1	96.257143	0	0	0	0	0	0	127	0	0	103	0	0	0	0	132	0	0	154	0	0	0	0	0	0	1068	1068	178	220	197	0	0	0	0	0	122	0
Adamts5	96.257143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	1087	1090	98	295	247	0	0	0	0	0	397	0
Rrm2	96.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	606	0	302	0	0	0	0	792	798	0	0	0	0	0	0	0	0	276	0
Sf3b2	96.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	577	680	0	182	0	0	0	0	566	568	0	153	155	0	0	0	0	0	353	0
Naip5	96.171429	0	0	0	0	0	0	0	0	0	201	0	326	0	0	0	0	234	146	0	0	0	0	0	0	237	225	110	139	169	0	0	0	0	0	1579	0
Gal3st3	96.171429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	577	680	0	182	0	0	0	0	566	568	0	153	155	0	0	0	0	0	353	0
Stab2	96.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	225	853	1171	888	0	0	0	0	0	0	0
Ppp1r3c	96.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1318	1321	0	0	0	0	0	0	0	0	726	0
Hdac4	96.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	691	917	877	0	0	0	0	0	240	0
Scyl3	96.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	502	665	0	156	0	0	0	310	284	284	0	0	0	0	0	0	0	0	865	0
BB287469	96.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	1106	916	0	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcn1	96.114286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	492	490	0	256	162	0	0	0	0	0	1796	0
Abhd15	96.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	234	0	0	0	0	0	0	875	877	280	456	162	0	0	0	0	0	134	0
Vipr1	96.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	593	0	146	1887	143	0	0	0	0	0	0
Lyzl4	96.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	593	0	146	1887	143	0	0	0	0	0	0
Elmo3	96.028571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	1303	1301	0	0	503	0	0	0	0	0	149	0
Bmp7	96.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	541	824	974	294	0	0	0	0	0	186	0
Tacc2	95.971429	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	665	0	244	0	0	0	0	0	0	1632	0
Npl	95.971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	243	139	0	0	0	0	0	0	303	304	541	425	892	0	0	0	0	0	425	0
Ubox5	95.942857	0	0	0	0	0	0	0	0	121	0	0	248	0	0	0	0	503	475	0	123	0	0	0	447	160	159	0	0	0	0	0	0	0	0	1122	0
Fastkd5	95.942857	0	0	0	0	0	0	0	0	121	0	0	248	0	0	0	0	503	475	0	123	0	0	0	447	160	159	0	0	0	0	0	0	0	0	1122	0
Cd83	95.914286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	693	285	494	963	0	0	0	0	0	228	0
Prrt1	95.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	1071	117	132	428	0	0	0	0	0	536	0
H2bc18	95.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	279	396	0	0	0	0	0	286	814	826	0	0	0	0	0	0	0	0	618	0
Cacng7	95.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	1202	337	426	0	0	0	0	0	0	180	0
Nudcd3	95.800000	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	95	101	0	0	0	0	0	210	1078	1070	0	0	0	0	0	0	0	0	720	0
Asph	95.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	263	468	0	0	0	0	0	0	488	488	309	347	539	0	0	0	0	0	233	0
Lsm12	95.771429	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	726	726	0	0	0	0	0	0	0	0	1380	0
