Target_genes	Esrra|Average	SRX21934343|Brown_adipocytes	SRX17622702|Brown_adipose_tissue	SRX17622703|Brown_adipose_tissue	SRX1890323|Brown_adipose_tissue	SRX1890324|Brown_adipose_tissue	SRX1716885|C2C12	SRX24915614|Duodenal_villus	SRX24915615|Duodenal_villus	SRX1743135|Frontal_cortex	SRX1743136|Frontal_cortex	SRX15672330|Liver	SRX15672332|Liver	SRX18421145|Liver	SRX18421147|Liver	SRX18421149|Skeletal_muscle	SRX18421151|Skeletal_muscle	SRX218535|Unclassified	STRING
Tex14	75.058824	554	0	0	250	472	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl9	75.058824	578	0	0	338	360	0	0	0	0	0	0	0	0	0	0	0	0	0
Capns2	75.000000	507	0	162	215	391	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf4	74.941176	148	0	0	0	0	0	0	0	216	298	0	171	76	177	0	0	188	0
Slc25a44	74.882353	389	0	265	130	0	0	0	0	0	0	0	0	0	0	0	0	489	0
Guf1	74.882353	0	0	412	0	0	127	0	0	172	296	0	0	0	154	0	0	112	0
Foxk2	74.882353	0	0	99	0	0	184	0	0	203	284	0	0	0	0	0	0	503	0
Nup54	74.823529	336	0	0	256	283	176	0	0	113	108	0	0	0	0	0	0	0	0
Lpl	74.823529	549	0	0	318	405	0	0	0	0	0	0	0	0	0	0	0	0	0
Insr	74.823529	333	0	152	0	296	143	0	0	94	0	0	0	0	0	0	0	254	0
Herc2	74.823529	391	0	0	184	288	193	0	0	0	98	0	0	0	0	0	0	118	0
S100b	74.764706	353	0	450	225	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl21c	74.764706	724	0	0	196	351	0	0	0	0	0	0	0	0	0	0	0	0	0
Bik	74.764706	278	0	172	117	217	0	0	0	0	0	0	0	0	0	0	0	487	0
Bcl6	74.764706	621	0	281	183	186	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1b10	74.764706	511	0	278	258	224	0	0	0	0	0	0	0	0	0	0	0	0	0
Oaz2	74.705882	452	0	232	176	142	0	0	0	0	0	0	0	0	0	0	0	268	0
Car4	74.705882	508	0	165	278	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5741	74.588235	122	0	347	0	0	460	0	0	0	118	0	0	0	0	0	0	221	0
Dram2	74.588235	391	0	173	252	354	0	0	0	0	98	0	0	0	0	0	0	0	0
Dhps	74.588235	122	0	347	0	0	460	0	0	0	118	0	0	0	0	0	0	221	0
Cept1	74.588235	391	0	173	252	354	0	0	0	0	98	0	0	0	0	0	0	0	0
Cd163l1	74.529412	0	0	0	0	0	342	0	0	542	383	0	0	0	0	0	0	0	0
Tmem37	74.470588	403	157	214	121	145	0	0	0	0	0	0	0	0	0	0	0	226	0
Ammecr1l	74.411765	451	0	191	341	190	0	0	0	92	0	0	0	0	0	0	0	0	0
Ppm1b	74.352941	421	0	190	0	145	0	0	0	185	104	0	0	0	106	0	113	0	0
Tmem268	74.294118	199	0	96	110	249	0	0	0	122	234	0	0	0	0	0	112	141	0
Slc7a10	74.294118	238	0	0	201	181	0	0	0	0	71	0	0	0	210	0	0	362	0
Zfp933	74.235294	294	0	234	99	94	0	0	0	0	0	0	0	134	0	0	0	407	0
Slc25a33	74.235294	140	0	0	154	244	104	0	0	96	0	0	0	0	0	0	0	524	0
Slc1a4	74.235294	212	0	238	148	179	75	222	0	0	0	0	0	0	0	0	0	188	0
Phgdh	74.235294	437	0	0	406	332	0	0	0	87	0	0	0	0	0	0	0	0	0
Pcyt2	74.235294	145	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	911	0
Prrc1	74.176471	307	161	284	176	0	0	0	0	0	136	0	0	0	0	0	0	197	0
Gm13212	74.176471	0	0	0	0	0	0	0	0	294	294	244	133	129	0	167	0	0	0
Gas2l1	74.176471	458	0	0	0	489	0	0	0	177	137	0	0	0	0	0	0	0	0
Fbxo32	74.176471	513	0	0	196	463	0	0	0	0	89	0	0	0	0	0	0	0	0
Coa4	74.176471	498	0	69	369	198	0	0	0	0	127	0	0	0	0	0	0	0	0
Hdac5	74.117647	153	99	281	176	130	0	0	0	185	236	0	0	0	0	0	0	0	0
Fam149b	74.117647	593	0	0	413	254	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecd	74.117647	593	0	0	413	254	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnot8	74.117647	221	0	95	286	136	0	0	0	0	0	0	0	0	106	0	0	416	0
Slc13a2	74.000000	477	0	189	245	347	0	0	0	0	0	0	0	0	0	0	0	0	0
Sctr	74.000000	593	0	0	362	303	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgd4	74.000000	359	0	341	222	245	0	0	0	91	0	0	0	0	0	0	0	0	0
Rgl3	73.941176	351	0	351	165	217	0	0	0	0	0	0	0	0	0	0	0	173	0
Rnaset2a	73.882353	249	0	213	139	226	0	0	0	0	161	0	0	0	0	0	0	268	0
Ivns1abp	73.882353	120	181	480	139	0	0	0	0	96	240	0	0	0	0	0	0	0	0
Ccar2	73.823529	372	0	0	327	249	0	0	0	0	0	0	0	0	0	0	0	307	0
Mat2b	73.764706	248	160	224	0	128	0	0	0	204	290	0	0	0	0	0	0	0	0
Dusp7	73.705882	349	141	310	207	246	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc1	73.647059	318	116	142	353	323	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem242	73.588235	440	0	223	167	224	197	0	0	0	0	0	0	0	0	0	0	0	0
Taok3	73.588235	0	0	156	0	0	0	0	0	0	0	0	0	129	134	0	0	832	0
Aldoart1	73.588235	0	0	0	0	0	0	1251	0	0	0	0	0	0	0	0	0	0	0
Wdr35	73.529412	377	0	0	360	513	0	0	0	0	0	0	0	0	0	0	0	0	0
Trib1	73.529412	516	0	92	379	263	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem201	73.529412	110	0	412	269	0	0	0	0	140	118	0	0	0	0	0	0	201	0
Nectin1	73.529412	113	0	282	0	110	0	0	0	0	0	0	0	0	124	0	0	621	0
Sec31a	73.411765	123	0	153	0	0	0	0	0	0	102	0	149	122	127	0	0	472	0
Hpn	73.411765	227	0	160	145	145	0	127	0	0	0	0	0	0	165	0	0	279	0
Accsl	73.411765	548	0	139	244	317	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs9bp	73.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	1004	0
Ing1	73.117647	382	0	230	326	186	0	0	0	0	119	0	0	0	0	0	0	0	0
Zfp703	73.000000	251	0	216	180	146	0	0	0	181	267	0	0	0	0	0	0	0	0
Sac3d1	73.000000	509	0	245	268	0	0	0	0	0	0	0	0	0	0	0	0	219	0
Wipi2	72.882353	205	0	243	261	91	0	0	0	0	119	0	0	0	0	0	0	320	0
Mtpap	72.823529	240	0	97	257	186	159	0	0	0	0	0	0	0	0	0	0	299	0
Tmem69	72.764706	281	0	111	73	98	127	0	0	171	188	0	0	0	0	0	0	188	0
Gpbp1l1	72.764706	281	0	111	73	98	127	0	0	171	188	0	0	0	0	0	0	188	0
Arfgef2	72.764706	131	0	163	108	0	0	0	0	187	273	0	0	0	128	0	0	247	0
Srgap2	72.705882	320	0	0	288	390	0	0	0	0	0	0	0	0	0	0	0	238	0
Fam72a	72.705882	320	0	0	288	390	0	0	0	0	0	0	0	0	0	0	0	238	0
Dnajc25	72.705882	262	0	264	204	118	0	0	0	0	79	0	0	0	0	0	0	309	0
Ugt3a1	72.647059	0	0	0	0	0	0	0	0	0	0	0	0	206	243	0	0	786	0
Hfe	72.647059	266	0	311	149	193	0	0	0	0	0	0	0	0	0	0	0	316	0
Gm9758	72.647059	0	0	0	0	0	0	0	0	0	0	190	172	164	160	229	155	165	0
Rnd3	72.529412	307	0	0	268	199	0	0	0	92	100	0	0	0	125	0	0	142	0
Lrmp	72.529412	277	140	274	291	251	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp661	72.470588	549	0	0	318	87	0	0	0	0	135	0	0	0	0	0	0	143	0
Tmem143	72.470588	411	0	290	191	340	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngr4	72.470588	411	0	290	191	340	0	0	0	0	0	0	0	0	0	0	0	0	0
Vdac3	72.411765	0	211	498	0	0	0	0	0	233	177	0	0	0	0	0	0	112	0
H60c	72.411765	435	0	0	260	536	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn1	72.411765	436	0	194	181	213	0	0	0	65	0	0	0	0	0	0	0	142	0
Tafa5	72.352941	0	0	0	0	0	0	0	0	306	358	0	0	154	0	0	0	412	0
Pik3c2g	72.352941	494	0	179	202	355	0	0	0	0	0	0	0	0	0	0	0	0	0
Il10rb	72.352941	540	0	140	222	328	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja2	72.352941	93	0	125	0	0	205	0	0	339	244	0	0	0	224	0	0	0	0
Rnf14	72.294118	0	202	368	0	0	130	0	0	249	280	0	0	0	0	0	0	0	0
Mitf	72.294118	253	0	0	122	162	0	0	0	264	428	0	0	0	0	0	0	0	0
Lyst	72.294118	299	0	0	79	0	0	0	0	120	176	0	0	0	171	0	0	384	0
Zbtb7a	72.235294	94	0	0	0	0	0	0	0	0	0	0	0	160	153	0	0	821	0
Ube2d2a	72.176471	454	0	129	140	196	0	0	0	72	87	0	0	0	0	0	0	149	0
Tyw1	72.176471	238	96	409	159	201	0	0	0	0	124	0	0	0	0	0	0	0	0
Sbds	72.176471	238	96	409	159	201	0	0	0	0	124	0	0	0	0	0	0	0	0
Slc22a23	72.117647	216	95	236	90	116	0	0	0	76	82	0	0	0	0	0	0	315	0
Slc12a4	72.117647	110	0	0	0	0	0	0	0	0	0	0	68	124	150	0	0	774	0
Sh3bp5	72.117647	411	0	282	224	0	0	0	0	0	84	0	0	0	0	0	0	225	0
Map3k12	72.117647	393	182	209	172	123	0	0	0	0	0	0	0	0	0	0	0	147	0
Gsta2	72.058824	339	0	0	369	121	122	0	0	0	0	0	0	0	0	0	0	274	0
Plin3	72.000000	351	0	155	220	374	0	0	0	0	0	0	0	0	0	0	0	124	0
Ppp2r5a	71.941176	251	0	147	235	178	246	0	0	0	166	0	0	0	0	0	0	0	0
Rnf220	71.882353	620	0	112	164	326	0	0	0	0	0	0	0	0	0	0	0	0	0
Psrc1	71.882353	0	0	0	0	0	0	0	0	0	0	0	124	159	235	0	0	704	0
Nktr	71.882353	87	0	106	0	100	0	0	0	88	71	0	86	144	184	0	0	356	0
Nek11	71.882353	246	0	220	236	128	0	0	0	76	188	0	0	0	0	0	0	128	0
Aste1	71.882353	246	0	220	236	128	0	0	0	76	188	0	0	0	0	0	0	128	0
Slc29a2	71.823529	304	0	94	89	0	0	0	0	130	176	0	0	0	0	104	100	224	0
Percc1	71.823529	480	0	0	427	314	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt2	71.823529	224	0	348	193	169	0	0	0	0	0	0	0	0	0	0	0	287	0
Dusp4	71.823529	156	0	0	80	0	0	0	0	0	0	0	85	140	173	0	0	587	0
BC003965	71.823529	480	0	0	427	314	0	0	0	0	0	0	0	0	0	0	0	0	0
Elovl6	71.764706	347	0	288	325	260	0	0	0	0	0	0	0	0	0	0	0	0	0
Vnn3	71.705882	640	0	82	246	251	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhmt	71.705882	0	0	0	158	0	0	0	0	0	0	0	0	218	271	0	0	572	0
Sp2	71.647059	289	0	146	143	146	0	0	0	0	88	0	0	0	0	0	0	406	0
Prkcsh	71.588235	300	0	112	486	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob4	71.588235	536	0	117	0	118	0	0	0	0	84	0	0	0	0	0	0	362	0
Ccdc151	71.588235	300	0	112	486	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd17	71.588235	0	152	556	0	0	0	0	0	244	265	0	0	0	0	0	0	0	0
Arsg	71.529412	0	0	0	0	0	0	0	0	0	0	0	100	75	235	0	0	806	0
Shisa5	71.352941	450	0	0	247	223	0	0	0	0	0	0	0	0	0	0	0	293	0
Mfrp	71.352941	503	0	149	327	98	0	0	0	0	136	0	0	0	0	0	0	0	0
Fam241a	71.352941	530	0	132	241	199	0	0	0	0	111	0	0	0	0	0	0	0	0
C1qtnf5	71.352941	503	0	149	327	98	0	0	0	0	136	0	0	0	0	0	0	0	0
Zbtb34	71.294118	478	0	149	319	266	0	0	0	0	0	0	0	0	0	0	0	0	0
Per2	71.235294	435	0	0	153	197	0	0	0	0	0	0	0	0	102	0	0	324	0
Igfbp4	71.235294	472	0	279	228	232	0	0	0	0	0	0	0	0	0	0	0	0	0
Safb2	71.176471	181	0	165	0	0	0	0	0	76	166	0	162	0	124	0	0	336	0
Safb	71.176471	181	0	165	0	0	0	0	0	76	166	0	162	0	124	0	0	336	0
Ppp1r12b	71.176471	456	0	98	267	159	0	0	0	84	146	0	0	0	0	0	0	0	0
Eloc	71.176471	203	0	281	193	86	0	0	0	0	98	0	0	0	0	0	0	349	0
Klhl20	71.117647	647	0	0	218	344	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlcd3b	71.000000	612	0	0	327	268	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs3	71.000000	310	0	264	232	248	0	0	0	0	0	0	0	0	0	0	0	153	0
Cacna1h	71.000000	0	0	0	0	0	0	0	0	0	0	0	0	163	186	0	0	858	0
Bpifb3	71.000000	580	0	255	185	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b1	70.941176	537	0	0	274	395	0	0	0	0	0	0	0	0	0	0	0	0	0
Anapc5	70.941176	500	0	155	178	190	0	0	0	0	183	0	0	0	0	0	0	0	0
Zfp428	70.882353	308	0	308	142	191	0	0	0	0	0	0	0	0	0	0	0	256	0
Gstm6	70.882353	219	0	285	0	0	91	0	0	0	0	0	0	0	104	0	0	506	0
Trmt9b	70.823529	0	0	100	0	186	0	0	0	0	0	0	0	0	141	0	0	777	0
Mb	70.823529	640	0	150	168	246	0	0	0	0	0	0	0	0	0	0	0	0	0
Ckb	70.823529	205	0	374	148	157	0	179	141	0	0	0	0	0	0	0	0	0	0
Ubxn2a	70.764706	311	0	140	278	410	0	0	0	0	64	0	0	0	0	0	0	0	0
Pag1	70.764706	455	0	117	214	221	0	0	0	83	113	0	0	0	0	0	0	0	0
Fcgrt	70.764706	277	0	195	352	233	0	0	0	0	0	0	0	0	0	0	0	146	0
Slc41a3	70.647059	242	0	309	233	225	0	0	0	0	0	0	0	0	0	0	0	192	0
Nop53	70.588235	252	0	219	209	195	0	0	0	0	121	0	0	0	0	0	0	204	0
Nlrp10	70.588235	657	0	0	286	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqcc	70.588235	488	0	0	418	294	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3f	70.588235	657	0	0	286	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpb	70.588235	576	0	0	205	292	0	0	0	0	127	0	0	0	0	0	0	0	0
Ccdc28b	70.588235	488	0	0	418	294	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfatc1	70.529412	383	172	311	163	170	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptcd2	70.470588	106	0	261	0	0	152	0	0	107	154	0	0	0	177	0	0	241	0
Mrps27	70.470588	106	0	261	0	0	152	0	0	107	154	0	0	0	177	0	0	241	0
2010003K11Rik	70.470588	392	0	247	240	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Plk3	70.411765	263	0	258	109	256	0	0	0	0	0	0	0	0	0	0	0	311	0
H2-T9	70.352941	111	0	0	104	148	0	0	0	0	0	0	0	0	187	0	0	646	0
H2-T22	70.352941	111	0	0	104	148	0	0	0	0	0	0	0	0	187	0	0	646	0
Gm6034	70.352941	111	0	0	104	148	0	0	0	0	0	0	0	0	187	0	0	646	0
Ythdf3	70.235294	118	106	400	0	0	260	0	0	160	150	0	0	0	0	0	0	0	0
Rusc1	70.235294	407	89	261	283	154	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmntd1	70.235294	423	0	266	334	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama5	70.176471	527	0	115	259	292	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk2	70.176471	577	0	0	314	302	0	0	0	0	0	0	0	0	0	0	0	0	0
Trex1	70.117647	450	0	0	247	223	0	0	0	0	0	0	0	0	0	0	0	272	0
Ptges2	70.117647	459	0	268	136	0	0	0	0	0	0	0	0	0	0	0	0	329	0
Hspa4	70.117647	268	0	132	0	271	0	0	0	90	0	0	0	0	0	0	0	431	0
Tarbp2	70.058824	393	182	209	172	123	0	0	0	0	0	0	0	0	0	0	0	112	0
Myo1a	70.000000	315	0	129	175	0	176	0	0	0	0	0	0	0	0	0	0	395	0
Chic2	70.000000	324	0	0	195	112	0	0	0	0	100	0	0	0	189	0	0	270	0
Uhrf1bp1l	69.823529	319	0	104	112	0	0	0	0	131	269	0	0	0	91	0	0	161	0
Slc26a8	69.823529	487	0	102	273	214	111	0	0	0	0	0	0	0	0	0	0	0	0
Ldb3	69.823529	386	0	0	312	240	0	139	110	0	0	0	0	0	0	0	0	0	0
Ttll1	69.764706	445	0	361	217	163	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx32	69.764706	267	0	190	167	0	64	0	0	0	79	0	0	0	0	0	0	419	0
Calhm6	69.705882	441	0	174	245	325	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl32l	69.647059	0	0	0	0	0	0	0	0	0	0	0	133	182	304	0	0	565	0
Nemf	69.647059	171	0	0	250	177	194	0	0	0	146	0	0	0	0	0	0	246	0
Snrnp27	69.588235	244	0	113	254	197	143	0	0	90	142	0	0	0	0	0	0	0	0
Zfp143	69.470588	283	0	314	140	117	0	0	0	140	187	0	0	0	0	0	0	0	0
Josd2	69.470588	183	0	130	176	106	0	0	0	0	0	0	0	0	106	0	0	480	0
Dusp28	69.470588	136	0	376	221	146	0	0	0	0	0	0	134	0	168	0	0	0	0
Dbh	69.470588	426	0	196	296	263	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspdh	69.470588	183	0	130	176	106	0	0	0	0	0	0	0	0	106	0	0	480	0
Ankmy1	69.470588	136	0	376	221	146	0	0	0	0	0	0	134	0	168	0	0	0	0
Nop14	69.352941	444	0	151	305	195	0	0	0	84	0	0	0	0	0	0	0	0	0
Grk4	69.352941	444	0	151	305	195	0	0	0	84	0	0	0	0	0	0	0	0	0
Yipf3	69.294118	334	0	334	253	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr1c	69.294118	334	0	334	253	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Nop58	69.294118	651	0	0	370	157	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm44805	69.294118	0	0	0	0	0	0	0	0	0	0	0	0	156	257	0	0	765	0
Dtd2	69.294118	349	0	410	207	212	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoc4	69.294118	0	0	0	0	0	0	0	0	0	0	0	0	156	257	0	0	765	0
Amz2	69.294118	204	138	294	307	0	0	0	0	127	108	0	0	0	0	0	0	0	0
Aga	69.294118	152	0	109	0	113	0	0	0	108	145	0	0	0	84	0	0	467	0
Marchf5	69.235294	255	0	141	215	195	0	0	0	100	103	0	0	0	0	0	0	168	0
Arhgap26	69.235294	103	220	589	0	0	0	0	0	133	132	0	0	0	0	0	0	0	0
Zcchc7	69.058824	444	0	127	145	458	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn6	69.058824	287	240	379	190	78	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3r1	69.058824	327	138	197	285	227	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdgfl2	69.058824	287	240	379	190	78	0	0	0	0	0	0	0	0	0	0	0	0	0
Sertad3	69.000000	282	0	0	225	172	0	0	0	0	0	0	0	0	0	0	0	494	0
Napepld	69.000000	313	143	180	293	146	0	0	0	98	0	0	0	0	0	0	0	0	0
Helb	68.941176	411	0	197	275	201	0	0	0	0	88	0	0	0	0	0	0	0	0
Exoc6	68.941176	0	0	316	0	0	125	0	0	108	188	0	0	0	197	0	0	238	0
Snx14	68.882353	0	148	621	0	0	0	0	0	141	261	0	0	0	0	0	0	0	0
H3f3b	68.882353	333	0	0	350	285	0	0	0	103	100	0	0	0	0	0	0	0	0
Cln3	68.882353	253	178	288	166	286	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp1a1	68.882353	0	0	0	0	0	0	0	0	0	119	0	0	107	186	0	0	759	0
Apobr	68.882353	253	178	288	166	286	0	0	0	0	0	0	0	0	0	0	0	0	0
Higd1a	68.764706	205	0	220	0	0	0	0	0	115	229	0	0	0	120	0	89	191	0
Fxyd3	68.764706	373	0	355	0	186	0	0	0	0	0	0	0	0	0	0	0	255	0
Acsf3	68.764706	601	0	0	298	270	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtna	68.705882	482	0	89	231	282	0	0	0	0	84	0	0	0	0	0	0	0	0
Soga1	68.647059	402	0	0	255	510	0	0	0	0	0	0	0	0	0	0	0	0	0
Eipr1	68.647059	152	0	138	0	124	0	0	0	191	164	0	0	0	0	0	0	398	0
Maz	68.588235	627	0	73	276	190	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap4e1	68.588235	521	0	89	251	94	159	0	0	0	52	0	0	0	0	0	0	0	0
Acy3	68.588235	220	0	133	193	153	0	0	0	0	0	0	0	0	0	0	0	467	0
Xylb	68.529412	0	0	0	0	0	0	0	0	191	367	0	0	0	142	0	0	465	0
Tm7sf3	68.529412	149	0	189	0	0	208	0	0	0	115	0	0	0	0	0	0	504	0
Gm12248	68.529412	221	0	0	286	136	0	0	0	0	0	0	0	0	106	0	0	416	0
Cldn18	68.529412	0	0	0	0	0	159	0	0	532	474	0	0	0	0	0	0	0	0
Zfp438	68.470588	398	0	291	212	154	0	0	0	0	109	0	0	0	0	0	0	0	0
Npm2	68.470588	480	0	0	365	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc27a1	68.411765	173	0	231	330	293	0	0	0	0	136	0	0	0	0	0	0	0	0
H4c18	68.411765	608	0	0	238	317	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2f1	68.411765	491	0	0	309	363	0	0	0	0	0	0	0	0	0	0	0	0	0
Dkk2	68.411765	0	0	0	0	0	0	0	0	0	0	0	0	83	199	0	0	881	0
Ptprs	68.294118	0	124	0	0	0	0	0	0	0	0	0	0	213	193	0	0	631	0
Mef2d	68.235294	219	0	311	178	177	0	0	0	0	0	0	0	0	0	0	0	275	0
Lclat1	68.176471	201	0	153	0	115	0	0	0	0	0	0	0	142	159	0	0	389	0
Rgl2	68.117647	348	0	0	127	273	150	0	0	0	0	0	0	0	0	0	0	260	0
Rbm48	68.117647	441	0	119	111	234	0	0	0	85	168	0	0	0	0	0	0	0	0
Pex1	68.117647	441	0	119	111	234	0	0	0	85	168	0	0	0	0	0	0	0	0
Cisd2	68.117647	335	0	214	231	140	0	0	0	0	0	0	0	0	0	0	0	238	0
Pla1a	68.058824	497	0	284	209	167	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpc2	68.058824	295	0	299	0	0	0	0	0	98	136	0	0	0	0	0	98	231	0
Itga1	68.058824	397	0	227	207	217	0	0	0	0	109	0	0	0	0	0	0	0	0
Hmgcl	68.058824	0	0	0	0	0	0	0	0	0	0	0	0	144	181	0	0	832	0
Dcaf6	68.058824	295	0	299	0	0	0	0	0	98	136	0	0	0	0	0	98	231	0
Clptm1	67.882353	267	0	0	298	309	0	0	0	0	97	0	0	0	0	0	0	183	0
Scp2	67.823529	345	0	245	340	223	0	0	0	0	0	0	0	0	0	0	0	0	0
Ybx2	67.764706	378	0	216	240	318	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2ca	67.764706	446	0	0	205	114	0	0	0	71	67	0	0	0	0	0	0	249	0
C1galt1	67.764706	477	0	229	258	0	0	0	0	75	113	0	0	0	0	0	0	0	0
Icam1	67.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	999	0
AA986860	67.705882	0	0	0	0	0	0	0	0	0	0	0	0	185	310	0	0	656	0
Fam160a2	67.588235	208	167	515	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd10	67.588235	369	93	215	171	0	0	0	0	97	204	0	0	0	0	0	0	0	0
Pdp1	67.529412	448	0	0	197	332	0	0	0	76	95	0	0	0	0	0	0	0	0
Vps33a	67.470588	682	0	0	274	191	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg101	67.411765	318	0	180	358	290	0	0	0	0	0	0	0	0	0	0	0	0	0
Palmd	67.352941	295	0	0	171	0	0	0	0	0	0	0	0	0	219	0	0	460	0
Cdc37l1	67.352941	0	0	0	0	0	0	0	0	123	221	0	0	208	231	0	0	362	0
Slc25a11	67.294118	0	0	325	0	0	0	0	0	308	511	0	0	0	0	0	0	0	0
Rnf167	67.294118	0	0	325	0	0	0	0	0	308	511	0	0	0	0	0	0	0	0
Psd	67.294118	233	0	455	184	176	96	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl15	67.294118	233	0	455	184	176	96	0	0	0	0	0	0	0	0	0	0	0	0
Asph	67.294118	0	0	327	62	293	0	0	0	173	134	0	0	0	0	0	0	155	0
Dsn1	67.235294	0	0	0	0	0	0	0	0	336	293	0	0	0	136	0	0	378	0
Ttc41	67.176471	247	0	141	148	129	111	0	0	145	221	0	0	0	0	0	0	0	0
Tada1	67.176471	345	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0
Smim41	67.176471	320	0	222	208	273	0	0	0	0	0	0	0	0	0	0	0	119	0
Ptpre	67.176471	114	0	0	0	0	0	0	0	0	0	0	0	0	134	0	189	705	0
Mavs	67.176471	207	0	154	79	124	0	0	0	0	0	0	0	127	0	0	0	451	0
Hsp90b1	67.176471	247	0	141	148	129	111	0	0	145	221	0	0	0	0	0	0	0	0
Hal	67.176471	568	0	0	137	437	0	0	0	0	0	0	0	0	0	0	0	0	0
Spry2	67.117647	0	0	0	0	0	0	0	0	369	595	0	0	0	0	0	177	0	0
Znfx1	67.058824	421	0	85	390	244	0	0	0	0	0	0	0	0	0	0	0	0	0
Nub1	67.058824	190	211	455	116	0	104	0	0	0	64	0	0	0	0	0	0	0	0
Larp1	67.000000	213	172	399	130	0	0	0	0	107	118	0	0	0	0	0	0	0	0
Adipoq	67.000000	491	0	0	200	448	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcta	66.882353	362	0	128	277	154	0	0	0	93	0	0	0	0	0	0	0	123	0
Rhoa	66.882353	362	0	128	277	154	0	0	0	93	0	0	0	0	0	0	0	123	0
Dnaja1	66.882353	164	147	281	181	190	0	0	0	68	106	0	0	0	0	0	0	0	0
Them4	66.823529	247	0	266	154	0	0	0	0	0	170	0	0	0	0	0	0	299	0
Grpel1	66.823529	244	0	423	164	138	0	0	0	0	0	0	0	0	0	0	0	167	0
Acot11	66.823529	418	0	216	246	256	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp2	66.764706	349	0	231	243	100	0	0	0	0	0	0	0	0	0	0	0	212	0
Amy1	66.764706	542	0	0	232	361	0	0	0	0	0	0	0	0	0	0	0	0	0
Ywhab	66.705882	420	0	146	171	155	0	0	0	102	140	0	0	0	0	0	0	0	0
Scpep1	66.647059	326	0	419	265	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranbp3	66.647059	410	0	183	241	299	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc33a1	66.588235	434	0	0	315	285	0	0	0	0	98	0	0	0	0	0	0	0	0
Depdc5	66.588235	433	0	0	112	0	0	0	0	194	177	0	0	0	0	0	0	216	0
Pcyox1	66.470588	382	0	133	331	197	0	0	0	0	87	0	0	0	0	0	0	0	0
