Target_genes	Hif1a|Average	SRX13832293|BEko	SRX13832294|BEko	SRX13832299|BEko	SRX13832300|BEko	SRX9718436|B_cells	SRX21404931|CD4+_T_cells	SRX21404933|CD4+_T_cells	SRX21404935|CD4+_T_cells	SRX21404937|CD4+_T_cells	SRX21404939|CD4+_T_cells	SRX21404941|CD4+_T_cells	SRX122402|Dendritic_Cells	SRX122403|Dendritic_Cells	SRX122404|Dendritic_Cells	SRX122405|Dendritic_Cells	SRX698168|Embryonic_heart	SRX698169|Embryonic_heart	SRX7541943|EpiSC	SRX7541944|EpiSC	SRX8844230|EpiSC	SRX8844231|EpiSC	SRX13945543|ES_cells	SRX13945544|ES_cells	SRX13945545|ES_cells	SRX13945546|ES_cells	SRX13945547|ES_cells	SRX13945548|ES_cells	SRX2146745|Melanocytes	SRX2146746|Melanocytes	SRX23691463|Periosteum	SRX3331740|Prefrontal_Cortex	SRX3331741|Prefrontal_Cortex	SRX3331742|Prefrontal_Cortex	SRX3331743|Prefrontal_Cortex	SRX13253003|Prostate_carcinoma	SRX187224|Th17_Cells	SRX187225|Th17_Cells	STRING
Ptrhd1	31.945946	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	81	0	0	0	0	121	0	431	0	142	126	0	0	0	0	0	0	0	0	0	93	0
Katnal2	31.945946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	437	0	0	0	0	0	0	0	0	0
Cenpo	31.945946	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	81	0	0	0	0	121	0	431	0	142	126	0	0	0	0	0	0	0	0	0	93	0
Il10ra	31.891892	0	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep41	31.891892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	496	413	0	0	0	0	0	213	0	0	0
Dvl2	31.864865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	792	260	0	0	0	0	0	0	0	0	0
Cxxc5	31.864865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	270	0	0	0	0	0	0	0	0	0
Slc17a7	31.837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	574	121	182	185	0	0	0	0	0	0	0	0	0	0	0
Slc35a5	31.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	730	247	0	0	0	0	0	102	0	0	0
Rap2a	31.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	733	288	0	0	0	0	0	0	0	0	0
Atg3	31.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	730	247	0	0	0	0	0	102	0	0	0
Lrrc56	31.756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	599	0	0	0	0	0	0	0	0	0
Hras	31.756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	599	0	0	0	0	0	0	0	0	0
Snx3	31.702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	387	0	108	0	0	0	0	0	0	0	0	137	181	235	0
Pgbd1	31.702703	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	162	0	388	166	0	129	0	0	0	0	0	0	0	0	0	162	0
Fam13b	31.702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf8	31.675676	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	97	0	142	0	0	128	0	391	0	0	0	0	0	0	0	0	0	0	0	0	105	0
Tubd1	31.594595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	373	0	163	174	0	0	0	0	0	0	0	127	0	179	0
Rps6kb1	31.594595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	373	0	163	174	0	0	0	0	0	0	0	127	0	179	0
Gm51573	31.567568	178	92	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	94	154	0	0	181	0	0	0	0	210	0	0	0
Vps37d	31.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	337	0	0	0	0	0	0	0	0	0
Rbfox2	31.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	361	0	165	126	0	0	0	0	0	0	0	222	0	0	0
Tnpo1	31.486486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	378	279	0	0	0	0	0	131	0	123	0
Rnf38	31.486486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	101	240	366	0
Speer4c	31.459459	87	148	118	100	0	115	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	107	0	0	0	0	0	0	0	0	217	0	0	0
Slamf7	31.459459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	783	0
Rhbdf2	31.432432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	134	244	118	0	0	0	0	0	0	0	0	0	0	0
Cfl1	31.405405	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	457	0	0	0	0	0	0	0	0	0
Zbtb25	31.378378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	207	0	0	0	159	110	0	0	0	0	0	160	235	0	0
Zbtb1	31.378378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	207	0	0	0	159	110	0	0	0	0	0	160	235	0	0
Chd4	31.324324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	643	516	0	0	0	0	0	0	0	0	0
Osgep	31.297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	343	0	0	0	0	0	0	0	0	0
Apex1	31.297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	343	0	0	0	0	0	0	0	0	0
Orc5	31.189189	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	119	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	122	204	338	0
Osbpl10	31.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	176	215	151	0	0	0	0	0	0	0	0	76	0	0
Obsl1	31.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	165	0	0	0	136	110	0	0	0	0	0	0	84	241	0
Inha	31.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	165	0	0	0	136	110	0	0	0	0	0	0	84	241	0
Ndrg3	31.135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	354	0	0	0	0	0	0	0	0	0
Micos10	31.081081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	480	407	0	0	0	0	0	74	0	0	0
Med21	31.054054	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	93	0	126	0	0	0	0	353	0	172	99	0	0	0	0	0	0	0	136	0	92	0
H4c3	31.054054	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	246	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	141	138	248	0
H1f6	31.054054	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	246	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	141	138	248	0
Zfp180	31.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	153	254	0	0	0	0	0	0	0	0	99	80	193	0
Senp8	31.000000	135	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	400	113	148	123	156	0	0	0	0	0	0	0	0	0	0
Myo9a	31.000000	135	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	400	113	148	123	156	0	0	0	0	0	0	0	0	0	0
Fgf15	30.945946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	520	164	106	213	0	0	0	0	0	0	0	0	0	0	0
Tctn2	30.918919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	599	0	0	0	0	0	0	0	0	0
Spns2	30.918919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	368	0	0	0	0	0	0	0	0	165	0	0	0
Lgals7	30.918919	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	107	0	0	0	0	0	0	0	0	200	214	0
Sgo1	30.837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	569	207	0	0	0	0	0	97	0	0	0
Cnih2	30.837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	499	0	0	0	0	0	0	0	0	0
Arl6	30.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	439	0	0	0	0	0	118	0	0	0
Rnf181	30.756757	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	149	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	183	292	0
Bcl10	30.756757	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	161	0	0	0	0	401	0	0	138	0	0	0	0	0	0	0	98	0	165	0
Apold1	30.675676	0	0	0	0	0	128	0	0	0	131	767	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem9	30.648649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	443	429	0	0	0	0	0	0	0	0	0
Ubr3	30.621622	0	0	0	0	0	0	0	0	0	0	528	0	0	0	0	0	91	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	135	224	0
Zrsr2	30.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	204	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	108	98	177	0
Usp32	30.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	86	0	0	0	0	378	95	108	0	121	0	0	0	0	0	0	146	0	94	0
Epm2a	30.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	392	0	0	0	0	0	0	0	0	119	145	0	0	0	0	0	0	109	282	0
Trim7	30.513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	297	0	0	0	0	0	137	0	0	0
Ptma	30.513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	107	0	456	218	0	0	0	0	0	0	0	133	0
Msto1	30.459459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	126	150	106	0	0	0	0	0	0	0	160	218	0
Hif3a	30.432432	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	84	210	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	115	0
Iffo2	30.378378	217	141	150	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	157	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	120	0
Eif2s1	30.378378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	498	242	0	0	0	0	0	151	0	0	0
Atp6v1d	30.378378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	498	242	0	0	0	0	0	151	0	0	0
Ythdf3	30.324324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	431	172	102	0	0	0	0	0	0	0	0	97	0	137	0
Coa7	30.324324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	126	0	599	0	136	157	0	0	0	0	0	0	0	0	0	0	0
Pgr15l	30.297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121	0	0	0
Dnajb1	30.270270	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	346	143	136	134	0	0	0	0	0	0	0	121	0	178	0
Cfap20	30.270270	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	557	303	0	0	0	0	0	80	0	0	0
Dnajc25	30.216216	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	269	222	0	0	0	0	0	0	0	190	0
Slc19a2	30.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	315	0	206	139	114	0	0	0	0	0	0	107	0	0	0
Snrpb2	30.135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	317	0	0	0	0	0	0	0	0	0
Ppp1r3e	30.108108	126	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	102	0
Nup188	30.108108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	705	326	0	0	0	0	0	0	0	0	0
Lrrc42	30.108108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	208	122	88	0	0	0	0	0	0	0	120	0	0	0
Hspb11	30.108108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	208	122	88	0	0	0	0	0	0	0	120	0	0	0
Dolk	30.108108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	705	326	0	0	0	0	0	0	0	0	0
Tom1	30.081081	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	98	0	0	0	0	185	0	0	0	235	0	0	0	0	0	0	105	0	215	0
Cep162	30.081081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	368	0	0	0	0	0	0	0	0	0
Twnk	30.027027	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	65	0	0	0	0	0	0	114	213	266	0
Mrpl43	30.027027	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	65	0	0	0	0	0	0	114	213	266	0
Zswim9	29.972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	475	245	0	0	0	0	0	0	0	0	0	97	0	168	0
Mlst8	29.972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	686	327	0	0	0	0	0	0	0	0	0
Lig1	29.972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	475	245	0	0	0	0	0	0	0	0	0	97	0	168	0
Frg2f1	29.945946	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	103	0	0	0	0	0	0	473	152	175	0	93	0	0	0	0	0	0	0	0	0	0
Foxj3	29.945946	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	103	0	0	0	0	0	0	473	152	175	0	93	0	0	0	0	0	0	0	0	0	0
Tbc1d14	29.918919	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	422	141	0	159	0	0	0	0	0	0	0	144	0	0	0
Btg1	29.918919	0	0	0	0	0	0	0	0	0	104	174	0	0	0	0	0	0	0	172	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	87	151	168	0
Ermard	29.891892	151	138	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	91	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	351	0	80	0
Hspbp1	29.810811	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	368	308	0	0	0	0	0	0	0	0	0
Fyttd1	29.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	296	116	105	149	71	0	0	0	0	0	0	115	0	149	0
Akt3	29.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	294	0	0	0	0	0	0	0	0	0
Fbxo33	29.783784	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	74	0	413	106	174	0	227	0	0	0	0	0	0	0	0	0	0
Tti2	29.756757	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	159	0	0	0	0	0	0	0	351	352	0
Stard7	29.756757	0	0	0	0	0	0	0	125	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	122	0	0	0	0	0	0	0	91	136	173	0
Cnnm1	29.756757	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	512	0	366	112	0	0	0	0	0	0	0	0	0	0	0
Snrnp200	29.702703	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	102	111	0	0	0	0	0	0	388	0	194	0	0	0	0	0	0	0	0	0	0	181	0
1810024B03Rik	29.702703	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	102	111	0	0	0	0	0	0	388	0	194	0	0	0	0	0	0	0	0	0	0	181	0
Rnaset2b	29.648649	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	381	140	0	160	0	0	0	0	0	0	0	101	0	0	0
Tafa5	29.621622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	491	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnkd	29.621622	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	200	109	0	0	0	0	0	0	0	0	180	0
Myl4	29.594595	0	0	0	0	0	0	0	116	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	186	0	122	0	195	0
Tcf25	29.567568	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	85	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	171	224	0
Mks1	29.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	524	0	0	0	0	0	0	0	0	0
Ccdc57	29.540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	356	0	0	0	0	0	96	0	84	0
Strn4	29.513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	0	276	151	0	0	0	0	0	0	0	0	0	0	0
Mfap3l	29.513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	361	0	0	0	0	0	0	0	0	0
Eif2b3	29.513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	81	0	0	487	117	0	0	0	0	0	0	0	136	0
Fam214a	29.486486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	560	353	0	0	0	0	0	0	0	0	0
Tlr6	29.459459	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	391	0
Spcs3	29.459459	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	284	121	153	0	0	0	0	0	0	0	0	213	102	110	0
Klf7	29.432432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	141	190	125	160	0	0	0	0	0	0	0	0	0	0
Spink10	29.405405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	120	273	0
Fbxo38	29.405405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	120	273	0
Akt1s1	29.405405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	182	0	0	0	0	0	0	101	0	160	0	0	0	0	0	0	0	0	0	138	373	0
Klf2	29.324324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	146	0	0	213	148	0	0	0	0	0	0	0	0	0
Macrod1	29.270270	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	248	0	176	0	0	0	0	0	0	0	0	230	98	203	0
Tmem170	29.243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	182	175	0	0	0	0	0	0	0	0	0	0	0	0
Trim50	29.189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	185	0	0	0	0	0	0	0	0	0	0	274	288	0	0	82	0	0	0	0	0	0
Tmem209	29.189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	437	0	0	0	0	0	232	0	0	0
Ssmem1	29.189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	437	0	0	0	0	0	232	0	0	0
Spats2	29.162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	509	190	187	0	0	0	0	0	0	0	0	86	0	0	0
Gclc	29.135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	131	0	0	0	467	313	0	0	0	0	0	0	0	0	0
Clptm1l	29.135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	207	0	0	0	0	0	0	0	0	113	78	258	0
Appl2	29.135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	122	177	0	0	0	0	0	0	150	346	0
Ccdc39	29.108108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	441	0	0	0	0	0	0	0	0	0
Uqcrh	29.000000	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	121	135	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	192	330	0
Lrrc41	29.000000	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	121	135	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	192	330	0
Immt	29.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	439	0	0	0	174	0	0	0	0	0	0	146	0	113	0
Anln	29.000000	210	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	251	0	0	0	147	0	0	0	0	0	0	106	0	0	0
Zfp648	28.972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	743	212	0	0	0	0	0	0	0	0	0	0	0	0	0
Phb	28.972973	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	423	116	141	111	0	0	0	0	0	0	0	0	0	0	0
Hnrnpm	28.945946	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	137	0	0	0	0	0	0	116	0	83	0
Tnnc1	28.864865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	524	114	151	0	0	0	0	0	0	0	0	0	0	179	0
Nisch	28.864865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	524	114	151	0	0	0	0	0	0	0	0	0	0	179	0
Rhbdd2	28.837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	282	391	0	0	0	0	0	94	0	154	0
Zmynd8	28.810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	125	98	142	0	0	0	0	0	0	0	0	0	0	0
Ptcd3	28.810811	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	88	0	0	0	0	331	0	188	0	0	0	0	0	0	0	0	0	124	196	0
Polr1a	28.810811	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	88	0	0	0	0	331	0	188	0	0	0	0	0	0	0	0	0	124	196	0
Cdk20	28.810811	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	188	0	0	0	0	276	123	155	107	114	0	0	0	0	0	0	0	0	0	0
Gsk3b	28.783784	0	0	0	0	0	0	0	0	166	159	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyth2	28.783784	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	147	136	148	0	0	0	0	0	0	0	0	0
Lcmt2	28.756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	469	171	169	126	0	0	0	0	0	0	0	0	0	0	0
Adal	28.756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	469	171	169	126	0	0	0	0	0	0	0	0	0	0	0
Tmed7	28.729730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	600	0	155	0	0	0	0	0	0	0	0	0	0	149	0
Fam98b	28.729730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	221	0	0	0	0	0	0	252	183	0
Eif1a	28.729730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	600	0	155	0	0	0	0	0	0	0	0	0	0	149	0
Traf6	28.702703	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	104	247	0
Pomt1	28.702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	477	314	0	0	0	0	0	0	0	174	0
Odf2	28.675676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	112	0	0	408	373	0	0	0	0	0	0	0	0	0
Ubr5	28.621622	180	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	93	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
