Target_genes	Twist1|Average	SRX5729488|Embryoid_Bodies	SRX5729489|Embryoid_Bodies	SRX5729490|Embryoid_Bodies	SRX5729491|Embryoid_Bodies	SRX5729492|Embryoid_Bodies	SRX5729493|Embryoid_Bodies	SRX337963|Embryonic_heart	SRX20052898|Forelimb	SRX337964|Forelimb	SRX20052895|Frontonasal_prominences	SRX10872992|Heart	SRX10872993|Heart	SRX10872994|Heart	SRX10872995|Heart	SRX10872996|Heart	SRX10872997|Heart	SRX10872998|Heart	SRX10872999|Heart	SRX10873000|Heart	SRX10873001|Heart	SRX10873002|Heart	SRX10873003|Heart	SRX10873004|Heart	SRX10873005|Heart	SRX10873006|Heart	SRX10873007|Heart	SRX10873008|Heart	SRX10873009|Heart	SRX10873010|Heart	SRX10873011|Heart	SRX10873012|Heart	SRX10873013|Heart	SRX10873014|Heart	SRX10873015|Heart	SRX10873016|Heart	SRX10873017|Heart	SRX10873018|Heart	SRX10873019|Heart	SRX10873020|Heart	SRX10873021|Heart	SRX10873022|Heart	SRX10873023|Heart	SRX10873028|Heart	SRX10873029|Heart	SRX10873030|Heart	SRX10873031|Heart	SRX10873032|Heart	SRX10873033|Heart	SRX10873034|Heart	SRX10873035|Heart	SRX10873036|Heart	SRX10873037|Heart	SRX10873038|Heart	SRX10873039|Heart	SRX10873040|Heart	SRX10873041|Heart	SRX10873042|Heart	SRX10873043|Heart	SRX10873044|Heart	SRX10873045|Heart	SRX10873046|Heart	SRX10873047|Heart	SRX10873048|Heart	SRX10873049|Heart	SRX10873050|Heart	SRX10873051|Heart	SRX10873052|Heart	SRX10873053|Heart	SRX10873054|Heart	SRX10873055|Heart	SRX10873056|Heart	SRX10873057|Heart	SRX10873058|Heart	SRX10873059|Heart	SRX10873124|Heart	SRX10873125|Heart	SRX10873126|Heart	SRX10873127|Heart	SRX10873128|Heart	SRX10873129|Heart	SRX10873130|Heart	SRX10873131|Heart	SRX10873132|Heart	SRX10873133|Heart	SRX10873134|Heart	SRX10873135|Heart	SRX10873136|Heart	SRX10873137|Heart	SRX10873138|Heart	SRX10873139|Heart	SRX10873140|Heart	SRX10873141|Heart	SRX10873142|Heart	SRX10873143|Heart	SRX10873144|Heart	SRX10873145|Heart	SRX10873146|Heart	SRX10873147|Heart	SRX10873148|Heart	SRX10873149|Heart	SRX10873150|Heart	SRX10873151|Heart	SRX10873152|Heart	SRX10873153|Heart	SRX10873154|Heart	SRX10873155|Heart	SRX10873252|Heart	SRX10873253|Heart	SRX10873254|Heart	SRX10873292|Heart	SRX10873293|Heart	SRX10873294|Heart	SRX10873295|Heart	SRX10873296|Heart	SRX10873297|Heart	SRX10873298|Heart	SRX10873299|Heart	SRX10873300|Heart	SRX10873301|Heart	SRX10873302|Heart	SRX10873303|Heart	SRX10873304|Heart	SRX10873305|Heart	SRX10873306|Heart	SRX10873307|Heart	SRX10873308|Heart	SRX10873309|Heart	SRX10873310|Heart	SRX10873311|Heart	SRX10873312|Heart	SRX10873313|Heart	SRX10873314|Heart	SRX10873315|Heart	SRX10873316|Heart	SRX10873317|Heart	SRX10873318|Heart	SRX10873351|Heart	SRX10873352|Heart	SRX10873353|Heart	SRX10873354|Heart	SRX10873355|Heart	SRX10873356|Heart	SRX10873357|Heart	SRX10873358|Heart	SRX10873359|Heart	SRX10873360|Heart	SRX10873361|Heart	SRX10873362|Heart	SRX10873363|Heart	SRX10873364|Heart	SRX10873365|Heart	SRX10873366|Heart	SRX10873367|Heart	SRX10873368|Heart	SRX10873369|Heart	SRX10873370|Heart	SRX10873371|Heart	SRX10873372|Heart	SRX10873373|Heart	SRX10873374|Heart	SRX10873375|Heart	SRX10873376|Heart	SRX10873377|Heart	SRX10873378|Heart	SRX10873379|Heart	SRX10873380|Heart	SRX10873381|Heart	SRX10873382|Heart	SRX10873447|Heart	SRX10873448|Heart	SRX10873449|Heart	SRX10873450|Heart	SRX10873451|Heart	SRX10873452|Heart	SRX10873453|Heart	SRX10873454|Heart	SRX10873455|Heart	SRX10873456|Heart	SRX10873457|Heart	SRX10873458|Heart	SRX10873459|Heart	SRX10873460|Heart	SRX10873461|Heart	SRX10873462|Heart	SRX10873463|Heart	SRX10873464|Heart	SRX10873465|Heart	SRX10873466|Heart	SRX10873467|Heart	SRX10873468|Heart	SRX10873469|Heart	SRX10873470|Heart	SRX10873471|Heart	SRX10873472|Heart	SRX10873473|Heart	SRX10873474|Heart	SRX10873475|Heart	SRX10873476|Heart	SRX10873477|Heart	SRX10873478|Heart	SRX10873511|Heart	SRX10873512|Heart	SRX10873513|Heart	SRX10873514|Heart	SRX10873515|Heart	SRX10873516|Heart	SRX10873517|Heart	SRX10873518|Heart	SRX10873519|Heart	SRX10873520|Heart	SRX10873521|Heart	SRX10873522|Heart	SRX10873523|Heart	SRX10873524|Heart	SRX10873525|Heart	SRX10873526|Heart	SRX10873527|Heart	SRX10873528|Heart	SRX10873529|Heart	SRX10873530|Heart	SRX10873531|Heart	SRX10873532|Heart	SRX10873533|Heart	SRX10873534|Heart	SRX10873535|Heart	SRX10873536|Heart	SRX10873537|Heart	SRX10873538|Heart	SRX10873539|Heart	SRX10873540|Heart	SRX10873541|Heart	SRX10873542|Heart	SRX10873575|Heart	SRX10873576|Heart	SRX10873577|Heart	SRX10873578|Heart	SRX10873579|Heart	SRX10873580|Heart	SRX10873581|Heart	SRX10873582|Heart	SRX10873583|Heart	SRX10873584|Heart	SRX10873585|Heart	SRX10873586|Heart	SRX10873587|Heart	SRX10873588|Heart	SRX10873589|Heart	SRX10873590|Heart	SRX10873591|Heart	SRX10873592|Heart	SRX10873593|Heart	SRX10873594|Heart	SRX10873595|Heart	SRX10873596|Heart	SRX10873597|Heart	SRX10873598|Heart	SRX10873599|Heart	SRX10873600|Heart	SRX10873601|Heart	SRX10873602|Heart	SRX10873603|Heart	SRX10873604|Heart	SRX10873605|Heart	SRX10873606|Heart	SRX10873639|Heart	SRX10873640|Heart	SRX10873641|Heart	SRX10873642|Heart	SRX10873643|Heart	SRX10873644|Heart	SRX10873645|Heart	SRX10873646|Heart	SRX10873647|Heart	SRX10873648|Heart	SRX10873649|Heart	SRX10873650|Heart	SRX10873651|Heart	SRX10873652|Heart	SRX10873653|Heart	SRX10873654|Heart	SRX10873655|Heart	SRX10873656|Heart	SRX10873657|Heart	SRX10873658|Heart	SRX10873659|Heart	SRX10873660|Heart	SRX10873661|Heart	SRX10873662|Heart	SRX10873663|Heart	SRX10873664|Heart	SRX10873665|Heart	SRX10873666|Heart	SRX10873667|Heart	SRX10873668|Heart	SRX10873669|Heart	SRX10873670|Heart	SRX11016997|Heart	SRX11016998|Heart	SRX11016999|Heart	SRX11017000|Heart	SRX11017001|Heart	SRX11017002|Heart	SRX11017003|Heart	SRX11017004|Heart	SRX11017005|Heart	SRX11017006|Heart	SRX11017007|Heart	SRX11017008|Heart	SRX11017009|Heart	SRX11017010|Heart	SRX11017011|Heart	SRX11017012|Heart	SRX11017013|Heart	SRX11017014|Heart	SRX11017015|Heart	SRX11017016|Heart	SRX11017017|Heart	SRX11017018|Heart	SRX11017019|Heart	SRX11017020|Heart	SRX11017021|Heart	SRX11017022|Heart	SRX11017023|Heart	SRX11017024|Heart	SRX11017025|Heart	SRX11017026|Heart	SRX11017027|Heart	SRX11017028|Heart	SRX11017029|Heart	SRX11017030|Heart	SRX11017031|Heart	SRX11017032|Heart	SRX11017033|Heart	SRX11017034|Heart	SRX11017035|Heart	SRX11017036|Heart	SRX11017037|Heart	SRX11017038|Heart	SRX11017039|Heart	SRX20052899|Hindlimb	SRX20052897|Mandibular_prominences	SRX20052896|Maxillary_prominences	SRX337965|Nerve_Sheath_Neoplasms	STRING
Bloc1s4	2.107872	0	0	0	291	285	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag1	2.107872	0	0	340	0	96	147	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actbl2	2.107872	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0
Tkfc	2.104956	0	0	0	228	250	0	0	131	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx1	2.104956	0	0	0	203	164	0	0	104	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irs1	2.104956	0	0	167	214	188	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd8	2.104956	0	0	137	0	0	127	0	158	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0
Ddb1	2.104956	0	0	0	228	250	0	0	131	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciao2a	2.104956	0	0	0	203	164	0	0	104	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arap2	2.104956	0	0	536	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tle6	2.102041	0	0	0	218	200	0	0	156	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gan	2.102041	0	0	250	178	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox5a	2.102041	0	0	90	294	196	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2bc1	2.099125	0	0	0	0	0	0	0	410	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0
