Target_genes	Rel|Average	SRX14226822|B_cells	SRX14226823|B_cells	SRX14226824|B_cells	SRX14226825|B_cells	SRX14226826|B_cells	SRX14226827|B_cells	SRX122495|Dendritic_Cells	SRX122496|Dendritic_Cells	SRX122497|Dendritic_Cells	SRX122498|Dendritic_Cells	SRX122574|Dendritic_Cells	SRX122575|Dendritic_Cells	SRX3380944|Dendritic_Cells	SRX3380945|Dendritic_Cells	SRX3380946|Dendritic_Cells	STRING
Cdc14a	57.133333	0	0	0	0	0	0	0	0	0	0	0	0	311	546	0	0
Creb1	57.066667	0	0	0	0	0	0	0	0	0	0	0	0	483	373	0	0
Tnip3	57.000000	0	0	0	0	0	0	0	0	0	0	0	0	557	298	0	0
Nup98	57.000000	0	0	0	0	0	0	0	0	0	0	0	0	342	513	0	0
Rassf4	56.933333	0	0	0	0	0	0	0	0	0	0	0	0	526	328	0	0
H2-Ab1	56.733333	0	0	0	0	0	0	0	0	0	0	0	0	482	369	0	0
Foxj1	56.600000	0	0	0	0	0	0	0	0	0	0	0	0	595	254	0	0
Ap3m2	56.533333	0	0	0	0	0	0	0	0	0	0	0	0	373	475	0	0
Olfr231	56.266667	0	0	0	0	0	0	0	0	0	0	0	0	308	536	0	0
Nxpe5	55.933333	0	0	0	0	0	0	0	0	0	0	0	0	540	299	0	0
Cp	55.933333	0	0	0	0	0	0	0	0	0	0	0	0	330	509	0	0
Spata13	55.866667	0	0	0	0	0	0	0	0	0	0	0	0	455	383	0	0
Lsp1	55.800000	0	0	0	0	0	0	0	0	0	0	0	0	391	446	0	0
Setdb1	55.733333	0	0	0	0	0	0	0	0	0	0	0	0	597	239	0	0
Tlr3	55.600000	0	0	0	0	0	0	0	0	0	0	0	0	486	348	0	0
Sdccag8	55.600000	0	0	0	0	0	0	0	0	0	0	0	0	400	434	0	0
Cep170	55.600000	0	0	0	0	0	0	0	0	0	0	0	0	400	434	0	0
Mthfd2	55.533333	0	0	0	0	0	0	0	0	0	0	0	0	381	452	0	0
Mob1a	55.533333	0	0	0	0	0	0	0	0	0	0	0	0	381	452	0	0
Mical3	55.533333	0	0	0	0	0	0	0	0	0	0	0	0	327	506	0	0
Mcemp1	55.133333	0	0	0	0	0	0	0	0	0	0	0	0	425	402	0	0
Zfp84	54.933333	0	0	0	0	0	0	0	0	0	0	0	0	379	445	0	0
Tnfsf15	54.733333	0	0	0	0	0	0	0	0	0	0	0	0	568	253	0	0
Traf2	54.600000	0	0	0	0	0	0	0	0	0	0	0	0	584	235	0	0
Raet1d	54.533333	0	0	0	0	0	0	0	0	0	0	0	0	556	262	0	0
Il1b	54.400000	0	0	0	0	0	0	0	0	0	0	0	0	535	281	0	0
Uvrag	54.266667	0	0	0	0	0	0	0	0	0	0	0	0	482	332	0	0
Lemd1	54.266667	0	0	0	0	0	0	0	0	0	0	0	0	584	230	0	0
Fgd2	54.200000	0	0	0	0	0	0	0	0	0	0	0	0	372	441	0	0
Amn1	54.200000	0	0	0	0	0	0	0	0	0	0	0	0	587	226	0	0
Rap1b	53.933333	0	0	0	0	0	0	0	0	0	0	0	0	425	384	0	0
H2-DMb2	53.800000	0	0	0	0	0	0	0	0	0	0	0	0	499	308	0	0
Rapgef1	53.733333	0	0	0	0	0	0	0	0	0	0	0	0	517	289	0	0
Il6st	53.733333	0	0	0	0	0	0	0	0	0	0	0	0	542	264	0	0
Krcc1	53.666667	0	0	0	0	0	0	0	0	0	0	0	0	553	252	0	0
Gm7592	53.666667	0	0	0	0	0	0	0	0	0	0	0	0	504	301	0	0
Gckr	53.666667	0	0	0	0	0	0	0	0	0	0	0	0	566	239	0	0
Fndc4	53.666667	0	0	0	0	0	0	0	0	0	0	0	0	566	239	0	0
Pgghg	53.333333	0	0	0	0	0	105	0	0	0	0	0	0	554	141	0	0
Vmn2r102	53.200000	0	0	166	113	0	0	0	0	0	0	0	0	123	210	186	0
Spint2	53.133333	0	0	0	0	0	0	0	0	0	0	0	0	364	433	0	0
Tspo	53.066667	0	0	0	0	0	0	0	0	0	0	0	0	329	467	0	0
Csrnp1	53.066667	0	0	0	0	0	0	0	0	0	0	0	0	336	460	0	0
Jak2	52.866667	0	0	0	0	0	0	0	0	0	0	0	0	459	334	0	0
Usf2	52.733333	0	0	0	0	0	0	0	0	0	0	0	0	428	363	0	0
Haao	52.466667	0	0	0	0	0	0	0	0	0	0	0	0	476	311	0	0
Nectin2	52.333333	0	0	0	0	0	0	0	0	0	0	0	0	416	369	0	0
Exoc6	52.000000	0	0	0	0	0	0	0	0	0	0	0	0	443	337	0	0
Cd8a	51.866667	0	0	0	0	0	0	0	0	0	0	0	0	346	432	0	0
Snx20	51.733333	0	0	0	0	0	0	0	0	0	0	0	0	353	423	0	0
Slamf6	51.733333	0	0	0	0	0	0	0	0	0	0	0	0	386	390	0	0
Sema4c	51.666667	0	0	0	0	0	0	0	0	0	0	0	0	299	476	0	0
Clec4a2	51.533333	0	0	0	0	0	0	0	0	0	0	0	0	658	115	0	0
Clec12a	51.533333	0	0	0	0	0	0	0	0	0	0	0	0	462	311	0	0
Tifab	51.466667	0	0	0	0	0	0	0	0	0	0	0	0	530	242	0	0
Snx32	51.333333	0	0	0	0	0	0	0	0	0	0	0	0	607	163	0	0
Pmaip1	51.333333	0	0	0	0	0	0	0	0	0	0	0	0	388	382	0	0
Gpr141	51.266667	0	0	0	0	0	0	0	0	0	0	0	0	431	338	0	0
Lat2	51.133333	0	0	0	0	0	0	0	0	0	0	0	0	499	268	0	0
Otulin	51.066667	0	0	0	0	0	0	0	0	0	0	0	0	766	0	0	0
Cfp	51.066667	0	0	0	0	0	0	0	0	0	0	0	0	460	306	0	0
Frmd4b	51.000000	0	0	0	0	0	0	0	0	0	0	0	0	410	355	0	0
Eri3	51.000000	0	0	0	0	0	0	0	0	0	0	0	0	428	337	0	0
Stk10	50.866667	0	0	0	0	0	0	0	0	0	0	0	0	394	369	0	0
Tmprss4	50.733333	0	0	0	0	0	0	0	0	0	0	0	0	441	320	0	0
Slc39a13	50.733333	0	0	0	0	0	0	0	0	0	0	0	0	414	347	0	0
Gtpbp1	50.600000	0	0	0	0	0	0	0	0	0	0	0	0	529	230	0	0
Rgs2	50.533333	0	0	0	0	0	0	0	0	0	0	0	0	447	311	0	0
Golga7b	50.533333	0	0	0	0	0	0	0	0	0	0	0	0	420	338	0	0
Zfp429	50.466667	0	0	0	0	0	0	0	0	0	0	0	0	507	250	0	0
Cyp4v3	50.400000	0	0	0	0	0	0	0	0	0	0	0	0	339	417	0	0
Vps26b	50.200000	0	0	0	0	0	0	0	0	0	0	0	0	434	319	0	0
Rrbp1	50.200000	0	0	0	0	0	0	0	0	0	0	0	0	471	282	0	0
Ncapd3	50.200000	0	0	0	0	0	0	0	0	0	0	0	0	434	319	0	0
Mbnl1	50.133333	0	0	0	0	0	0	0	0	0	0	0	0	498	254	0	0
Tmem176a	50.066667	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0
Calhm6	50.066667	0	0	0	0	0	0	0	0	0	0	0	0	421	330	0	0
Itgb1	50.000000	0	0	0	0	0	0	0	0	0	0	0	0	482	268	0	0
Sbf2	49.800000	0	0	0	0	0	0	0	0	0	0	0	0	296	451	0	0
Hrc	49.800000	0	0	0	0	0	0	0	0	0	0	0	0	747	0	0	0
Bcl2a1c	49.800000	0	0	0	0	0	0	0	0	0	0	0	0	427	320	0	0
Syne1	49.666667	0	0	0	0	0	0	0	0	0	0	0	0	553	192	0	0
Il16	49.666667	0	0	0	0	0	0	0	0	0	0	0	0	488	257	0	0
Gstt4	49.666667	0	0	0	0	0	0	0	0	0	0	0	0	530	215	0	0
Hgsnat	49.600000	0	0	0	0	0	0	0	0	0	0	0	0	395	349	0	0
Ccdc88b	49.533333	0	0	0	0	0	0	0	0	0	0	0	0	410	333	0	0
Rnf135	49.266667	0	0	0	0	0	0	0	0	0	0	0	0	371	368	0	0
Zbtb7a	49.200000	0	0	0	0	0	0	0	0	0	0	0	0	342	396	0	0
Sh3tc1	49.000000	0	0	0	0	0	0	0	0	0	0	0	0	356	379	0	0
Mfhas1	49.000000	0	0	0	0	0	0	0	0	0	0	0	0	204	531	0	0
Psen2	48.933333	0	0	0	0	0	0	0	0	0	0	0	0	558	176	0	0
Cldn4	48.933333	0	0	0	0	0	0	0	0	0	0	0	0	372	362	0	0
Stx6	48.800000	0	0	0	0	0	0	0	0	0	0	0	0	461	271	0	0
Kcna3	48.600000	0	0	0	0	0	0	0	0	0	0	0	0	391	338	0	0
AF067061	48.533333	0	0	0	0	0	0	0	0	0	0	0	0	469	259	0	0
Nlrp1b	48.400000	0	0	0	0	0	0	0	0	0	0	0	0	475	251	0	0
Art2a	48.400000	0	0	0	0	0	0	0	0	0	0	0	0	321	405	0	0
Orai2	48.333333	0	0	0	0	0	0	0	0	0	0	0	0	278	447	0	0
Nsmaf	48.333333	0	0	0	0	0	0	0	0	0	0	0	0	250	475	0	0
Pwwp3a	48.133333	0	0	0	0	0	0	0	0	0	0	0	0	416	306	0	0
Nfkb1	48.133333	0	0	0	0	0	0	0	0	0	0	0	0	463	259	0	0
H2-Q4	48.066667	0	0	0	0	0	0	0	0	0	0	0	0	442	279	0	0
Thg1l	48.000000	0	0	0	0	0	0	0	0	0	0	0	0	412	308	0	0
H2-Ea	47.933333	0	0	0	0	0	0	0	0	0	0	0	0	398	321	0	0
Aknad1	47.866667	0	0	0	0	0	0	0	0	0	0	0	0	718	0	0	0
Tcp11	47.733333	0	0	0	0	0	0	0	0	0	0	0	0	404	312	0	0
Plau	47.733333	0	0	0	0	0	0	0	0	0	0	0	0	373	343	0	0
Dnaja2	47.533333	0	0	0	0	0	0	0	0	0	0	0	0	406	307	0	0
Dpep2	47.333333	0	0	0	0	0	0	0	0	0	0	0	0	506	204	0	0
Chd2	47.333333	0	0	0	0	0	0	0	0	0	0	0	0	373	337	0	0
Ankar	47.200000	0	232	152	0	0	0	0	0	0	0	0	0	163	0	161	0
Jdp2	46.533333	0	0	0	0	0	0	0	0	0	0	0	0	460	238	0	0
Tlcd1	46.400000	0	0	0	0	0	0	0	0	0	0	0	0	447	249	0	0
Pcnx3	46.400000	0	0	0	0	0	0	0	0	0	0	0	0	288	408	0	0
Nek8	46.400000	0	0	0	0	0	0	0	0	0	0	0	0	447	249	0	0
Map3k11	46.400000	0	0	0	0	0	0	0	0	0	0	0	0	288	408	0	0
Mideas	46.200000	0	0	0	0	0	0	0	0	0	0	0	0	289	404	0	0
Rasgef1b	46.133333	0	0	0	0	111	0	0	0	0	0	0	0	274	307	0	0
4931428F04Rik	46.133333	0	0	0	0	0	0	0	0	0	0	0	0	513	179	0	0
Gcm1	46.066667	0	0	0	0	0	0	0	0	0	0	0	0	507	184	0	0
Slc2a6	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	340	350	0	0
Slc13a1	45.933333	0	0	0	0	0	0	0	0	0	0	0	0	391	298	0	0
C1qa	45.866667	0	0	0	0	0	0	0	0	0	0	0	0	343	345	0	0
Fnip2	45.800000	0	0	0	0	0	0	0	0	0	0	0	0	442	245	0	0
Arhgap45	45.666667	0	0	0	0	0	0	0	0	0	0	0	0	397	288	0	0
Efna2	45.533333	0	0	0	0	0	0	0	0	0	0	0	0	252	431	0	0
Gm38510	45.466667	0	0	0	0	0	0	0	0	0	0	0	0	492	190	0	0
Hck	45.400000	0	0	0	0	0	0	0	0	0	0	0	0	420	261	0	0
Aoah	45.333333	0	0	0	0	0	0	0	0	0	0	0	0	307	373	0	0
Sh2b3	45.266667	0	0	0	0	0	0	0	0	0	0	0	0	405	274	0	0
Evi2b	45.133333	0	0	0	0	0	0	0	0	0	0	0	0	414	263	0	0
Evi2a	45.133333	0	0	0	0	0	0	0	0	0	0	0	0	414	263	0	0
Evi2	45.133333	0	0	0	0	0	0	0	0	0	0	0	0	414	263	0	0
Tmem229b	45.066667	0	0	0	0	0	0	0	0	0	0	0	0	426	250	0	0
Nfkbid	45.000000	0	0	0	0	0	77	0	0	0	0	0	0	232	366	0	0
Hcst	45.000000	0	0	0	0	0	77	0	0	0	0	0	0	232	366	0	0
Slc3a2	44.933333	0	0	0	0	0	0	0	0	0	0	0	0	476	198	0	0
Sirpa	44.866667	0	0	0	0	0	0	0	0	0	0	0	0	330	343	0	0
Pim1	44.800000	0	0	0	0	0	0	0	0	0	0	0	0	411	261	0	0
Parp14	44.800000	0	0	0	0	0	0	0	0	0	0	0	0	341	331	0	0
Sp110	44.600000	0	0	0	0	0	0	0	0	0	0	0	0	470	199	0	0
Adssl1	44.533333	0	0	0	0	0	0	0	0	0	0	0	0	423	245	0	0
Tagln2	44.466667	0	0	0	0	0	0	0	0	0	0	0	0	461	206	0	0
Adgre5	44.333333	0	0	0	0	0	0	0	0	0	0	0	0	435	230	0	0
Gpr141b	44.266667	0	0	0	0	0	0	0	0	0	0	0	0	460	204	0	0
Pde4b	44.200000	0	0	0	0	0	0	0	0	0	0	0	0	353	310	0	0
Actb	44.200000	0	0	0	0	0	0	0	0	0	0	0	0	395	268	0	0
Zc3h12a	44.133333	0	0	0	0	0	0	0	0	0	0	0	0	468	194	0	0
Tnfsf13b	44.133333	0	0	0	0	0	0	0	0	0	0	0	0	385	277	0	0
Sp140	44.133333	0	0	0	0	0	0	0	0	0	0	0	0	470	192	0	0
Gtf2a1	44.066667	0	0	0	0	0	0	0	0	0	0	0	0	327	334	0	0
Camkk2	44.000000	0	0	0	0	0	0	0	0	0	0	0	0	397	263	0	0
Bmf	44.000000	0	0	0	0	0	0	0	0	0	0	0	0	473	187	0	0
Amz2	44.000000	0	0	0	0	0	120	0	0	0	0	0	0	302	238	0	0
Pcgf5	43.733333	0	0	0	0	0	0	0	0	0	0	0	0	343	313	0	0
Ece1	43.733333	0	0	0	0	0	0	0	0	0	0	0	0	437	219	0	0
Tma16	43.600000	0	0	0	0	0	0	0	0	0	0	0	0	333	321	0	0
Spaca7	43.600000	0	0	0	0	0	0	0	0	0	0	0	0	468	186	0	0
Hint3	43.533333	0	0	0	0	0	0	0	0	0	0	0	0	367	286	0	0
Suox	43.400000	0	0	0	0	0	0	0	0	0	0	0	0	469	182	0	0
Neurl3	43.400000	0	0	0	0	0	0	0	0	0	0	0	0	371	280	0	0
Atp6v0a1	43.400000	0	0	0	0	0	0	0	0	0	0	0	0	418	233	0	0
Elp5	43.200000	0	0	0	0	0	0	0	0	0	0	0	0	339	309	0	0
Ctdnep1	43.200000	0	0	0	0	0	0	0	0	0	0	0	0	339	309	0	0
Psmb10	43.133333	0	0	0	0	0	0	0	0	0	0	0	0	306	341	0	0
Ctrl	43.133333	0	0	0	0	0	0	0	0	0	0	0	0	306	341	0	0
Il1r2	43.066667	0	0	0	0	0	0	0	0	0	0	0	0	404	242	0	0
Il18	42.933333	0	0	0	0	0	0	0	0	0	0	0	0	482	162	0	0
Bco2	42.933333	0	0	0	0	0	0	0	0	0	0	0	0	482	162	0	0
Ank1	42.933333	0	0	0	0	0	0	0	0	0	0	0	0	372	272	0	0
Raet1e	42.800000	0	0	0	0	0	0	0	0	0	0	0	0	451	191	0	0
Raet1c	42.800000	0	0	0	0	0	0	0	0	0	0	0	0	451	191	0	0
Raet1b	42.800000	0	0	0	0	0	0	0	0	0	0	0	0	451	191	0	0
Apc	42.800000	0	0	0	0	0	0	0	0	0	0	0	0	370	272	0	0
Ppp1r12a	42.733333	0	0	0	0	0	0	0	0	0	0	0	0	413	228	0	0
Yju2	42.600000	0	0	0	0	0	0	0	0	0	0	0	0	360	279	0	0
Slc39a1	42.600000	0	0	0	0	0	0	0	0	0	0	0	0	399	240	0	0
4833439L19Rik	42.600000	0	0	0	0	0	0	0	0	0	0	0	0	269	370	0	0
Tmem39a	42.533333	0	0	0	0	0	0	0	0	0	0	0	0	477	161	0	0
Erbin	42.533333	0	0	0	0	0	0	0	0	0	0	0	0	178	460	0	0
Sdhaf1	42.466667	0	0	0	0	0	0	0	0	0	0	0	0	370	267	0	0
Ifnlr1	42.466667	0	0	0	0	0	0	0	0	0	0	0	0	421	216	0	0
Erich1	42.333333	0	0	0	0	0	0	0	0	0	0	0	0	350	285	0	0
Dlgap2	42.333333	0	0	0	0	0	0	0	0	0	0	0	0	350	285	0	0
Gpr19	42.133333	0	0	0	0	0	0	0	0	0	0	0	0	333	299	0	0
Batf2	42.000000	0	0	0	0	0	0	0	0	0	0	0	0	351	279	0	0
Adgb	42.000000	0	0	0	0	0	0	0	0	0	0	0	0	332	298	0	0
Aldh3b1	41.733333	0	0	0	0	0	0	0	0	0	0	0	0	400	226	0	0
Pigr	41.666667	0	0	0	0	0	0	0	0	0	0	0	0	408	217	0	0
Fbxo4	41.400000	0	0	0	0	0	0	0	0	0	0	0	0	363	258	0	0
Trpm2	41.333333	0	0	0	0	0	0	0	0	0	0	0	0	441	179	0	0
BC028528	41.266667	0	0	0	0	0	0	0	0	0	0	0	0	411	208	0	0
Aph1a	41.266667	0	0	0	0	0	0	0	0	0	0	0	0	411	208	0	0
Tnip1	41.200000	0	0	0	0	0	0	0	0	0	0	0	0	247	371	0	0
Ripk2	41.200000	0	0	0	0	0	0	0	0	0	0	0	0	403	215	0	0
Etv1	41.200000	0	0	0	0	0	0	0	0	0	0	0	0	397	221	0	0
Clec9a	41.133333	0	0	0	0	0	0	0	0	0	0	0	0	363	254	0	0
Olfr111	41.000000	0	0	0	0	0	0	0	0	0	0	0	0	416	199	0	0
Ahnak	40.666667	0	0	0	0	0	0	0	0	0	0	0	0	388	222	0	0
Tlr13	40.533333	0	0	0	0	0	0	0	0	0	0	0	0	322	286	0	0
Mgat4a	40.533333	0	0	0	0	0	0	0	0	0	0	0	0	406	202	0	0
Capza2	40.400000	0	0	0	0	0	0	0	0	0	0	0	0	391	215	0	0
Rit1	40.266667	0	0	0	0	0	0	0	0	0	0	0	0	256	348	0	0
Actn1	40.266667	0	0	0	0	0	0	0	0	0	0	0	0	263	341	0	0
Dhx40	40.200000	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0
2610001J05Rik	40.066667	0	0	0	0	0	0	0	0	0	0	0	0	455	146	0	0
Tlr9	40.000000	0	0	0	0	0	0	0	0	0	0	0	0	467	133	0	0
Tent5c	40.000000	0	0	0	0	0	0	0	0	268	332	0	0	0	0	0	0
Cnksr3	39.933333	0	0	0	0	0	0	0	0	0	0	0	0	372	227	0	0
Rmi2	39.666667	0	0	0	0	0	0	0	0	0	0	0	0	219	376	0	0
Rab30	39.600000	0	0	0	0	0	0	0	0	0	0	0	0	287	307	0	0
Nadk	39.600000	0	0	0	0	0	0	0	0	0	0	0	0	384	210	0	0
Smbd1	39.533333	0	0	0	0	0	0	0	0	0	0	0	0	324	269	0	0
Sart3	39.533333	0	0	0	0	0	0	0	0	0	0	0	0	274	319	0	0
Ppfibp2	39.533333	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0
Iscu	39.533333	0	0	0	0	0	0	0	0	0	0	0	0	274	319	0	0
Ubxn2a	39.466667	0	0	0	0	0	0	0	0	0	0	0	0	306	286	0	0
Pkib	39.466667	0	0	0	0	0	0	0	0	0	0	0	0	266	326	0	0
Lacc1	39.400000	0	0	0	0	0	0	0	0	0	0	0	0	308	283	0	0
Ccdc122	39.400000	0	0	0	0	0	0	0	0	0	0	0	0	308	283	0	0
Blnk	39.400000	0	0	0	0	0	0	0	0	0	0	0	0	344	247	0	0
Pts	39.333333	0	0	0	0	0	0	0	0	0	0	0	0	217	373	0	0
Irf5	39.333333	0	0	0	0	0	0	0	0	0	0	0	0	356	234	0	0
Phlda1	39.266667	0	0	0	0	0	0	0	0	0	0	0	0	371	218	0	0
A530032D15Rik	39.200000	0	0	0	0	0	0	0	0	0	0	0	0	338	250	0	0
Nudt13	39.066667	0	0	0	0	0	0	0	0	0	0	0	0	283	303	0	0
Tigd4	39.000000	0	0	0	0	0	0	0	0	0	0	0	0	438	147	0	0
Ryr1	38.866667	0	0	0	0	0	0	0	0	0	0	0	0	383	200	0	0
Ier3	38.866667	0	0	0	0	0	0	0	0	0	0	0	0	337	246	0	0
Flot1	38.866667	0	0	0	0	0	0	0	0	0	0	0	0	337	246	0	0
Irf2bp2	38.800000	0	0	0	0	0	0	0	0	0	0	0	0	330	252	0	0
Lrrc63	38.733333	0	0	0	0	0	0	0	0	0	0	0	0	221	360	0	0
Lcp1	38.733333	0	0	0	0	0	0	0	0	0	0	0	0	221	360	0	0
Dnajb14	38.733333	0	0	0	0	0	0	0	0	0	0	0	0	280	301	0	0
Traf1	38.666667	0	0	0	0	0	0	0	0	0	0	0	0	371	209	0	0
Cyba	38.600000	0	0	0	0	0	0	0	0	0	0	0	0	446	133	0	0
Scn2b	38.533333	0	0	0	0	0	0	0	0	0	0	0	0	353	225	0	0
Ppt1	38.400000	0	0	0	0	0	0	0	0	0	0	0	0	422	154	0	0
Klre1	38.333333	0	0	0	0	0	0	0	0	0	0	0	0	337	238	0	0
Ccnd3	38.333333	0	0	0	0	0	0	0	0	0	0	0	0	388	187	0	0
S100a16	38.266667	0	0	0	0	0	0	0	0	0	0	0	0	254	320	0	0
Bid	38.266667	0	0	0	0	0	0	0	0	0	0	0	0	417	157	0	0
Sigirr	38.200000	0	0	0	0	0	0	0	0	0	0	0	0	191	382	0	0
Ldlrad1	38.133333	0	0	0	0	0	0	0	0	0	0	0	0	310	262	0	0
Wdr86	38.066667	0	0	0	0	0	0	0	0	0	0	0	0	367	204	0	0
Tor4a	38.000000	0	0	0	0	0	0	0	0	0	0	0	0	384	186	0	0
Nub1	37.933333	0	0	0	0	0	0	0	0	0	0	0	0	398	171	0	0
Btla	37.933333	0	0	0	0	0	0	0	0	0	0	0	0	341	228	0	0
Castor2	37.800000	0	0	0	0	0	0	0	0	0	0	0	0	391	176	0	0
Wdfy4	37.733333	0	0	0	0	108	74	0	0	0	0	0	0	190	194	0	0
Oxsm	37.733333	0	0	0	0	0	0	0	0	0	0	0	0	259	307	0	0
Ngly1	37.733333	0	0	0	0	0	0	0	0	0	0	0	0	259	307	0	0
Dpysl2	37.733333	0	0	0	0	0	0	0	0	0	0	0	0	446	120	0	0
Ctla4	37.466667	0	0	0	0	0	0	0	0	0	0	0	0	303	259	0	0
Fgl2	37.400000	0	0	0	0	0	0	0	0	0	0	0	0	392	169	0	0
Tgfb1	37.333333	0	0	0	0	0	0	0	0	0	0	0	0	351	209	0	0
Cox6a2	37.333333	0	0	0	0	0	0	0	153	0	0	0	0	274	133	0	0
Arhgap31	37.266667	0	0	0	0	0	0	0	0	0	0	0	0	414	145	0	0
Prrt1	37.200000	0	0	0	0	0	0	0	0	0	0	0	0	269	289	0	0
Ppt2	37.200000	0	0	0	0	0	0	0	0	0	0	0	0	269	289	0	0
H2-L	37.200000	0	0	0	0	0	0	0	0	0	0	0	0	390	168	0	0
H2-D1	37.200000	0	0	0	0	0	0	0	0	0	0	0	0	390	168	0	0
1700013H16Rik	37.200000	0	0	0	0	0	0	0	0	0	0	0	0	558	0	0	0
Smap2	37.133333	0	0	0	0	0	0	0	0	0	0	0	0	286	271	0	0
Niban1	37.133333	0	0	0	0	0	0	0	0	0	0	0	0	254	303	0	0
Rufy3	37.066667	0	0	0	0	0	0	0	0	0	0	0	0	377	179	0	0
Mapk6	37.066667	0	0	0	0	0	0	0	0	0	0	0	0	217	339	0	0
Grhl1	37.066667	0	0	0	0	0	0	0	0	0	0	0	0	233	323	0	0
Poli	37.000000	0	0	0	0	0	0	0	0	0	0	0	0	350	205	0	0
Thbs4	36.933333	0	0	0	0	0	0	0	0	0	0	0	0	260	294	0	0
Atp8b4	36.866667	0	0	0	0	0	0	0	0	0	0	0	0	281	272	0	0
Lyrm1	36.666667	0	0	0	0	0	0	0	0	0	0	0	0	254	296	0	0
Dcun1d3	36.666667	0	0	0	0	0	0	0	0	0	0	0	0	254	296	0	0
Spef1l	36.533333	0	0	0	0	0	0	0	0	0	0	0	0	351	197	0	0
Smim3	36.333333	0	0	0	0	0	0	0	0	0	0	0	0	259	286	0	0
Pou2f2	36.333333	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0
Specc1	36.266667	0	0	0	0	0	0	0	0	0	0	0	0	290	254	0	0
Ms4a4c	36.200000	0	0	0	0	0	0	0	0	0	0	0	0	396	147	0	0
Gbp7	36.200000	0	0	0	0	0	0	0	0	0	0	0	0	340	203	0	0
Pbx1	36.133333	0	0	0	0	0	0	0	0	0	0	0	0	384	158	0	0
Rhog	36.066667	0	0	0	0	0	0	0	0	0	0	0	0	297	244	0	0
Larp1	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	280	260	0	0
Itpripl1	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	288	252	0	0
Iqgap2	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	211	329	0	0
Fermt3	35.866667	0	0	0	0	0	0	0	0	0	0	0	0	243	295	0	0
Rnf31	35.800000	0	0	0	0	0	0	0	0	0	0	0	0	378	159	0	0
Rac2	35.800000	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0
Psme2	35.800000	0	0	0	0	0	0	0	0	0	0	0	0	378	159	0	0
Gcnt4	35.800000	0	0	0	0	0	0	0	0	0	0	0	0	374	163	0	0
Avpi1	35.800000	0	0	0	0	0	0	0	0	0	0	0	0	229	308	0	0
Vwa3b	35.733333	0	0	0	0	0	0	0	0	0	0	0	0	306	230	0	0
Nlrp3	35.733333	0	0	0	0	0	0	0	0	0	0	0	0	275	261	0	0
Phldb1	35.666667	0	0	0	0	0	0	0	0	0	0	0	0	192	343	0	0
Aim2	35.600000	0	0	0	0	0	0	0	0	0	0	0	0	304	230	0	0
Mkrn1	35.533333	0	0	0	0	0	0	0	0	0	0	0	0	202	331	0	0
Hcls1	35.466667	0	0	0	0	0	0	0	0	0	0	0	0	309	223	0	0
Abcc1	35.466667	0	0	0	0	0	0	0	0	0	0	0	0	296	236	0	0
Tdpoz4	35.400000	0	0	0	0	0	0	0	0	0	0	0	0	339	192	0	0
Spint1	35.400000	0	0	0	0	0	0	0	0	0	0	0	0	531	0	0	0
Hdac10	35.400000	0	0	0	0	0	0	0	0	0	0	0	0	289	242	0	0
Fam32a	35.266667	0	0	0	0	0	0	0	0	0	0	0	0	326	203	0	0
Cib3	35.266667	0	0	0	0	0	0	0	0	0	0	0	0	326	203	0	0
Srgn	35.200000	0	0	0	0	0	0	0	0	0	0	0	0	297	231	0	0
Oosp3	35.200000	0	0	0	0	0	0	0	0	0	0	0	0	367	161	0	0
Etv6	35.200000	0	0	0	0	0	0	0	0	0	0	0	0	287	241	0	0
Abcc8	35.200000	0	0	0	0	0	0	0	0	0	0	0	0	361	167	0	0
Ppp1r9b	35.066667	0	0	0	0	0	0	0	0	0	0	0	0	278	248	0	0
Usf1	35.000000	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0
Gm5544	34.933333	0	0	0	0	0	0	0	0	0	0	0	0	373	151	0	0
Il12b	34.866667	0	0	0	0	0	0	0	0	0	0	0	0	355	168	0	0
Mpp6	34.800000	0	0	0	0	0	0	0	0	0	0	0	0	336	186	0	0
Klri1	34.800000	0	0	0	0	0	0	0	0	0	0	0	0	324	198	0	0
Tedc1	34.733333	0	0	0	0	0	0	0	0	0	0	0	0	322	199	0	0
Crip1	34.733333	0	0	0	0	0	0	0	0	0	0	0	0	322	199	0	0
9130008F23Rik	34.733333	0	0	0	0	0	0	0	0	0	0	0	0	272	249	0	0
Tmbim6	34.666667	0	0	0	0	0	0	0	0	0	0	0	0	326	194	0	0
Zfp119b	34.600000	0	0	0	0	0	0	0	0	0	0	0	0	347	172	0	0
Ebi3	34.600000	0	0	0	0	0	0	0	0	0	0	0	0	347	172	0	0
Muc20	34.533333	0	0	0	0	0	0	0	0	0	0	0	0	372	146	0	0
