Target_genes	Pitx1|Average	SRX195355|Hindlimb	SRX195357|Hindlimb	SRX2978809|Hindlimb	SRX3205484|Squamous_cell_carcinoma	SRX3205486|Squamous_cell_carcinoma	SRX3205490|Squamous_cell_carcinoma	SRX3205491|Squamous_cell_carcinoma	SRX5283003|Squamous_cell_carcinoma	STRING
Slfnl1	72.250000	0	0	0	410	0	168	0	0	0
Arnt	72.250000	0	158	420	0	0	0	0	0	0
Myo10	72.125000	167	108	302	0	0	0	0	0	0
Nqo1	71.875000	135	82	358	0	0	0	0	0	0
Tex37	71.625000	0	156	417	0	0	0	0	0	0
Fam149a	71.625000	141	295	137	0	0	0	0	0	0
Tmem30b	71.375000	0	174	397	0	0	0	0	0	0
Tmem159	71.000000	0	194	374	0	0	0	0	0	0
Dnah3	71.000000	0	194	374	0	0	0	0	0	0
Zfp955a	70.875000	145	173	249	0	0	0	0	0	0
Hoxa7	70.875000	133	112	322	0	0	0	0	0	0
Psma1	70.750000	0	0	566	0	0	0	0	0	0
Runx1t1	70.500000	101	0	463	0	0	0	0	0	0
Clnk	70.500000	0	156	408	0	0	0	0	0	0
Cabcoco1	70.500000	0	183	381	0	0	0	0	0	0
Bcar3	70.500000	0	0	0	165	0	399	0	0	0
Celf2	70.375000	167	0	396	0	0	0	0	0	0
Npepps	70.250000	0	126	436	0	0	0	0	0	0
Cd163l1	70.250000	0	0	0	305	257	0	0	0	0
Ubxn6	70.125000	159	83	319	0	0	0	0	0	0
Hdgfl2	70.125000	159	83	319	0	0	0	0	0	0
Nfib	69.875000	120	223	216	0	0	0	0	0	0
Dipk1c	69.875000	0	157	402	0	0	0	0	0	0
Sap30bp	69.750000	173	118	267	0	0	0	0	0	0
Recql5	69.750000	173	118	267	0	0	0	0	0	0
Nhsl1	69.500000	139	170	247	0	0	0	0	0	0
Esr1	69.500000	246	123	187	0	0	0	0	0	0
Chd3	69.375000	126	0	429	0	0	0	0	0	0
Slc45a3	68.875000	176	0	375	0	0	0	0	0	0
Eif2ak3	68.625000	0	0	549	0	0	0	0	0	0
Dhrs7b	68.625000	135	0	414	0	0	0	0	0	0
Shisal1	68.500000	143	195	210	0	0	0	0	0	0
Ctdsp1	68.375000	0	0	547	0	0	0	0	0	0
Tcf3	68.250000	0	0	546	0	0	0	0	0	0
Trip10	67.875000	202	110	231	0	0	0	0	0	0
Gpr108	67.875000	202	110	231	0	0	0	0	0	0
Shbg	67.750000	0	208	334	0	0	0	0	0	0
Sbno1	67.750000	0	0	0	251	291	0	0	0	0
Sat2	67.750000	0	208	334	0	0	0	0	0	0
Odaph	67.750000	0	0	0	395	0	147	0	0	0
Fzd8	67.750000	0	134	408	0	0	0	0	0	0
Cmtm6	67.750000	0	0	542	0	0	0	0	0	0
Nr2f2	67.625000	0	111	430	0	0	0	0	0	0
Adipor1	67.625000	0	0	0	216	0	325	0	0	0
Rnase4	67.500000	0	0	540	0	0	0	0	0	0
Jarid2	67.500000	0	0	540	0	0	0	0	0	0
Ang	67.500000	0	0	540	0	0	0	0	0	0
Agps	67.500000	114	153	273	0	0	0	0	0	0
Lypd11	67.375000	0	0	0	0	0	223	316	0	0
Pnn	67.250000	0	129	409	0	0	0	0	0	0
Fam219a	67.250000	0	0	312	0	0	226	0	0	0
Dnaic1	67.250000	0	0	312	0	0	226	0	0	0
Bdh2	67.250000	138	128	272	0	0	0	0	0	0
Marcks	67.125000	0	100	437	0	0	0	0	0	0
Epyc	67.125000	0	0	537	0	0	0	0	0	0
Gas1	67.000000	104	0	432	0	0	0	0	0	0
Cpa2	67.000000	108	187	241	0	0	0	0	0	0
Clpx	67.000000	0	0	150	184	0	202	0	0	0
Spint2	66.875000	167	173	195	0	0	0	0	0	0
Rps6ka6	66.750000	0	107	427	0	0	0	0	0	0
Rfc2	66.750000	0	0	0	332	0	202	0	0	0
H2bc6	66.750000	0	112	287	0	0	135	0	0	0
H1f4	66.750000	0	112	287	0	0	135	0	0	0
Ccm2	66.750000	0	0	0	0	534	0	0	0	0
Suclg2	66.625000	0	0	533	0	0	0	0	0	0
Fmo6	66.625000	0	184	349	0	0	0	0	0	0
Farp1	66.625000	99	177	257	0	0	0	0	0	0
Slc35d1	66.500000	188	0	344	0	0	0	0	0	0
Cxcl12	66.375000	119	0	412	0	0	0	0	0	0
Atxn7l1	66.375000	107	0	424	0	0	0	0	0	0
Polr3b	66.250000	0	78	452	0	0	0	0	0	0
Nop53	66.250000	0	139	246	0	0	145	0	0	0
Arid1a	66.125000	199	116	214	0	0	0	0	0	0
Rnf181	66.000000	0	0	0	353	0	175	0	0	0
Slc1a5	65.875000	0	151	376	0	0	0	0	0	0
Gpaa1	65.750000	69	0	457	0	0	0	0	0	0
Exosc4	65.750000	69	0	457	0	0	0	0	0	0
1700001L19Rik	65.750000	320	0	206	0	0	0	0	0	0
Zfp871	65.500000	210	0	314	0	0	0	0	0	0
P3h2	65.375000	160	0	363	0	0	0	0	0	0
Sp1	65.250000	99	0	296	0	0	127	0	0	0
Ing4	65.250000	0	0	522	0	0	0	0	0	0
H4c17	65.125000	0	178	204	0	0	139	0	0	0
Calm2	64.875000	0	0	352	0	0	167	0	0	0
Ago2	64.750000	0	83	435	0	0	0	0	0	0
Adsl	64.750000	0	0	518	0	0	0	0	0	0
Laptm4a	64.625000	165	0	352	0	0	0	0	0	0
Vmn1r2	64.500000	0	0	206	0	171	0	139	0	0
Cdk2ap1	64.250000	0	0	514	0	0	0	0	0	0
Timp3	64.125000	109	103	301	0	0	0	0	0	0
Nufip2	64.000000	89	0	423	0	0	0	0	0	0
Lactb	64.000000	0	147	365	0	0	0	0	0	0
Atf4	64.000000	0	168	344	0	0	0	0	0	0
Arhgap32	64.000000	0	0	0	228	143	141	0	0	0
Pef1	63.875000	0	118	393	0	0	0	0	0	0
Gpm6a	63.875000	0	96	415	0	0	0	0	0	0
Traf4	63.750000	0	102	408	0	0	0	0	0	0
Phyhipl	63.625000	0	139	370	0	0	0	0	0	0
Omd	63.625000	124	182	203	0	0	0	0	0	0
Arpc1b	63.625000	135	111	263	0	0	0	0	0	0
Eapp	63.500000	0	0	508	0	0	0	0	0	0
Xrcc5	63.375000	124	70	313	0	0	0	0	0	0
Zeb2	63.125000	0	109	396	0	0	0	0	0	0
Mpdu1	63.000000	0	0	504	0	0	0	0	0	0
Ear10	63.000000	0	329	175	0	0	0	0	0	0
Adam10	63.000000	131	139	234	0	0	0	0	0	0
Pla2g4a	62.625000	224	0	277	0	0	0	0	0	0
Peak1	62.625000	0	0	501	0	0	0	0	0	0
Hmg20a	62.625000	0	0	501	0	0	0	0	0	0
Mc4r	62.500000	0	134	366	0	0	0	0	0	0
Kmt5b	62.375000	0	0	499	0	0	0	0	0	0
Gm13290	62.125000	177	131	0	0	0	189	0	0	0
Gm13289	62.125000	177	131	0	0	0	189	0	0	0
Gm13285	62.125000	177	131	0	0	0	189	0	0	0
Hjurp	62.000000	0	0	255	108	133	0	0	0	0
Fmo1	62.000000	197	121	178	0	0	0	0	0	0
A730008H23Rik	62.000000	0	0	255	108	133	0	0	0	0
Xrcc4	61.875000	0	0	377	0	0	118	0	0	0
Tmem167	61.875000	0	0	377	0	0	118	0	0	0
Vstm2l	61.750000	0	0	494	0	0	0	0	0	0
Lamb2	61.375000	0	181	310	0	0	0	0	0	0
Top1	61.250000	279	211	0	0	0	0	0	0	0
Ints6	61.250000	0	0	355	0	0	135	0	0	0
Gprasp1	61.250000	0	0	490	0	0	0	0	0	0
Armcx5	61.250000	0	0	490	0	0	0	0	0	0
Ube2e3	61.125000	0	295	194	0	0	0	0	0	0
Syt3	61.125000	0	0	489	0	0	0	0	0	0
Srgap2	61.125000	0	0	489	0	0	0	0	0	0
Fam72a	61.125000	0	0	489	0	0	0	0	0	0
Sorbs2	61.000000	0	278	210	0	0	0	0	0	0
Hs6st1	61.000000	0	0	488	0	0	0	0	0	0
Eif5a	61.000000	113	0	375	0	0	0	0	0	0
Ssbp1	60.875000	0	0	369	0	0	118	0	0	0
Rdm1	60.750000	93	81	312	0	0	0	0	0	0
Dock11	60.750000	0	184	302	0	0	0	0	0	0
Tmem109	60.625000	145	0	340	0	0	0	0	0	0
Ssbp2	60.625000	0	246	0	0	0	239	0	0	0
Nkd1	60.500000	83	0	401	0	0	0	0	0	0
Gm5591	60.500000	0	0	0	0	0	484	0	0	0
Pemt	60.000000	0	97	222	0	0	161	0	0	0
Ltbp1	60.000000	0	0	227	0	0	253	0	0	0
Thoc3	59.625000	0	0	477	0	0	0	0	0	0
Mbp	59.625000	0	118	359	0	0	0	0	0	0
Frmd4b	59.625000	0	0	0	141	136	200	0	0	0
Agpat3	59.625000	0	127	350	0	0	0	0	0	0
Optc	59.500000	0	0	476	0	0	0	0	0	0
Maz	59.500000	138	83	255	0	0	0	0	0	0
Paf1	59.375000	142	0	333	0	0	0	0	0	0
Med29	59.375000	142	0	333	0	0	0	0	0	0
Wnt10a	59.250000	0	0	179	117	0	178	0	0	0
Smim14	59.125000	0	0	473	0	0	0	0	0	0
Cd83	59.125000	0	135	338	0	0	0	0	0	0
Smpd4	59.000000	0	0	472	0	0	0	0	0	0
Csf2ra	59.000000	231	241	0	0	0	0	0	0	0
Vmn2r102	58.875000	263	208	0	0	0	0	0	0	0
Rpl32	58.750000	0	0	470	0	0	0	0	0	0
Rfx5	58.750000	178	104	188	0	0	0	0	0	0
Ccdc181	58.750000	123	151	196	0	0	0	0	0	0
Glyctk	58.625000	0	0	469	0	0	0	0	0	0
Srsf11	58.500000	0	0	345	0	0	123	0	0	0
Pbx3	58.500000	131	128	209	0	0	0	0	0	0
Lrrc40	58.500000	0	0	345	0	0	123	0	0	0
Bcl9l	58.500000	0	0	468	0	0	0	0	0	0
Tsc22d1	58.375000	111	105	251	0	0	0	0	0	0
Sc5d	58.375000	0	0	467	0	0	0	0	0	0
Mphosph8	58.375000	119	0	261	0	0	87	0	0	0
Aven	58.375000	123	118	226	0	0	0	0	0	0
Prune1	58.250000	0	0	466	0	0	0	0	0	0
Porcn	58.250000	0	0	0	297	0	169	0	0	0
Pakap	58.250000	0	228	238	0	0	0	0	0	0
Mindy1	58.250000	0	0	466	0	0	0	0	0	0
H2bc4	58.250000	0	0	347	0	0	119	0	0	0
H2ac6	58.250000	0	0	347	0	0	119	0	0	0
Tmco1	58.125000	0	0	465	0	0	0	0	0	0
Pebp1	58.125000	0	0	465	0	0	0	0	0	0
Tbc1d22a	58.000000	145	0	319	0	0	0	0	0	0
Phkg2	58.000000	102	0	362	0	0	0	0	0	0
Gm13287	57.875000	143	131	0	0	0	189	0	0	0
Dux	57.875000	0	0	109	196	158	0	0	0	0
Clrn1	57.875000	0	0	0	205	159	99	0	0	0
Pmaip1	57.750000	0	219	243	0	0	0	0	0	0
Msantd4	57.750000	0	0	462	0	0	0	0	0	0
Lrrc18	57.750000	94	97	271	0	0	0	0	0	0
Rxfp1	57.500000	99	0	361	0	0	0	0	0	0
Pdgfra	57.500000	0	0	460	0	0	0	0	0	0
Adpgk	57.500000	0	125	335	0	0	0	0	0	0
Msx1	57.375000	0	164	295	0	0	0	0	0	0
Lrrc8a	57.375000	0	0	459	0	0	0	0	0	0
Cuedc1	57.375000	0	0	0	92	175	192	0	0	0
Phactr2	57.250000	188	85	185	0	0	0	0	0	0
Nup62	57.250000	110	0	348	0	0	0	0	0	0
Nlrp10	57.250000	0	97	280	0	0	81	0	0	0
Il4i1b	57.250000	110	0	348	0	0	0	0	0	0
Atf5	57.250000	110	0	348	0	0	0	0	0	0
Mindy4	57.000000	0	136	320	0	0	0	0	0	0
Bcl7a	57.000000	0	0	456	0	0	0	0	0	0
Ankhd1	57.000000	0	113	220	0	0	123	0	0	0
Ints10	56.750000	167	128	159	0	0	0	0	0	0
Abca5	56.750000	0	219	235	0	0	0	0	0	0
Zfp729a	56.625000	0	0	327	0	0	126	0	0	0
Vps52	56.625000	0	0	453	0	0	0	0	0	0
Rps18	56.625000	0	0	453	0	0	0	0	0	0
Jade1	56.625000	0	261	192	0	0	0	0	0	0
B3galt4	56.625000	0	0	453	0	0	0	0	0	0
Trappc9	56.500000	124	118	210	0	0	0	0	0	0
Ppp1r9b	56.500000	0	113	339	0	0	0	0	0	0
Fbxo11	56.500000	107	0	345	0	0	0	0	0	0
Dazap2	56.500000	256	196	0	0	0	0	0	0	0
Arx	56.500000	0	127	325	0	0	0	0	0	0
Znhit6	56.375000	167	107	177	0	0	0	0	0	0
Tcf20	56.375000	0	0	451	0	0	0	0	0	0
Olfr1507	56.375000	301	150	0	0	0	0	0	0	0
Hoxc11	56.375000	0	0	451	0	0	0	0	0	0
Glt8d2	56.375000	164	0	287	0	0	0	0	0	0
Kcne4	56.250000	0	184	266	0	0	0	0	0	0
Dolpp1	56.125000	0	0	449	0	0	0	0	0	0
Kctd13	56.000000	0	0	448	0	0	0	0	0	0
Ikbkg	56.000000	0	0	303	0	0	145	0	0	0
G6pdx	56.000000	0	0	303	0	0	145	0	0	0
Pan2	55.875000	0	0	447	0	0	0	0	0	0
Il23a	55.875000	0	0	447	0	0	0	0	0	0
Flnb	55.875000	0	0	447	0	0	0	0	0	0
Dcaf10	55.750000	446	0	0	0	0	0	0	0	0
Bcl9	55.750000	0	0	446	0	0	0	0	0	0
Rhof	55.625000	0	0	184	0	0	261	0	0	0
Dact3	55.625000	0	129	316	0	0	0	0	0	0
Rbms1	55.500000	0	0	444	0	0	0	0	0	0
Miip	55.500000	94	0	350	0	0	0	0	0	0
Fv1	55.500000	94	0	350	0	0	0	0	0	0
Fgf7	55.500000	186	0	258	0	0	0	0	0	0
Zfp821	55.375000	0	0	443	0	0	0	0	0	0
Park7	55.375000	195	0	248	0	0	0	0	0	0
Ist1	55.375000	0	0	443	0	0	0	0	0	0
Atp11a	55.375000	0	0	443	0	0	0	0	0	0
Ptcd3	55.250000	0	0	442	0	0	0	0	0	0
Polr1a	55.250000	0	0	442	0	0	0	0	0	0
Zbed5	55.125000	0	125	316	0	0	0	0	0	0
Cdiptos	55.000000	0	0	307	0	0	133	0	0	0
Cdipt	55.000000	0	0	307	0	0	133	0	0	0
Abca8b	55.000000	0	73	367	0	0	0	0	0	0
Sdr42e1	54.750000	0	124	314	0	0	0	0	0	0
Mthfr	54.750000	0	0	438	0	0	0	0	0	0
Kat7	54.750000	0	0	438	0	0	0	0	0	0
Cyc1	54.750000	0	0	438	0	0	0	0	0	0
Clcn6	54.750000	0	0	438	0	0	0	0	0	0
Itgb3bp	54.625000	0	0	437	0	0	0	0	0	0
Efcab7	54.625000	0	0	437	0	0	0	0	0	0
Vps45	54.500000	90	0	346	0	0	0	0	0	0
Lrif1	54.500000	0	0	329	0	0	107	0	0	0
1110038F14Rik	54.375000	0	0	331	0	0	104	0	0	0
Snrpn	54.250000	0	0	434	0	0	0	0	0	0
Poldip3	54.250000	0	122	312	0	0	0	0	0	0
Fbxo5	54.250000	0	190	244	0	0	0	0	0	0
Enho	54.250000	0	177	257	0	0	0	0	0	0
Fbxw9	54.125000	0	0	433	0	0	0	0	0	0
Dhrs3	54.125000	0	0	433	0	0	0	0	0	0
Idh1	54.000000	0	0	211	0	0	221	0	0	0
Cox18	54.000000	135	0	297	0	0	0	0	0	0
Cd44	54.000000	0	0	233	0	199	0	0	0	0
Rhod	53.875000	0	107	324	0	0	0	0	0	0
Drg2	53.750000	0	0	430	0	0	0	0	0	0
Vps72	53.625000	0	0	429	0	0	0	0	0	0
Usp48	53.625000	166	0	263	0	0	0	0	0	0
Pip5k1a	53.625000	0	0	429	0	0	0	0	0	0
Peli2	53.500000	0	0	428	0	0	0	0	0	0
Hspa4	53.500000	83	0	345	0	0	0	0	0	0
Helb	53.500000	0	0	428	0	0	0	0	0	0
Gripap1	53.375000	0	0	427	0	0	0	0	0	0
Flad1	53.375000	0	0	427	0	0	0	0	0	0
Csnk1g1	53.250000	70	0	356	0	0	0	0	0	0
Lrrfip1	53.125000	0	132	293	0	0	0	0	0	0
Ptk7	52.875000	0	136	287	0	0	0	0	0	0
Hscb	52.875000	134	0	289	0	0	0	0	0	0
Gdf11	52.875000	0	229	194	0	0	0	0	0	0
Chek2	52.875000	134	0	289	0	0	0	0	0	0
Ube2i	52.750000	0	0	366	0	0	56	0	0	0
Tada3	52.750000	0	0	422	0	0	0	0	0	0
Arpc4	52.750000	0	0	422	0	0	0	0	0	0
Itpa	52.625000	146	0	275	0	0	0	0	0	0
Hoxb4	52.625000	0	107	314	0	0	0	0	0	0
Hoxb3	52.625000	0	107	314	0	0	0	0	0	0
Ddrgk1	52.625000	146	0	275	0	0	0	0	0	0
Crebzf	52.625000	0	0	0	0	0	205	216	0	0
Mmut	52.500000	0	0	420	0	0	0	0	0	0
Marchf6	52.500000	0	0	420	0	0	0	0	0	0
Cenpq	52.500000	0	0	420	0	0	0	0	0	0
Gramd4	52.375000	0	184	235	0	0	0	0	0	0
Cbx8	52.375000	162	257	0	0	0	0	0	0	0
Zfp454	52.250000	122	107	189	0	0	0	0	0	0
Pgghg	52.250000	0	161	257	0	0	0	0	0	0
Mgat3	52.250000	0	0	0	0	0	418	0	0	0
Map4	52.250000	0	0	418	0	0	0	0	0	0
Wdr35	52.125000	190	0	227	0	0	0	0	0	0
Urb2	52.125000	0	0	417	0	0	0	0	0	0
Taf5l	52.125000	0	0	417	0	0	0	0	0	0
Taf1	52.125000	0	0	417	0	0	0	0	0	0
Smim19	52.125000	0	119	298	0	0	0	0	0	0
Slc20a2	52.125000	0	119	298	0	0	0	0	0	0
Prrx1	52.000000	128	0	288	0	0	0	0	0	0
Zswim1	51.875000	0	0	415	0	0	0	0	0	0
Spata25	51.875000	0	0	415	0	0	0	0	0	0
Dpysl3	51.875000	0	149	266	0	0	0	0	0	0
Fmc1	51.750000	0	0	414	0	0	0	0	0	0
Ccar1	51.750000	0	0	285	0	0	129	0	0	0
Triqk	51.625000	0	105	308	0	0	0	0	0	0
Rnf182	51.625000	0	0	413	0	0	0	0	0	0
Rad54l	51.625000	145	0	268	0	0	0	0	0	0
Ostc	51.625000	0	0	413	0	0	0	0	0	0
Zfp780b	51.375000	0	0	411	0	0	0	0	0	0
Plin3	51.375000	0	0	411	0	0	0	0	0	0
L3mbtl2	51.375000	0	0	411	0	0	0	0	0	0
Dnmbp	51.250000	175	0	235	0	0	0	0	0	0
Spred2	51.125000	0	0	409	0	0	0	0	0	0
Sirt4	51.125000	0	0	409	0	0	0	0	0	0
Serinc2	51.000000	0	0	408	0	0	0	0	0	0
Tmem230	50.875000	0	142	265	0	0	0	0	0	0
Pcna	50.875000	0	142	265	0	0	0	0	0	0
Epha3	50.750000	0	226	180	0	0	0	0	0	0
Tpp2	50.625000	0	0	405	0	0	0	0	0	0
Tbc1d14	50.625000	0	0	405	0	0	0	0	0	0
Stat3	50.625000	0	0	405	0	0	0	0	0	0
Rps26	50.625000	0	0	405	0	0	0	0	0	0
Arhgap28	50.625000	106	0	299	0	0	0	0	0	0
Anapc15	50.625000	0	0	405	0	0	0	0	0	0
Flcn	50.500000	0	0	286	0	0	118	0	0	0
Cln8	50.500000	0	78	326	0	0	0	0	0	0
Adgra2	50.500000	0	0	404	0	0	0	0	0	0
Pold4	50.375000	0	0	403	0	0	0	0	0	0
Rmnd1	50.250000	0	0	271	0	0	131	0	0	0
Kbtbd6	50.250000	0	91	311	0	0	0	0	0	0
Fdxr	50.250000	104	0	298	0	0	0	0	0	0
Defb10	50.250000	156	118	128	0	0	0	0	0	0
Armt1	50.250000	0	0	271	0	0	131	0	0	0
Tcf12	50.000000	0	0	400	0	0	0	0	0	0
Actrt2	50.000000	0	210	190	0	0	0	0	0	0
Mlf2	49.875000	0	115	284	0	0	0	0	0	0
Dab2	49.875000	0	0	145	254	0	0	0	0	0
Irgq	49.625000	0	0	397	0	0	0	0	0	0
Ech1	49.625000	0	0	397	0	0	0	0	0	0
Dab2ip	49.625000	148	0	249	0	0	0	0	0	0
Zswim8	49.500000	0	150	246	0	0	0	0	0	0
Psmf1	49.500000	0	0	396	0	0	0	0	0	0
Jam2	49.500000	0	186	210	0	0	0	0	0	0
Gabarapl2	49.500000	0	0	396	0	0	0	0	0	0
Chchd1	49.500000	0	150	246	0	0	0	0	0	0
Zfp791	49.375000	0	78	317	0	0	0	0	0	0
Tet3	49.375000	0	0	395	0	0	0	0	0	0
Gm3776	49.375000	0	0	0	0	0	395	0	0	0
Dcc	49.375000	0	0	395	0	0	0	0	0	0
Aff4	49.375000	0	0	259	0	0	136	0	0	0
Cdc14a	49.250000	0	172	222	0	0	0	0	0	0
Xrn2	49.125000	112	0	281	0	0	0	0	0	0
Brms1	49.125000	0	0	393	0	0	0	0	0	0
B4gat1	49.125000	0	0	393	0	0	0	0	0	0
Zfp574	49.000000	0	111	281	0	0	0	0	0	0
Zfp184	49.000000	108	0	284	0	0	0	0	0	0
Med23	49.000000	0	0	244	0	0	148	0	0	0
H2bc1	49.000000	144	168	80	0	0	0	0	0	0
H2ac1	49.000000	144	168	80	0	0	0	0	0	0
Grik5	49.000000	0	111	281	0	0	0	0	0	0
Calcrl	49.000000	87	119	186	0	0	0	0	0	0
Slc31a1	48.875000	0	0	391	0	0	0	0	0	0
Rps8	48.875000	0	0	391	0	0	0	0	0	0
Pramel6	48.875000	0	118	273	0	0	0	0	0	0
Gpr84	48.875000	0	117	0	134	0	140	0	0	0
Fkbp15	48.875000	0	0	391	0	0	0	0	0	0
Clpsl2	48.875000	147	91	153	0	0	0	0	0	0
Dis3l	48.750000	0	0	390	0	0	0	0	0	0
Slc38a8	48.500000	0	97	291	0	0	0	0	0	0
Slc35a1	48.500000	0	112	276	0	0	0	0	0	0
Phykpl	48.500000	0	0	0	135	132	121	0	0	0
H3c6	48.500000	0	0	218	0	0	170	0	0	0
Pitrm1	48.375000	0	118	269	0	0	0	0	0	0
Pheta1	48.375000	0	0	387	0	0	0	0	0	0
Meox2	48.375000	115	0	272	0	0	0	0	0	0
Zfp128	48.250000	0	0	386	0	0	0	0	0	0
Zdhhc6	48.250000	0	0	386	0	0	0	0	0	0
Vti1a	48.250000	0	0	386	0	0	0	0	0	0
Ube2c	48.250000	0	0	386	0	0	0	0	0	0
Postn	48.250000	155	0	231	0	0	0	0	0	0
Zkscan5	48.125000	0	127	258	0	0	0	0	0	0
Zkscan14	48.125000	0	127	258	0	0	0	0	0	0
Uba52	48.125000	0	0	385	0	0	0	0	0	0
Rex1bd	48.125000	0	0	385	0	0	0	0	0	0
Rcan1	48.125000	98	93	194	0	0	0	0	0	0
Otud4	48.125000	0	0	0	78	0	307	0	0	0
Ints4	48.125000	114	0	271	0	0	0	0	0	0
Zc3h4	48.000000	198	0	186	0	0	0	0	0	0
Adgre5	48.000000	159	0	0	0	0	225	0	0	0
Acin1	47.875000	0	110	273	0	0	0	0	0	0
1700123O20Rik	47.875000	0	110	273	0	0	0	0	0	0
Rmc1	47.750000	0	0	382	0	0	0	0	0	0
Nhlrc2	47.750000	0	0	270	0	0	112	0	0	0
Dclre1a	47.750000	0	0	270	0	0	112	0	0	0
Ccnd2	47.750000	0	0	382	0	0	0	0	0	0
Rhobtb2	47.625000	0	97	284	0	0	0	0	0	0
Polr3e	47.625000	101	0	280	0	0	0	0	0	0
Pdlim5	47.625000	0	173	208	0	0	0	0	0	0
Itgb7	47.625000	0	0	0	256	125	0	0	0	0
Prr14	47.500000	99	116	165	0	0	0	0	0	0
Hrh2	47.500000	380	0	0	0	0	0	0	0	0
Abhd11	47.500000	148	0	232	0	0	0	0	0	0
Rpa2	47.375000	0	0	379	0	0	0	0	0	0
Psen1	47.375000	0	0	379	0	0	0	0	0	0
Kdm3a	47.375000	0	0	287	0	0	92	0	0	0
Nsun5	47.250000	0	107	271	0	0	0	0	0	0
Glipr1l3	47.250000	0	114	264	0	0	0	0	0	0
Cd248	47.250000	0	80	298	0	0	0	0	0	0
Caps2	47.250000	0	114	264	0	0	0	0	0	0
Ppfibp2	47.125000	0	124	253	0	0	0	0	0	0
Nfkbil1	47.125000	155	0	222	0	0	0	0	0	0
Eif3f	47.125000	0	97	280	0	0	0	0	0	0
Atp6v1g2	47.125000	155	0	222	0	0	0	0	0	0
Sost	47.000000	0	0	376	0	0	0	0	0	0
Ruvbl1	47.000000	0	0	376	0	0	0	0	0	0
Psmg3	47.000000	0	0	376	0	0	0	0	0	0
Pik3r2	47.000000	124	0	252	0	0	0	0	0	0
Colgalt1	47.000000	0	0	376	0	0	0	0	0	0
Tcea1	46.875000	109	0	266	0	0	0	0	0	0
Marchf2	46.875000	0	0	0	0	229	146	0	0	0
Slc25a25	46.750000	139	0	235	0	0	0	0	0	0
Rusf1	46.750000	188	0	186	0	0	0	0	0	0
Eva1b	46.750000	188	0	186	0	0	0	0	0	0
Cdc23	46.750000	104	0	270	0	0	0	0	0	0
Ric1	46.625000	0	110	263	0	0	0	0	0	0
Kctd4	46.625000	121	0	252	0	0	0	0	0	0
Zfp444	46.500000	0	106	266	0	0	0	0	0	0
Poc1a	46.500000	0	0	372	0	0	0	0	0	0
Fhl3	46.375000	0	0	371	0	0	0	0	0	0
Zfp955b	46.250000	0	118	252	0	0	0	0	0	0
Nup85	46.250000	0	118	252	0	0	0	0	0	0
Cnpy2	46.250000	93	0	277	0	0	0	0	0	0
1700009N14Rik	46.250000	135	0	235	0	0	0	0	0	0
Bcl11a	46.125000	0	0	369	0	0	0	0	0	0
BC052040	46.125000	0	132	237	0	0	0	0	0	0
Wdr92	46.000000	0	0	368	0	0	0	0	0	0
Pno1	46.000000	0	0	368	0	0	0	0	0	0
Rps6	45.875000	0	0	367	0	0	0	0	0	0
Ppp1r11	45.875000	0	0	367	0	0	0	0	0	0
Ssc5d	45.750000	0	0	366	0	0	0	0	0	0
Setbp1	45.750000	0	0	366	0	0	0	0	0	0
Ndufs4	45.750000	0	139	227	0	0	0	0	0	0
Nat14	45.750000	0	0	366	0	0	0	0	0	0
Aadacl2fm1	45.750000	366	0	0	0	0	0	0	0	0
Slc12a9	45.625000	0	0	365	0	0	0	0	0	0
Anp32e	45.625000	0	0	365	0	0	0	0	0	0
Tmem29	45.500000	0	208	156	0	0	0	0	0	0
Sfrp5	45.500000	0	128	236	0	0	0	0	0	0
Wfikkn2	45.375000	0	100	263	0	0	0	0	0	0
Nvl	45.375000	0	0	363	0	0	0	0	0	0
Kdm4a	45.375000	150	0	213	0	0	0	0	0	0
Il12rb1	45.375000	0	0	363	0	0	0	0	0	0
Ccar2	45.375000	0	0	363	0	0	0	0	0	0
Fyco1	45.250000	0	0	181	0	0	181	0	0	0
Fgfr3	45.250000	0	164	198	0	0	0	0	0	0
Shroom3	45.125000	201	0	160	0	0	0	0	0	462
Rtn4	45.125000	0	0	361	0	0	0	0	0	0
Mtbp	45.125000	0	0	246	0	0	115	0	0	0
Mrpl13	45.125000	0	0	246	0	0	115	0	0	0
Atp6v1e1	45.000000	0	0	360	0	0	0	0	0	0
Klf3	44.875000	0	171	188	0	0	0	0	0	0
A130010J15Rik	44.875000	145	0	214	0	0	0	0	0	0
Copz1	44.750000	116	0	242	0	0	0	0	0	0
Rbms2	44.625000	206	151	0	0	0	0	0	0	0
Cfap298	44.625000	0	0	240	0	0	117	0	0	0
C2cd2l	44.625000	0	139	218	0	0	0	0	0	0
Thap11	44.500000	0	0	0	0	0	356	0	0	0
Slc25a10	44.500000	0	0	233	123	0	0	0	0	0
Plxdc1	44.500000	0	0	356	0	0	0	0	0	0
Nras	44.500000	0	0	140	89	0	127	0	0	0
Krt35	44.500000	0	0	356	0	0	0	0	0	0
Igsf10	44.500000	0	0	356	0	0	0	0	0	0
Dctn1	44.500000	111	0	245	0	0	0	0	0	0
Cenpt	44.500000	0	0	0	0	0	356	0	0	0
Zfp608	44.375000	0	179	176	0	0	0	0	0	0
