Target_genes	Ebf1|Average	SRX018714|38B9	SRX587732|3T3-L1	SRX120206|B_cells	SRX120207|B_cells	SRX120424|B_cells	SRX14998422|Embryonic_liver	SRX14998423|Embryonic_liver	SRX7807060|Embryonic_liver	SRX7807062|Embryonic_liver	SRX9204114|Embryonic_liver	SRX9204116|Embryonic_liver	SRX6755615|ES_cells	SRX392756|HAFTL	SRX392757|HAFTL	SRX392758|HAFTL	SRX392759|HAFTL	SRX392760|HAFTL	SRX7821130|Hematopoietic_progenitors	SRX7821131|Hematopoietic_progenitors	SRX7821132|Hematopoietic_progenitors	SRX9204112|Leukemic_cell	SRX9204113|Leukemic_cell	SRX2162539|Pre-B_cells	SRX2162540|Pre-B_cells	SRX9350559|Pre-B_cells	SRX9350560|Pre-B_cells	SRX021878|Pro-B_cells	SRX1038471|Pro-B_cells	SRX1038472|Pro-B_cells	SRX1038473|Pro-B_cells	SRX1038474|Pro-B_cells	SRX120204|Pro-B_cells	SRX120205|Pro-B_cells	SRX14935391|Pro-B_cells	SRX14935393|Pro-B_cells	SRX19713228|Pro-B_cells	SRX19713229|Pro-B_cells	SRX2136459|Pro-B_cells	SRX2136460|Pro-B_cells	SRX2136461|Pro-B_cells	SRX2136462|Pro-B_cells	SRX3413799|Pro-B_cells	SRX3413800|Pro-B_cells	SRX3413801|Pro-B_cells	SRX3413802|Pro-B_cells	SRX3413803|Pro-B_cells	SRX3413820|Pro-B_cells	SRX3413821|Pro-B_cells	SRX9204115|Pro-B_cells	SRX9204117|Pro-B_cells	STRING
Klhl42	223.340000	176	0	0	0	0	0	195	248	345	1007	409	0	0	0	0	0	0	228	268	0	692	789	426	618	186	261	0	259	0	357	0	167	0	0	0	324	173	0	0	0	0	169	335	314	390	297	0	342	907	1285	0
Elapor1	223.240000	0	0	0	0	0	119	490	298	616	1070	671	0	0	0	0	0	0	424	353	306	285	186	944	548	528	340	0	296	0	241	83	0	0	0	0	145	0	0	0	0	0	0	419	216	394	414	187	320	339	930	0
1700013F07Rik	223.240000	0	0	0	0	0	119	490	298	616	1070	671	0	0	0	0	0	0	424	353	306	285	186	944	548	528	340	0	296	0	241	83	0	0	0	0	145	0	0	0	0	0	0	419	216	394	414	187	320	339	930	0
Cd276	222.920000	0	0	0	0	0	0	174	0	213	772	313	0	154	0	0	0	0	1506	1375	1355	0	191	236	0	171	161	0	185	173	471	157	0	0	0	0	0	137	185	169	0	0	230	162	322	389	235	295	345	316	754	0
Tctex1d4	222.900000	0	0	0	0	223	187	250	270	300	472	253	0	0	0	0	105	0	772	632	828	531	453	855	395	305	298	0	257	0	289	251	122	0	0	0	181	0	0	0	0	0	135	290	247	297	254	412	480	184	617	0
Btbd19	222.900000	0	0	0	0	223	187	250	270	300	472	253	0	0	0	0	105	0	772	632	828	531	453	855	395	305	298	0	257	0	289	251	122	0	0	0	181	0	0	0	0	0	135	290	247	297	254	412	480	184	617	0
Btnl1	222.680000	0	0	0	0	0	74	345	170	149	526	231	0	0	0	0	0	0	601	378	533	550	454	612	431	962	1104	0	134	190	219	87	0	0	0	0	0	0	0	0	0	0	273	137	423	336	97	510	901	134	573	0
Cgref1	222.400000	101	416	0	0	0	176	279	0	191	709	477	0	0	0	0	0	0	350	368	511	430	609	377	304	304	306	0	225	168	247	0	0	0	0	0	0	121	0	0	0	0	285	175	479	682	232	505	611	569	913	0
Abhd1	222.400000	101	416	0	0	0	176	279	0	191	709	477	0	0	0	0	0	0	350	368	511	430	609	377	304	304	306	0	225	168	247	0	0	0	0	0	0	121	0	0	0	0	285	175	479	682	232	505	611	569	913	0
Acly	221.840000	110	0	0	0	0	0	0	242	199	518	171	0	0	288	0	97	0	460	504	590	510	362	1691	1168	766	700	0	177	190	314	0	0	161	0	0	183	0	0	290	0	0	261	136	341	278	0	165	220	0	0	0
Pla2g6	221.340000	172	0	0	0	0	0	472	184	142	718	378	0	0	0	0	0	0	1024	713	939	474	431	1162	307	367	202	0	137	0	88	0	188	0	0	0	0	0	0	0	0	0	119	302	367	435	210	413	386	268	469	0
Tasor2	221.240000	0	0	0	0	151	0	363	212	355	683	433	0	0	0	0	0	0	492	538	261	567	585	608	339	186	159	0	169	0	298	0	0	108	0	0	245	240	0	0	0	0	0	252	239	373	350	134	183	1035	1504	0
U2surp	221.180000	0	0	0	0	241	0	263	201	533	963	578	0	0	0	0	0	0	494	270	459	343	354	527	215	308	223	0	385	236	630	199	197	0	0	0	171	198	0	0	0	0	0	191	282	540	307	191	310	428	822	0
Eif4ebp1	220.980000	0	0	0	0	131	0	240	196	649	692	241	0	0	0	0	0	0	0	274	0	859	885	533	503	272	121	0	0	0	0	0	104	0	0	0	244	165	0	0	0	0	245	294	366	588	326	250	391	1079	1401	0
Sinhcaf	220.620000	0	0	0	0	204	0	395	217	494	812	304	0	0	0	0	0	0	261	443	0	495	443	867	629	257	340	0	206	0	182	0	181	0	0	0	304	277	0	0	0	0	218	207	389	411	323	183	253	711	1025	0
Adgrg1	219.560000	278	0	0	0	0	149	302	186	394	726	213	0	0	0	0	0	0	788	734	657	440	291	416	378	265	236	0	359	114	456	0	174	0	0	0	185	101	0	0	0	0	0	315	358	402	258	290	403	440	670	0
Akap10	219.420000	127	0	0	0	0	0	394	313	672	548	255	0	0	116	0	0	0	296	110	145	478	410	1002	339	787	604	0	258	0	340	0	0	0	0	0	238	152	85	116	0	0	210	227	265	326	291	160	187	552	968	0
Celf1	218.620000	0	0	0	0	124	129	223	246	740	844	458	0	0	0	0	0	0	0	0	0	774	733	610	485	421	217	0	0	0	0	0	0	0	0	0	353	114	128	0	0	0	164	218	216	284	469	172	313	1252	1244	0
Bcat2	218.520000	0	230	0	0	0	0	269	359	425	645	335	0	0	202	0	0	0	510	506	668	0	303	1468	644	431	504	0	213	115	189	0	143	138	0	0	126	0	0	198	0	0	0	191	142	417	148	273	350	0	784	0
Gatd1	217.680000	114	0	0	0	0	0	277	227	269	674	251	0	0	146	0	0	0	814	588	585	962	455	719	691	247	128	0	151	236	0	133	129	136	0	0	0	0	0	144	0	0	153	213	463	324	0	527	637	191	300	0
Vasp	217.420000	124	0	0	0	125	0	235	356	191	0	0	0	154	0	0	0	0	940	905	648	1318	956	810	240	219	145	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	399	129	518	326	273	478	686	164	408	0
Ap3m1	217.260000	0	0	0	0	162	0	572	266	520	855	380	0	0	0	0	0	0	881	732	627	0	0	1221	1044	0	0	0	259	0	0	0	0	0	0	0	201	294	0	0	0	0	247	415	273	529	333	0	470	327	255	0
Dgat1	217.200000	132	0	0	0	120	0	0	178	465	552	264	0	143	0	0	0	0	187	0	0	1038	820	219	390	236	177	0	882	318	629	370	226	161	0	0	209	230	187	0	0	0	182	280	165	210	383	0	0	758	749	0
Fam214b	217.180000	149	0	0	0	0	188	446	0	373	617	235	0	0	0	0	0	0	952	1125	1361	587	420	463	401	0	0	0	0	216	184	174	118	0	0	0	0	0	0	0	0	0	223	0	269	521	0	687	751	0	399	0
Ap2a2	216.040000	0	733	0	0	0	0	233	220	588	853	460	0	189	200	0	270	0	311	386	289	706	320	1399	612	425	458	0	201	0	158	0	0	63	0	0	0	0	217	205	0	0	0	293	0	0	328	0	222	0	463	0
Got1	215.620000	117	0	0	0	411	0	204	252	324	869	510	0	0	0	0	0	0	385	393	288	326	165	563	306	343	297	0	175	0	218	0	0	166	0	0	312	0	0	0	0	0	199	200	408	546	357	438	532	712	765	0
Epb41l5	215.360000	110	0	0	0	0	0	155	206	607	714	428	0	0	0	0	0	0	172	176	0	302	412	538	369	452	344	0	356	84	332	0	132	0	0	0	340	268	0	0	0	0	187	345	252	495	384	117	291	972	1228	0
Psap	215.240000	203	0	0	0	0	0	282	137	0	708	284	0	189	303	0	200	0	420	325	588	691	443	1184	590	338	198	0	281	415	474	0	201	98	0	0	0	0	216	302	0	0	0	126	167	251	176	0	235	184	553	0
Ppm1d	215.160000	162	0	0	0	0	0	445	239	371	1106	638	0	0	126	0	0	0	528	429	418	0	0	1402	632	170	0	0	315	224	115	179	0	0	0	0	277	0	0	132	0	0	0	430	218	490	435	0	439	393	445	0
Siah2	215.120000	0	0	0	0	284	0	193	289	302	432	182	0	0	0	0	0	0	253	344	301	1420	611	522	468	663	393	0	217	0	343	137	0	0	0	0	168	116	0	0	0	0	226	230	314	358	334	105	229	549	773	0
Pank3	214.680000	148	0	0	0	252	0	409	158	360	611	347	0	135	0	0	0	0	816	707	479	452	523	266	0	128	109	0	645	271	491	167	0	0	0	0	108	0	165	0	0	0	215	307	277	266	222	0	230	672	798	0
Tent5c	214.520000	0	0	224	184	216	0	197	281	241	270	204	0	410	0	290	0	0	0	0	0	322	406	376	156	312	99	141	0	0	0	0	336	265	0	0	237	144	0	0	218	0	329	339	522	849	283	236	468	1014	1157	0
Diablo	214.480000	0	0	0	0	114	0	276	158	402	713	395	0	0	200	0	94	0	466	475	312	762	264	645	575	411	572	0	192	122	121	0	0	0	0	0	176	0	0	206	0	0	148	282	356	356	269	163	262	452	785	0
Reep2	214.400000	372	0	0	0	0	0	368	248	166	1103	430	0	0	0	0	0	0	436	265	406	0	679	187	817	237	195	0	163	177	290	0	0	0	0	0	186	0	0	0	0	0	395	216	562	601	203	265	151	579	1023	0
Gm5148	214.280000	0	0	0	0	0	152	464	325	264	974	601	0	0	133	0	0	0	0	113	178	0	162	1007	1197	533	594	0	149	0	249	106	186	143	0	0	161	193	0	133	0	0	249	180	336	209	259	0	97	436	931	0
Ruvbl2	214.060000	260	0	0	0	146	0	243	160	0	626	410	0	0	167	0	0	0	685	661	689	1043	609	491	295	257	157	0	203	123	164	0	0	0	0	0	129	0	0	164	0	0	191	160	498	337	174	161	373	418	709	0
Gys1	214.060000	260	0	0	0	146	0	243	160	0	626	410	0	0	167	0	0	0	685	661	689	1043	609	491	295	257	157	0	203	123	164	0	0	0	0	0	129	0	0	164	0	0	191	160	498	337	174	161	373	418	709	0
Stn1	213.080000	0	0	0	0	0	0	264	275	351	1210	797	0	0	119	0	0	0	339	457	560	0	318	718	509	233	176	0	186	0	412	87	186	0	0	0	88	0	0	120	0	0	0	430	221	447	484	211	431	315	710	0
Ints3	212.460000	0	0	0	0	254	0	580	215	314	969	355	0	0	0	0	0	0	386	558	249	783	607	235	408	312	164	0	316	165	444	138	0	0	0	0	103	0	0	0	0	0	171	217	294	352	229	136	232	507	930	0
Ust	211.760000	206	0	0	0	0	0	227	178	657	1192	418	0	0	0	0	0	0	0	0	0	381	231	810	537	230	183	0	112	0	222	0	0	0	0	0	302	0	0	0	0	0	0	620	0	274	550	0	0	1472	1786	0
Mief2	211.680000	175	0	0	0	0	0	129	482	498	270	0	0	0	0	0	0	0	265	265	286	249	399	0	0	201	105	0	132	0	427	0	0	0	0	0	102	0	0	0	0	0	655	315	938	938	362	968	1089	389	945	0
Sh3rf1	211.420000	189	0	0	0	0	0	209	270	497	628	356	0	0	0	0	0	0	591	476	367	732	552	468	305	304	156	0	176	0	140	0	0	0	0	0	144	0	0	0	0	0	290	178	325	386	323	378	464	637	1030	0
Rasa3	211.320000	0	0	0	0	0	0	351	308	308	741	285	0	102	0	0	0	0	206	228	248	643	479	1747	1002	174	126	0	354	185	209	0	0	0	0	0	163	0	122	0	0	0	229	383	264	316	281	157	296	230	429	0
Bcl2l15	211.120000	0	393	0	0	0	0	283	379	573	795	368	0	0	0	0	0	0	216	256	251	205	437	1302	1309	583	411	0	226	89	280	0	82	0	0	0	129	0	0	0	0	0	0	337	299	323	223	0	245	134	428	0
Ahcyl2	211.020000	0	0	0	0	0	0	413	0	0	223	0	0	0	0	0	0	0	0	0	94	2136	1163	486	451	0	0	0	317	119	182	79	0	0	0	0	268	275	0	0	0	0	393	466	431	589	541	428	653	151	693	0
Tbl2	210.820000	0	329	0	0	225	164	219	0	332	760	368	0	0	0	0	0	0	381	507	364	349	410	464	194	395	357	0	532	176	642	164	0	0	0	0	311	108	0	0	0	0	206	174	297	287	304	159	119	437	807	0
Nek2	210.640000	117	346	0	0	0	176	614	123	348	559	299	0	0	0	0	0	0	589	445	294	104	205	970	518	630	478	0	343	265	520	205	73	112	0	0	203	0	0	0	0	0	0	129	303	206	280	0	259	280	539	0
Zfp821	209.940000	149	0	0	0	446	0	268	142	451	829	303	0	214	0	483	321	0	389	403	296	280	184	518	424	121	0	0	720	178	280	192	0	0	0	0	385	133	0	0	492	170	0	240	0	182	241	0	125	323	615	0
Alpl	209.820000	186	0	0	0	0	0	0	411	473	530	359	0	92	206	0	107	0	168	232	0	782	133	177	396	849	759	0	186	0	325	0	287	106	0	0	283	119	114	204	0	0	0	184	0	178	180	0	0	987	1478	0
Ceacam2	209.120000	141	0	0	0	0	0	422	360	269	728	287	0	0	169	0	0	0	640	602	762	168	584	504	615	280	225	0	266	298	558	0	148	0	0	0	141	0	0	182	0	0	0	202	323	384	241	196	192	188	381	0
Rpl39	209.040000	110	0	0	0	391	0	217	0	288	868	419	0	0	0	0	0	0	433	393	356	551	353	448	400	495	356	0	565	0	415	83	169	0	0	0	167	128	0	0	0	0	124	283	313	404	234	0	271	383	835	0
Sema4d	208.360000	0	0	0	0	0	163	445	207	319	881	360	0	0	0	0	0	0	374	246	219	478	245	726	509	133	165	0	310	186	487	134	185	134	0	0	167	0	0	0	0	0	0	401	178	204	539	491	663	328	541	0
Nfkbil1	208.080000	0	0	0	0	0	239	434	401	841	764	401	0	0	0	0	0	0	380	343	213	455	158	1480	627	420	331	0	152	0	177	0	232	100	0	0	159	0	0	0	0	0	0	201	0	179	198	0	306	437	776	0
Atp6v1g2	208.080000	0	0	0	0	0	239	434	401	841	764	401	0	0	0	0	0	0	380	343	213	455	158	1480	627	420	331	0	152	0	177	0	232	100	0	0	159	0	0	0	0	0	0	201	0	179	198	0	306	437	776	0
Mapkapk5	208.020000	0	0	0	0	0	0	190	250	614	795	329	0	0	0	0	0	0	130	322	0	682	748	314	347	296	160	0	100	0	0	0	0	0	0	0	239	0	128	0	0	0	158	255	312	553	345	178	235	1300	1421	0
Hcls1	207.720000	0	0	0	0	0	0	371	279	582	1125	512	0	0	140	0	0	0	199	197	187	268	339	1177	720	180	0	0	227	0	175	0	232	143	0	0	332	191	0	141	0	0	0	0	178	384	396	126	205	581	799	0
Zmynd10	207.560000	159	0	0	0	0	0	119	205	533	857	271	0	0	0	0	0	0	290	395	188	279	335	335	391	0	128	0	381	205	669	339	175	0	0	0	176	0	0	0	0	0	355	201	462	552	248	250	297	668	915	0
Nprl2	207.560000	159	0	0	0	0	0	119	205	533	857	271	0	0	0	0	0	0	290	395	188	279	335	335	391	0	128	0	381	205	669	339	175	0	0	0	176	0	0	0	0	0	355	201	462	552	248	250	297	668	915	0
Cyb561d2	207.560000	159	0	0	0	0	0	119	205	533	857	271	0	0	0	0	0	0	290	395	188	279	335	335	391	0	128	0	381	205	669	339	175	0	0	0	176	0	0	0	0	0	355	201	462	552	248	250	297	668	915	0
Hbs1l	207.180000	0	0	0	0	342	0	201	199	985	320	107	0	154	0	0	0	0	108	162	0	1002	1173	399	200	0	0	0	267	0	297	0	0	0	0	0	224	203	175	0	0	0	176	231	253	434	366	283	250	524	1324	0
Spi1	206.460000	0	0	0	0	118	0	0	149	225	540	175	0	188	194	0	0	0	366	434	456	1575	715	809	378	272	239	0	218	169	174	0	109	0	0	0	186	0	214	183	0	0	0	0	143	0	0	0	138	770	1186	0
Slc11a1	206.420000	106	0	0	0	0	0	0	249	135	175	0	0	227	401	0	0	0	956	1044	1016	203	300	170	0	689	691	0	0	0	0	0	0	0	0	0	0	0	245	397	0	0	362	0	625	836	0	706	788	0	0	0
Kdm4a	206.360000	0	179	0	0	0	169	334	183	566	820	364	0	0	134	0	0	0	405	367	373	363	197	1371	683	248	228	0	407	163	167	0	0	0	0	0	145	156	0	140	0	0	0	192	330	276	188	224	270	99	577	0
Ubash3b	206.020000	200	0	0	0	0	0	207	165	0	788	412	0	0	0	0	0	0	793	812	568	308	418	126	178	0	0	0	147	0	155	0	96	0	0	0	0	0	0	0	0	0	325	230	500	680	203	818	924	416	832	0
Abi1	205.540000	143	0	0	0	0	163	557	269	351	1032	656	0	0	0	0	0	0	278	173	290	150	0	644	956	427	374	0	386	241	525	239	259	178	0	0	297	0	0	0	0	0	0	250	277	192	297	0	0	177	496	0
Smc4	205.280000	0	355	0	0	0	0	0	183	472	487	228	0	0	0	0	0	0	388	526	213	472	277	488	407	1017	750	0	675	178	405	169	0	0	0	0	194	115	0	0	0	0	0	176	182	167	250	208	303	358	621	0
Ift80	205.280000	0	355	0	0	0	0	0	183	472	487	228	0	0	0	0	0	0	388	526	213	472	277	488	407	1017	750	0	675	178	405	169	0	0	0	0	194	115	0	0	0	0	0	176	182	167	250	208	303	358	621	0
Timm17b	205.140000	0	0	0	0	285	0	238	229	310	892	247	0	0	0	0	0	0	649	539	958	593	309	742	440	130	0	0	359	95	335	0	154	236	0	0	182	0	0	0	0	0	201	176	227	260	153	0	0	464	854	0
Pqbp1	205.140000	0	0	0	0	285	0	238	229	310	892	247	0	0	0	0	0	0	649	539	958	593	309	742	440	130	0	0	359	95	335	0	154	236	0	0	182	0	0	0	0	0	201	176	227	260	153	0	0	464	854	0
Ubtd1	204.420000	0	0	0	0	0	135	290	0	348	554	300	0	249	0	346	0	0	254	467	131	831	708	358	354	519	373	0	162	0	257	0	0	0	0	0	175	121	250	0	328	0	0	232	220	288	270	144	160	692	705	0
Mms19	204.420000	0	0	0	0	0	135	290	0	348	554	300	0	249	0	346	0	0	254	467	131	831	708	358	354	519	373	0	162	0	257	0	0	0	0	0	175	121	250	0	328	0	0	232	220	288	270	144	160	692	705	0
Zfp664	204.240000	0	0	0	0	410	0	408	184	338	606	372	0	122	0	0	0	0	212	216	0	594	775	426	297	163	141	0	0	0	0	0	112	126	0	0	196	150	117	0	0	0	188	377	349	282	411	125	243	1135	1137	0
Ccdc92	204.240000	0	0	0	0	410	0	408	184	338	606	372	0	122	0	0	0	0	212	216	0	594	775	426	297	163	141	0	0	0	0	0	112	126	0	0	196	150	117	0	0	0	188	377	349	282	411	125	243	1135	1137	0
Tbc1d23	204.220000	0	0	0	0	0	0	151	226	371	928	651	0	0	138	0	0	0	816	598	550	156	172	0	164	99	0	0	210	0	401	0	122	0	0	0	216	137	96	137	0	0	0	229	199	343	348	0	0	1025	1728	0
Lamtor4	204.000000	0	0	0	0	0	0	306	207	182	616	383	0	0	282	0	0	0	1363	1311	1237	200	221	0	145	578	290	0	182	0	317	0	0	0	0	0	0	0	0	285	0	0	284	0	387	364	0	326	468	0	266	0
Irf4	203.960000	171	0	0	0	0	115	414	367	347	842	381	0	0	0	0	0	0	0	0	0	236	97	649	625	207	0	0	373	0	264	0	369	137	0	0	260	167	0	0	0	0	0	419	0	356	787	0	0	731	1884	0
Zscan22	203.800000	276	217	0	0	0	0	0	229	438	581	216	0	0	194	0	0	0	407	435	446	205	341	355	254	368	342	0	670	183	514	235	150	141	0	0	312	189	95	191	0	0	0	163	273	255	224	187	204	152	748	0
H3c15	203.780000	98	314	0	0	0	0	144	250	580	459	140	0	154	0	0	0	0	345	337	203	187	267	346	339	0	0	0	528	212	898	0	143	0	0	0	301	209	164	155	0	0	189	264	364	497	318	169	193	609	813	0
H3c14	203.780000	98	314	0	0	0	0	144	250	580	459	140	0	154	0	0	0	0	345	337	203	187	267	346	339	0	0	0	528	212	898	0	143	0	0	0	301	209	164	155	0	0	189	264	364	497	318	169	193	609	813	0
H2ac19	203.780000	98	314	0	0	0	0	144	250	580	459	140	0	154	0	0	0	0	345	337	203	187	267	346	339	0	0	0	528	212	898	0	143	0	0	0	301	209	164	155	0	0	189	264	364	497	318	169	193	609	813	0
H2ac18	203.780000	98	314	0	0	0	0	144	250	580	459	140	0	154	0	0	0	0	345	337	203	187	267	346	339	0	0	0	528	212	898	0	143	0	0	0	301	209	164	155	0	0	189	264	364	497	318	169	193	609	813	0
Psme3	203.500000	146	0	0	0	127	0	359	0	595	710	175	0	154	140	0	124	0	415	219	414	929	513	411	497	496	388	0	295	0	298	94	0	103	0	0	205	0	192	139	0	0	0	172	279	319	281	0	203	186	597	0
Arhgap39	203.420000	0	0	0	0	524	0	278	174	442	590	352	0	154	0	0	0	0	185	247	0	1027	1110	508	389	195	126	0	165	0	192	0	0	0	0	0	182	0	175	0	0	0	201	309	262	231	180	0	248	765	960	0
Bhlhe40	203.320000	269	154	0	0	0	156	363	356	476	438	108	0	0	0	0	0	0	222	346	194	0	119	530	267	256	185	0	0	0	0	0	0	0	0	0	157	137	0	0	0	0	311	500	493	558	588	301	713	629	1340	0
Mtmr14	202.980000	0	206	0	0	0	0	279	240	517	748	397	0	143	0	0	0	0	290	511	144	326	334	252	204	0	0	0	240	0	294	0	0	0	0	0	408	260	163	0	0	0	220	300	324	272	334	165	252	975	1351	0
Zcchc8	202.540000	0	510	0	0	134	0	152	0	376	472	216	0	0	0	0	0	0	889	505	718	313	380	343	238	331	284	0	301	231	260	131	0	0	0	0	117	0	0	0	0	0	149	203	338	333	310	422	535	267	669	0
Map9	202.520000	238	0	0	0	307	0	446	166	288	863	391	0	0	0	0	0	0	510	410	419	362	416	328	237	209	138	0	381	133	687	194	169	80	0	0	211	0	0	0	0	0	0	247	252	145	486	0	0	528	885	0
Bicd2	202.480000	147	0	0	0	0	0	402	227	329	733	319	0	0	215	0	103	0	405	239	229	444	0	1858	758	302	243	0	155	0	161	0	0	0	0	0	0	0	0	203	0	0	0	251	252	195	243	308	468	181	754	0
Zfp219	201.860000	0	0	0	0	0	72	254	260	620	668	470	0	0	0	0	0	0	494	326	432	436	465	870	528	160	270	0	109	0	0	0	116	0	0	0	136	0	0	0	0	0	184	249	237	521	199	451	649	170	747	0
Tmem253	201.860000	0	0	0	0	0	72	254	260	620	668	470	0	0	0	0	0	0	494	326	432	436	465	870	528	160	270	0	109	0	0	0	116	0	0	0	136	0	0	0	0	0	184	249	237	521	199	451	649	170	747	0
Akap8l	201.820000	296	0	0	0	273	0	118	230	501	771	298	0	66	118	0	0	0	464	410	424	262	259	398	400	264	354	0	475	200	298	92	209	119	0	0	80	130	91	117	0	0	190	205	205	274	179	0	273	471	577	0
H2-DMb2	201.240000	143	0	0	0	265	0	376	270	484	551	351	0	0	0	0	0	0	346	452	407	290	150	351	251	401	464	0	379	224	525	238	0	0	0	0	317	0	0	0	0	0	0	237	206	329	334	318	425	334	644	0
Mrgpre	201.000000	271	0	0	0	163	0	127	189	0	449	264	0	0	0	0	0	0	690	692	668	667	745	963	469	258	351	0	201	199	152	0	182	144	0	0	0	0	0	0	0	0	0	139	350	206	107	215	215	360	614	0
Net1	200.980000	315	0	0	0	0	0	174	273	224	710	326	0	0	0	0	0	0	191	219	229	767	460	730	977	204	223	0	418	0	217	137	104	0	0	0	189	0	0	0	0	0	0	180	202	295	219	109	241	578	1138	0
Tbc1d24	200.600000	0	0	0	0	0	0	263	282	523	610	156	0	143	218	0	0	0	228	168	160	397	221	703	618	352	273	0	230	275	214	108	145	0	0	0	0	0	150	218	0	0	243	298	347	331	313	555	959	0	329	0
Ntn3	200.600000	0	0	0	0	0	0	263	282	523	610	156	0	143	218	0	0	0	228	168	160	397	221	703	618	352	273	0	230	275	214	108	145	0	0	0	0	0	150	218	0	0	243	298	347	331	313	555	959	0	329	0
Arhgap22	200.460000	0	0	0	0	0	0	205	164	260	630	226	0	0	0	0	0	0	558	690	656	207	750	219	236	178	104	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	269	235	533	363	266	379	762	1789	0
Slc9a5	200.340000	0	0	0	0	0	0	275	170	193	435	137	0	0	0	0	0	0	1341	1290	1043	164	125	350	0	379	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	357	316	0	1050	1457	0	161	0
Fhod1	200.340000	0	0	0	0	0	0	275	170	193	435	137	0	0	0	0	0	0	1341	1290	1043	164	125	350	0	379	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	357	316	0	1050	1457	0	161	0
Spns3	199.960000	0	0	0	0	0	0	665	0	0	949	501	0	0	0	0	0	0	556	515	745	932	785	1010	375	234	174	0	0	327	0	0	145	0	0	0	0	0	0	0	0	0	147	0	290	287	0	637	572	0	152	0
Il21r	199.720000	0	0	0	0	112	116	497	0	174	679	347	0	166	211	0	108	0	313	381	364	922	409	632	219	400	339	0	131	0	315	177	176	0	0	0	0	0	179	209	0	0	0	273	264	282	232	405	437	142	375	0
Ppp1r11	199.520000	142	0	0	0	351	173	392	313	613	807	323	0	0	0	0	0	0	529	223	591	317	175	546	355	0	0	0	155	0	150	0	161	0	0	0	141	0	0	0	0	0	172	215	333	316	266	222	269	533	1193	0
Cmc2	199.060000	212	0	0	0	406	0	230	0	178	686	367	0	0	0	0	0	0	492	447	482	466	527	493	404	444	279	0	373	123	229	121	282	172	0	0	173	0	0	0	0	0	185	133	233	160	200	230	256	405	565	0
Cenpn	199.060000	212	0	0	0	406	0	230	0	178	686	367	0	0	0	0	0	0	492	447	482	466	527	493	404	444	279	0	373	123	229	121	282	172	0	0	173	0	0	0	0	0	185	133	233	160	200	230	256	405	565	0
Tbc1d1	198.920000	0	0	0	0	401	0	158	157	143	442	0	0	83	0	489	229	0	273	301	216	1249	603	533	132	304	246	0	203	0	176	0	0	0	0	0	0	0	117	0	470	0	195	145	260	260	197	236	288	541	899	0
Dnaja1	198.840000	135	0	0	0	150	0	291	208	369	934	394	0	0	0	0	0	0	640	601	614	148	367	725	452	133	0	0	231	0	253	0	0	0	0	0	161	0	0	0	0	0	222	220	220	335	293	176	199	530	941	0
Il3	198.780000	0	0	0	0	0	0	441	0	120	809	513	0	0	0	0	0	0	777	761	886	173	252	142	138	779	928	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	290	152	533	532	169	559	601	0	288	0
Zfp407	198.660000	0	0	0	0	213	144	356	168	300	833	429	0	0	0	0	0	0	0	185	0	695	1001	611	459	402	173	0	0	0	325	0	159	152	0	0	213	0	0	0	0	0	145	303	0	215	348	169	137	771	1027	0
Zc3h4	198.560000	167	0	0	0	0	0	233	241	295	731	313	0	127	0	0	0	0	566	587	687	161	0	594	557	274	240	0	288	143	246	109	201	132	0	0	375	0	161	0	0	0	0	184	252	353	204	0	153	318	1036	0
Plec	198.200000	0	0	0	0	0	0	142	216	363	323	0	0	0	0	0	169	0	1566	1300	1234	185	0	742	328	137	179	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	262	188	321	187	0	550	920	159	306	0
Ndufs5	198.200000	222	0	0	0	0	165	421	240	425	811	441	0	122	0	0	0	0	457	265	355	262	324	352	434	216	183	0	451	133	563	380	106	0	0	0	129	108	106	0	0	0	0	337	155	234	432	0	0	244	837	0
Olfr806	197.820000	497	0	456	348	685	0	0	0	0	0	0	0	815	551	653	665	213	275	0	0	0	0	0	0	0	0	528	234	0	387	308	684	622	0	0	0	0	557	555	673	185	0	0	0	0	0	0	0	0	0	0
Atg16l2	197.620000	183	0	0	0	88	0	0	317	378	598	228	0	0	0	0	0	0	204	204	0	371	532	332	231	951	716	0	337	73	438	93	0	0	0	0	169	94	0	0	0	0	123	164	187	333	163	305	581	710	778	0
Vps35l	197.300000	0	0	0	0	0	0	411	341	677	657	391	0	0	190	0	0	0	551	620	491	170	220	865	1000	135	0	0	142	0	143	0	0	0	0	0	300	222	0	192	0	0	192	211	303	223	0	259	447	170	342	0
Notch1	196.780000	0	431	0	0	0	0	318	134	246	583	344	0	0	0	0	0	0	552	726	525	749	569	645	419	332	281	0	335	72	226	0	0	0	0	0	93	0	0	0	0	0	143	249	246	360	0	143	245	332	541	0
