Target_genes	Nfe2l2|Average	SRX1606411|C2C12	SRX1606412|C2C12	SRX21026467|Cerebral_Cortex	SRX21026468|Cerebral_Cortex	SRX21026469|Cerebral_Cortex	SRX21026470|Cerebral_Cortex	SRX21026476|Cerebral_Cortex	SRX21026477|Cerebral_Cortex	SRX21026478|Cerebral_Cortex	SRX21026479|Cerebral_Cortex	SRX188820|CH12	SRX5006896|Esophagus	SRX5006897|Esophagus	SRX5006898|Esophagus	SRX3630637|Liver	SRX3630638|Liver	DRX036572|Macrophages	DRX036573|Macrophages	DRX036574|Macrophages	DRX036575|Macrophages	DRX036576|Macrophages	DRX036577|Macrophages	SRX1438291|Macrophages	SRX1438293|Macrophages	SRX1438295|Macrophages	SRX1438297|Macrophages	SRX1438299|Macrophages	SRX1438301|Macrophages	SRX13081923|MEF	SRX13081924|MEF	SRX13081925|MEF	SRX13081926|MEF	SRX2191407|MEF	SRX2191408|MEF	SRX188811|MEL	SRX18863834|RAW_264.7	STRING
Chmp4b	120.888889	0	0	291	208	0	350	0	676	185	415	1603	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0
Ptprs	120.666667	0	0	0	461	0	641	90	1654	136	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preb	120.500000	0	0	0	0	0	116	0	592	0	439	233	0	0	0	276	0	378	295	356	590	244	153	0	0	279	0	175	0	0	0	0	0	0	0	212	0	0
Dhx8	120.500000	0	0	145	92	0	263	0	596	145	534	1691	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0
Kbtbd7	120.472222	0	0	238	198	0	409	0	660	136	745	1294	0	0	0	214	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0
Olfr1303	120.333333	0	0	0	1159	0	1059	0	1556	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn1	120.138889	0	0	0	1056	0	889	0	1094	0	843	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0
Tpd52	119.888889	0	0	0	1194	0	1318	0	692	127	667	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sytl3	119.888889	0	0	0	849	0	1080	0	1223	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0
Rps21	119.861111	0	0	0	117	0	146	0	2987	0	207	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0
8030462N17Rik	119.861111	0	0	0	539	0	533	0	921	0	759	943	0	0	160	142	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0
Traf3ip1	119.805556	0	0	0	740	0	603	0	940	143	690	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0
Birc6	119.777778	0	0	206	1181	0	655	0	1123	199	432	234	0	0	0	122	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0
Smco2	119.611111	0	0	0	715	0	908	0	1303	175	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0
Adgra1	119.611111	0	0	0	740	0	663	0	1470	114	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdhx	119.194444	0	0	88	528	0	967	0	1275	228	1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apip	119.194444	0	0	88	528	0	967	0	1275	228	1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dap	119.055556	0	0	0	742	0	1234	0	964	0	989	0	0	0	0	204	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bnip3	119.000000	0	0	155	955	0	607	0	1308	175	473	0	0	0	117	136	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0
Lrguk	118.944444	0	0	0	771	0	757	0	1394	118	906	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0
Isy1	118.916667	0	0	0	316	0	661	0	441	0	639	1068	0	0	0	871	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0
Elmo2	118.916667	0	0	219	1082	0	852	0	1100	159	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
Prl6a1	118.888889	0	0	194	1495	0	1163	0	1047	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pprc1	118.861111	0	0	352	207	0	342	0	702	281	338	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0
Tnfaip2	118.833333	0	0	0	269	0	263	0	635	0	607	0	0	0	0	310	251	0	336	219	675	218	214	0	0	150	0	0	0	0	0	0	0	0	0	131	0	0
Angpt4	118.694444	0	0	0	833	0	1029	0	787	362	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psma1	118.666667	0	0	0	493	0	485	0	900	163	637	660	0	0	0	391	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0
Pex12	118.388889	0	0	0	154	0	216	0	647	0	371	1272	0	212	0	742	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0
Ap2b1	118.388889	0	0	0	154	0	216	0	647	0	371	1272	0	212	0	742	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0
Tm4sf1	118.305556	0	0	0	583	0	785	0	1232	211	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nop53	118.166667	0	0	0	103	0	0	0	266	0	112	1187	106	226	0	1303	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0
S1pr4	118.111111	0	0	297	268	0	196	0	920	285	503	1341	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0
Ncln	118.111111	0	0	297	268	0	196	0	920	285	503	1341	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0
Lrtm2	117.972222	0	0	0	393	0	1051	0	1152	78	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacna2d4	117.972222	0	0	0	393	0	1051	0	1152	78	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd13c	117.861111	0	0	0	102	0	76	80	280	0	271	944	127	567	274	1123	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0
Cfap100	117.777778	0	0	0	791	0	1028	0	1210	150	967	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clpb	117.722222	0	0	238	256	0	218	0	760	260	300	1601	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0
Rpl22	117.527778	0	0	0	219	0	271	0	818	131	456	1004	0	0	0	328	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0
Ppp6c	117.472222	0	0	0	107	0	300	0	371	82	349	1067	0	150	0	1143	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0
Zfp362	117.361111	0	0	0	256	0	899	0	1204	202	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il6	117.361111	0	0	165	843	114	970	0	865	302	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
Ap4e1	117.138889	0	0	0	170	0	256	0	930	0	784	454	121	277	164	591	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0
Notch1	117.111111	0	0	133	784	0	509	0	1543	108	794	0	0	0	184	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emp1	117.083333	0	0	0	185	0	368	0	819	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1260	590	170	0	0	255	0	0	0	0	0	0	0	0	0
Rnf113a2	117.000000	0	0	0	152	0	299	0	654	172	795	509	0	0	178	1042	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnmb3	117.000000	0	0	0	676	0	658	78	1369	131	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema5a	116.861111	0	0	0	747	0	1118	0	909	238	1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsfl1c	116.861111	0	0	0	230	0	354	0	1001	293	759	393	0	0	97	369	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0
Pcbp2	116.500000	0	0	0	191	0	238	0	954	203	720	1014	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0
Fam222b	116.472222	0	0	0	1191	0	860	0	1466	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrm1	116.111111	0	0	0	98	0	150	0	378	0	188	1380	0	184	0	1161	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0
H6pd	116.000000	0	0	0	611	0	403	0	732	0	353	0	0	0	96	214	0	0	242	194	438	0	165	0	0	130	0	253	0	0	0	0	0	0	0	345	0	0
1700067K01Rik	115.916667	0	0	0	431	0	872	0	1050	0	1344	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0
Tubb5	115.888889	0	0	0	530	0	358	0	979	131	768	839	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0
Mdc1	115.888889	0	0	0	530	0	358	0	979	131	768	839	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0
Pde4b	115.861111	0	0	0	400	0	761	0	871	243	1516	0	0	0	0	92	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hvcn1	115.777778	0	0	0	107	0	413	0	742	113	1051	0	0	0	0	0	0	0	156	0	382	244	189	120	0	314	0	337	0	0	0	0	0	0	0	0	0	0
Dnajc11	115.777778	0	0	0	139	0	0	0	707	0	552	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	0
Timm10	115.750000	0	0	114	219	0	277	0	922	197	695	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
Smtnl1	115.750000	0	0	114	219	0	277	0	922	197	695	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
Unkl	115.694444	0	0	0	228	0	269	0	533	0	387	1065	0	147	0	626	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0
Prkab2	115.583333	0	0	0	217	0	322	0	522	0	1176	0	104	419	0	893	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0
Phf12	115.500000	0	0	302	158	0	286	0	537	269	353	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	0	0
Kmt5a	115.388889	0	0	107	601	0	852	0	1073	0	1096	0	0	0	0	192	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bloc1s4	115.333333	0	0	0	0	0	80	0	120	0	117	890	114	538	0	1394	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0
Slc35e2	115.166667	0	0	0	769	0	634	0	1636	0	701	91	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0
Napa	114.916667	0	0	0	172	0	135	0	425	0	297	1206	0	225	0	714	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0
C1qbp	114.861111	0	0	0	347	0	110	0	783	0	556	1543	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0
Htra2	114.666667	0	0	122	272	0	279	0	1031	167	566	1120	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0
Dqx1	114.666667	0	0	122	272	0	279	0	1031	167	566	1120	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0
Oxsm	114.583333	0	0	98	593	0	1190	0	422	189	648	95	0	0	0	529	173	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr70	114.500000	0	0	0	0	0	0	0	415	109	422	1641	0	0	0	149	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0
Trpv4	114.472222	0	0	0	388	0	272	0	350	0	295	160	0	0	0	0	0	0	204	259	585	0	189	353	275	279	118	207	0	0	0	0	0	0	0	187	0	0
Rbks	114.388889	0	0	0	0	0	117	0	240	0	378	1603	0	239	0	438	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0
Babam2	114.388889	0	0	0	0	0	117	0	240	0	378	1603	0	239	0	438	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0
Ints1	114.250000	0	0	0	0	0	188	0	794	0	606	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0	0
Napb	114.222222	0	0	0	813	0	874	0	1133	224	880	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	114.222222	0	0	182	0	445	197	0	136	0	0	356	157	319	199	1084	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0
Gtf2h3	114.166667	0	0	0	0	0	0	0	426	0	495	926	138	254	0	1205	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0
Eif2b1	114.166667	0	0	0	0	0	0	0	426	0	495	926	138	254	0	1205	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0
Psmd14	114.138889	0	0	0	547	0	402	0	1439	222	1004	0	0	0	151	208	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45a	114.138889	0	0	0	574	0	762	0	930	260	1078	0	0	0	0	287	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan10	114.083333	0	0	122	613	0	493	0	1208	216	1046	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9530077C05Rik	114.055556	0	0	0	372	0	469	0	1147	161	959	597	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0
Nudt11	113.722222	0	0	89	862	0	581	0	1627	132	614	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vdac3	113.694444	0	0	0	446	0	749	0	1077	0	1397	0	0	0	0	274	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr45b	113.666667	0	0	0	0	0	153	0	395	0	155	980	0	148	0	1232	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0
Ubqln2	113.611111	0	0	82	720	0	582	0	1400	88	916	0	0	0	0	224	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabggta	113.444444	0	0	0	241	0	869	0	331	222	956	871	0	0	0	142	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	284	0	0
Ing3	113.361111	0	0	0	93	0	108	0	360	0	280	848	0	217	229	1136	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0
Gpld1	113.055556	0	0	0	711	0	382	0	1400	128	557	0	0	0	160	404	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh5a1	113.055556	0	0	0	711	0	382	0	1400	128	557	0	0	0	160	404	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn5	113.000000	0	0	0	503	0	547	0	907	0	696	845	0	0	0	301	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb2	113.000000	0	0	0	320	0	384	0	784	0	616	1097	0	0	0	438	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
A630095N17Rik	113.000000	0	0	0	320	0	384	0	784	0	616	1097	0	0	0	438	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
Gper1	112.972222	0	0	0	876	0	1118	0	1248	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa4	112.916667	0	0	0	510	0	367	0	997	0	436	0	0	0	0	0	0	0	0	0	142	0	0	592	263	181	0	153	229	0	0	0	0	0	0	195	0	0
Sf3b5	112.888889	0	0	0	77	0	120	0	297	0	120	988	0	295	147	1304	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0
Polr2e	112.750000	0	0	0	231	0	169	0	1720	0	1214	357	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0
Rab14	112.527778	0	0	264	741	0	802	0	1170	210	752	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc12	112.527778	0	0	134	580	0	862	0	1139	275	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gon4l	112.472222	0	0	0	219	0	512	0	1223	294	1674	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup133	112.305556	0	0	0	0	0	0	0	284	0	170	933	0	354	224	1217	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0
Nudt10	112.000000	0	0	102	776	0	489	0	1681	106	791	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp931	111.805556	0	0	0	441	0	792	0	1114	0	1568	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr433	111.527778	0	0	0	583	0	981	0	1052	0	644	0	0	0	0	0	0	0	0	0	185	0	0	293	277	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl4	111.444444	0	0	0	0	0	0	0	200	0	173	920	0	102	118	1199	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0
F3	111.305556	0	521	0	803	0	792	0	1108	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4724	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2026	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2007	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14434	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14430	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14308	111.166667	0	0	0	361	0	479	0	1442	0	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psma5	111.138889	0	0	0	764	0	679	0	587	0	628	393	0	0	177	352	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
Tpr	110.916667	0	0	124	180	0	169	0	342	109	212	789	152	173	0	1149	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0
Odr4	110.916667	0	0	124	180	0	169	0	342	109	212	789	152	173	0	1149	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0
Wfdc16	110.861111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	378	0	165	1094	827	297	0	196	324	0	0	0	0	0	0	530	0	0
Triap1	110.833333	0	0	0	0	0	120	0	203	0	188	560	95	337	152	1423	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0
Tgif1	110.833333	0	0	0	603	0	596	0	946	211	794	0	0	0	0	437	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0
Gatc	110.833333	0	0	0	0	0	120	0	203	0	188	560	95	337	152	1423	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0
Ttbk2	110.666667	0	0	0	199	0	434	0	1154	175	1214	148	0	0	178	293	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox2	110.472222	0	0	0	722	0	485	0	1460	0	466	0	0	0	0	370	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arap1	110.277778	0	0	0	161	0	614	0	137	0	538	159	0	0	0	0	0	0	0	194	535	0	0	714	346	121	0	196	255	0	0	0	0	0	0	0	0	0
Zfp382	110.250000	0	0	233	890	0	916	0	1071	140	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
Phb	110.166667	0	0	423	139	0	156	0	740	238	260	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0
Il18bp	110.138889	0	0	0	557	0	719	0	1213	166	1075	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833439L19Rik	110.055556	0	0	0	345	0	505	0	1650	0	701	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0
Traf2	110.027778	0	0	0	142	0	1038	0	325	268	1786	0	0	0	0	0	153	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmc2	109.972222	0	0	0	481	0	470	0	1130	195	998	247	0	0	0	168	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0
Dnajc2	109.972222	0	0	0	481	0	470	0	1130	195	998	247	0	0	0	168	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0
Slc25a3	109.861111	0	0	0	289	0	0	0	249	0	339	1014	88	158	216	1052	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0
Clasp1	109.777778	0	0	0	110	0	138	0	405	0	200	378	97	234	145	1393	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0
Spata16	109.722222	0	0	0	560	0	977	0	1017	151	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb40	109.500000	0	0	0	124	0	110	0	283	0	132	604	310	637	260	905	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0
Star	109.388889	0	0	207	1004	0	598	0	1547	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shc1	109.277778	0	0	144	749	0	569	107	1690	0	606	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cks1b	109.277778	0	0	144	749	0	569	107	1690	0	606	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf11c	109.138889	0	0	0	733	0	970	0	1398	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glipr1	109.111111	92	592	0	128	0	368	0	0	0	180	313	0	0	0	0	0	240	322	291	878	192	202	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
Atoh8	109.083333	0	0	0	174	0	274	0	1938	0	1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38	109.000000	0	0	0	371	0	670	0	703	0	969	792	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	179	0	0
Pskh1	108.944444	0	0	0	0	0	0	0	182	0	169	1302	0	267	0	1102	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0
Rabac1	108.916667	0	0	199	366	0	323	0	656	87	341	1666	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0
Defb1	108.833333	0	0	0	635	0	627	88	1678	189	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf183	108.694444	0	144	0	964	0	664	0	1277	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0
Anxa7	108.500000	0	0	0	751	0	814	0	1341	0	695	0	0	0	0	179	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71e1	108.388889	0	0	0	0	0	0	0	177	0	127	1571	0	234	0	911	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0
Emc10	108.388889	0	0	0	0	0	0	0	177	0	127	1571	0	234	0	911	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0
Zp3	108.333333	0	0	194	1745	0	1402	0	362	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcoco1	108.333333	0	0	324	263	0	228	0	508	0	290	1780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0
Angptl4	108.333333	0	0	0	443	0	812	0	1131	270	1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ost4	108.222222	0	0	0	88	0	414	0	376	172	1219	506	0	0	0	513	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0
Opa3	108.222222	0	0	0	0	0	217	0	242	0	366	570	0	294	104	1166	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
Ifrd2	108.222222	0	0	288	256	0	224	0	596	194	248	1727	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0
