Target_genes	Gfi1|Average	SRX093162|Bone_Marrow_Cells	SRX6799360|Embryoid_Bodies	SRX16700226|Granulocytic-monocytic_progenitors	SRX7821117|Hematopoietic_progenitors	SRX349376|ILC2	SRX1939441|Lymphoid-primed_multipotent_progenitors	SRX1072347|Macrophages	SRX7415996|Macrophages	SRX206425|Mast_Cells	SRX5131513|Medulloblastoma	SRX5131514|Medulloblastoma	SRX1035395|mESC_derived_haematopoietic_progenitor	SRX1096803|Naive_T_cells	SRX1096804|Naive_T_cells	SRX1973345|Neurospheres	SRX1973346|Neurospheres	STRING
Zfp451	83.937500	473	0	120	0	0	0	0	0	0	404	96	0	0	0	0	250	0
Polr1d	83.937500	528	0	0	0	0	0	0	0	0	297	103	0	0	0	0	415	0
Lnx2	83.937500	528	0	0	0	0	0	0	0	0	297	103	0	0	0	0	415	0
Grcc10	83.937500	518	0	0	132	0	131	0	0	0	205	70	0	160	0	0	127	0
Dusp19	83.937500	275	0	0	136	0	136	0	0	0	364	288	0	0	0	0	144	0
Cst3	83.937500	484	0	0	169	0	169	0	0	0	275	0	0	0	0	0	246	0
Tdrd7	83.875000	650	0	0	0	0	0	0	0	0	370	0	0	88	0	0	234	0
Sbp	83.875000	377	0	0	0	0	0	0	0	0	474	233	0	0	0	0	258	0
Rnf220	83.875000	267	0	0	359	0	361	0	0	0	276	0	0	0	0	0	79	0
Prkab2	83.875000	463	0	0	0	0	0	0	0	0	609	86	0	0	0	0	184	0
Nme4	83.875000	291	0	0	280	0	279	0	0	0	311	0	0	0	0	0	181	0
Lclat1	83.875000	321	0	0	0	0	0	0	0	0	583	139	0	0	0	0	299	0
Katnbl1	83.875000	526	0	0	0	0	0	0	0	0	588	0	0	0	0	0	228	0
Gtf2a2	83.875000	352	0	0	0	0	0	0	0	0	467	139	0	0	0	0	384	0
Edc3	83.875000	371	0	0	0	0	0	0	0	0	324	184	0	170	0	0	293	0
Trip12	83.812500	821	0	0	0	0	0	0	0	0	298	90	0	0	0	0	132	0
Tmem223	83.812500	513	0	0	0	0	0	0	0	0	440	0	0	115	0	0	273	0
Tmem179b	83.812500	513	0	0	0	0	0	0	0	0	440	0	0	115	0	0	273	0
Tbc1d20	83.812500	454	0	0	0	0	0	0	0	0	553	81	0	0	0	0	253	0
Stt3b	83.812500	329	0	0	0	0	0	0	0	0	618	160	0	0	0	0	234	0
Sinhcaf	83.812500	538	0	0	0	0	0	0	0	0	417	230	0	0	0	0	156	0
Rbm48	83.812500	493	0	0	0	0	0	0	0	0	331	191	0	0	0	0	326	0
Pex1	83.812500	493	0	0	0	0	0	0	0	0	331	191	0	0	0	0	326	0
Mief1	83.812500	348	0	116	0	0	0	0	0	0	369	112	0	110	0	0	286	0
Fbxo36	83.812500	821	0	0	0	0	0	0	0	0	298	90	0	0	0	0	132	0
Fam104a	83.812500	586	0	0	0	0	0	0	0	0	393	120	0	0	0	0	242	0
Eif4h	83.812500	329	0	0	0	0	0	0	0	0	611	180	0	0	0	0	221	0
D11Wsu47e	83.812500	586	0	0	0	0	0	0	0	0	393	120	0	0	0	0	242	0
Zfp668	83.750000	308	0	0	106	0	109	86	0	0	338	112	0	0	0	0	281	0
Zfp646	83.750000	308	0	0	106	0	109	86	0	0	338	112	0	0	0	0	281	0
Slc30a3	83.750000	367	0	0	378	0	380	0	0	0	108	0	0	0	0	0	107	0
Rmi1	83.750000	403	0	0	0	0	103	0	0	0	355	195	0	0	0	0	284	0
Mex3c	83.750000	533	0	0	0	0	0	0	0	139	319	111	0	0	0	0	238	0
Inip	83.750000	344	0	0	0	0	0	0	0	0	552	186	0	0	0	0	258	0
Hnrnpk	83.750000	403	0	0	0	0	103	0	0	0	355	195	0	0	0	0	284	0
Fbxo42	83.750000	539	0	92	0	0	0	0	0	0	402	0	0	107	0	0	200	0
Cnot10	83.750000	483	0	0	0	0	0	0	0	0	394	159	0	0	0	0	304	0
Cmpk1	83.750000	451	0	0	0	0	0	0	0	0	539	122	0	0	0	0	228	0
Aatk	83.750000	360	0	0	326	0	326	0	0	114	96	0	0	0	0	0	118	0
Rgl2	83.687500	670	0	0	0	0	0	132	0	0	169	72	0	183	0	0	113	0
Pigs	83.687500	542	0	0	0	0	0	0	0	0	389	196	0	0	0	0	212	0
Mettl22	83.687500	688	0	0	0	0	0	0	0	0	275	106	0	99	0	0	171	0
Fam214a	83.687500	462	0	0	0	0	0	0	0	0	397	173	0	0	0	0	307	0
Dnajc30	83.687500	410	0	0	0	0	0	0	0	0	496	220	0	0	0	0	213	0
Cdk20	83.687500	272	0	113	0	0	0	0	0	0	462	258	0	0	0	0	234	0
Bud23	83.687500	410	0	0	0	0	0	0	0	0	496	220	0	0	0	0	213	0
Ago3	83.687500	320	0	0	0	0	0	0	0	0	399	192	0	0	0	0	428	0
Zranb3	83.625000	382	0	0	0	0	0	0	0	0	479	142	0	0	0	0	335	0
Rfwd3	83.625000	333	0	0	0	0	0	0	0	0	575	108	0	0	0	0	322	0
R3hdm1	83.625000	382	0	0	0	0	0	0	0	0	479	142	0	0	0	0	335	0
Mrps18a	83.625000	508	0	0	0	0	0	0	0	0	479	156	0	0	0	0	195	0
Kdelr2	83.625000	571	0	0	0	0	0	0	0	0	384	173	0	0	0	0	210	0
Fam3c	83.625000	787	0	0	0	0	0	0	0	0	272	105	0	0	0	0	174	0
Faiml	83.625000	0	0	0	490	0	490	0	0	358	0	0	0	0	0	0	0	0
Cop1	83.625000	246	0	0	0	0	0	0	0	0	614	323	0	0	0	0	155	0
Bcl7c	83.625000	513	0	0	161	0	161	90	0	0	252	0	0	0	0	0	161	0
Abhd4	83.625000	504	0	0	85	0	86	0	0	0	332	129	0	0	0	0	202	0
Zbtb43	83.562500	456	0	0	0	0	0	0	0	0	527	134	0	0	0	0	220	0
Usp39	83.562500	620	0	0	0	0	0	0	0	0	376	120	0	0	0	0	221	0
Tmem165	83.562500	678	0	0	0	0	0	0	0	0	328	156	0	0	0	0	175	0
Specc1	83.562500	535	0	0	0	0	0	0	0	0	417	0	0	106	0	0	279	0
Smc1a	83.562500	386	0	0	220	0	219	0	0	0	308	204	0	0	0	0	0	0
Rpl30	83.562500	286	0	0	0	0	0	0	0	0	443	113	0	111	0	0	384	0
Rpap2	83.562500	547	0	0	0	0	0	0	0	0	468	179	0	0	0	0	143	0
Ribc1	83.562500	386	0	0	220	0	219	0	0	0	308	204	0	0	0	0	0	0
Mrpl22	83.562500	452	0	0	0	0	0	0	0	0	379	87	0	0	0	0	419	0
Glmn	83.562500	547	0	0	0	0	0	0	0	0	468	179	0	0	0	0	143	0
Gemin5	83.562500	452	0	0	0	0	0	0	0	0	379	87	0	0	0	0	419	0
Endod1	83.562500	220	0	0	162	0	162	0	0	0	336	0	0	148	0	0	309	0
Dera	83.562500	621	0	0	0	0	0	0	0	0	242	81	0	110	0	0	283	0
0610030E20Rik	83.562500	620	0	0	0	0	0	0	0	0	376	120	0	0	0	0	221	0
Ubxn4	83.500000	294	0	0	0	0	0	0	0	0	490	191	0	0	0	0	361	0
Twist2	83.500000	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc5	83.500000	398	0	0	0	0	0	117	0	0	366	0	0	120	0	0	335	0
Slx4ip	83.500000	422	0	0	0	0	0	0	0	0	499	159	0	0	0	0	256	0
Phrf1	83.500000	316	0	0	0	0	0	126	0	0	406	152	0	100	0	0	236	0
Mkks	83.500000	422	0	0	0	0	0	0	0	0	499	159	0	0	0	0	256	0
Dstn	83.500000	360	0	0	0	0	0	0	0	0	492	219	0	0	0	0	265	0
Cpt2	83.500000	555	0	0	0	0	0	0	0	0	389	90	0	0	0	0	302	0
Ccm2	83.500000	341	0	0	110	0	108	0	0	0	358	127	0	0	0	0	292	0
1110004F10Rik	83.500000	569	0	0	0	0	0	0	0	0	390	157	0	0	0	0	220	0
Zbtb45	83.437500	299	0	0	85	0	87	0	0	0	333	113	0	226	0	0	192	0
Ttll13	83.437500	292	0	154	103	0	0	0	0	0	397	119	0	0	0	0	270	0
Tfb1m	83.437500	242	0	0	0	0	0	0	0	0	334	281	0	0	0	0	478	0
Synm	83.437500	587	0	0	0	0	0	0	0	0	321	93	0	0	0	0	334	0
Ran	83.437500	564	0	0	0	0	0	0	0	0	410	114	0	0	0	0	247	0
Prorsd1	83.437500	853	0	0	0	0	0	0	0	0	272	116	0	0	0	0	94	0
Immp1l	83.437500	260	0	0	0	0	0	0	0	0	467	265	0	0	0	0	343	0
Elp4	83.437500	260	0	0	0	0	0	0	0	0	467	265	0	0	0	0	343	0
Acat1	83.437500	547	0	0	0	0	0	0	0	0	378	185	0	0	0	0	225	0
Tcaim	83.375000	368	0	0	0	0	0	0	0	0	491	158	0	0	0	0	317	0
Sesn2	83.375000	331	0	0	136	0	138	0	0	0	398	167	0	0	0	0	164	0
Nup93	83.375000	300	0	0	0	0	0	0	0	0	576	184	0	0	0	0	274	0
Matr3	83.375000	458	0	0	0	0	0	0	0	0	546	111	0	0	0	0	219	0
Hcfc2	83.375000	331	0	0	0	0	0	0	0	0	408	140	0	199	0	0	256	0
Btf3	83.375000	433	0	0	0	0	0	0	0	0	441	137	0	0	0	0	323	0
Zfp768	83.312500	600	0	0	0	0	0	105	0	0	401	109	0	0	0	0	118	0
Vcpip1	83.312500	311	0	0	138	0	138	0	0	0	400	87	0	0	0	0	259	0
Ttc3	83.312500	312	0	0	0	0	0	0	0	0	546	117	0	99	0	0	259	0
Pigp	83.312500	312	0	0	0	0	0	0	0	0	546	117	0	99	0	0	259	0
Parl	83.312500	450	0	0	0	0	0	0	0	0	409	120	0	0	0	0	354	0
Mlh1	83.312500	323	0	0	0	243	0	0	0	0	349	156	0	0	0	0	262	0
Fdx1	83.312500	453	0	0	0	0	0	0	0	0	498	0	0	0	0	0	382	0
Epm2aip1	83.312500	323	0	0	0	243	0	0	0	0	349	156	0	0	0	0	262	0
Traf6	83.250000	530	0	0	0	0	0	0	0	0	437	125	0	0	0	0	240	0
Tex2	83.250000	545	0	0	0	0	0	0	0	0	424	79	0	0	0	0	284	0
Sos1	83.250000	469	0	0	0	0	0	0	0	0	478	92	0	0	0	0	293	0
Rpgrip1l	83.250000	251	0	0	0	0	0	0	0	0	350	434	0	0	0	0	297	0
Rbm39	83.250000	306	0	0	0	0	0	0	0	0	519	214	0	0	0	0	293	0
Ptpn21	83.250000	911	0	0	0	0	0	0	0	0	181	0	0	0	0	0	240	0
Fto	83.250000	251	0	0	0	0	0	0	0	0	350	434	0	0	0	0	297	0
Fam174a	83.250000	334	0	0	0	0	0	0	0	0	643	147	0	0	0	0	208	0
Eif2s2	83.250000	441	0	0	0	0	0	0	0	0	419	175	0	0	0	0	297	0
D3Ertd751e	83.250000	523	0	0	0	0	0	0	0	0	419	172	0	0	0	0	218	0
Tubb4b	83.187500	563	0	0	0	67	0	0	0	0	325	0	0	125	0	0	251	0
Tbcd	83.187500	250	0	191	0	0	0	0	0	0	412	175	0	0	0	0	303	0
Sap18b	83.187500	590	0	0	0	0	0	0	0	0	302	160	0	0	0	0	279	0
Sap18	83.187500	590	0	0	0	0	0	0	0	0	302	160	0	0	0	0	279	0
Ripor1	83.187500	310	0	0	261	0	260	0	0	99	278	0	0	0	0	0	123	0
Nmnat3	83.187500	283	0	0	101	58	0	0	0	0	382	140	0	134	0	0	233	0
Tmco6	83.125000	559	0	0	0	0	0	0	0	0	294	150	0	0	0	0	327	0
Parp8	83.125000	595	0	205	0	0	0	0	0	0	324	0	0	0	0	0	206	0
Lztfl1	83.125000	515	0	0	0	0	0	0	0	0	395	194	0	0	0	0	226	0
Gmnn	83.125000	389	0	0	0	0	0	0	0	0	482	120	0	0	0	0	339	0
Gdf15	83.125000	489	0	0	0	0	0	0	0	0	297	116	0	138	0	0	290	0
Gjb3	83.062500	761	0	0	162	0	161	0	0	0	91	154	0	0	0	0	0	0
Cep85l	83.062500	285	0	0	0	0	0	127	0	0	672	0	0	0	0	0	245	0
Cblb	83.062500	201	0	0	0	0	0	0	0	0	455	206	0	0	0	0	467	0
Zfp943	83.000000	545	0	0	0	0	0	0	0	0	297	133	0	0	0	0	353	0
Zfp942	83.000000	545	0	0	0	0	0	0	0	0	297	133	0	0	0	0	353	0
Zfp131	83.000000	410	0	0	0	0	0	0	0	0	580	168	0	0	0	0	170	0
Puf60	83.000000	343	0	0	0	0	0	0	0	0	497	102	0	116	0	0	270	0
Mkln1	83.000000	244	0	0	0	0	0	0	0	0	521	197	0	114	0	0	252	0
Minpp1	83.000000	522	0	0	0	0	0	0	0	0	397	142	0	91	0	0	176	0
Dnajc6	83.000000	323	0	0	257	0	257	0	0	0	216	0	0	0	0	0	275	0
Zfp296	82.937500	660	0	0	107	0	106	0	0	0	281	0	0	0	0	0	173	0
Lima1	82.937500	700	0	0	0	0	0	0	0	0	244	117	0	0	0	0	266	0
Gemin7	82.937500	660	0	0	107	0	106	0	0	0	281	0	0	0	0	0	173	0
Cul5	82.937500	411	0	0	0	0	0	0	0	0	483	156	0	0	0	0	277	0
Ccnh	82.937500	519	0	0	0	97	0	0	0	0	365	143	0	67	0	0	136	0
Txn1	82.875000	414	0	0	0	0	0	0	0	0	432	200	0	0	0	0	280	0
Syngap1	82.875000	354	0	0	0	0	0	0	0	0	381	197	0	0	0	0	394	0
Pip4k2c	82.875000	559	0	0	0	0	0	0	0	0	274	138	0	80	0	0	275	0
Cuta	82.875000	354	0	0	0	0	0	0	0	0	381	197	0	0	0	0	394	0
Cops2	82.875000	364	0	0	0	0	0	0	0	0	540	154	0	0	0	0	268	0
Zfp787	82.812500	378	0	0	0	0	0	0	0	0	504	109	0	0	0	0	334	0
Sap130	82.812500	466	0	0	0	0	0	0	0	0	428	191	0	0	0	0	240	0
Ppm1n	82.812500	441	0	0	254	0	249	0	0	0	133	0	0	0	0	0	248	0
Ip6k2	82.812500	409	0	0	0	0	0	0	0	0	431	91	0	0	0	0	394	0
4930430F08Rik	82.812500	380	0	0	0	0	0	0	0	0	350	102	0	0	0	0	493	0
1700017N19Rik	82.812500	380	0	0	0	0	0	0	0	0	350	102	0	0	0	0	493	0
Zfp426	82.750000	516	0	0	0	0	0	0	0	0	382	211	0	0	0	0	215	0
Wdfy2	82.750000	255	0	0	0	0	0	0	0	0	437	374	0	0	0	0	258	0
Sufu	82.750000	282	0	0	165	0	166	0	0	0	338	176	0	0	0	0	197	0
Smim12	82.750000	304	0	0	109	0	109	0	0	0	409	156	0	0	0	0	237	0
Scai	82.750000	280	0	0	0	0	0	0	0	0	397	95	0	136	0	0	416	0
Dclre1b	82.750000	746	0	0	0	0	0	0	0	0	324	0	0	0	0	0	254	0
Cox20	82.750000	318	0	0	0	0	0	0	0	0	533	160	0	82	0	0	231	0
Ap4b1	82.750000	746	0	0	0	0	0	0	0	0	324	0	0	0	0	0	254	0
Actr1a	82.750000	282	0	0	165	0	166	0	0	0	338	176	0	0	0	0	197	0
Acbd6	82.750000	301	0	0	136	0	145	0	0	0	304	120	0	0	0	0	318	0
Vps29	82.687500	270	0	0	0	0	0	0	0	0	545	167	0	0	0	0	341	0
Ttc12	82.687500	721	0	0	174	0	174	0	0	132	122	0	0	0	0	0	0	0
Rad9b	82.687500	270	0	0	0	0	0	0	0	0	545	167	0	0	0	0	341	0
Polr3k	82.687500	382	0	0	0	0	0	0	0	0	329	301	0	0	0	0	311	0
Nuf2	82.687500	533	0	0	0	0	133	0	0	0	294	125	0	0	0	0	238	0
Ndufb7	82.687500	442	0	0	0	106	0	0	0	0	404	193	0	0	0	0	178	0
Atp6v0d1	82.687500	516	0	0	0	0	0	0	0	0	303	232	0	0	0	0	272	0
Agrp	82.687500	516	0	0	0	0	0	0	0	0	303	232	0	0	0	0	272	0
Rabep2	82.625000	414	0	0	149	0	149	0	0	0	403	0	0	0	0	0	207	0
Nr1d2	82.625000	359	0	0	0	0	0	0	0	0	525	158	0	0	0	0	280	0
Ldlrad4	82.625000	159	0	0	263	189	274	0	0	0	287	0	0	0	0	0	150	0
Fan1	82.625000	720	0	0	0	0	0	0	0	0	251	109	0	0	0	0	242	0
Dap	82.625000	592	0	0	0	139	0	0	0	0	280	147	0	0	0	0	164	0
Cr1l	82.625000	501	0	0	0	0	0	0	0	0	381	202	0	0	0	0	238	0
Copg2	82.625000	336	0	0	0	0	0	0	0	0	544	113	0	0	0	0	329	0
B9d2	82.625000	314	0	0	116	0	115	0	0	0	358	165	0	0	0	0	254	0
A130010J15Rik	82.625000	527	0	0	0	0	0	0	0	0	345	198	0	0	0	0	252	0
1700030J22Rik	82.625000	423	0	0	0	0	0	0	0	0	404	170	0	0	0	0	325	0
Xpr1	82.562500	398	0	0	0	0	0	0	0	0	462	126	0	0	0	0	335	0
Ube2c	82.562500	189	0	0	95	0	96	0	0	0	313	231	0	129	0	0	268	0
Tfam	82.562500	447	0	0	0	0	0	0	0	0	458	170	0	0	0	0	246	0
Stxbp4	82.562500	328	0	0	0	0	0	0	0	0	480	173	0	0	0	0	340	0
Ogfod1	82.562500	472	0	0	0	0	0	0	0	0	479	138	0	0	0	0	232	0
Nudt21	82.562500	472	0	0	0	0	0	0	0	0	479	138	0	0	0	0	232	0
Hgs	82.562500	259	0	0	0	0	0	0	0	0	518	134	0	93	0	0	317	0
Erlec1	82.562500	458	0	0	0	0	0	0	0	0	506	149	0	0	0	0	208	0
Cox11	82.562500	328	0	0	0	0	0	0	0	0	480	173	0	0	0	0	340	0
Asb3	82.562500	458	0	0	0	0	0	0	0	0	506	149	0	0	0	0	208	0
Arl16	82.562500	259	0	0	0	0	0	0	0	0	518	134	0	93	0	0	317	0
Ap2s1	82.562500	350	0	0	91	0	89	0	0	0	289	262	0	0	0	0	240	0
Vwa3b	82.500000	185	0	0	438	0	442	0	0	0	0	0	0	0	0	0	255	0
Utp14b	82.500000	476	0	0	0	0	0	0	0	0	441	156	0	0	0	0	247	0
Smarce1	82.500000	498	0	0	0	0	0	0	0	0	450	82	0	0	0	0	290	0
Mphosph10	82.500000	680	0	0	0	0	0	0	0	0	293	123	0	0	0	0	224	0
Mnat1	82.500000	647	0	0	0	0	0	0	0	0	258	207	0	0	0	0	208	0
Mcee	82.500000	680	0	0	0	0	0	0	0	0	293	123	0	0	0	0	224	0
Ints9	82.500000	225	0	0	249	0	248	0	0	0	294	163	0	0	0	0	141	0
Hmbox1	82.500000	225	0	0	249	0	248	0	0	0	294	163	0	0	0	0	141	0
Acsl3	82.500000	476	0	0	0	0	0	0	0	0	441	156	0	0	0	0	247	0
Ppp1r12a	82.437500	436	0	0	0	0	0	0	0	0	450	144	0	126	0	0	163	0
Ppme1	82.437500	567	0	0	0	0	0	0	0	0	291	133	0	0	0	0	328	0
Lancl1	82.437500	381	0	0	0	0	0	0	0	0	472	157	0	0	0	0	309	0
C2cd3	82.437500	567	0	0	0	0	0	0	0	0	291	133	0	0	0	0	328	0
Atp13a1	82.437500	371	0	0	0	0	0	0	0	0	598	126	0	0	0	0	224	0
Supt5	82.375000	261	0	0	0	0	0	0	0	0	515	132	0	77	0	0	333	0
Snrpa	82.375000	238	0	0	0	0	0	0	0	0	390	161	0	145	0	0	384	0
Ptpn23	82.375000	522	0	0	0	0	0	0	0	0	415	167	0	0	0	0	214	0
Mapk7	82.375000	269	0	158	88	0	85	0	0	0	450	110	0	0	0	0	158	0
BC024978	82.375000	238	0	0	0	0	0	0	0	0	390	161	0	145	0	0	384	0
Arcn1	82.375000	279	0	0	0	0	0	0	0	0	672	105	0	0	0	0	262	0
Anapc1	82.375000	325	0	0	0	0	0	0	0	0	585	122	0	0	0	0	286	0
Zfp651	82.312500	0	0	0	567	0	568	0	0	0	182	0	0	0	0	0	0	0
Ube2j1	82.312500	558	0	0	0	0	0	0	0	0	501	109	0	0	0	0	149	0
Tmem185b	82.312500	562	0	0	0	0	0	0	0	0	398	0	0	97	0	0	260	0
Ssbp4	82.312500	942	0	0	0	0	0	0	0	0	187	0	0	109	0	0	79	0
Rpl35a	82.312500	312	0	120	0	0	0	0	0	0	373	183	0	116	0	0	213	0
Iqcg	82.312500	312	0	120	0	0	0	0	0	0	373	183	0	116	0	0	213	0
Hectd1	82.312500	314	0	0	0	0	0	100	0	0	456	128	0	94	0	0	225	0
Abhd1	82.312500	366	0	208	160	0	158	0	0	0	152	0	0	0	0	0	273	0
2610008E11Rik	82.312500	438	0	0	0	0	0	0	0	151	480	113	0	0	0	0	135	0
Zfp764	82.250000	379	0	0	109	0	111	0	0	0	352	218	0	0	0	0	147	0
Xrcc5	82.250000	494	0	0	0	0	0	0	0	0	388	282	0	0	0	0	152	0
Tm2d3	82.250000	465	0	0	0	0	0	0	0	0	499	106	0	0	0	0	246	0
Srcap	82.250000	490	0	0	0	0	0	0	0	0	398	210	0	0	0	0	218	0
Sap30	82.250000	490	0	0	0	0	0	0	0	0	443	171	0	0	0	0	212	0
Ndufa12	82.250000	624	0	0	0	0	0	0	0	0	283	86	0	101	0	0	222	0
Ugdh	82.187500	503	0	0	0	0	0	0	0	0	409	171	0	0	0	0	232	0
Gtf3c5	82.187500	575	0	0	0	0	0	0	0	0	450	145	0	0	0	0	145	0
Chd1	82.187500	398	0	0	0	0	0	0	0	0	606	89	0	0	0	0	222	0
Zfp830	82.125000	238	0	0	0	0	0	0	0	0	536	143	0	0	0	0	397	0
Zfp157	82.125000	218	0	0	0	136	0	0	0	0	410	204	0	0	0	0	346	0
Pip4p2	82.125000	732	0	0	0	0	0	0	0	0	208	122	0	0	0	0	252	0
Pdcl	82.125000	329	0	113	0	0	0	0	0	0	453	213	0	0	0	0	206	0
Nsrp1	82.125000	771	0	0	0	0	0	0	0	0	215	97	0	0	0	0	231	0
Lrrc75b	82.125000	840	0	0	238	0	236	0	0	0	0	0	0	0	0	0	0	0
Gm11213	82.125000	0	191	0	0	0	0	0	0	0	621	502	0	0	0	0	0	0
Ggt1	82.125000	840	0	0	238	0	236	0	0	0	0	0	0	0	0	0	0	0
Cdt1	82.125000	427	0	0	0	0	0	0	0	0	493	149	0	0	0	0	245	0
Cct6b	82.125000	238	0	0	0	0	0	0	0	0	536	143	0	0	0	0	397	0
Atp6v0e	82.125000	597	0	0	0	0	0	0	0	0	375	152	0	0	0	0	190	0
Abl2	82.125000	424	0	0	0	0	0	0	0	0	475	249	0	0	0	0	166	0
Rexo2	82.062500	543	0	0	0	0	0	0	0	0	341	135	0	0	0	0	294	0
Morf4l2	82.062500	596	0	0	0	0	0	0	0	0	428	137	0	0	0	0	152	0
Ttll1	81.937500	798	0	0	0	0	0	0	0	0	296	115	0	0	0	0	102	0
Trmt44	81.937500	561	0	0	0	0	0	0	0	0	390	73	0	0	0	0	287	0
Map2k7	81.937500	531	0	0	0	0	0	0	0	0	387	179	0	0	0	0	214	0
Wbp11	81.875000	472	0	0	0	0	0	0	0	0	488	123	0	0	0	0	227	0
Taok1	81.875000	373	0	0	0	0	0	0	0	0	460	135	0	78	0	0	264	0
Smarca4	81.875000	567	0	0	0	0	0	0	0	0	355	150	0	0	0	0	238	0
Dnttip2	81.875000	596	0	0	0	0	0	0	0	0	415	154	0	0	0	0	145	0
Phf21a	81.812500	566	0	152	148	0	159	0	0	0	150	134	0	0	0	0	0	0
Ostf1	81.812500	448	0	0	0	0	0	0	0	0	398	142	0	0	0	0	321	0
Nmrk1	81.812500	448	0	0	0	0	0	0	0	0	398	142	0	0	0	0	321	0
Lig3	81.812500	261	0	208	0	0	0	0	0	0	416	137	0	0	0	0	287	0
Arrdc3	81.812500	501	0	0	0	0	0	0	0	0	396	122	0	0	0	0	290	0
Arpc5	81.812500	502	0	0	0	0	0	0	0	0	391	171	0	0	0	0	245	0
Prss16	81.750000	707	0	0	171	0	168	0	0	0	103	0	0	0	0	0	159	0
Mknk2	81.750000	241	0	0	123	0	123	0	0	0	271	178	0	141	0	0	231	0
Gsk3a	81.750000	383	0	0	189	0	190	0	0	0	233	185	0	0	0	0	128	0
C2cd2l	81.750000	313	0	0	172	0	174	0	0	0	443	0	0	0	0	0	206	0
Arfgap2	81.750000	513	0	0	0	0	0	0	0	0	357	247	0	0	0	0	191	0
Zfand1	81.687500	473	0	0	0	0	0	0	0	0	471	155	0	0	0	0	208	0
Ubiad1	81.687500	449	0	0	0	0	0	0	0	0	412	119	0	100	0	0	227	0
Sub1	81.687500	466	0	0	0	0	0	0	0	0	404	144	0	0	0	0	293	0
Mtor	81.687500	449	0	0	0	0	0	0	0	0	412	119	0	100	0	0	227	0
Lcmt2	81.687500	299	0	0	0	0	0	0	0	0	440	146	0	111	0	0	311	0
Fezf2	81.687500	1087	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0
Cltb	81.687500	439	0	0	215	0	212	0	0	0	296	0	0	0	0	0	145	0
Adal	81.687500	299	0	0	0	0	0	0	0	0	440	146	0	111	0	0	311	0
Ogdhl	81.625000	835	0	0	0	0	0	0	0	0	228	0	0	0	0	0	243	0
Rack1	81.562500	282	0	0	161	0	159	0	0	0	358	177	0	0	0	0	168	0
Mllt10	81.562500	492	0	0	0	0	0	0	0	0	421	156	0	0	0	0	236	0
Gtf3c6	81.562500	385	0	0	0	0	0	0	0	0	400	230	0	0	0	0	290	0
Gtf2e2	81.562500	465	0	0	0	0	0	0	0	0	397	193	0	0	0	0	250	0
Gpr146	81.562500	474	0	0	262	0	256	0	0	0	158	0	0	0	0	0	155	0
Gatb	81.562500	412	0	0	149	0	149	0	0	0	275	82	0	0	0	0	238	0
Tvp23b	81.500000	291	0	0	0	0	0	0	0	0	382	100	0	131	0	0	400	0
Ttbk2	81.500000	291	0	0	0	0	0	0	0	0	533	168	0	114	0	0	198	0
Tmem177	81.500000	676	0	0	0	0	0	0	0	0	304	137	0	0	0	0	187	0
Tmem107	81.500000	187	200	0	165	102	148	0	0	0	176	88	0	0	0	0	238	0
Ppif	81.500000	780	0	0	0	0	0	0	0	0	353	0	0	0	0	0	171	0
Polr2m	81.500000	573	0	0	0	0	0	0	0	0	450	82	0	0	0	0	199	0
Lrrc58	81.500000	327	0	0	0	0	0	0	0	249	417	202	0	0	0	0	109	0
Cln8	81.500000	347	0	0	198	0	199	0	0	0	226	165	0	0	0	0	169	0
Zfp781	81.437500	367	0	0	0	0	0	0	0	0	521	116	0	0	0	0	299	0
Zfp207	81.437500	606	0	0	0	0	0	0	0	0	233	165	0	0	0	0	299	0
Washc1	81.437500	568	0	0	0	0	0	0	0	0	434	0	0	112	0	0	189	0
Ncapd2	81.437500	456	0	0	0	0	0	0	0	0	431	130	0	0	0	0	286	0
Mrpl51	81.437500	456	0	0	0	0	0	0	0	0	431	130	0	0	0	0	286	0
Kpna3	81.437500	307	0	115	0	0	0	0	0	0	367	154	0	0	0	0	360	0
Heatr5b	81.437500	328	0	0	0	0	0	0	0	0	341	294	0	0	0	0	340	0
Gpatch11	81.437500	328	0	0	0	0	0	0	0	0	341	294	0	0	0	0	340	0
Gm3055	81.437500	367	0	0	0	0	0	0	0	0	521	116	0	0	0	0	299	0
Atxn1l	81.437500	600	0	0	0	0	0	0	0	0	388	111	0	0	0	0	204	0
Arsb	81.437500	415	0	0	0	0	0	0	0	0	292	126	0	79	0	0	391	0
Arf1	81.437500	273	0	0	0	0	0	0	0	0	524	0	0	175	0	0	331	0
Alg8	81.437500	448	0	0	0	0	0	0	0	0	250	126	0	0	0	0	479	0
Txnrd1	81.375000	696	0	0	0	0	0	0	0	0	371	0	0	0	0	0	235	0
Syt14	81.375000	445	0	0	311	0	311	0	0	0	103	0	0	0	0	0	132	0
Cops6	81.375000	554	0	0	0	0	0	0	0	0	385	152	0	0	0	0	211	0
Usp2	81.312500	442	0	0	143	0	143	0	0	0	220	124	0	0	0	0	229	0
Tpgs1	81.312500	319	0	0	0	0	0	0	0	0	427	157	0	183	0	0	215	0
