Target_genes	Nfatc2|Average	SRX667873|Dendritic_Cells	SRX21547799|ILC2	SRX21547800|ILC2	SRX21547801|ILC2	SRX21547802|ILC2	SRX21547803|ILC2	SRX21547804|ILC2	SRX12418835|Myofibers	SRX12418836|Myofibers	SRX12418837|Myofibers	SRX12418838|Myofibers	SRX24004260|Th2_Cells	STRING
Tmem123	76.250000	0	0	0	0	183	287	445	0	0	0	0	0	0
Gtf2a2	76.250000	386	0	0	0	124	122	283	0	0	0	0	0	0
Lactb	76.083333	913	0	0	0	0	0	0	0	0	0	0	0	0
Plp2	76.000000	296	0	0	0	85	118	276	0	0	0	0	137	0
Hikeshi	76.000000	480	0	0	0	0	79	143	0	0	0	0	210	0
Zfp809	75.916667	367	0	0	0	0	159	286	0	0	0	0	99	0
Anxa11	75.750000	266	0	0	0	155	208	280	0	0	0	0	0	0
S100a5	75.666667	597	0	0	0	0	79	120	0	0	0	0	112	0
S100a4	75.666667	597	0	0	0	0	79	120	0	0	0	0	112	0
Gimap6	75.666667	404	0	0	0	98	120	286	0	0	0	0	0	0
Spag8	75.500000	0	0	0	0	180	231	337	0	0	0	0	158	0
Sesn2	75.500000	593	0	0	0	0	0	0	0	0	0	0	313	0
Hint2	75.500000	0	0	0	0	180	231	337	0	0	0	0	158	0
Gch1	75.333333	390	0	0	0	130	149	235	0	0	0	0	0	0
Xdh	75.250000	537	0	0	0	0	131	235	0	0	0	0	0	0
Stfa2l1	75.250000	903	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a1	75.250000	903	0	0	0	0	0	0	0	0	0	0	0	0
Abr	75.083333	663	0	0	0	0	71	167	0	0	0	0	0	0
Pank4	75.000000	0	0	0	0	111	133	362	0	0	0	0	294	0
Hes5	75.000000	0	0	0	0	111	133	362	0	0	0	0	294	0
Rap1a	74.916667	366	0	0	0	117	148	268	0	0	0	0	0	0
Ppp6r1	74.916667	410	0	0	0	95	133	261	0	0	0	0	0	0
Ap1b1	74.666667	896	0	0	0	0	0	0	0	0	0	0	0	0
Pttg1ip	74.250000	425	0	0	0	0	203	263	0	0	0	0	0	0
Pcna	73.833333	334	0	0	0	124	164	264	0	0	0	0	0	0
Gtf2e2	73.833333	229	0	0	0	194	155	308	0	0	0	0	0	0
Eps15	73.833333	532	0	0	0	0	71	94	0	0	0	0	189	0
Dgkz	73.833333	234	0	0	0	0	100	316	0	0	0	0	236	0
Zfp560	73.750000	183	0	0	0	234	138	330	0	0	0	0	0	0
Tubb6	73.750000	885	0	0	0	0	0	0	0	0	0	0	0	0
Stard3	73.666667	384	0	0	0	0	134	216	0	0	0	0	150	0
Dbi	73.666667	203	0	0	0	233	190	258	0	0	0	0	0	0
3110009E18Rik	73.666667	203	0	0	0	233	190	258	0	0	0	0	0	0
Ltc4s	73.583333	883	0	0	0	0	0	0	0	0	0	0	0	0
H4c2	73.583333	491	0	0	0	0	141	157	0	0	0	0	94	0
H4c1	73.583333	491	0	0	0	0	141	157	0	0	0	0	94	0
H3c1	73.583333	491	0	0	0	0	141	157	0	0	0	0	94	0
H1f1	73.583333	491	0	0	0	0	141	157	0	0	0	0	94	0
Gars	73.583333	325	0	0	0	103	106	222	0	0	0	0	127	0
Fcgrt	73.583333	528	0	0	0	0	0	71	0	0	0	0	284	0
Cxcr3	73.500000	743	0	0	0	0	0	0	0	0	0	0	139	0
Otop1	73.416667	421	0	0	0	115	123	222	0	0	0	0	0	0
Cldn3	73.416667	881	0	0	0	0	0	0	0	0	0	0	0	0
Gsn	73.250000	0	0	0	0	0	123	357	0	0	0	0	399	0
Bnip2	73.250000	321	0	0	0	0	125	315	0	0	0	0	118	0
Ptpn18	73.166667	878	0	0	0	0	0	0	0	0	0	0	0	0
P4hb	73.083333	438	0	0	0	0	128	311	0	0	0	0	0	0
Chst11	73.000000	449	0	0	0	91	101	235	0	0	0	0	0	0
Selenot	72.916667	200	0	0	0	0	186	252	0	0	0	0	237	0
Kmt5a	72.916667	260	0	0	0	129	133	287	0	0	0	0	66	0
F7	72.750000	873	0	0	0	0	0	0	0	0	0	0	0	0
Egln2	72.750000	212	0	0	117	0	92	345	0	0	0	0	107	0
Traf6	72.500000	567	0	0	0	0	77	105	0	0	0	0	121	0
Plaur	72.333333	0	0	0	0	199	150	389	0	0	0	0	130	0
Gda	72.250000	867	0	0	0	0	0	0	0	0	0	0	0	0
Ccl3	71.916667	863	0	0	0	0	0	0	0	0	0	0	0	0
Popdc2	71.833333	862	0	0	0	0	0	0	0	0	0	0	0	0
Senp8	71.666667	208	0	0	0	149	165	226	0	0	0	0	112	0
Myo9a	71.666667	208	0	0	0	149	165	226	0	0	0	0	112	0
Dusp16	71.666667	353	0	0	0	82	177	248	0	0	0	0	0	0
Pla2g5	71.500000	373	0	0	0	112	154	219	0	0	0	0	0	0
Pigo	71.500000	207	0	0	0	107	109	313	0	0	0	0	122	0
Pqlc3	71.333333	646	0	0	0	0	88	122	0	0	0	0	0	0
Mta2	71.166667	0	0	0	0	163	179	355	0	0	0	0	157	0
Mfrp	71.166667	513	0	0	0	0	0	0	0	0	0	0	341	0
Irgc1	71.166667	854	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf5	71.166667	513	0	0	0	0	0	0	0	0	0	0	341	0
Ppp2ca	70.916667	105	0	0	0	0	80	218	0	0	0	0	448	0
Tmem65	70.750000	579	0	0	0	0	106	164	0	0	0	0	0	0
Slc9a5	70.750000	383	0	0	0	0	175	237	0	0	0	0	54	0
Kcnq5	70.750000	0	0	0	0	245	180	299	0	0	0	0	125	0
Fhod1	70.750000	383	0	0	0	0	175	237	0	0	0	0	54	0
Dnajc3	70.333333	844	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb32	70.166667	556	0	0	0	0	78	107	0	0	0	0	101	0
Ube2l6	69.916667	586	0	0	0	0	114	139	0	0	0	0	0	0
Selplg	69.833333	182	0	0	0	77	94	289	0	0	0	0	196	0
Sgca	69.750000	328	0	0	0	113	161	235	0	0	0	0	0	0
Spag1	69.666667	252	0	0	0	125	173	286	0	0	0	0	0	0
Hif1a	69.666667	0	0	0	0	0	0	0	104	131	248	353	0	0
Snx33	69.583333	257	0	0	0	149	113	316	0	0	0	0	0	0
Slk	69.583333	460	0	0	0	89	94	192	0	0	0	0	0	0
Mterf2	69.333333	0	0	0	0	189	156	319	0	0	0	0	168	0
Ypel5	69.000000	187	0	0	0	139	143	359	0	0	0	0	0	0
Mfsd6	69.000000	713	0	0	0	0	0	115	0	0	0	0	0	0
Adcy7	68.750000	420	0	0	0	0	105	157	0	0	0	0	143	0
Fcgr1	68.666667	824	0	0	0	0	0	0	0	0	0	0	0	0
Mtm1	68.583333	823	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc6b	68.500000	252	0	0	0	0	91	221	0	0	0	0	258	0
Manba	68.500000	283	0	0	0	152	127	260	0	0	0	0	0	0
Lmbr1l	68.500000	0	0	0	0	151	166	376	0	0	0	0	129	0
Zdhhc17	68.250000	443	0	0	0	0	162	214	0	0	0	0	0	0
Nolc1	68.250000	250	0	0	0	0	173	304	0	0	0	0	92	0
Hcar2	68.083333	817	0	0	0	0	0	0	0	0	0	0	0	0
Tmcc3	67.916667	815	0	0	0	0	0	0	0	0	0	0	0	0
Psmd11	67.916667	174	0	0	0	103	121	305	0	0	0	0	112	0
Donson	67.666667	688	0	0	0	0	0	124	0	0	0	0	0	0
Ddr1	67.583333	269	0	0	0	0	0	174	0	0	0	0	368	0
Nfkbia	67.500000	158	0	0	0	136	150	259	0	0	0	0	107	0
Sec61a1	67.333333	0	0	0	0	122	210	260	0	0	0	0	216	0
Cxcl2	67.250000	807	0	0	0	0	0	0	0	0	0	0	0	0
Phf11b	67.083333	206	0	0	0	111	109	223	0	0	0	0	156	0
Ppm1h	67.000000	184	0	0	0	115	224	281	0	0	0	0	0	0
Fcho2	67.000000	608	0	0	0	0	106	0	0	0	0	0	90	0
Rps16	66.916667	143	0	0	0	145	165	350	0	0	0	0	0	0
Mppe1	66.916667	0	0	0	67	110	208	418	0	0	0	0	0	0
Huwe1	66.916667	0	0	0	0	161	218	278	0	0	0	0	146	0
Usp6nl	66.833333	127	0	0	0	0	167	246	0	0	0	0	262	0
Rnf220	66.833333	802	0	0	0	0	0	0	0	0	0	0	0	0
Olfr460	66.833333	802	0	0	0	0	0	0	0	0	0	0	0	0
Pfkp	66.666667	610	0	0	0	0	0	92	0	0	0	0	98	0
Wee1	66.500000	326	0	0	0	93	133	246	0	0	0	0	0	0
Atp6v0e	66.500000	380	0	0	0	0	121	106	0	0	0	0	191	0
Abi1	66.333333	538	0	0	0	0	95	163	0	0	0	0	0	0
Srxn1	66.250000	0	0	0	0	181	156	344	0	0	0	0	114	0
Lmbrd1	66.166667	161	0	0	0	234	154	245	0	0	0	0	0	0
Mospd3	66.083333	712	0	0	0	0	0	81	0	0	0	0	0	0
9230019H11Rik	66.083333	0	175	87	103	140	91	79	0	0	0	0	118	0
Gne	66.000000	423	0	0	0	0	97	164	0	0	0	0	108	0
Rad18	65.833333	0	0	0	0	138	156	369	0	0	0	0	127	0
Ing4	65.750000	358	0	0	0	0	0	185	0	0	0	0	246	0
Mlxip	65.416667	683	0	0	0	0	0	102	0	0	0	0	0	0
Cln3	65.416667	785	0	0	0	0	0	0	0	0	0	0	0	0
Apobr	65.416667	785	0	0	0	0	0	0	0	0	0	0	0	0
Atp2c1	64.583333	775	0	0	0	0	0	0	0	0	0	0	0	0
Plek	64.500000	658	0	0	0	0	0	0	0	0	0	0	116	0
Ctu1	64.500000	182	0	0	0	133	209	250	0	0	0	0	0	0
Tsc22d4	64.416667	0	0	0	0	127	132	331	0	0	0	0	183	0
Trak1	63.833333	252	0	0	0	95	99	320	0	0	0	0	0	0
Slc36a2	63.750000	765	0	0	0	0	0	0	0	0	0	0	0	0
Azin1	63.750000	0	0	0	0	102	191	316	0	0	0	0	156	0
Crem	63.666667	252	0	0	0	95	167	250	0	0	0	0	0	0
Adipor2	63.666667	180	0	0	0	0	148	352	0	0	0	0	84	0
Socs5	63.166667	0	0	0	0	154	247	357	0	0	0	0	0	0
Cstf2t	63.166667	206	0	0	0	93	144	205	0	0	0	0	110	0
Ifi27	63.083333	116	0	0	0	105	163	245	0	0	0	0	128	0
Man2a2	63.000000	400	0	0	0	82	100	174	0	0	0	0	0	0
Ilvbl	63.000000	0	0	0	0	202	200	354	0	0	0	0	0	0
Aplf	63.000000	117	0	0	0	96	208	250	0	0	0	0	85	0
Sypl	62.666667	752	0	0	0	0	0	0	0	0	0	0	0	0
Tars2	62.583333	584	0	0	0	0	0	97	0	0	0	0	70	0
Npl	62.250000	0	0	0	0	161	102	215	0	0	0	0	269	0
Casp4	62.166667	0	0	0	0	138	186	287	0	0	0	0	135	0
Chd3	62.083333	0	0	0	0	108	160	372	0	0	0	0	105	0
Hormad2	62.000000	0	0	0	0	0	147	255	0	0	0	0	342	0
Uqcrc1	61.916667	200	0	0	0	113	98	187	0	0	0	0	145	0
Hk1	61.916667	343	0	0	0	90	0	167	0	0	0	0	143	0
Trim16	61.833333	420	0	0	0	0	118	115	0	0	0	0	89	0
Tnfsf10	61.750000	0	0	0	0	160	126	294	0	0	0	0	161	0
Scgb1a1	61.750000	741	0	0	0	0	0	0	0	0	0	0	0	0
Taar9	61.666667	740	0	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	61.666667	740	0	0	0	0	0	0	0	0	0	0	0	0
Gsk3b	61.583333	0	0	0	0	141	153	362	0	0	0	0	83	0
Mynn	61.500000	0	0	0	75	98	122	312	0	0	0	0	131	0
Actrt3	61.500000	0	0	0	75	98	122	312	0	0	0	0	131	0
Parvb	61.416667	737	0	0	0	0	0	0	0	0	0	0	0	0
Vsir	61.333333	353	0	0	0	0	136	247	0	0	0	0	0	0
Fam126a	61.333333	115	0	0	0	151	128	239	0	0	0	0	103	0
Ikbkb	61.250000	735	0	0	0	0	0	0	0	0	0	0	0	0
Lrif1	61.166667	281	0	0	0	0	124	229	0	0	0	0	100	0
Gins1	61.166667	0	0	0	0	175	207	289	0	0	0	0	63	0
Ift57	61.083333	338	0	0	0	80	125	190	0	0	0	0	0	0
Poglut2	60.916667	307	0	0	0	88	98	238	0	0	0	0	0	0
Gstm1	60.916667	83	0	0	0	189	183	276	0	0	0	0	0	0
Bivm	60.916667	307	0	0	0	88	98	238	0	0	0	0	0	0
Akap10	60.750000	729	0	0	0	0	0	0	0	0	0	0	0	0
Dusp18	60.666667	728	0	0	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	60.666667	728	0	0	0	0	0	0	0	0	0	0	0	0
Spata2	60.583333	727	0	0	0	0	0	0	0	0	0	0	0	0
Rnf114	60.583333	727	0	0	0	0	0	0	0	0	0	0	0	0
Entpd7	60.166667	0	0	0	0	182	138	235	0	0	0	0	167	0
Ripk2	60.083333	721	0	0	0	0	0	0	0	0	0	0	0	0
Cflar	60.083333	493	0	0	0	0	93	135	0	0	0	0	0	0
Clint1	60.000000	171	0	0	0	105	135	197	0	0	0	0	112	0
Nlrx1	59.666667	716	0	0	0	0	0	0	0	0	0	0	0	0
Coq7	59.666667	250	0	0	0	134	180	152	0	0	0	0	0	0
Trim8	59.500000	374	0	0	0	0	64	198	0	0	0	0	78	0
Snx8	59.416667	536	0	0	0	0	83	94	0	0	0	0	0	0
Sertad3	59.416667	0	0	0	0	100	167	331	0	0	0	0	115	0
Ppip5k2	59.416667	285	0	0	0	86	168	174	0	0	0	0	0	0
Gin1	59.416667	285	0	0	0	86	168	174	0	0	0	0	0	0
Gimap5	59.416667	493	0	0	0	0	0	140	0	0	0	0	80	0
Sirt2	59.333333	318	0	0	0	0	146	168	0	0	0	0	80	0
Nfkbib	59.333333	318	0	0	0	0	146	168	0	0	0	0	80	0
Uhrf1bp1l	59.250000	175	0	0	0	121	90	121	0	0	0	0	204	0
Thbs3	59.250000	0	0	0	0	108	158	361	0	0	0	0	84	0
Tcf12	59.250000	380	0	0	0	0	0	134	0	0	0	0	197	0
Mtx1	59.250000	0	0	0	0	108	158	361	0	0	0	0	84	0
Vwa1	59.083333	428	0	0	0	0	0	0	0	0	0	0	281	0
Tpm1	59.083333	425	0	0	0	0	0	115	0	0	0	0	169	0
Calhm2	59.083333	509	0	0	0	0	0	200	0	0	0	0	0	0
Ddx49	59.000000	376	0	0	0	0	121	211	0	0	0	0	0	0
Cope	59.000000	376	0	0	0	0	121	211	0	0	0	0	0	0
Shisal2b	58.833333	706	0	0	0	0	0	0	0	0	0	0	0	0
Whamm	58.666667	482	0	0	0	0	77	145	0	0	0	0	0	0
St14	58.583333	112	0	0	0	134	184	273	0	0	0	0	0	0
Ppih	58.583333	149	0	0	0	130	179	245	0	0	0	0	0	0
Card11	58.333333	700	0	0	0	0	0	0	0	0	0	0	0	0
Birc3	58.333333	456	0	0	0	0	77	167	0	0	0	0	0	0
Adora3	58.250000	257	0	0	0	0	168	274	0	0	0	0	0	0
Abraxas2	58.250000	537	0	0	0	0	0	162	0	0	0	0	0	0
Ciart	58.166667	236	0	0	0	103	89	270	0	0	0	0	0	0
Ilf2	58.083333	180	0	0	0	0	169	209	0	0	0	0	139	0
Gask1b	58.000000	696	0	0	0	0	0	0	0	0	0	0	0	0
Stard4	57.833333	0	0	0	0	183	127	262	0	0	0	0	122	0
9430069I07Rik	57.833333	694	0	0	0	0	0	0	0	0	0	0	0	0
Batf	57.750000	0	0	0	0	94	160	311	0	0	0	0	128	0
Car5a	57.666667	155	0	0	0	76	119	203	0	0	0	0	139	0
Banp	57.666667	155	0	0	0	76	119	203	0	0	0	0	139	0
Aig1	57.666667	225	0	0	0	0	60	149	0	0	0	0	258	0
Tbce	57.583333	145	0	0	0	0	120	292	0	0	0	0	134	0
Spsb2	57.583333	233	0	0	0	0	113	206	0	0	0	0	139	0
Togaram1	57.500000	0	0	0	0	212	201	277	0	0	0	0	0	0
Tecr	57.500000	0	0	0	0	0	221	208	0	0	0	0	261	0
Klhl28	57.500000	0	0	0	0	212	201	277	0	0	0	0	0	0
Esco1	57.333333	0	0	0	0	191	160	337	0	0	0	0	0	0
Ankrd54	57.083333	0	0	0	178	0	100	257	0	0	0	0	150	0
Utp11	57.000000	322	0	0	0	0	117	162	0	0	0	0	83	0
Phb	56.833333	682	0	0	0	0	0	0	0	0	0	0	0	0
Zfp438	56.750000	0	0	0	0	184	242	255	0	0	0	0	0	0
Hspa9	56.750000	180	0	0	0	94	101	240	0	0	0	0	66	0
Cyp4f16	56.750000	681	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs1	56.666667	469	0	0	0	0	0	211	0	0	0	0	0	0
Dntt	56.583333	0	0	0	0	0	131	235	0	0	0	0	313	0
Stn1	56.500000	379	0	0	0	0	98	201	0	0	0	0	0	0
Zfp273	56.416667	118	0	0	0	144	108	215	0	0	0	0	92	0
Rpl21	56.333333	0	0	0	0	79	129	220	0	0	0	0	248	0
Abcc8	56.166667	674	0	0	0	0	0	0	0	0	0	0	0	0
Il18rap	56.000000	475	0	0	0	0	81	116	0	0	0	0	0	0
Icam5	56.000000	318	0	0	0	0	97	257	0	0	0	0	0	0
Icam4	56.000000	318	0	0	0	0	97	257	0	0	0	0	0	0
Crybg3	56.000000	672	0	0	0	0	0	0	0	0	0	0	0	0
Ap3m2	56.000000	144	0	0	0	68	109	265	0	0	0	0	86	0
Rgcc	55.916667	364	0	0	0	0	125	182	0	0	0	0	0	0
Mfsd4b5	55.916667	0	0	0	0	128	127	331	0	0	0	0	85	0
Synj1	55.750000	576	0	0	0	0	0	93	0	0	0	0	0	0
Camsap2	55.666667	0	0	0	0	162	195	311	0	0	0	0	0	0
Ska2	55.583333	135	0	0	0	90	94	250	0	0	0	0	98	0
Rgs3	55.583333	346	0	0	0	0	0	0	0	0	0	0	321	0
Prr11	55.583333	135	0	0	0	90	94	250	0	0	0	0	98	0
Xrcc4	55.500000	239	0	0	0	98	131	198	0	0	0	0	0	0
Tmem167	55.500000	239	0	0	0	98	131	198	0	0	0	0	0	0
Zfp708	55.416667	121	0	0	0	127	98	214	0	0	0	0	105	0
Ublcp1	55.250000	184	0	0	0	115	196	168	0	0	0	0	0	0
Trir	55.250000	213	0	0	0	0	189	261	0	0	0	0	0	0
Gm19345	55.250000	0	0	0	0	155	187	321	0	0	0	0	0	0
Get3	55.250000	213	0	0	0	0	189	261	0	0	0	0	0	0
Trpm6	55.166667	336	0	0	0	0	0	0	0	0	0	0	326	0
Fam162a	55.166667	157	0	0	0	125	102	198	0	0	0	0	80	0
Ccdc58	55.166667	157	0	0	0	125	102	198	0	0	0	0	80	0
Traf7	55.000000	0	0	0	0	0	153	355	0	0	0	0	152	0
Rab26	55.000000	0	0	0	0	0	153	355	0	0	0	0	152	0
Mrpl45	55.000000	239	0	0	0	90	108	223	0	0	0	0	0	0
Zfp94	54.916667	326	0	0	0	0	107	226	0	0	0	0	0	0
Slc6a12	54.916667	478	0	0	0	0	0	181	0	0	0	0	0	0
Mcl1	54.916667	0	0	0	0	61	168	234	0	0	0	0	196	0
Cd53	54.833333	306	0	0	0	0	97	255	0	0	0	0	0	0
Zwint	54.750000	156	0	0	0	116	147	238	0	0	0	0	0	0
Rap2b	54.750000	0	0	0	0	141	156	215	0	0	0	0	145	0
Zfp672	54.666667	308	0	0	0	0	114	234	0	0	0	0	0	0
Sh3bp5l	54.666667	308	0	0	0	0	114	234	0	0	0	0	0	0
Nfatc1	54.666667	0	0	0	0	0	151	410	0	0	0	0	95	0
Bhlhe40	54.666667	311	0	0	0	0	72	91	0	0	0	0	182	0
Pex2	54.583333	0	0	0	0	173	169	313	0	0	0	0	0	0
Mtpn	54.583333	181	0	0	0	0	109	216	0	0	0	0	149	0
Txlnb	54.416667	183	0	0	0	105	162	203	0	0	0	0	0	0
Egln3	54.416667	0	0	0	0	148	175	330	0	0	0	0	0	0
Ccr2	54.416667	0	0	0	0	0	126	235	0	0	0	0	292	0
Baiap2	54.416667	653	0	0	0	0	0	0	0	0	0	0	0	0
Vat1	54.333333	230	0	0	0	0	96	261	0	0	0	0	65	0
Tjp2	54.333333	652	0	0	0	0	0	0	0	0	0	0	0	0
Rnd2	54.333333	230	0	0	0	0	96	261	0	0	0	0	65	0
Greb1	54.333333	0	0	0	0	140	131	254	0	0	0	0	127	0
Itm2c	54.250000	466	0	0	0	0	0	185	0	0	0	0	0	0
Rbm47	54.166667	154	0	0	0	92	114	290	0	0	0	0	0	0
Clec12a	54.166667	650	0	0	0	0	0	0	0	0	0	0	0	0
Commd3	54.000000	0	0	0	0	157	141	350	0	0	0	0	0	0
Bmi1	54.000000	0	0	0	0	157	141	350	0	0	0	0	0	0
Spn	53.916667	647	0	0	0	0	0	0	0	0	0	0	0	0
Rcan1	53.916667	647	0	0	0	0	0	0	0	0	0	0	0	0
Prss2	53.833333	646	0	0	0	0	0	0	0	0	0	0	0	0
Kansl1l	53.833333	435	0	0	0	0	70	141	0	0	0	0	0	0
Zfp715	53.666667	146	0	0	0	119	113	266	0	0	0	0	0	0
Zfp36l1	53.583333	158	0	0	0	0	154	216	0	0	0	0	115	0
Cep120	53.583333	118	0	0	0	97	102	166	0	0	0	0	160	0
Cables1	53.583333	643	0	0	0	0	0	0	0	0	0	0	0	0
Arih2	53.583333	398	0	0	0	0	0	149	0	0	0	0	96	0
Mapk6	53.500000	159	0	0	0	94	153	236	0	0	0	0	0	0
Itpr2	53.500000	176	0	0	0	0	74	193	0	0	0	0	199	0
Eea1	53.500000	231	0	0	0	0	97	191	0	0	0	0	123	0
Nfe2	53.416667	0	0	0	0	126	132	299	0	0	0	0	84	0
Klf7	53.333333	309	0	0	0	0	109	222	0	0	0	0	0	0
Hcfc2	53.333333	272	0	0	0	0	147	221	0	0	0	0	0	0
Arhgap45	53.333333	327	0	0	0	0	0	190	0	0	0	0	123	0
Spns3	53.250000	639	0	0	0	0	0	0	0	0	0	0	0	0
Mcm6	53.250000	212	0	0	0	90	131	206	0	0	0	0	0	0
Elp6	53.250000	312	0	0	0	0	135	192	0	0	0	0	0	0
Camk2g	53.250000	255	0	0	0	0	91	207	0	0	0	0	86	0
Syne1	53.166667	210	0	0	0	102	137	189	0	0	0	0	0	0
Lyn	53.166667	638	0	0	0	0	0	0	0	0	0	0	0	0
Sec14l1	53.000000	318	0	0	0	0	0	318	0	0	0	0	0	0
Snd1	52.916667	0	0	0	0	101	125	255	0	0	0	0	154	0
Ppp1r11	52.916667	318	0	0	0	60	115	142	0	0	0	0	0	0
Ppil3	52.916667	635	0	0	0	0	0	0	0	0	0	0	0	0
Ino80	52.916667	257	0	0	0	84	140	154	0	0	0	0	0	0
Evi2a	52.916667	300	0	0	0	0	83	252	0	0	0	0	0	0
Evi2	52.916667	300	0	0	0	0	83	252	0	0	0	0	0	0
Syce1l	52.833333	634	0	0	0	0	0	0	0	0	0	0	0	0
Insig2	52.833333	634	0	0	0	0	0	0	0	0	0	0	0	0
Ctsc	52.750000	263	0	0	0	91	94	185	0	0	0	0	0	0
Zfp654	52.583333	0	0	0	0	173	148	310	0	0	0	0	0	0
Cggbp1	52.583333	0	0	0	0	173	148	310	0	0	0	0	0	0
Tmem107	52.500000	402	0	0	0	0	0	137	0	0	0	0	91	0
Marchf6	52.500000	421	0	0	0	0	88	121	0	0	0	0	0	0
Itgb3	52.500000	0	0	0	0	112	202	316	0	0	0	0	0	0
Gm4981	52.500000	0	121	115	91	0	75	80	0	0	0	0	148	0
Ylpm1	52.333333	0	0	0	0	110	148	240	0	0	0	0	130	0
Nr4a3	52.333333	265	0	0	0	0	145	218	0	0	0	0	0	0
Klhl6	52.333333	0	0	0	0	91	75	197	0	0	0	0	265	0
Ccdc63	52.083333	625	0	0	0	0	0	0	0	0	0	0	0	0
Dock8	52.000000	546	0	0	0	0	78	0	0	0	0	0	0	0
Cyld	52.000000	0	0	0	0	160	135	329	0	0	0	0	0	0
Picalm	51.916667	502	0	0	0	0	0	121	0	0	0	0	0	0
Gm4925	51.916667	174	0	0	0	178	102	169	0	0	0	0	0	0
Arl1	51.916667	174	0	0	0	178	102	169	0	0	0	0	0	0
Cyfip2	51.750000	502	0	0	0	0	0	119	0	0	0	0	0	0
Ctsz	51.583333	0	0	0	0	0	0	218	0	0	0	0	401	0
Park7	51.500000	0	0	0	0	83	162	260	0	0	0	0	113	0
Fam107b	51.416667	332	0	0	0	0	0	147	0	0	0	0	138	0
Clec2f	51.416667	553	0	0	0	0	0	0	0	0	0	0	64	0
Fbxo40	51.250000	366	0	0	0	0	116	133	0	0	0	0	0	0
Cstf3	51.250000	362	0	0	0	0	124	129	0	0	0	0	0	0
Zscan10	51.166667	0	0	0	0	141	150	224	0	0	0	0	99	0
Zfp13	51.166667	0	0	0	0	141	150	224	0	0	0	0	99	0
Napa	51.166667	273	0	0	0	0	91	146	0	0	0	0	104	0
Acot7	51.166667	474	0	0	0	0	0	140	0	0	0	0	0	0
Oas1c	51.000000	612	0	0	0	0	0	0	0	0	0	0	0	0
Oas1b	51.000000	612	0	0	0	0	0	0	0	0	0	0	0	0
Lpxn	50.916667	315	0	0	0	0	103	193	0	0	0	0	0	0
Tmprss11e	50.833333	0	0	0	0	150	177	283	0	0	0	0	0	0
Kdm3a	50.666667	176	0	0	0	106	137	189	0	0	0	0	0	0
Agpat4	50.666667	227	0	0	0	0	137	244	0	0	0	0	0	0
Cdc25c	50.583333	255	0	0	0	0	75	131	0	0	0	0	146	0
Vamp4	50.500000	140	0	0	0	0	177	289	0	0	0	0	0	0
Osbpl9	50.333333	486	0	0	0	0	0	0	0	0	0	0	118	0
Sema4a	50.166667	602	0	0	0	0	0	0	0	0	0	0	0	0
Srp68	50.083333	325	0	0	0	0	98	178	0	0	0	0	0	0
Ogt	50.083333	161	0	0	0	0	153	287	0	0	0	0	0	0
Dnttip2	50.083333	203	0	0	0	120	132	146	0	0	0	0	0	0
Cd69	50.083333	159	0	0	0	0	96	200	0	0	0	0	146	0
E2f3	50.000000	498	0	0	0	0	0	102	0	0	0	0	0	0
Tob2	49.833333	186	0	0	0	0	86	217	0	0	0	0	109	0
Tmem251	49.833333	0	0	0	0	137	177	284	0	0	0	0	0	0
Smad7	49.833333	0	0	0	0	103	123	267	0	0	0	0	105	0
Slc25a23	49.833333	454	0	0	0	0	77	67	0	0	0	0	0	0
Pigl	49.833333	161	0	0	0	70	127	240	0	0	0	0	0	0
Ncor1	49.833333	161	0	0	0	70	127	240	0	0	0	0	0	0
Moap1	49.833333	0	0	0	0	137	177	284	0	0	0	0	0	0
Ezr	49.833333	181	0	0	0	106	137	174	0	0	0	0	0	0
Crb3	49.833333	454	0	0	0	0	77	67	0	0	0	0	0	0
Cd74	49.833333	598	0	0	0	0	0	0	0	0	0	0	0	0
S100a6	49.750000	597	0	0	0	0	0	0	0	0	0	0	0	0
Rasal1	49.750000	597	0	0	0	0	0	0	0	0	0	0	0	0
Grn	49.750000	465	0	0	0	0	0	0	0	0	0	0	132	0
Hps6	49.666667	302	0	0	0	0	0	84	0	0	0	0	210	0
Armh3	49.666667	302	0	0	0	0	0	84	0	0	0	0	210	0
Arsg	49.583333	523	0	0	0	0	0	72	0	0	0	0	0	0
Rbm14	49.500000	0	0	0	0	147	135	312	0	0	0	0	0	0
Gm21992	49.500000	0	0	0	0	147	135	312	0	0	0	0	0	0
Tasor	49.416667	593	0	0	0	0	0	0	0	0	0	0	0	0
Etf1	49.416667	0	0	0	0	0	86	250	0	0	0	0	257	0
Cish	49.416667	137	0	0	0	0	84	272	0	0	0	0	100	0
Cetn3	49.416667	0	0	0	0	206	184	203	0	0	0	0	0	0
Nsd3	49.333333	0	0	0	0	135	98	269	0	0	0	0	90	0
Letm2	49.333333	0	0	0	0	135	98	269	0	0	0	0	90	0
Ephx1	49.333333	0	0	0	0	125	143	206	0	0	0	0	118	0
