Target_genes	Erf|Average	SRX2871267|ES_cells	SRX2871268|ES_cells	SRX2871269|ES_cells	SRX2871270|ES_cells	SRX2871271|ES_cells	SRX2871272|ES_cells	SRX209937|MEF	SRX209938|MEF	SRX2796981|Prostate_organoids	SRX2796982|Prostate_organoids	SRX2796983|Prostate_organoids	SRX2796984|Prostate_organoids	SRX2796985|Prostate_organoids	SRX2796986|Prostate_organoids	SRX2796987|Prostate_organoids	SRX2796988|Prostate_organoids	STRING
1700030K09Rik	72.812500	0	0	0	0	0	0	468	124	306	195	0	72	0	0	0	0	0
Ppp6c	72.750000	0	0	0	0	0	0	222	0	417	286	105	134	0	0	0	0	0
Tbcd	72.687500	0	0	0	0	0	0	759	0	206	198	0	0	0	0	0	0	0
Fdxr	72.687500	0	0	0	0	0	0	268	0	294	287	175	139	0	0	0	0	0
Tsfm	72.625000	0	0	0	0	0	0	319	0	401	210	108	124	0	0	0	0	0
Zfp593	72.562500	0	0	0	0	0	0	635	213	147	81	0	85	0	0	0	0	0
Sptlc1	72.562500	0	0	0	0	0	0	287	0	452	297	0	125	0	0	0	0	0
Spns1	72.562500	0	0	0	0	0	0	335	0	351	185	123	167	0	0	0	0	0
Gm30191	72.562500	0	0	0	0	0	0	635	213	147	81	0	85	0	0	0	0	0
Alg10b	72.562500	0	0	0	0	0	0	305	0	380	180	165	131	0	0	0	0	0
S100a3	72.500000	0	0	0	0	0	0	447	0	360	228	0	125	0	0	0	0	0
Ccdc149	72.500000	0	0	0	0	0	0	733	0	183	123	0	121	0	0	0	0	0
Pmpca	72.437500	0	0	0	0	0	0	127	0	506	274	0	252	0	0	0	0	0
Pdap1	72.437500	0	0	0	0	0	0	0	0	464	292	181	222	0	0	0	0	0
Lsm14b	72.437500	0	0	0	0	0	0	0	0	429	279	186	265	0	0	0	0	0
Entr1	72.437500	0	0	0	0	0	0	127	0	506	274	0	252	0	0	0	0	0
Bud31	72.437500	0	0	0	0	0	0	0	0	464	292	181	222	0	0	0	0	0
Sectm1a	72.375000	0	0	0	0	0	0	0	0	344	116	274	424	0	0	0	0	0
Mtbp	72.375000	0	0	0	0	0	0	251	0	368	269	116	154	0	0	0	0	0
Mrpl13	72.375000	0	0	0	0	0	0	251	0	368	269	116	154	0	0	0	0	0
Anapc4	72.375000	0	0	0	0	0	0	329	0	418	180	82	149	0	0	0	0	0
Prpf39	72.312500	0	0	0	0	0	0	195	0	458	200	144	160	0	0	0	0	0
Zbtb9	72.187500	0	0	0	0	0	0	322	0	379	278	0	176	0	0	0	0	0
Lrrc47	72.187500	0	0	0	0	0	0	0	0	576	329	128	122	0	0	0	0	0
Cstf1	72.187500	0	0	0	0	0	0	468	0	283	174	141	89	0	0	0	0	0
Aurka	72.187500	0	0	0	0	0	0	468	0	283	174	141	89	0	0	0	0	0
Setx	72.125000	0	194	0	0	0	0	345	142	233	94	0	146	0	0	0	0	0
Ctbp1	72.125000	0	0	0	0	0	0	0	0	427	360	143	224	0	0	0	0	0
Aff4	72.125000	0	0	0	0	0	0	443	228	297	186	0	0	0	0	0	0	0
Spag6	72.062500	0	0	0	0	0	0	0	0	347	231	173	402	0	0	0	0	0
Snrpb2	72.062500	0	0	0	0	0	0	107	0	456	230	133	227	0	0	0	0	0
Rfx2	72.062500	0	0	0	0	0	0	206	0	471	255	110	111	0	0	0	0	0
Pmp22	72.062500	0	0	0	0	0	0	126	0	528	335	0	164	0	0	0	0	0
Ntmt1	72.062500	0	0	0	0	0	0	473	455	105	120	0	0	0	0	0	0	0
Klhl18	72.062500	0	0	0	0	0	0	366	0	308	245	106	128	0	0	0	0	0
Kif9	72.062500	0	0	0	0	0	0	366	0	308	245	106	128	0	0	0	0	0
Strap	72.000000	0	0	0	0	0	0	699	0	239	139	0	75	0	0	0	0	0
Rab7	71.937500	0	0	0	0	0	0	127	0	438	204	138	244	0	0	0	0	0
Camk4	71.937500	0	0	0	0	0	0	0	0	574	229	113	235	0	0	0	0	0
Smim7	71.875000	0	0	0	0	0	0	252	0	336	347	0	215	0	0	0	0	0
Rfc3	71.875000	0	0	0	0	0	0	439	0	432	169	0	110	0	0	0	0	0
Crebrf	71.875000	0	0	0	0	0	0	430	403	180	137	0	0	0	0	0	0	0
Slc25a25	71.812500	0	0	0	0	0	0	492	267	273	117	0	0	0	0	0	0	0
Nub1	71.750000	0	162	0	0	0	0	197	0	288	210	0	291	0	0	0	0	0
Phf7	71.625000	0	0	0	0	0	0	279	0	366	214	102	185	0	0	0	0	0
Bap1	71.625000	0	0	0	0	0	0	279	0	366	214	102	185	0	0	0	0	0
Pot1a	71.562500	0	0	0	0	0	0	308	0	361	246	97	133	0	0	0	0	0
Myl4	71.562500	0	0	0	0	0	0	326	0	333	253	85	148	0	0	0	0	0
Cdc27	71.562500	0	0	0	0	0	0	326	0	333	253	85	148	0	0	0	0	0
Arhgap20	71.562500	0	0	0	0	0	0	698	447	0	0	0	0	0	0	0	0	0
Dus3l	71.500000	0	0	0	0	0	0	620	0	234	127	0	163	0	0	0	0	0
Tbce	71.437500	0	0	0	0	0	0	505	0	261	221	0	156	0	0	0	0	0
Stip1	71.437500	0	0	0	0	0	0	282	0	188	139	214	320	0	0	0	0	0
Ccdc90b	71.437500	0	0	0	0	0	0	387	0	352	219	0	185	0	0	0	0	0
Haus6	71.375000	0	0	0	0	0	0	278	0	401	238	89	136	0	0	0	0	0
Gigyf2	71.375000	0	0	0	0	0	0	0	0	606	236	122	178	0	0	0	0	0
Psmg1	71.312500	0	0	0	0	0	0	100	0	512	221	97	211	0	0	0	0	0
Ints1	71.312500	0	0	0	0	0	0	159	0	452	269	0	261	0	0	0	0	0
Ssr2	71.250000	0	200	0	0	0	0	114	0	299	236	154	137	0	0	0	0	0
Sil1	71.250000	0	0	0	0	0	0	324	0	469	238	0	109	0	0	0	0	0
Pafah2	71.250000	0	0	0	0	0	0	325	0	353	167	116	179	0	0	0	0	0
Fbxl17	71.250000	0	0	0	0	0	0	731	0	218	191	0	0	0	0	0	0	0
Mdm4	71.187500	0	0	0	0	0	0	342	0	324	205	108	160	0	0	0	0	0
Fam174c	71.187500	0	0	0	0	0	0	0	0	512	341	161	125	0	0	0	0	0
Cirbp	71.187500	0	0	0	0	0	0	0	0	512	341	161	125	0	0	0	0	0
Ccdc126	71.187500	0	0	0	0	0	0	283	0	385	188	97	186	0	0	0	0	0
Zbtb43	71.125000	0	0	0	0	0	0	509	182	245	113	0	89	0	0	0	0	0
Tbc1d2	71.062500	0	0	0	0	0	0	443	0	252	175	100	167	0	0	0	0	0
Bpnt2	71.000000	0	0	0	0	0	0	520	0	257	132	104	123	0	0	0	0	0
Arl15	70.937500	0	0	0	0	0	0	491	249	274	121	0	0	0	0	0	0	0
Sptlc2	70.875000	0	0	0	0	0	0	566	0	268	185	115	0	0	0	0	0	0
Mterf2	70.875000	0	0	0	0	0	0	581	455	98	0	0	0	0	0	0	0	0
Cdt1	70.875000	0	0	0	0	0	0	553	182	262	137	0	0	0	0	0	0	0
Smim8	70.812500	0	0	0	0	0	0	319	0	356	292	0	166	0	0	0	0	0
Gtf3c5	70.812500	0	0	0	0	0	0	127	0	395	305	113	193	0	0	0	0	0
Tmem39a	70.750000	0	297	0	0	0	0	159	0	252	126	168	130	0	0	0	0	0
Ppp4c	70.687500	0	0	0	0	0	0	395	0	352	226	0	158	0	0	0	0	0
Ogfod1	70.625000	0	0	0	0	0	0	503	0	370	113	0	144	0	0	0	0	0
Nudt21	70.625000	0	0	0	0	0	0	503	0	370	113	0	144	0	0	0	0	0
Mrps21	70.625000	0	0	0	0	0	0	527	0	473	130	0	0	0	0	0	0	0
Trip13	70.500000	0	0	0	0	0	0	147	0	467	239	144	131	0	0	0	0	0
Brd9	70.500000	0	0	0	0	0	0	147	0	467	239	144	131	0	0	0	0	0
Rpf2	70.437500	0	0	0	0	0	0	276	0	303	223	143	182	0	0	0	0	0
Tmem230	70.375000	0	0	0	0	0	0	506	0	303	168	0	149	0	0	0	0	0
Tnk2	70.312500	0	0	0	0	0	0	577	0	267	152	0	129	0	0	0	0	0
Slc9a9	70.312500	0	0	0	0	0	0	100	0	493	225	156	151	0	0	0	0	0
Arl8b	70.312500	0	0	0	0	0	0	416	0	355	196	0	158	0	0	0	0	0
Tymp	70.250000	0	0	0	0	0	0	345	0	296	184	138	161	0	0	0	0	0
Sco2	70.250000	0	0	0	0	0	0	345	0	296	184	138	161	0	0	0	0	0
H3c7	70.250000	0	0	0	0	0	0	623	198	182	121	0	0	0	0	0	0	0
H2bc9	70.250000	0	0	0	0	0	0	623	198	182	121	0	0	0	0	0	0	0
Snx14	70.187500	0	0	0	0	0	0	629	198	202	94	0	0	0	0	0	0	0
Rps27rt	70.187500	0	0	0	0	0	0	416	0	314	117	114	162	0	0	0	0	0
Rab13	70.187500	0	0	0	0	0	0	416	0	314	117	114	162	0	0	0	0	0
Mrpl53	70.187500	0	0	0	0	0	0	347	0	358	165	0	253	0	0	0	0	0
Csnk1a1	70.125000	0	0	0	0	0	0	359	0	293	212	158	100	0	0	0	0	0
Cipc	70.125000	0	111	0	0	0	0	343	0	307	119	118	124	0	0	0	0	0
Rcn2	70.062500	0	0	0	0	0	0	341	0	316	175	140	149	0	0	0	0	0
Rab4a	70.062500	0	0	0	0	0	0	282	424	255	160	0	0	0	0	0	0	0
Actl6a	70.062500	0	0	0	0	0	0	193	0	355	219	211	143	0	0	0	0	0
Anapc15	70.000000	0	0	0	0	0	0	137	0	324	382	118	159	0	0	0	0	0
Tbrg4	69.937500	0	0	0	0	0	0	473	0	317	211	0	118	0	0	0	0	0
Mesd	69.937500	0	0	0	0	0	0	487	201	255	176	0	0	0	0	0	0	0
Golga3	69.937500	0	0	0	0	0	0	348	0	310	212	120	129	0	0	0	0	0
Fbxw2	69.875000	0	0	0	0	0	0	349	0	322	215	120	112	0	0	0	0	0
Rpl6	69.812500	0	0	0	0	0	0	91	0	502	189	182	153	0	0	0	0	0
Zranb2	69.750000	0	0	0	0	0	0	214	0	270	275	160	197	0	0	0	0	0
Oxsm	69.750000	0	0	0	0	0	0	101	0	437	394	0	184	0	0	0	0	0
Iqch	69.750000	0	0	0	0	0	0	117	0	496	212	136	155	0	0	0	0	0
Aagab	69.750000	0	0	0	0	0	0	117	0	496	212	136	155	0	0	0	0	0
Acsf2	69.687500	0	0	0	0	0	0	645	379	91	0	0	0	0	0	0	0	0
Mdm2	69.625000	0	0	0	0	0	0	0	0	526	297	136	155	0	0	0	0	0
Tmem223	69.562500	0	0	0	0	0	0	324	0	327	172	176	114	0	0	0	0	0
Tmem179b	69.562500	0	0	0	0	0	0	324	0	327	172	176	114	0	0	0	0	0
Map11	69.562500	0	0	0	0	0	0	160	0	412	230	172	139	0	0	0	0	0
Fitm2	69.437500	0	0	0	0	0	0	239	0	255	348	122	147	0	0	0	0	0
Wdr37	69.312500	0	0	0	0	0	0	226	0	354	300	125	104	0	0	0	0	0
Fcgr3	69.250000	0	0	0	0	0	0	253	0	322	184	133	216	0	0	0	0	0
Tlnrd1	69.187500	0	0	0	0	0	0	487	189	255	176	0	0	0	0	0	0	0
Rab11b	69.187500	0	0	0	0	0	0	163	0	298	317	116	213	0	0	0	0	0
Angptl4	69.125000	0	0	0	0	0	0	148	0	386	297	111	164	0	0	0	0	0
Ubxn1	69.062500	0	0	0	0	0	0	346	0	327	181	141	110	0	0	0	0	0
Vmn2r4	69.000000	291	0	376	204	233	0	0	0	0	0	0	0	0	0	0	0	0
Tlr3	69.000000	0	0	0	0	0	0	0	0	413	260	219	212	0	0	0	0	0
Ltn1	69.000000	0	0	0	0	0	0	292	0	382	253	0	177	0	0	0	0	0
Gfm1	69.000000	0	0	0	0	0	0	293	0	422	204	0	185	0	0	0	0	0
Eif5a	69.000000	0	0	0	0	0	0	399	537	168	0	0	0	0	0	0	0	0
Dnajc18	68.937500	0	0	0	0	0	0	850	0	158	95	0	0	0	0	0	0	0
Wipi2	68.875000	0	0	0	0	0	0	520	0	299	166	0	117	0	0	0	0	0
Tmem167b	68.875000	0	0	0	0	0	0	463	0	219	159	163	98	0	0	0	0	0
Glipr1	68.875000	0	0	0	0	0	0	525	0	275	115	0	187	0	0	0	0	0
Cfap126	68.875000	0	0	0	0	0	0	577	0	263	109	0	153	0	0	0	0	0
Pdpk1	68.750000	0	186	0	0	0	0	0	0	407	263	118	126	0	0	0	0	0
Bud13	68.750000	0	0	0	0	0	0	216	0	357	228	126	173	0	0	0	0	0
Ilkap	68.687500	0	0	0	0	0	0	588	0	176	108	112	115	0	0	0	0	0
Pld1	68.625000	0	193	0	0	0	0	349	0	204	100	111	141	0	0	0	0	0
Lypla2	68.625000	0	0	0	0	0	0	251	0	368	329	0	150	0	0	0	0	0
Hnrnpa2b1	68.625000	0	0	0	0	0	0	535	0	312	140	0	111	0	0	0	0	0
Dele1	68.625000	0	0	0	0	0	0	263	0	349	310	97	79	0	0	0	0	0
Cbx3	68.625000	0	0	0	0	0	0	535	0	312	140	0	111	0	0	0	0	0
Rnps1	68.562500	0	0	0	0	0	0	363	0	266	201	121	146	0	0	0	0	0
Eya2	68.562500	0	0	0	0	0	0	0	0	444	298	195	160	0	0	0	0	0
Crem	68.562500	0	0	0	0	0	0	520	0	242	138	76	121	0	0	0	0	0
Slc25a38	68.500000	0	0	0	0	0	0	194	0	430	194	131	147	0	0	0	0	0
Sgo1	68.500000	0	0	0	0	0	0	254	0	432	288	0	122	0	0	0	0	0
Gtf2h2	68.437500	0	0	0	0	0	0	201	0	357	235	137	165	0	0	0	0	0
Dpp8	68.437500	0	0	0	0	0	0	206	0	362	235	139	153	0	0	0	0	0
Ptpn13	68.375000	0	0	0	0	0	0	625	323	146	0	0	0	0	0	0	0	0
Cebpb	68.375000	0	0	0	0	0	0	472	513	109	0	0	0	0	0	0	0	0
S100a2	68.312500	0	0	0	0	0	0	447	0	360	161	0	125	0	0	0	0	0
Gcc2	68.312500	0	0	0	0	0	0	266	0	389	256	107	75	0	0	0	0	0
Sdad1	68.250000	0	0	0	0	0	0	362	0	354	194	0	182	0	0	0	0	0
Cd276	68.250000	0	0	0	0	0	0	294	0	448	350	0	0	0	0	0	0	0
Traf7	68.187500	0	0	0	0	0	0	389	238	221	116	0	127	0	0	0	0	0
Shox2	68.125000	0	0	0	0	0	0	219	0	356	193	125	197	0	0	0	0	0
Rsrc1	68.125000	0	0	0	0	0	0	219	0	356	193	125	197	0	0	0	0	0
Notch2	68.125000	0	0	0	0	0	0	348	188	255	154	0	145	0	0	0	0	0
2310039H08Rik	68.000000	0	0	0	0	0	0	759	0	169	160	0	0	0	0	0	0	0
Rab3gap2	67.937500	0	125	0	0	0	0	376	0	327	178	0	81	0	0	0	0	0
Myl12a	67.937500	0	0	0	0	0	0	392	0	229	236	101	129	0	0	0	0	0
Zfp11	67.875000	0	0	0	0	0	0	0	0	366	270	164	286	0	0	0	0	0
Gm51425	67.875000	0	0	0	0	0	0	603	381	102	0	0	0	0	0	0	0	0
Ccdc97	67.812500	0	0	0	0	0	0	197	0	300	243	181	164	0	0	0	0	0
Sumo1	67.750000	0	0	0	0	0	0	380	0	382	168	0	154	0	0	0	0	0
Gpr161	67.750000	0	0	0	0	0	0	0	0	343	124	240	377	0	0	0	0	0
Gjb4	67.750000	0	0	0	0	0	0	566	199	201	118	0	0	0	0	0	0	0
Zfp598	67.687500	194	0	194	0	0	192	0	0	248	152	0	103	0	0	0	0	0
Man2b2	67.687500	0	0	0	0	0	0	0	0	425	315	156	187	0	0	0	0	0
Cox16	67.687500	0	0	0	0	0	0	398	0	352	215	0	118	0	0	0	0	0
Otud4	67.625000	0	0	0	0	0	0	535	107	145	79	0	216	0	0	0	0	0
Slc9a1	67.562500	0	0	0	0	0	0	425	0	312	221	0	123	0	0	0	0	0
Exd2	67.562500	0	0	0	0	0	0	311	0	389	142	116	123	0	0	0	0	0
Tfb2m	67.500000	0	0	0	0	0	0	347	0	385	222	0	126	0	0	0	0	0
Sphk2	67.500000	0	0	0	0	0	0	348	0	304	189	89	150	0	0	0	0	0
Rpl18	67.500000	0	0	0	0	0	0	348	0	304	189	89	150	0	0	0	0	0
Mrps33	67.500000	0	0	0	0	0	0	226	0	456	270	0	128	0	0	0	0	0
Fam83e	67.500000	0	0	0	0	0	0	348	0	304	189	89	150	0	0	0	0	0
Cnst	67.500000	0	0	0	0	0	0	347	0	385	222	0	126	0	0	0	0	0
Aldh3b1	67.500000	0	0	0	0	0	0	126	0	262	123	365	204	0	0	0	0	0
Urgcp	67.437500	0	0	0	0	0	0	0	0	446	280	143	210	0	0	0	0	0
Pex7	67.437500	0	0	0	0	0	0	0	0	343	353	191	192	0	0	0	0	0
Med18	67.437500	0	0	0	0	0	0	302	0	348	207	99	123	0	0	0	0	0
Slc25a46	67.375000	0	0	0	0	0	0	321	0	272	223	97	165	0	0	0	0	0
Cradd	67.375000	0	0	0	0	0	0	325	0	296	184	90	183	0	0	0	0	0
Zfp420	67.312500	0	0	0	0	0	0	325	208	330	97	0	117	0	0	0	0	0
Fth1	67.312500	0	0	0	0	0	0	316	0	475	286	0	0	0	0	0	0	0
Tnrc6a	67.250000	0	0	0	0	0	0	119	0	361	398	0	198	0	0	0	0	0
Tbc1d10b	67.187500	0	0	0	0	0	0	534	302	123	116	0	0	0	0	0	0	0
Mylpf	67.187500	0	0	0	0	0	0	534	302	123	116	0	0	0	0	0	0	0
Snip1	67.125000	0	0	0	0	0	0	254	0	422	150	88	160	0	0	0	0	0
Dnali1	67.125000	0	0	0	0	0	0	254	0	422	150	88	160	0	0	0	0	0
Chmp5	67.125000	0	0	0	0	0	0	309	0	394	225	0	146	0	0	0	0	0
Bag1	67.125000	0	0	0	0	0	0	309	0	394	225	0	146	0	0	0	0	0
Ksr2	67.062500	0	0	0	0	0	0	694	379	0	0	0	0	0	0	0	0	0
Ino80c	67.062500	0	0	0	0	0	0	381	0	354	190	0	148	0	0	0	0	0
Zbtb6	67.000000	0	0	0	0	0	0	141	0	412	219	161	139	0	0	0	0	0
Bbs10	67.000000	0	0	0	0	0	0	133	0	375	305	141	118	0	0	0	0	0
Zbtb22	66.937500	0	0	0	0	0	0	706	211	154	0	0	0	0	0	0	0	0
Ykt6	66.937500	0	0	0	0	0	0	176	0	332	271	131	161	0	0	0	0	0
Tent2	66.937500	0	0	0	0	0	0	0	0	501	324	124	122	0	0	0	0	0
Tapbp	66.937500	0	0	0	0	0	0	706	211	154	0	0	0	0	0	0	0	0
Soat2	66.937500	0	0	0	0	0	0	802	136	133	0	0	0	0	0	0	0	0
Olfr1287	66.937500	0	0	0	0	0	0	0	0	388	317	206	160	0	0	0	0	0
Mad1l1	66.937500	0	0	0	0	0	0	132	0	364	208	189	178	0	0	0	0	0
Thg1l	66.875000	0	0	0	0	0	0	269	0	432	233	0	136	0	0	0	0	0
Eif4h	66.875000	0	0	0	0	0	0	0	0	370	316	115	269	0	0	0	0	0
Gpx4	66.750000	0	0	0	0	0	0	560	364	144	0	0	0	0	0	0	0	0
Esco1	66.750000	0	0	0	0	0	0	139	0	337	246	172	174	0	0	0	0	0
Ccp110	66.750000	0	0	0	0	0	0	681	0	263	124	0	0	0	0	0	0	0
Calm1	66.750000	0	0	0	0	0	0	329	156	304	160	0	119	0	0	0	0	0
Sh3bp5	66.687500	0	0	0	0	0	0	319	0	305	216	95	132	0	0	0	0	0
Nol12	66.687500	0	0	0	0	0	0	0	0	412	262	132	261	0	0	0	0	0
Elf2	66.687500	0	0	0	0	0	0	346	0	326	168	109	118	0	0	0	0	0
Atr	66.687500	0	0	0	0	0	0	234	0	331	230	104	168	0	0	0	0	0
1700065D16Rik	66.687500	0	0	0	0	0	0	234	0	331	230	104	168	0	0	0	0	0
Snx12	66.625000	0	0	0	0	0	0	504	426	136	0	0	0	0	0	0	0	0
Ost4	66.625000	0	0	0	0	0	0	442	160	259	205	0	0	0	0	0	0	0
Setdb1	66.562500	0	0	0	0	0	0	0	0	502	204	161	198	0	0	0	0	0
Mks1	66.562500	0	0	0	0	0	0	0	0	426	262	154	223	0	0	0	0	0
Stau1	66.500000	0	0	0	0	0	0	0	0	441	353	143	127	0	0	0	0	0
Dnah7b	66.500000	0	0	0	0	0	0	931	133	0	0	0	0	0	0	0	0	0
Srp14	66.437500	0	0	0	0	0	0	390	0	286	168	82	137	0	0	0	0	0
Lyrm2	66.437500	0	0	0	0	0	0	459	0	224	148	136	96	0	0	0	0	0
Zfp622	66.375000	0	0	0	0	0	0	275	0	454	130	109	94	0	0	0	0	0
Srsf1	66.375000	0	0	0	0	0	0	300	0	323	182	131	126	0	0	0	0	0
Rsbn1	66.375000	0	0	0	0	0	0	432	0	328	176	0	126	0	0	0	0	0
Stoml2	66.312500	0	0	0	0	0	0	240	0	443	266	0	112	0	0	0	0	0
Dnlz	66.312500	0	0	0	0	0	0	163	0	366	198	105	229	0	0	0	0	0
Srd5a3	66.250000	0	0	0	0	0	0	104	0	410	217	121	208	0	0	0	0	0
Ino80e	66.250000	0	0	0	0	0	0	430	0	299	183	0	148	0	0	0	0	0
Il1rap	66.250000	0	0	0	0	0	0	652	178	121	109	0	0	0	0	0	0	0
Hirip3	66.250000	0	0	0	0	0	0	430	0	299	183	0	148	0	0	0	0	0
Fdx1	66.250000	0	0	0	0	0	0	542	213	101	83	0	121	0	0	0	0	0
Baz1b	66.250000	0	0	0	0	0	0	0	0	487	241	126	206	0	0	0	0	0
Alkbh3	66.250000	0	0	0	0	0	0	454	0	282	191	0	133	0	0	0	0	0
Zfp335	66.187500	0	0	0	0	0	0	409	0	264	220	0	166	0	0	0	0	0
Tac4	66.187500	0	0	0	0	0	0	239	0	440	254	0	126	0	0	0	0	0
Prpf3	66.187500	0	0	0	0	0	0	224	0	364	229	120	122	0	0	0	0	0
Nt5e	66.187500	0	331	0	0	0	0	0	0	338	179	106	105	0	0	0	0	0
Bcl7b	66.187500	0	0	0	0	0	0	430	0	343	188	0	98	0	0	0	0	0
Svil	66.125000	0	0	0	0	0	0	0	0	552	343	0	163	0	0	0	0	0
Psmb3	66.125000	0	0	0	0	0	0	515	225	174	144	0	0	0	0	0	0	0
Pcgf2	66.125000	0	0	0	0	0	0	515	225	174	144	0	0	0	0	0	0	0
Hddc2	66.125000	0	0	0	0	0	0	280	0	364	164	120	130	0	0	0	0	0
Arhgap8	66.125000	0	0	0	0	0	0	432	0	356	270	0	0	0	0	0	0	0
Map3k10	66.062500	0	0	0	0	0	0	247	142	245	251	0	172	0	0	0	0	0
Rps14	66.000000	0	0	0	0	0	0	200	0	283	250	93	230	0	0	0	0	0
Plin3	66.000000	0	486	0	0	0	0	0	0	218	261	0	91	0	0	0	0	0
Map4k1	66.000000	0	0	0	0	0	0	0	0	505	304	99	148	0	0	0	0	0
Eif3k	66.000000	0	0	0	0	0	0	0	0	505	304	99	148	0	0	0	0	0
Zfp119b	65.937500	0	197	0	0	0	0	249	0	204	239	0	166	0	0	0	0	0
Spg20	65.937500	0	0	0	0	0	0	461	312	202	80	0	0	0	0	0	0	0
Rpl22l1	65.937500	0	0	0	0	0	0	441	0	225	141	64	184	0	0	0	0	0
H4f16	65.937500	0	0	0	0	0	0	258	0	330	148	164	155	0	0	0	0	0
H2aj	65.937500	0	0	0	0	0	0	258	0	330	148	164	155	0	0	0	0	0
Hibch	65.750000	0	0	0	0	0	0	220	0	628	204	0	0	0	0	0	0	0
Xrcc5	65.687500	0	0	0	0	0	0	420	0	329	146	0	156	0	0	0	0	0
Rnf7	65.687500	0	0	0	0	0	0	216	0	388	229	109	109	0	0	0	0	0
Ccnl1	65.687500	0	0	0	0	0	0	463	0	319	156	0	113	0	0	0	0	0
Mief1	65.625000	0	0	0	0	0	0	457	0	236	224	0	133	0	0	0	0	0
Ehmt1	65.625000	0	0	0	0	0	0	506	0	278	175	0	91	0	0	0	0	0
Ddx10	65.625000	0	0	0	0	0	0	436	0	300	184	0	130	0	0	0	0	0
Stt3b	65.562500	0	0	0	0	0	0	644	257	148	0	0	0	0	0	0	0	0
Sppl2a	65.500000	0	0	0	0	0	0	293	0	372	235	0	148	0	0	0	0	0
Mettl9	65.500000	0	0	0	0	0	0	177	0	317	230	146	178	0	0	0	0	0
Lrrc51	65.500000	0	0	0	0	0	0	187	0	429	210	91	131	0	0	0	0	0
Eif4a1	65.500000	0	0	0	0	0	0	126	0	443	204	109	166	0	0	0	0	0
Tars2	65.437500	0	0	0	0	0	0	435	0	306	157	149	0	0	0	0	0	0
Ankrd52	65.437500	0	0	0	0	0	0	0	0	377	262	170	238	0	0	0	0	0
Nrf1	65.375000	0	0	0	0	0	0	0	0	326	229	157	334	0	0	0	0	0
Ankle2	65.375000	0	0	0	0	0	0	237	0	374	202	125	108	0	0	0	0	0
Rsrc2	65.312500	0	0	0	0	0	0	113	0	303	286	190	153	0	0	0	0	0
Luc7l	65.312500	0	0	0	0	0	0	251	0	251	245	107	191	0	0	0	0	0
Kntc1	65.312500	0	0	0	0	0	0	113	0	303	286	190	153	0	0	0	0	0
Ism2	65.312500	0	0	0	0	0	0	620	306	119	0	0	0	0	0	0	0	0
Tmem198b	65.250000	0	0	0	0	0	0	179	0	503	225	0	137	0	0	0	0	0
Dnajc14	65.250000	0	0	0	0	0	0	179	0	503	225	0	137	0	0	0	0	0
Rbm17	65.187500	0	0	0	0	0	0	414	0	279	201	0	149	0	0	0	0	0
Pilrb1	65.125000	0	0	0	0	0	0	0	0	448	229	146	219	0	0	0	0	0
Ncor2	65.125000	0	0	0	0	0	0	665	0	233	144	0	0	0	0	0	0	0
Elof1	65.125000	0	0	0	0	0	0	268	0	411	259	0	104	0	0	0	0	0
Zfp84	65.062500	0	0	0	0	0	0	525	0	176	247	93	0	0	0	0	0	0
Tubgcp3	65.062500	0	0	0	0	0	0	813	0	228	0	0	0	0	0	0	0	0
Tsen15	65.062500	0	0	0	0	0	0	277	0	359	256	149	0	0	0	0	0	0
Tm2d1	65.062500	0	0	0	0	0	0	131	0	409	243	141	117	0	0	0	0	0
Pdrg1	65.062500	0	0	0	0	0	0	256	0	377	249	0	159	0	0	0	0	0
Exd1	65.062500	0	0	0	0	0	0	0	0	624	289	128	0	0	0	0	0	0
Chp1	65.062500	0	0	0	0	0	0	0	0	624	289	128	0	0	0	0	0	0
Washc4	64.937500	0	0	0	0	0	0	398	0	242	139	80	180	0	0	0	0	0
U2surp	64.937500	0	0	0	0	0	0	407	0	321	199	0	112	0	0	0	0	0
Jph2	64.937500	0	0	0	0	0	0	885	0	154	0	0	0	0	0	0	0	0
Ddx50	64.937500	0	0	0	0	0	0	462	0	241	234	0	102	0	0	0	0	0
Arhgap11a	64.937500	0	0	0	0	0	0	153	0	288	305	119	174	0	0	0	0	0
Zfp821	64.875000	0	0	0	0	0	0	329	0	316	266	0	127	0	0	0	0	0
Ube2t	64.875000	0	0	0	0	0	0	585	353	100	0	0	0	0	0	0	0	0
Trp53bp2	64.875000	0	0	0	0	0	0	0	0	441	344	103	150	0	0	0	0	0
Trim41	64.875000	0	0	0	0	0	0	424	0	250	137	110	117	0	0	0	0	0
Srp54a	64.875000	0	0	0	0	0	0	186	0	369	200	168	115	0	0	0	0	0
Sgms1	64.875000	0	85	0	0	0	0	471	302	180	0	0	0	0	0	0	0	0
Ist1	64.875000	0	0	0	0	0	0	329	0	316	266	0	127	0	0	0	0	0
Igsf9	64.875000	0	0	0	0	0	0	0	0	455	312	119	152	0	0	0	0	0
Tyw3	64.812500	0	0	0	0	0	0	449	133	146	194	115	0	0	0	0	0	0
Prr3	64.812500	0	0	0	0	0	0	367	0	291	130	117	132	0	0	0	0	0
Prkab2	64.812500	0	0	0	0	0	0	362	179	221	172	0	103	0	0	0	0	0
Gnl1	64.812500	0	0	0	0	0	0	367	0	291	130	117	132	0	0	0	0	0
